population,variant,scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,target_reach_n,target_floor_n,structural_n,high_sl_n,time_n,ratchet_total,l_lock_n,t5_lock_n,t10_lock_n
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,PARTITION,development,213,196,0.92018779342723,0.5816326530612245,0.6902206151050714,-0.31179689070759165,-61.11219057868796,1.194423703267434,-2.405810887209457,77.56314414745381,6,45.0,102,85,17,21,16,26,20,18,19
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,PARTITION,reference_validation,103,90,0.8737864077669902,0.5666666666666667,0.6210225887908747,-0.4398177826400574,-39.58360043760516,1.2718596531524269,-2.6781651986763837,66.74684183762517,5,60.0,49,46,3,12,8,7,4,10,7
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,POOL,POOLED_MAJOR,419,380,0.9069212410501193,0.6052631578947368,0.8281398095177114,-0.22414340881291095,-85.17449534890616,1.784473514199441,-3.3040226907651844,119.72926036514211,6,50.0,202,171,29,43,34,56,36,39,28
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,CLOCK_MAJOR,00-04,55,53,0.9636363636363636,0.5471698113207547,0.5531166555121889,-0.947230900118878,-50.203237706300534,2.1426749692606784,-4.680867158952509,55.87345095555895,4,40.0,40,33,7,8,5,11,0,0,0
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,CLOCK_MAJOR,04-08,67,59,0.8805970149253731,0.6271186440677966,1.855408322710799,0.9343181522817313,55.124770984622145,3.2315516605921157,-2.929210929876641,30.442060926319826,4,55.0,21,17,3,3,7,8,9,8,12
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,CLOCK_MAJOR,08-12,68,60,0.8823529411764706,0.5833333333333334,0.7654432162602947,-0.2721813556284239,-16.33088133770543,1.5226726931164518,-2.7849770238712495,32.4608901577072,3,45.0,29,22,7,9,1,12,3,8,10
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,CLOCK_MAJOR,12-16,92,85,0.9239130434782609,0.6352941176470588,0.843987810122502,-0.16288246892041833,-13.845009858235558,1.3870022023364348,-2.8626815736904203,36.15131483869814,5,40.0,55,50,5,11,3,14,9,7,0
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,CLOCK_MAJOR,16-20,78,66,0.8461538461538461,0.6515151515151515,0.5684094956935086,-0.696705252903209,-45.98254669161179,1.4083610594637581,-4.6322640108066695,50.565861850375626,3,62.5,31,26,4,6,9,7,8,13,0
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,CLOCK_MAJOR,20-00,59,57,0.9661016949152542,0.5614035087719298,0.7414671342845475,-0.2445191357837717,-13.937590739674988,1.2491479366630842,-2.156412988515747,29.540931271203263,8,70.0,26,23,3,6,9,4,7,3,6
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,REGIME_MAJOR,BEAR,312,284,0.9102564102564102,0.602112676056338,0.7972018098237661,-0.2694261439841921,-76.51702489151056,1.7590013236136417,-3.338993373711887,91.06618834416061,6,50.0,154,133,20,31,23,36,26,27,24
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,REGIME_MAJOR,SIDEWAYS,107,96,0.897196261682243,0.6145833333333334,0.9268159014580903,-0.09018198393120436,-8.657470457395618,1.8582996936938774,-3.197220334738767,58.16315571232849,6,47.5,48,38,9,12,11,20,10,12,4
ALL_REGIME,FIXED_CLOCK_TP,POOL,POOLED_MAJOR,729,652,0.8943758573388203,0.6656441717791411,0.665571993316047,-0.4269722653655295,-278.38591701832524,1.2765855685539576,-3.818458962251114,294.5438097570947,6,40.0,348,0,0,78,62,0,59,53,52
BLOCKED_BULL,FIXED_CLOCK_TP,POOL,POOLED_MAJOR,310,272,0.8774193548387097,0.6580882352941176,0.5013930921388349,-0.6439975304819856,-175.1673282911001,0.9840567172486048,-3.7775643083720465,181.2885777967026,4,40.0,146,0,0,35,30,0,23,14,24
