local_date,partition,london_open_utc,ny_open_utc,ny_close_utc,london_utc_offset_hours,ny_utc_offset_hours,reference_minutes,reference_bars,duration_regime,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2020-03-05,external,2020-03-05 08:00:00+00:00,2020-03-05 14:30:00+00:00,2020-03-05 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,21.472,20.65,0.8220000000000027,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-03-06,external,2020-03-06 08:00:00+00:00,2020-03-06 14:30:00+00:00,2020-03-06 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,21.77,21.136,0.6340000000000003,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-06 15:45:00+00:00,
2020-03-09,external,2020-03-09 08:00:00+00:00,2020-03-09 13:30:00+00:00,2020-03-09 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,17.355,16.625,0.7300000000000004,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-03-09 13:35:00+00:00,
2020-03-10,external,2020-03-10 08:00:00+00:00,2020-03-10 13:30:00+00:00,2020-03-10 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,17.45,16.564,0.8859999999999992,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-03-10 15:35:00+00:00,
2020-03-11,external,2020-03-11 08:00:00+00:00,2020-03-11 13:30:00+00:00,2020-03-11 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,16.842,16.239,0.602999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-11 15:20:00+00:00,
2020-03-12,external,2020-03-12 08:00:00+00:00,2020-03-12 13:30:00+00:00,2020-03-12 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,14.653,9.65,5.003,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-03-13,external,2020-03-13 08:00:00+00:00,2020-03-13 13:30:00+00:00,2020-03-13 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,10.956,9.601,1.3549999999999986,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-13 13:30:00+00:00,
2020-03-16,external,2020-03-16 08:00:00+00:00,2020-03-16 13:30:00+00:00,2020-03-16 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,9.409,8.38,1.029,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-16 14:25:00+00:00,
2020-03-17,external,2020-03-17 08:00:00+00:00,2020-03-17 13:30:00+00:00,2020-03-17 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,10.462,9.853,0.609,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-17 13:50:00+00:00,
2020-03-18,external,2020-03-18 08:00:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,10.188,9.658,0.5300000000000011,True,,1,0,2020-03-18 13:30:00+00:00,2020-03-18 13:35:00+00:00,True,2020-03-18 13:40:00+00:00,2020-03-18 13:45:00+00:00,H2_ARRIVAL,2020-03-18 13:50:00+00:00,10.0
2020-03-19,external,2020-03-19 08:00:00+00:00,2020-03-19 13:30:00+00:00,2020-03-19 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,11.492,10.58,0.9120000000000008,True,,1,0,2020-03-19 16:10:00+00:00,2020-03-19 16:15:00+00:00,False,,,BREAK_DURING_K1,2020-03-19 16:15:00+00:00,
2020-03-20,external,2020-03-20 08:00:00+00:00,2020-03-20 13:30:00+00:00,2020-03-20 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,13.697,12.489,1.2079999999999984,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-03-20 13:45:00+00:00,
2020-03-23,external,2020-03-23 08:00:00+00:00,2020-03-23 13:30:00+00:00,2020-03-23 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,12.52,10.815,1.705,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-03-24,external,2020-03-24 08:00:00+00:00,2020-03-24 13:30:00+00:00,2020-03-24 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,12.575,12.029,0.5459999999999994,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-03-24 15:05:00+00:00,
2020-03-25,external,2020-03-25 08:00:00+00:00,2020-03-25 13:30:00+00:00,2020-03-25 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,12.708,11.96,0.7479999999999993,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-03-26,external,2020-03-26 08:00:00+00:00,2020-03-26 13:30:00+00:00,2020-03-26 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,12.375,12.205,0.16999999999999993,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-26 13:30:00+00:00,
2020-03-27,external,2020-03-27 08:00:00+00:00,2020-03-27 13:30:00+00:00,2020-03-27 20:00:00+00:00,0.0,-4.0,330,66,DST_MISMATCH_5H30,13.159,12.753,0.4060000000000006,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-27 13:30:00+00:00,
2020-03-30,external,2020-03-30 07:00:00+00:00,2020-03-30 13:30:00+00:00,2020-03-30 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,12.226,11.849,0.37700000000000067,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-03-30 15:30:00+00:00,
2020-03-31,external,2020-03-31 07:00:00+00:00,2020-03-31 13:30:00+00:00,2020-03-31 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,12.75,12.284,0.4659999999999993,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-01,external,2020-04-01 07:00:00+00:00,2020-04-01 13:30:00+00:00,2020-04-01 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,12.4,12.208,0.19200000000000017,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-01 13:35:00+00:00,
2020-04-02,external,2020-04-02 07:00:00+00:00,2020-04-02 13:30:00+00:00,2020-04-02 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,13.006,12.672,0.33399999999999963,True,,1,0,2020-04-02 14:25:00+00:00,2020-04-02 14:30:00+00:00,False,,,BREAK_DURING_K1,2020-04-02 14:30:00+00:00,
2020-04-03,external,2020-04-03 07:00:00+00:00,2020-04-03 13:30:00+00:00,2020-04-03 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,13.578,13.241,0.33699999999999974,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-04-03 13:55:00+00:00,
2020-04-06,external,2020-04-06 07:00:00+00:00,2020-04-06 13:30:00+00:00,2020-04-06 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,14.33,13.962,0.3680000000000003,True,,1,0,2020-04-06 13:30:00+00:00,2020-04-06 13:35:00+00:00,True,2020-04-06 13:35:00+00:00,2020-04-06 13:40:00+00:00,H2_ARRIVAL,2020-04-06 13:45:00+00:00,10.0
2020-04-07,external,2020-04-07 07:00:00+00:00,2020-04-07 13:30:00+00:00,2020-04-07 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.468,14.998,0.47000000000000064,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-07 14:00:00+00:00,
2020-04-08,external,2020-04-08 07:00:00+00:00,2020-04-08 13:30:00+00:00,2020-04-08 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.19,14.773,0.4169999999999998,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-09,external,2020-04-09 07:00:00+00:00,2020-04-09 13:30:00+00:00,2020-04-09 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.218,14.611,0.6069999999999993,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-10,external,2020-04-10 07:00:00+00:00,2020-04-10 13:30:00+00:00,2020-04-10 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,14.117,13.8,0.31700000000000017,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-10 13:35:00+00:00,
2020-04-13,external,2020-04-13 07:00:00+00:00,2020-04-13 13:30:00+00:00,2020-04-13 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,14.978,13.766,1.2119999999999997,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-14,external,2020-04-14 07:00:00+00:00,2020-04-14 13:30:00+00:00,2020-04-14 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.79,15.1,0.6899999999999995,True,,1,0,2020-04-14 13:45:00+00:00,2020-04-14 13:50:00+00:00,True,2020-04-14 13:55:00+00:00,2020-04-14 14:00:00+00:00,H2_ARRIVAL,2020-04-14 14:00:00+00:00,5.0
2020-04-15,external,2020-04-15 07:00:00+00:00,2020-04-15 13:30:00+00:00,2020-04-15 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.646,14.852,0.7940000000000005,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-04-15 15:55:00+00:00,
2020-04-16,external,2020-04-16 07:00:00+00:00,2020-04-16 13:30:00+00:00,2020-04-16 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.659,15.013,0.6460000000000008,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-17,external,2020-04-17 07:00:00+00:00,2020-04-17 13:30:00+00:00,2020-04-17 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.92,15.382,0.5380000000000003,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-20,external,2020-04-20 07:00:00+00:00,2020-04-20 13:30:00+00:00,2020-04-20 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.393,15.45,0.9430000000000014,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-20 17:35:00+00:00,
2020-04-21,external,2020-04-21 07:00:00+00:00,2020-04-21 13:30:00+00:00,2020-04-21 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.319,14.666,0.6530000000000005,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-04-22,external,2020-04-22 07:00:00+00:00,2020-04-22 13:30:00+00:00,2020-04-22 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.584,15.214,0.3699999999999992,True,,1,0,2020-04-22 13:30:00+00:00,2020-04-22 13:35:00+00:00,True,2020-04-22 13:35:00+00:00,2020-04-22 13:40:00+00:00,H2_ARRIVAL,2020-04-22 13:40:00+00:00,5.0
2020-04-23,external,2020-04-23 07:00:00+00:00,2020-04-23 13:30:00+00:00,2020-04-23 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,15.812,15.45,0.3620000000000001,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-23 13:35:00+00:00,
2020-04-24,external,2020-04-24 07:00:00+00:00,2020-04-24 13:30:00+00:00,2020-04-24 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.267,15.761,0.5060000000000002,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-04-24 14:15:00+00:00,
