episode_id,regime,first_effective_ts,last_effective_ts,first_partition,n_intervals,duration_hours
25,SIDEWAYS,2020-02-15 16:00:00+00:00,2020-02-17 00:00:00+00:00,external,9,36
26,BEAR,2020-02-17 04:00:00+00:00,2020-02-18 16:00:00+00:00,external,10,40
27,SIDEWAYS,2020-02-18 20:00:00+00:00,2020-02-18 20:00:00+00:00,external,1,4
28,BULL,2020-02-19 00:00:00+00:00,2020-02-19 20:00:00+00:00,external,6,24
29,SIDEWAYS,2020-02-20 00:00:00+00:00,2020-02-20 04:00:00+00:00,external,2,8
30,BEAR,2020-02-20 08:00:00+00:00,2020-02-22 04:00:00+00:00,external,12,48
31,SIDEWAYS,2020-02-22 08:00:00+00:00,2020-02-23 04:00:00+00:00,external,6,24
32,BULL,2020-02-23 08:00:00+00:00,2020-02-24 00:00:00+00:00,external,5,20
33,SIDEWAYS,2020-02-24 04:00:00+00:00,2020-02-24 08:00:00+00:00,external,2,8
34,BULL,2020-02-24 12:00:00+00:00,2020-02-24 12:00:00+00:00,external,1,4
35,SIDEWAYS,2020-02-24 16:00:00+00:00,2020-02-27 08:00:00+00:00,external,17,68
36,BEAR,2020-02-27 12:00:00+00:00,2020-02-28 04:00:00+00:00,external,5,20
37,SIDEWAYS,2020-02-28 08:00:00+00:00,2020-02-28 20:00:00+00:00,external,4,16
38,BEAR,2020-02-29 00:00:00+00:00,2020-03-02 08:00:00+00:00,external,15,60
39,SIDEWAYS,2020-03-02 12:00:00+00:00,2020-03-02 16:00:00+00:00,external,2,8
40,BULL,2020-03-02 20:00:00+00:00,2020-03-03 12:00:00+00:00,external,5,20
41,SIDEWAYS,2020-03-03 16:00:00+00:00,2020-03-03 20:00:00+00:00,external,2,8
42,BULL,2020-03-04 00:00:00+00:00,2020-03-04 08:00:00+00:00,external,3,12
43,SIDEWAYS,2020-03-04 12:00:00+00:00,2020-03-05 00:00:00+00:00,external,4,16
44,BULL,2020-03-05 04:00:00+00:00,2020-03-07 16:00:00+00:00,external,16,64
45,SIDEWAYS,2020-03-07 20:00:00+00:00,2020-03-13 08:00:00+00:00,external,34,136
46,BEAR,2020-03-13 12:00:00+00:00,2020-03-14 16:00:00+00:00,external,8,32
47,SIDEWAYS,2020-03-14 20:00:00+00:00,2020-03-16 16:00:00+00:00,external,12,48
48,BEAR,2020-03-16 20:00:00+00:00,2020-03-17 04:00:00+00:00,external,3,12
49,SIDEWAYS,2020-03-17 08:00:00+00:00,2020-03-17 08:00:00+00:00,external,1,4
50,BEAR,2020-03-17 12:00:00+00:00,2020-03-17 12:00:00+00:00,external,1,4
51,SIDEWAYS,2020-03-17 16:00:00+00:00,2020-03-17 20:00:00+00:00,external,2,8
52,BEAR,2020-03-18 00:00:00+00:00,2020-03-18 00:00:00+00:00,external,1,4
53,SIDEWAYS,2020-03-18 04:00:00+00:00,2020-03-18 04:00:00+00:00,external,1,4
54,BEAR,2020-03-18 08:00:00+00:00,2020-03-18 12:00:00+00:00,external,2,8
55,SIDEWAYS,2020-03-18 16:00:00+00:00,2020-03-19 04:00:00+00:00,external,4,16
56,BULL,2020-03-19 08:00:00+00:00,2020-03-22 12:00:00+00:00,external,20,80
57,SIDEWAYS,2020-03-22 16:00:00+00:00,2020-03-23 16:00:00+00:00,external,7,28
58,BULL,2020-03-23 20:00:00+00:00,2020-03-27 20:00:00+00:00,external,25,100
59,SIDEWAYS,2020-03-28 00:00:00+00:00,2020-03-30 20:00:00+00:00,external,18,72
60,BULL,2020-03-31 00:00:00+00:00,2020-04-01 04:00:00+00:00,external,8,32
61,SIDEWAYS,2020-04-01 08:00:00+00:00,2020-04-01 12:00:00+00:00,external,2,8
62,BEAR,2020-04-01 16:00:00+00:00,2020-04-01 20:00:00+00:00,external,2,8
63,BULL,2020-04-02 00:00:00+00:00,2020-04-09 08:00:00+00:00,external,45,180
64,SIDEWAYS,2020-04-09 12:00:00+00:00,2020-04-09 12:00:00+00:00,external,1,4
65,BULL,2020-04-09 16:00:00+00:00,2020-04-10 00:00:00+00:00,external,3,12
66,SIDEWAYS,2020-04-10 04:00:00+00:00,2020-04-10 20:00:00+00:00,external,5,20
67,BEAR,2020-04-11 00:00:00+00:00,2020-04-12 12:00:00+00:00,external,10,40
68,SIDEWAYS,2020-04-12 16:00:00+00:00,2020-04-12 20:00:00+00:00,external,2,8
69,BEAR,2020-04-13 00:00:00+00:00,2020-04-14 00:00:00+00:00,external,7,28
70,SIDEWAYS,2020-04-14 04:00:00+00:00,2020-04-14 04:00:00+00:00,external,1,4
71,BEAR,2020-04-14 08:00:00+00:00,2020-04-14 12:00:00+00:00,external,2,8
72,SIDEWAYS,2020-04-14 16:00:00+00:00,2020-04-14 20:00:00+00:00,external,2,8
73,BEAR,2020-04-15 00:00:00+00:00,2020-04-15 00:00:00+00:00,external,1,4
74,SIDEWAYS,2020-04-15 04:00:00+00:00,2020-04-15 04:00:00+00:00,external,1,4
75,BEAR,2020-04-15 08:00:00+00:00,2020-04-16 04:00:00+00:00,external,6,24
76,SIDEWAYS,2020-04-16 08:00:00+00:00,2020-04-16 08:00:00+00:00,external,1,4
77,BULL,2020-04-16 12:00:00+00:00,2020-04-20 08:00:00+00:00,external,24,96
78,SIDEWAYS,2020-04-20 12:00:00+00:00,2020-04-21 04:00:00+00:00,external,5,20
79,BEAR,2020-04-21 08:00:00+00:00,2020-04-22 08:00:00+00:00,external,7,28
80,SIDEWAYS,2020-04-22 12:00:00+00:00,2020-04-22 16:00:00+00:00,external,2,8
81,BULL,2020-04-22 20:00:00+00:00,2020-05-04 00:00:00+00:00,external,68,272
82,SIDEWAYS,2020-05-04 04:00:00+00:00,2020-05-04 12:00:00+00:00,external,3,12
83,BULL,2020-05-04 16:00:00+00:00,2020-05-09 20:00:00+00:00,external,32,128
84,SIDEWAYS,2020-05-10 00:00:00+00:00,2020-05-13 12:00:00+00:00,external,22,88
85,BULL,2020-05-13 16:00:00+00:00,2020-05-15 16:00:00+00:00,external,13,52
86,SIDEWAYS,2020-05-15 20:00:00+00:00,2020-05-16 00:00:00+00:00,external,2,8
87,BULL,2020-05-16 04:00:00+00:00,2020-05-16 16:00:00+00:00,external,4,16
88,SIDEWAYS,2020-05-16 20:00:00+00:00,2020-05-16 20:00:00+00:00,external,1,4
89,BULL,2020-05-17 00:00:00+00:00,2020-05-19 00:00:00+00:00,external,13,52
90,SIDEWAYS,2020-05-19 04:00:00+00:00,2020-05-19 08:00:00+00:00,external,2,8
91,BULL,2020-05-19 12:00:00+00:00,2020-05-20 12:00:00+00:00,external,7,28
92,SIDEWAYS,2020-05-20 16:00:00+00:00,2020-05-22 00:00:00+00:00,external,9,36
93,BEAR,2020-05-22 04:00:00+00:00,2020-05-23 20:00:00+00:00,external,11,44
94,SIDEWAYS,2020-05-24 00:00:00+00:00,2020-05-25 08:00:00+00:00,external,9,36
95,BEAR,2020-05-25 12:00:00+00:00,2020-05-27 08:00:00+00:00,external,12,48
96,SIDEWAYS,2020-05-27 12:00:00+00:00,2020-05-27 12:00:00+00:00,external,1,4
97,BULL,2020-05-27 16:00:00+00:00,2020-05-31 20:00:00+00:00,external,26,104
98,SIDEWAYS,2020-06-01 00:00:00+00:00,2020-06-01 00:00:00+00:00,external,1,4
99,BULL,2020-06-01 04:00:00+00:00,2020-06-02 12:00:00+00:00,external,9,36
100,SIDEWAYS,2020-06-02 16:00:00+00:00,2020-06-04 04:00:00+00:00,external,10,40
101,BULL,2020-06-04 08:00:00+00:00,2020-06-04 08:00:00+00:00,external,1,4
102,SIDEWAYS,2020-06-04 12:00:00+00:00,2020-06-04 12:00:00+00:00,external,1,4
103,BULL,2020-06-04 16:00:00+00:00,2020-06-05 20:00:00+00:00,external,8,32
104,SIDEWAYS,2020-06-06 00:00:00+00:00,2020-06-07 20:00:00+00:00,external,12,48
105,BULL,2020-06-08 00:00:00+00:00,2020-06-09 00:00:00+00:00,external,7,28
106,SIDEWAYS,2020-06-09 04:00:00+00:00,2020-06-09 08:00:00+00:00,external,2,8
107,BULL,2020-06-09 12:00:00+00:00,2020-06-11 12:00:00+00:00,external,13,52
108,SIDEWAYS,2020-06-11 16:00:00+00:00,2020-06-16 04:00:00+00:00,external,28,112
109,BULL,2020-06-16 08:00:00+00:00,2020-06-17 12:00:00+00:00,external,8,32
110,SIDEWAYS,2020-06-17 16:00:00+00:00,2020-06-22 04:00:00+00:00,external,28,112
111,BULL,2020-06-22 08:00:00+00:00,2020-06-24 04:00:00+00:00,external,12,48
112,SIDEWAYS,2020-06-24 08:00:00+00:00,2020-06-25 08:00:00+00:00,external,7,28
113,BEAR,2020-06-25 12:00:00+00:00,2020-06-28 12:00:00+00:00,external,19,76
114,SIDEWAYS,2020-06-28 16:00:00+00:00,2020-06-28 16:00:00+00:00,external,1,4
115,BEAR,2020-06-28 20:00:00+00:00,2020-06-29 16:00:00+00:00,external,6,24
116,SIDEWAYS,2020-06-29 20:00:00+00:00,2020-06-30 00:00:00+00:00,external,2,8
117,BULL,2020-06-30 04:00:00+00:00,2020-06-30 16:00:00+00:00,external,4,16
118,SIDEWAYS,2020-06-30 20:00:00+00:00,2020-07-01 08:00:00+00:00,external,4,16
119,BULL,2020-07-01 12:00:00+00:00,2020-07-02 12:00:00+00:00,external,7,28
120,SIDEWAYS,2020-07-02 16:00:00+00:00,2020-07-02 16:00:00+00:00,external,1,4
121,BEAR,2020-07-02 20:00:00+00:00,2020-07-04 16:00:00+00:00,external,12,48
122,SIDEWAYS,2020-07-04 20:00:00+00:00,2020-07-05 04:00:00+00:00,external,3,12
123,BEAR,2020-07-05 08:00:00+00:00,2020-07-06 00:00:00+00:00,external,5,20
124,SIDEWAYS,2020-07-06 04:00:00+00:00,2020-07-06 04:00:00+00:00,external,1,4
125,BULL,2020-07-06 08:00:00+00:00,2020-07-09 12:00:00+00:00,external,20,80
126,SIDEWAYS,2020-07-09 16:00:00+00:00,2020-07-10 00:00:00+00:00,external,3,12
127,BEAR,2020-07-10 04:00:00+00:00,2020-07-10 20:00:00+00:00,external,5,20
128,SIDEWAYS,2020-07-11 00:00:00+00:00,2020-07-11 08:00:00+00:00,external,3,12
129,BEAR,2020-07-11 12:00:00+00:00,2020-07-12 00:00:00+00:00,external,4,16
130,SIDEWAYS,2020-07-12 04:00:00+00:00,2020-07-12 08:00:00+00:00,external,2,8
131,BEAR,2020-07-12 12:00:00+00:00,2020-07-12 20:00:00+00:00,external,3,12
132,BULL,2020-07-13 00:00:00+00:00,2020-07-13 16:00:00+00:00,external,5,20
133,SIDEWAYS,2020-07-13 20:00:00+00:00,2020-07-14 00:00:00+00:00,external,2,8
134,BEAR,2020-07-14 04:00:00+00:00,2020-07-14 16:00:00+00:00,external,4,16
135,SIDEWAYS,2020-07-14 20:00:00+00:00,2020-07-15 00:00:00+00:00,external,2,8
136,BEAR,2020-07-15 04:00:00+00:00,2020-07-18 08:00:00+00:00,external,20,80
137,SIDEWAYS,2020-07-18 12:00:00+00:00,2020-07-19 00:00:00+00:00,external,4,16
138,BEAR,2020-07-19 04:00:00+00:00,2020-07-19 16:00:00+00:00,external,4,16
139,SIDEWAYS,2020-07-19 20:00:00+00:00,2020-07-19 20:00:00+00:00,external,1,4
140,BULL,2020-07-20 00:00:00+00:00,2020-07-20 08:00:00+00:00,external,3,12
141,SIDEWAYS,2020-07-20 12:00:00+00:00,2020-07-20 12:00:00+00:00,external,1,4
142,BULL,2020-07-20 16:00:00+00:00,2020-07-20 16:00:00+00:00,external,1,4
143,SIDEWAYS,2020-07-20 20:00:00+00:00,2020-07-21 00:00:00+00:00,external,2,8
144,BULL,2020-07-21 04:00:00+00:00,2020-08-02 04:00:00+00:00,external,73,292
145,SIDEWAYS,2020-08-02 08:00:00+00:00,2020-08-03 16:00:00+00:00,external,9,36
146,BULL,2020-08-03 20:00:00+00:00,2020-08-03 20:00:00+00:00,external,1,4
147,SIDEWAYS,2020-08-04 00:00:00+00:00,2020-08-05 08:00:00+00:00,external,9,36
148,BULL,2020-08-05 12:00:00+00:00,2020-08-07 16:00:00+00:00,external,14,56
149,SIDEWAYS,2020-08-07 20:00:00+00:00,2020-08-08 08:00:00+00:00,external,4,16
150,BULL,2020-08-08 12:00:00+00:00,2020-08-09 12:00:00+00:00,external,7,28
151,SIDEWAYS,2020-08-09 16:00:00+00:00,2020-08-09 20:00:00+00:00,external,2,8
152,BULL,2020-08-10 00:00:00+00:00,2020-08-11 04:00:00+00:00,external,8,32
153,SIDEWAYS,2020-08-11 08:00:00+00:00,2020-08-12 04:00:00+00:00,external,6,24
154,BEAR,2020-08-12 08:00:00+00:00,2020-08-13 16:00:00+00:00,external,9,36
155,SIDEWAYS,2020-08-13 20:00:00+00:00,2020-08-14 00:00:00+00:00,external,2,8
156,BULL,2020-08-14 04:00:00+00:00,2020-08-16 08:00:00+00:00,external,14,56
157,SIDEWAYS,2020-08-16 12:00:00+00:00,2020-08-16 12:00:00+00:00,external,1,4
158,BULL,2020-08-16 16:00:00+00:00,2020-08-18 12:00:00+00:00,external,12,48
159,SIDEWAYS,2020-08-18 16:00:00+00:00,2020-08-22 08:00:00+00:00,external,23,92
160,BEAR,2020-08-22 12:00:00+00:00,2020-08-23 16:00:00+00:00,external,8,32
161,SIDEWAYS,2020-08-23 20:00:00+00:00,2020-08-24 08:00:00+00:00,external,4,16
162,BULL,2020-08-24 12:00:00+00:00,2020-08-25 00:00:00+00:00,external,4,16
163,SIDEWAYS,2020-08-25 04:00:00+00:00,2020-08-26 00:00:00+00:00,external,6,24
164,BEAR,2020-08-26 04:00:00+00:00,2020-08-26 20:00:00+00:00,external,5,20
165,SIDEWAYS,2020-08-27 00:00:00+00:00,2020-08-28 00:00:00+00:00,external,7,28
166,BEAR,2020-08-28 04:00:00+00:00,2020-08-28 08:00:00+00:00,external,2,8
167,SIDEWAYS,2020-08-28 12:00:00+00:00,2020-08-28 20:00:00+00:00,external,3,12
168,BULL,2020-08-29 00:00:00+00:00,2020-08-29 08:00:00+00:00,external,3,12
169,SIDEWAYS,2020-08-29 12:00:00+00:00,2020-08-29 12:00:00+00:00,external,1,4
170,BULL,2020-08-29 16:00:00+00:00,2020-08-29 20:00:00+00:00,external,2,8
171,SIDEWAYS,2020-08-30 00:00:00+00:00,2020-08-30 00:00:00+00:00,external,1,4
172,BULL,2020-08-30 04:00:00+00:00,2020-09-02 04:00:00+00:00,external,19,76
173,SIDEWAYS,2020-09-02 08:00:00+00:00,2020-09-04 04:00:00+00:00,external,12,48
174,BEAR,2020-09-04 08:00:00+00:00,2020-09-07 20:00:00+00:00,external,22,88
175,SIDEWAYS,2020-09-08 00:00:00+00:00,2020-09-08 00:00:00+00:00,external,1,4
176,BEAR,2020-09-08 04:00:00+00:00,2020-09-09 08:00:00+00:00,external,8,32
177,SIDEWAYS,2020-09-09 12:00:00+00:00,2020-09-10 00:00:00+00:00,external,4,16
178,BULL,2020-09-10 04:00:00+00:00,2020-09-11 00:00:00+00:00,external,6,24
179,SIDEWAYS,2020-09-11 04:00:00+00:00,2020-09-11 12:00:00+00:00,external,3,12
180,BULL,2020-09-11 16:00:00+00:00,2020-09-13 08:00:00+00:00,external,11,44
181,SIDEWAYS,2020-09-13 12:00:00+00:00,2020-09-14 04:00:00+00:00,external,5,20
182,BULL,2020-09-14 08:00:00+00:00,2020-09-20 12:00:00+00:00,external,38,152
183,SIDEWAYS,2020-09-20 16:00:00+00:00,2020-09-21 00:00:00+00:00,external,3,12
184,BULL,2020-09-21 04:00:00+00:00,2020-09-21 04:00:00+00:00,external,1,4
185,SIDEWAYS,2020-09-21 08:00:00+00:00,2020-09-21 20:00:00+00:00,external,4,16
186,BEAR,2020-09-22 00:00:00+00:00,2020-09-23 12:00:00+00:00,external,10,40
187,SIDEWAYS,2020-09-23 16:00:00+00:00,2020-09-24 04:00:00+00:00,external,4,16
188,BEAR,2020-09-24 08:00:00+00:00,2020-09-24 12:00:00+00:00,external,2,8
189,SIDEWAYS,2020-09-24 16:00:00+00:00,2020-09-24 20:00:00+00:00,external,2,8
190,BULL,2020-09-25 00:00:00+00:00,2020-09-27 08:00:00+00:00,external,15,60
191,SIDEWAYS,2020-09-27 12:00:00+00:00,2020-09-27 12:00:00+00:00,external,1,4
192,BULL,2020-09-27 16:00:00+00:00,2020-09-28 20:00:00+00:00,external,8,32
193,SIDEWAYS,2020-09-29 00:00:00+00:00,2020-09-29 08:00:00+00:00,external,3,12
194,BULL,2020-09-29 12:00:00+00:00,2020-09-29 12:00:00+00:00,external,1,4
195,SIDEWAYS,2020-09-29 16:00:00+00:00,2020-09-29 20:00:00+00:00,external,2,8
196,BULL,2020-09-30 00:00:00+00:00,2020-09-30 00:00:00+00:00,external,1,4
197,SIDEWAYS,2020-09-30 04:00:00+00:00,2020-09-30 20:00:00+00:00,external,5,20
198,BULL,2020-10-01 00:00:00+00:00,2020-10-01 12:00:00+00:00,external,4,16
199,SIDEWAYS,2020-10-01 16:00:00+00:00,2020-10-02 16:00:00+00:00,external,7,28
200,BEAR,2020-10-02 20:00:00+00:00,2020-10-04 04:00:00+00:00,external,9,36
201,SIDEWAYS,2020-10-04 08:00:00+00:00,2020-10-04 20:00:00+00:00,external,4,16
202,BULL,2020-10-05 00:00:00+00:00,2020-10-06 16:00:00+00:00,external,11,44
203,SIDEWAYS,2020-10-06 20:00:00+00:00,2020-10-08 12:00:00+00:00,external,11,44
204,BULL,2020-10-08 16:00:00+00:00,2020-10-14 08:00:00+00:00,external,35,140
205,SIDEWAYS,2020-10-14 12:00:00+00:00,2020-10-14 20:00:00+00:00,external,3,12
206,BULL,2020-10-15 00:00:00+00:00,2020-10-15 08:00:00+00:00,external,3,12
207,SIDEWAYS,2020-10-15 12:00:00+00:00,2020-10-15 12:00:00+00:00,external,1,4
208,BULL,2020-10-15 16:00:00+00:00,2020-10-16 04:00:00+00:00,external,4,16
209,SIDEWAYS,2020-10-16 08:00:00+00:00,2020-10-18 04:00:00+00:00,external,12,48
210,BULL,2020-10-18 08:00:00+00:00,2020-10-28 12:00:00+00:00,external,62,248
211,SIDEWAYS,2020-10-28 16:00:00+00:00,2020-10-29 12:00:00+00:00,external,6,24
212,BULL,2020-10-29 16:00:00+00:00,2020-10-30 04:00:00+00:00,external,4,16
213,SIDEWAYS,2020-10-30 08:00:00+00:00,2020-10-30 08:00:00+00:00,external,1,4
214,BULL,2020-10-30 12:00:00+00:00,2020-11-02 08:00:00+00:00,external,18,72
215,SIDEWAYS,2020-11-02 12:00:00+00:00,2020-11-03 16:00:00+00:00,external,8,32
216,BULL,2020-11-03 20:00:00+00:00,2020-11-04 04:00:00+00:00,external,3,12
217,SIDEWAYS,2020-11-04 08:00:00+00:00,2020-11-04 08:00:00+00:00,external,1,4
218,BULL,2020-11-04 12:00:00+00:00,2020-11-07 16:00:00+00:00,external,20,80
219,SIDEWAYS,2020-11-07 20:00:00+00:00,2020-11-08 08:00:00+00:00,external,4,16
220,BULL,2020-11-08 12:00:00+00:00,2020-11-09 12:00:00+00:00,external,7,28
221,SIDEWAYS,2020-11-09 16:00:00+00:00,2020-11-09 16:00:00+00:00,external,1,4
222,BULL,2020-11-09 20:00:00+00:00,2020-11-10 12:00:00+00:00,external,5,20
223,SIDEWAYS,2020-11-10 16:00:00+00:00,2020-11-10 16:00:00+00:00,external,1,4
224,BULL,2020-11-10 20:00:00+00:00,2020-11-14 08:00:00+00:00,external,22,88
225,SIDEWAYS,2020-11-14 12:00:00+00:00,2020-11-14 20:00:00+00:00,external,3,12
226,BULL,2020-11-15 00:00:00+00:00,2020-11-15 00:00:00+00:00,external,1,4
227,SIDEWAYS,2020-11-15 04:00:00+00:00,2020-11-15 04:00:00+00:00,external,1,4
228,BULL,2020-11-15 08:00:00+00:00,2020-11-15 08:00:00+00:00,external,1,4
229,SIDEWAYS,2020-11-15 12:00:00+00:00,2020-11-15 12:00:00+00:00,external,1,4
230,BULL,2020-11-15 16:00:00+00:00,2020-11-15 16:00:00+00:00,external,1,4
231,SIDEWAYS,2020-11-15 20:00:00+00:00,2020-11-16 00:00:00+00:00,external,2,8
232,BULL,2020-11-16 04:00:00+00:00,2020-11-22 08:00:00+00:00,external,38,152
233,SIDEWAYS,2020-11-22 12:00:00+00:00,2020-11-22 12:00:00+00:00,external,1,4
234,BULL,2020-11-22 16:00:00+00:00,2020-11-23 12:00:00+00:00,external,6,24
235,SIDEWAYS,2020-11-23 16:00:00+00:00,2020-11-23 16:00:00+00:00,external,1,4
236,BULL,2020-11-23 20:00:00+00:00,2020-11-24 00:00:00+00:00,external,2,8
237,SIDEWAYS,2020-11-24 04:00:00+00:00,2020-11-24 04:00:00+00:00,external,1,4
238,BULL,2020-11-24 08:00:00+00:00,2020-11-25 20:00:00+00:00,external,10,40
239,SIDEWAYS,2020-11-26 00:00:00+00:00,2020-11-29 00:00:00+00:00,external,19,76
240,BULL,2020-11-29 04:00:00+00:00,2020-12-02 00:00:00+00:00,external,18,72
241,SIDEWAYS,2020-12-02 04:00:00+00:00,2020-12-02 04:00:00+00:00,external,1,4
242,BULL,2020-12-02 08:00:00+00:00,2020-12-04 08:00:00+00:00,external,13,52
243,SIDEWAYS,2020-12-04 12:00:00+00:00,2020-12-05 16:00:00+00:00,external,8,32
244,BULL,2020-12-05 20:00:00+00:00,2020-12-07 08:00:00+00:00,external,10,40
245,SIDEWAYS,2020-12-07 12:00:00+00:00,2020-12-07 12:00:00+00:00,external,1,4
246,BULL,2020-12-07 16:00:00+00:00,2020-12-07 16:00:00+00:00,external,1,4
247,SIDEWAYS,2020-12-07 20:00:00+00:00,2020-12-07 20:00:00+00:00,external,1,4
248,BULL,2020-12-08 00:00:00+00:00,2020-12-08 08:00:00+00:00,external,3,12
249,SIDEWAYS,2020-12-08 12:00:00+00:00,2020-12-12 16:00:00+00:00,external,26,104
250,BULL,2020-12-12 20:00:00+00:00,2020-12-21 08:00:00+00:00,external,52,208
251,SIDEWAYS,2020-12-21 12:00:00+00:00,2020-12-22 12:00:00+00:00,external,7,28
252,BULL,2020-12-22 16:00:00+00:00,2020-12-23 08:00:00+00:00,external,5,20
253,SIDEWAYS,2020-12-23 12:00:00+00:00,2020-12-23 12:00:00+00:00,external,1,4
254,BULL,2020-12-23 16:00:00+00:00,2020-12-23 20:00:00+00:00,external,2,8
255,SIDEWAYS,2020-12-24 00:00:00+00:00,2020-12-24 16:00:00+00:00,external,5,20
256,BULL,2020-12-24 20:00:00+00:00,2021-01-04 08:00:00+00:00,external,64,256
257,SIDEWAYS,2021-01-04 12:00:00+00:00,2021-01-04 12:00:00+00:00,external,1,4
258,BULL,2021-01-04 16:00:00+00:00,2021-01-05 00:00:00+00:00,external,3,12
259,SIDEWAYS,2021-01-05 04:00:00+00:00,2021-01-05 08:00:00+00:00,external,2,8
260,BULL,2021-01-05 12:00:00+00:00,2021-01-10 08:00:00+00:00,external,30,120
261,SIDEWAYS,2021-01-10 12:00:00+00:00,2021-01-10 12:00:00+00:00,external,1,4
262,BULL,2021-01-10 16:00:00+00:00,2021-01-10 16:00:00+00:00,external,1,4
263,SIDEWAYS,2021-01-10 20:00:00+00:00,2021-01-14 00:00:00+00:00,external,20,80
264,BULL,2021-01-14 04:00:00+00:00,2021-01-15 12:00:00+00:00,external,9,36
265,SIDEWAYS,2021-01-15 16:00:00+00:00,2021-01-16 08:00:00+00:00,external,5,20
266,BULL,2021-01-16 12:00:00+00:00,2021-01-16 16:00:00+00:00,external,2,8
267,SIDEWAYS,2021-01-16 20:00:00+00:00,2021-01-19 04:00:00+00:00,external,15,60
268,BULL,2021-01-19 08:00:00+00:00,2021-01-19 16:00:00+00:00,external,3,12
269,SIDEWAYS,2021-01-19 20:00:00+00:00,2021-01-22 08:00:00+00:00,external,16,64
270,BEAR,2021-01-22 12:00:00+00:00,2021-01-22 16:00:00+00:00,external,2,8
271,SIDEWAYS,2021-01-22 20:00:00+00:00,2021-01-22 20:00:00+00:00,external,1,4
272,BEAR,2021-01-23 00:00:00+00:00,2021-01-23 20:00:00+00:00,external,6,24
273,SIDEWAYS,2021-01-24 00:00:00+00:00,2021-01-25 08:00:00+00:00,external,9,36
274,BULL,2021-01-25 12:00:00+00:00,2021-01-25 20:00:00+00:00,external,3,12
275,SIDEWAYS,2021-01-26 00:00:00+00:00,2021-01-27 20:00:00+00:00,external,12,48
276,BEAR,2021-01-28 00:00:00+00:00,2021-01-28 12:00:00+00:00,external,4,16
277,SIDEWAYS,2021-01-28 16:00:00+00:00,2021-01-28 20:00:00+00:00,external,2,8
278,BULL,2021-01-29 00:00:00+00:00,2021-01-31 04:00:00+00:00,external,14,56
279,SIDEWAYS,2021-01-31 08:00:00+00:00,2021-02-01 04:00:00+00:00,external,6,24
280,BULL,2021-02-01 08:00:00+00:00,2021-02-01 12:00:00+00:00,external,2,8
281,SIDEWAYS,2021-02-01 16:00:00+00:00,2021-02-01 16:00:00+00:00,external,1,4
282,BULL,2021-02-01 20:00:00+00:00,2021-02-01 20:00:00+00:00,external,1,4
283,SIDEWAYS,2021-02-02 00:00:00+00:00,2021-02-02 00:00:00+00:00,external,1,4
284,BULL,2021-02-02 04:00:00+00:00,2021-02-07 12:00:00+00:00,external,33,132
285,SIDEWAYS,2021-02-07 16:00:00+00:00,2021-02-07 20:00:00+00:00,external,2,8
286,BULL,2021-02-08 00:00:00+00:00,2021-02-08 00:00:00+00:00,external,1,4
