i,period,date,parent_pnl,parent_win,parent_reason,parent_mfe,parent_mae,watch2,cp2_progress,cp2_taker,persistent4,cp4_progress,cp4_taker,candidate6,cp6_progress,cp6_taker,cut6_pnl,cut6_layer,confirm7_pnl,confirm7_layer,cp7_progress,flow67,bearish_price_repair7,seller_flow_repair7
33,D,2024-07-21,-7.746752069613234,False,SL,0.0028310238270349286,0.014372314084867721,False,-0.00010485273433458175,-0.2603894873327418,False,,,False,,,-7.746752069613234,PARENT,-7.746752069613234,PARENT,,,,
34,D,2024-07-28,-7.750000000000006,False,SL,0.0009175170030153446,0.0140196004198605,False,-0.0025907235764752734,-0.18113389340107722,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
35,D,2024-08-04,11.75000000000001,True,TP,0.0252342900935838,0.008588709810618989,True,-0.004021828536318717,0.2856527024932165,True,-0.00805026377249174,0.14923559752567717,False,0.016196324692871022,-0.12509584388937467,11.75000000000001,REPAIRED6_HOLD,11.75000000000001,REPAIRED6_HOLD,,,,
36,D,2024-08-11,11.75000000000001,True,TP,0.025177171173731416,0.01264003423376625,False,0.003632437800219157,-0.11306254736735155,False,,,False,,,11.75000000000001,PARENT,11.75000000000001,PARENT,,,,
37,D,2024-08-18,11.716524105054496,True,TP,0.02517775241848863,0.00962368267150615,False,-0.002622507989013867,-0.15237373335551763,False,,,False,,,11.716524105054496,PARENT,11.716524105054496,PARENT,,,,
38,D,2024-08-25,-7.734413776197084,False,SL,0.0027929988828004904,0.015337240923927187,False,0.0009591643222166546,-0.08910894245420586,False,,,False,,,-7.734413776197084,PARENT,-7.734413776197084,PARENT,,,,
39,D,2024-09-01,5.567777387066816,True,TIMEOUT,0.01913859157833253,0.009967873279846051,False,0.005291459790059627,-0.07415606427485211,False,,,False,,,5.567777387066816,PARENT,5.567777387066816,PARENT,,,,
40,D,2024-09-08,-7.775843393449373,False,SL,0.015779770015315275,0.014387815439310447,False,-0.0021687313380760465,-0.1677922034865289,False,,,False,,,-7.775843393449373,PARENT,-7.775843393449373,PARENT,,,,
41,D,2024-09-15,11.76384044280592,True,TP,0.026366499506179752,0.005451175092143767,False,0.0014106768417493365,0.05917954217112764,False,,,False,,,11.76384044280592,PARENT,11.76384044280592,PARENT,,,,
42,D,2024-09-22,-7.722479837704294,False,SL,0.010479498152357491,0.014298594267863729,False,0.005809597582191572,0.05582831034632907,False,,,False,,,-7.722479837704294,PARENT,-7.722479837704294,PARENT,,,,
43,D,2024-09-29,8.314167261394882,True,TIMEOUT,0.018639776963585653,0.00804798884207547,True,-0.0002762013614743264,0.3137318015076025,False,-0.001054448291595289,0.009113771275734761,False,,,8.314167261394882,REPAIRED4_HOLD,8.314167261394882,REPAIRED4_HOLD,,,,
44,D,2024-10-06,-7.728854171615975,False,SL,0.00033085007488509177,0.014305634457470351,False,-0.0004631901048393061,-0.15026719784928966,False,,,False,,,-7.728854171615975,PARENT,-7.728854171615975,PARENT,,,,
45,D,2024-10-13,0.9220432701156257,True,TIMEOUT,0.012195452149135866,0.00529738459553708,False,0.0018443690203341356,-0.29003171311493636,False,,,False,,,0.9220432701156257,PARENT,0.9220432701156257,PARENT,,,,
46,D,2024-10-20,-7.699830489139026,False,SL,0.0028739330614919734,0.015394920816928392,False,0.0003378516728775871,-0.285352989594589,False,,,False,,,-7.699830489139026,PARENT,-7.699830489139026,PARENT,,,,
47,D,2024-10-27,-7.699576654611487,False,SL,0.002677441919304635,0.01457635695256787,False,0.0019154351029154748,-0.1651745863491707,False,,,False,,,-7.699576654611487,PARENT,-7.699576654611487,PARENT,,,,
48,D,2024-11-03,-6.655213148658573,False,TIMEOUT,0.014893458533614345,0.012877868381963031,False,0.0004995158201918093,-0.09391051834338238,False,,,False,,,-6.655213148658573,PARENT,-6.655213148658573,PARENT,,,,
49,D,2024-11-10,-7.678931410576727,False,SL,0.00022988476710283923,0.017984062164882797,True,-0.005369451345899501,0.05715687794007418,True,-0.006781600629530482,0.06064328345583747,False,-0.004755583231548233,-0.07679592360099352,-7.678931410576727,REPAIRED6_HOLD,-7.678931410576727,REPAIRED6_HOLD,,,,
50,D,2024-11-17,11.75000000000001,True,TP,0.025401734672247378,0.005389411623863749,False,-0.0009335642715069259,-0.19354031109662995,False,,,False,,,11.75000000000001,PARENT,11.75000000000001,PARENT,,,,
51,D,2024-11-24,3.1542166717734283,True,TIMEOUT,0.023595417459345347,0.002975411080553103,False,0.004019861887939125,-0.07696004994605565,False,,,False,,,3.1542166717734283,PARENT,3.1542166717734283,PARENT,,,,
52,D,2024-12-01,-3.9466591692490307,False,TIMEOUT,0.005303805042425336,0.012007196697016775,False,0.002394436257017296,-0.03790053578281716,False,,,False,,,-3.9466591692490307,PARENT,-3.9466591692490307,PARENT,,,,
53,D,2024-12-08,-7.750000000000006,False,SL,0.00328269441457274,0.014515143712544587,False,-0.0026980496695596656,-0.21233436111388793,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
54,D,2024-12-15,-7.699652609206941,False,SL,0.0009278139193665824,0.015092178214811458,True,-0.00265397935074585,0.022894940879579107,True,-0.009477236683761436,0.14671018522538826,True,-0.009863662354195446,0.04022144443723663,-5.681831177097723,CUT6,-7.699652609206941,RECOVERY7_HOLD,-0.006947815861302553,-0.03412440995999322,True,True
55,D,2024-12-22,11.846863419791195,True,TP,0.02736110650573642,0.008460648915710633,False,-0.004812155978513033,-0.02301362420053399,False,,,False,,,11.846863419791195,PARENT,11.846863419791195,PARENT,,,,
56,D,2024-12-29,5.710316441273837,True,TIMEOUT,0.02236856496243511,0.0017078772684058219,True,-0.00043853745130872923,0.03601423890537214,False,0.0023998620237083435,-0.09407427005662605,False,,,5.710316441273837,REPAIRED4_HOLD,5.710316441273837,REPAIRED4_HOLD,,,,
57,D,2025-01-05,-7.658068585517747,False,SL,0.006122100588903279,0.014557494487656086,False,0.0013503581362399597,0.15043446959060414,False,,,False,,,-7.658068585517747,PARENT,-7.658068585517747,PARENT,,,,
58,D,2025-01-12,-7.6900201623006295,False,SL,0.005120922169630893,0.015128017743182731,False,0.0018163818523271313,0.013499021790289278,False,,,False,,,-7.6900201623006295,PARENT,-7.6900201623006295,PARENT,,,,
59,D,2025-01-19,-7.699749744764567,False,SL,0.009144420160630662,0.01401735792532377,True,-0.003881685684021363,0.12369805916854348,True,-0.0049485985515269615,0.04257708171518737,False,-0.006887047064840335,-0.05973159257335736,-7.699749744764567,REPAIRED6_HOLD,-7.699749744764567,REPAIRED6_HOLD,,,,
60,D,2025-01-26,11.836547361904772,True,TP,0.026142857142857134,0.0022571428571429575,False,0.00319523809523814,0.08371082347734515,False,,,False,,,11.836547361904772,PARENT,11.836547361904772,PARENT,,,,
61,D,2025-02-02,11.745715860129232,True,TP,0.027270422250083026,0.00042392372980715187,False,0.004126992717130684,0.015406003607177476,False,,,False,,,11.745715860129232,PARENT,11.745715860129232,PARENT,,,,
62,D,2025-02-09,5.805944460148311,True,TIMEOUT,0.0245495825097235,0.0006142290909616488,False,0.0031041241979465894,0.03250697528057023,False,,,False,,,5.805944460148311,PARENT,5.805944460148311,PARENT,,,,
63,D,2025-02-16,4.09951627841965,True,TIMEOUT,0.011535178536310142,0.002416590558307563,False,-0.00020387086942696975,-0.06608194363145581,False,,,False,,,4.09951627841965,PARENT,4.09951627841965,PARENT,,,,
64,D,2025-02-23,1.9918075758504448,True,TIMEOUT,0.011778068953201326,0.0016134625487724819,False,0.0017442838365108182,-0.25044502106083777,False,,,False,,,1.9918075758504448,PARENT,1.9918075758504448,PARENT,,,,
65,D,2025-03-02,-7.750000000000006,False,SL,0.007918911097211545,0.01860582353874718,True,-0.0029920554160403068,0.13021500104863515,True,-0.0029115359840174992,0.1378926736871604,False,0.007203571795326602,-0.034321891261350324,-7.750000000000006,REPAIRED6_HOLD,-7.750000000000006,REPAIRED6_HOLD,,,,
66,D,2025-03-09,11.749999999999956,True,TP,0.02750807551922374,0.0011544785605168695,False,0.010918568446585009,-0.10152140388383557,False,,,False,,,11.749999999999956,PARENT,11.749999999999956,PARENT,,,,
67,D,2025-03-16,11.756165329115818,True,TP,0.02578926183581076,0.010863073505332999,False,0.007055239126537272,0.12789623415335583,False,,,False,,,11.756165329115818,PARENT,11.756165329115818,PARENT,,,,
68,D,2025-03-23,-7.729697470657882,False,SL,0.0005753357707007911,0.016184135916847753,True,-0.0015314607834528982,0.3124342981417978,True,-0.004600313646964338,0.12811351081620437,False,-0.006683385014697674,-0.14358706342712213,-7.729697470657882,REPAIRED6_HOLD,-7.729697470657882,REPAIRED6_HOLD,,,,
69,D,2025-03-30,11.785822489218821,True,TP,0.02540928922145058,0.0018046642892453058,False,0.0030717690029710143,-0.028513997011801573,False,,,False,,,11.785822489218821,PARENT,11.785822489218821,PARENT,,,,
70,D,2025-04-06,11.749999999999956,True,TP,0.026064880248792388,0.0018194327466567461,False,0.0019820972637418777,0.19467523057517755,False,,,False,,,11.749999999999956,PARENT,11.749999999999956,PARENT,,,,
71,D,2025-04-13,-3.3074633054662734,False,TIMEOUT,0.01947428987308575,0.010574221583699472,False,-0.00013941431808683902,0.1344236432708854,False,,,False,,,-3.3074633054662734,PARENT,-3.3074633054662734,PARENT,,,,
72,D,2025-04-20,-7.734924777346891,False,SL,0.008329324493792867,0.02041375951927038,False,0.005544609223837371,-0.11646875951280244,False,,,False,,,-7.734924777346891,PARENT,-7.734924777346891,PARENT,,,,
73,D,2025-04-27,2.4438774637951184,True,TIMEOUT,0.015560933804703025,0.003744479123413802,False,0.0016545372870898634,0.029769015860411363,False,,,False,,,2.4438774637951184,PARENT,2.4438774637951184,PARENT,,,,
74,D,2025-05-04,6.553120373185786,True,TIMEOUT,0.02252545803542938,0.0010617321401487079,False,0.002541880887252379,0.06352826525868527,False,,,False,,,6.553120373185786,PARENT,6.553120373185786,PARENT,,,,
75,D,2025-05-11,-1.0780855701125462,False,TIMEOUT,0.0027123667543810237,0.013552198366027834,True,-0.007940537983251783,0.16169779146362484,False,-0.0074944186911458655,-0.0808583945108522,False,,,-1.0780855701125462,REPAIRED4_HOLD,-1.0780855701125462,REPAIRED4_HOLD,,,,
76,D,2025-05-18,-7.750000000000006,False,SL,0.002008293114519888,0.015464627180504786,False,0.00048811342716281736,0.07058267900789783,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
77,D,2025-05-25,-7.731768410119812,False,SL,0.005307975599937675,0.014717186614150446,False,0.0015121612698045794,0.0020461904484039284,False,,,False,,,-7.731768410119812,PARENT,-7.731768410119812,PARENT,,,,
78,D,2025-06-01,-7.72935163282626,False,SL,0.00612021732234258,0.014192655547537125,False,0.0043596725022450045,-0.036380671302499445,False,,,False,,,-7.72935163282626,PARENT,-7.72935163282626,PARENT,,,,
79,D,2025-06-08,-1.660981948655184,False,TIMEOUT,0.0037938990002563955,0.010971545757498147,False,0.0002715353138321719,0.043377615941674996,False,,,False,,,-1.660981948655184,PARENT,-1.660981948655184,PARENT,,,,
80,D,2025-06-15,-3.4910253744756665,False,TIMEOUT,0.007130785917601301,0.007392317809751248,False,0.0007085136714607421,0.11370248812337813,False,,,False,,,-3.4910253744756665,PARENT,-3.4910253744756665,PARENT,,,,
81,D,2025-06-22,11.75000000000001,True,TP,0.02603505689416219,0.001135643123661323,False,0.002173889753012359,0.08593480672475695,False,,,False,,,11.75000000000001,PARENT,11.75000000000001,PARENT,,,,
82,D,2025-06-29,-4.381991685559789,False,TIMEOUT,0.004218915454494709,0.0104581173716769,False,-0.004305300117037225,-0.11662017737270103,False,,,False,,,-4.381991685559789,PARENT,-4.381991685559789,PARENT,,,,
83,V,2025-07-06,-7.750000000000006,False,SL,0.001943434747649908,0.01603935779578558,False,0.00015932830152320943,0.35508626134799104,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
84,V,2025-07-13,-7.750000000000006,False,SL,0.0018174798800225656,0.01526869768487682,False,0.0011845013597159282,-0.08747631760667451,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
85,V,2025-07-20,-0.7827293704565691,False,TIMEOUT,0.0149513613077763,0.006096342871460436,False,0.002170372552405486,-0.26647054962728733,False,,,False,,,-0.7827293704565691,PARENT,-0.7827293704565691,PARENT,,,,
86,V,2025-07-27,-7.750000000000006,False,SL,0.0008547950781442326,0.01546772046165712,True,-0.0019750175962280903,0.054067113366606856,False,-0.0012092636720573147,-0.019694215769632928,False,,,-7.750000000000006,REPAIRED4_HOLD,-7.750000000000006,REPAIRED4_HOLD,,,,
87,V,2025-08-03,-5.651404335938886,False,TIMEOUT,0.0009794009023158523,0.011637535429585677,True,-0.0018048079520665006,0.28546661473359136,True,-0.002781568959767222,0.07564851635429526,False,-0.000803407927955524,0.011039659920358602,-5.651404335938886,REPAIRED6_HOLD,-5.651404335938886,REPAIRED6_HOLD,,,,
88,V,2025-08-10,-7.699582515274662,False,SL,0.0031851442235333316,0.015451373915807975,False,0.002423313869032828,-0.06459492588967986,False,,,False,,,-7.699582515274662,PARENT,-7.699582515274662,PARENT,,,,
89,V,2025-08-17,11.764113368640444,True,TP,0.02605226171933428,0.0019801612018555126,True,-0.0001918466038501876,0.0024789975646053453,False,0.0018119784962775665,-0.31783305983663923,False,,,11.764113368640444,REPAIRED4_HOLD,11.764113368640444,REPAIRED4_HOLD,,,,
90,V,2025-08-24,11.75000000000001,True,TP,0.03769137907908093,0.0019336058962786673,False,0.00048601445501050833,0.023443893274930572,False,,,False,,,11.75000000000001,PARENT,11.75000000000001,PARENT,,,,
91,V,2025-08-31,5.58112120963509,True,TIMEOUT,0.014546859499050657,0.002123615726503214,False,0.0040242242699727315,0.230185853393283,False,,,False,,,5.58112120963509,PARENT,5.58112120963509,PARENT,,,,
92,V,2025-09-07,-1.5126593889812927,False,TIMEOUT,0.004109966601454906,0.004834142176201706,True,-0.0013285559362581356,0.22792904767735123,False,-0.000463868682829105,-0.1101571831025443,False,,,-1.5126593889812927,REPAIRED4_HOLD,-1.5126593889812927,REPAIRED4_HOLD,,,,
93,V,2025-09-14,1.703676977546282,True,TIMEOUT,0.009580860025214188,0.0019959046418374093,False,-0.000795600553296083,-0.021324107538468473,False,,,False,,,1.703676977546282,PARENT,1.703676977546282,PARENT,,,,
94,V,2025-09-21,5.571948990899242,True,TIMEOUT,0.01326404984811802,0.0010451354912610622,False,0.0010209104964307159,0.023745606300344946,False,,,False,,,5.571948990899242,PARENT,5.571948990899242,PARENT,,,,
95,V,2025-09-28,-7.723568284447585,False,SL,0.0029800105424039325,0.018493057452447337,False,0.0012725796093098207,-0.12019254665423906,False,,,False,,,-7.723568284447585,PARENT,-7.723568284447585,PARENT,,,,
96,V,2025-10-05,1.3133162360231827,True,TIMEOUT,0.019433139884894146,0.0005129193055120052,False,0.012843852593894756,-0.0658198323947109,False,,,False,,,1.3133162360231827,PARENT,1.3133162360231827,PARENT,,,,
97,V,2025-10-12,-7.750000000000006,False,SL,0.0015605336018122973,0.015146884326345589,True,-0.003107583330336894,0.016287256174792653,False,-0.00420067599151408,-0.06056824997868138,False,,,-7.750000000000006,REPAIRED4_HOLD,-7.750000000000006,REPAIRED4_HOLD,,,,
98,V,2025-10-19,-7.750000000000006,False,SL,0.003246203990180496,0.015015808092389893,False,,,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
99,V,2025-10-26,-7.750000000000006,False,SL,0.0005898875901614309,0.014674684602591359,True,-0.006346438564863499,0.005807922176186198,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
100,V,2025-11-02,7.46590396072586,True,TIMEOUT,0.01990601566525907,0.003702878101036422,False,0.0032101236669231925,-0.2994569112859238,False,,,False,,,7.46590396072586,PARENT,7.46590396072586,PARENT,,,,
101,V,2025-11-09,-7.750000000000006,False,SL,0.0047224598384906225,0.01875250151071639,False,0.0010692732081335476,0.09501552112463951,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
102,V,2025-11-16,11.784729702394339,True,TP,0.025041760552019898,0.005375532739752442,False,-0.0034261865981151107,-0.08277251726817547,False,,,False,,,11.784729702394339,PARENT,11.784729702394339,PARENT,,,,
103,V,2025-11-23,-7.750000000000006,False,SL,0.003740998838559828,0.015934959349593436,False,0.0008838559814170477,-0.1715762867710341,False,,,False,,,-7.750000000000006,PARENT,-7.750000000000006,PARENT,,,,
104,V,2025-11-30,11.767804910454666,True,TP,0.025516664728099547,0.00879816882213369,False,-0.0005793755472793816,-0.07029456921931354,False,,,False,,,11.767804910454666,PARENT,11.767804910454666,PARENT,,,,
105,V,2025-12-07,-7.723871222389762,False,SL,0.017714916869610353,0.015433059928710247,False,0.0008278312613280159,0.02252685034365287,False,,,False,,,-7.723871222389762,PARENT,-7.723871222389762,PARENT,,,,
106,V,2025-12-14,11.749999999999956,True,TP,0.028510429954603178,0.0004440876939968419,False,0.002812185322235594,-0.061583436574301875,False,,,False,,,11.749999999999956,PARENT,11.749999999999956,PARENT,,,,
107,V,2025-12-21,-0.18909471818690507,False,TIMEOUT,0.010852003751031014,0.012326430080556783,False,-0.001402117298805905,-0.04557581185474846,False,,,False,,,-0.18909471818690507,PARENT,-0.18909471818690507,PARENT,,,,
108,V,2025-12-28,-7.702665713065013,False,SL,0.004198420664660696,0.01670253648410469,False,-0.0006562524566742223,0.10725851257127217,False,,,False,,,-7.702665713065013,PARENT,-7.702665713065013,PARENT,,,,
109,V,2026-01-04,-7.705451499435543,False,SL,0.0058647237305599065,0.01727443644012583,True,-0.0024932740729060043,0.06050755953574205,False,0.0025107937853200424,-0.03600168410904847,False,,,-7.705451499435543,REPAIRED4_HOLD,-7.705451499435543,REPAIRED4_HOLD,,,,
110,V,2026-01-11,-7.741657827314814,False,SL,0.006397380225417804,0.015666199112123858,False,0.0007327347312957588,-0.07899586551287141,False,,,False,,,-7.741657827314814,PARENT,-7.741657827314814,PARENT,,,,
111,V,2026-01-18,11.782826582065171,True,TP,0.03520756699947447,0.0035733053074094023,False,0.00010614818707310736,0.3306824839646696,False,,,False,,,11.782826582065171,PARENT,11.782826582065171,PARENT,,,,
112,V,2026-01-25,11.75000000000001,True,TP,0.02530397745620916,0.007843190576387382,True,-0.004091557522585276,0.10706844826530793,True,-0.005632548447735086,0.017157850139677855,False,-0.004659231385452989,-0.10435018304964139,11.75000000000001,REPAIRED6_HOLD,11.75000000000001,REPAIRED6_HOLD,,,,
113,V,2026-02-01,11.75849958531986,True,TP,0.02580710029349098,0.00792400288145556,False,0.004219092443306316,-0.2010502671111537,False,,,False,,,11.75849958531986,PARENT,11.75849958531986,PARENT,,,,
114,V,2026-02-08,-7.774501854883021,False,SL,0.011119386500982542,0.02372551129637923,False,0.005568896868504258,0.12847360153607434,False,,,False,,,-7.774501854883021,PARENT,-7.774501854883021,PARENT,,,,
115,V,2026-02-15,11.738370127654115,True,TP,0.03200194304105819,0.0031659638293248804,False,0.00022157485750329275,0.01097291213725371,False,,,False,,,11.738370127654115,PARENT,11.738370127654115,PARENT,,,,
116,V,2026-02-22,11.774768737124381,True,TP,0.028113969662476257,0.004575220183391737,True,-0.0027580905708055603,0.16025809834446814,False,0.0002488613488875746,-0.22253511396573944,False,,,11.774768737124381,REPAIRED4_HOLD,11.774768737124381,REPAIRED4_HOLD,,,,
117,V,2026-03-01,1.4503456827234258,True,TIMEOUT,0.02290523784474341,0.01199368753287744,False,0.0015781167806417917,0.060735031285735985,False,,,False,,,1.4503456827234258,PARENT,1.4503456827234258,PARENT,,,,
