signal_ts,friday_wib,entry_ts,archetype,two_color,signal_body,signal_dominance,range_state,prior4_trend,range_location,trend_relation,signal_color,cont_pnl,cont_win,cont_reason,rev_pnl,rev_win,rev_reason,period
2026-04-10 08:30:00+00:00,2026-04-10,2026-04-10 08:45:00+00:00,GG|MEDIUM|BODY_BALANCED|NORMAL|DOWN|INSIDE|AGAINST,GG,MEDIUM,BODY_BALANCED,NORMAL,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 08:45:00+00:00,2026-04-10,2026-04-10 09:00:00+00:00,GR|MEDIUM|LOWER|EXPANDED|UP|INSIDE|AGAINST,GR,MEDIUM,LOWER,EXPANDED,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 09:00:00+00:00,2026-04-10,2026-04-10 09:15:00+00:00,RG|LARGE|BODY_BALANCED|NORMAL|UP|INSIDE|WITH,RG,LARGE,BODY_BALANCED,NORMAL,UP,INSIDE,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 09:15:00+00:00,2026-04-10,2026-04-10 09:30:00+00:00,GG|MEDIUM|UPPER|EXPANDED|UP|BREAK_HIGH|WITH,GG,MEDIUM,UPPER,EXPANDED,UP,BREAK_HIGH,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 09:30:00+00:00,2026-04-10,2026-04-10 09:45:00+00:00,GG|MEDIUM|UPPER|NORMAL|UP|INSIDE|WITH,GG,MEDIUM,UPPER,NORMAL,UP,INSIDE,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 09:45:00+00:00,2026-04-10,2026-04-10 10:00:00+00:00,GR|SMALL|LOWER|NORMAL|UP|INSIDE|AGAINST,GR,SMALL,LOWER,NORMAL,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 10:00:00+00:00,2026-04-10,2026-04-10 10:15:00+00:00,RG|SMALL|LOWER|NORMAL|UP|INSIDE|WITH,RG,SMALL,LOWER,NORMAL,UP,INSIDE,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 10:15:00+00:00,2026-04-10,2026-04-10 10:30:00+00:00,GR|LARGE|BODY_BALANCED|EXPANDED|UP|INSIDE|AGAINST,GR,LARGE,BODY_BALANCED,EXPANDED,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 10:30:00+00:00,2026-04-10,2026-04-10 10:45:00+00:00,RG|LARGE|BODY_BALANCED|NORMAL|DOWN|INSIDE|AGAINST,RG,LARGE,BODY_BALANCED,NORMAL,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 10:45:00+00:00,2026-04-10,2026-04-10 11:00:00+00:00,GG|MEDIUM|BODY_BALANCED|EXPANDED|DOWN|BREAK_HIGH|AGAINST,GG,MEDIUM,BODY_BALANCED,EXPANDED,DOWN,BREAK_HIGH,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 11:00:00+00:00,2026-04-10,2026-04-10 11:15:00+00:00,GG|LARGE|BODY_BALANCED|EXPANDED|UP|BREAK_HIGH|WITH,GG,LARGE,BODY_BALANCED,EXPANDED,UP,BREAK_HIGH,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 11:15:00+00:00,2026-04-10,2026-04-10 11:30:00+00:00,GG|MEDIUM|BODY_BALANCED|NORMAL|UP|BREAK_HIGH|WITH,GG,MEDIUM,BODY_BALANCED,NORMAL,UP,BREAK_HIGH,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 11:30:00+00:00,2026-04-10,2026-04-10 11:45:00+00:00,GR|SMALL|LOWER|NORMAL|UP|INSIDE|AGAINST,GR,SMALL,LOWER,NORMAL,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 11:45:00+00:00,2026-04-10,2026-04-10 12:00:00+00:00,RR|SMALL|UPPER|EXPANDED|UP|INSIDE|AGAINST,RR,SMALL,UPPER,EXPANDED,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 12:00:00+00:00,2026-04-10,2026-04-10 12:15:00+00:00,RR|SMALL|UPPER|EXPANDED|UP|INSIDE|AGAINST,RR,SMALL,UPPER,EXPANDED,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 12:15:00+00:00,2026-04-10,2026-04-10 12:30:00+00:00,RG|SMALL|UPPER|EXPANDED|DOWN|INSIDE|AGAINST,RG,SMALL,UPPER,EXPANDED,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 12:30:00+00:00,2026-04-10,2026-04-10 12:45:00+00:00,GG|SMALL|UPPER|EXPANDED|DOWN|INSIDE|AGAINST,GG,SMALL,UPPER,EXPANDED,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 12:45:00+00:00,2026-04-10,2026-04-10 13:00:00+00:00,GR|SMALL|UPPER|NORMAL|UP|INSIDE|AGAINST,GR,SMALL,UPPER,NORMAL,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 13:00:00+00:00,2026-04-10,2026-04-10 13:15:00+00:00,RR|MEDIUM|BODY_BALANCED|NORMAL|UP|INSIDE|AGAINST,RR,MEDIUM,BODY_BALANCED,NORMAL,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 13:15:00+00:00,2026-04-10,2026-04-10 13:30:00+00:00,RG|MEDIUM|BODY_BALANCED|NORMAL|UP|INSIDE|WITH,RG,MEDIUM,BODY_BALANCED,NORMAL,UP,INSIDE,WITH,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 13:30:00+00:00,2026-04-10,2026-04-10 13:45:00+00:00,GR|MEDIUM|BODY_BALANCED|EXPANDED|UP|INSIDE|AGAINST,GR,MEDIUM,BODY_BALANCED,EXPANDED,UP,INSIDE,AGAINST,R,-7.249999999999999,0,SL,5.75,1,TP,validation
2026-04-10 13:45:00+00:00,2026-04-10,2026-04-10 14:00:00+00:00,RG|LARGE|BODY_BALANCED|EXPANDED|DOWN|INSIDE|AGAINST,RG,LARGE,BODY_BALANCED,EXPANDED,DOWN,INSIDE,AGAINST,G,5.75,1,TP,-7.249999999999999,0,SL,validation
2026-04-10 14:00:00+00:00,2026-04-10,2026-04-10 14:15:00+00:00,GG|LARGE|BODY_BALANCED|EXPANDED|UP|BREAK_HIGH|WITH,GG,LARGE,BODY_BALANCED,EXPANDED,UP,BREAK_HIGH,WITH,G,2.9084543529207814,1,TIME,-4.408454352920781,0,TIME,validation
