pair,f1,f2,partition,b1,b2,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,LOW,LOW,1744,0.3038990825688073,0.49713302752293576,-0.19323394495412843,0.1966743119266055,0.0022935779816513763,-0.0009674574213513476,0.007954750853191306,-0.011511846354398836
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,LOW,MID,2193,0.25398996808025537,0.4222526219790242,-0.16826265389876882,0.3228454172366621,0.0009119927040583675,-0.0010999587515467812,0.0057368232341341585,-0.008993884158772003
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,MID,HIGH,6361,0.24728816223864172,0.2207200125766389,0.026568149662002827,0.5319918251847194,0.0,0.00013299640909703037,0.005362521119518293,-0.00526653821451506
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,MID,LOW,2406,0.3104738154613466,0.33541147132169574,-0.02493765586034913,0.35369908561928515,0.00041562759767248546,-0.00010774145911768285,0.006892321523431555,-0.0075348836032710365
oi_chg_15m__X__dist_high_24h,oi_chg_15m,dist_high_24h,validation_2026,MID,MID,4013,0.25292798405183153,0.3184649887864441,-0.06553700473461255,0.42785945676551207,0.00074757039621231,-0.00036487472634394447,0.005575197171607149,-0.006611133148221593
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,HIGH,HIGH,9553,0.4941903067099341,0.4411179734114938,0.0530723332984403,0.06354024913639694,0.0011514707421752329,-3.970617431003909e-05,0.014079758048860302,-0.012578112481974046
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,HIGH,LOW,6235,0.4054530874097835,0.39037690457097035,0.015076182838813124,0.20400962309542903,0.00016038492381716118,0.0009840582562488098,0.009383610607921922,-0.008745486692092408
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,HIGH,MID,7578,0.4476115069939298,0.4016891000263922,0.04592240696753763,0.15017154922143044,0.0005278437582475588,0.0003078706560297739,0.010430588095774462,-0.009712425388842816
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,LOW,HIGH,7980,0.44047619047619047,0.48834586466165414,-0.04786967418546367,0.07005012531328321,0.0011278195488721805,0.00016479412648984226,0.013013073917722662,-0.013199188528761563
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,LOW,LOW,7804,0.35802152742183496,0.4588672475653511,-0.10084572014351612,0.1814454126089185,0.0016658124038954382,0.0006906093497699439,0.008812508246290318,-0.010570620911528716
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,LOW,MID,7582,0.3919810076496966,0.4509364283830124,-0.05895542073331578,0.15668689000263783,0.0003956739646531258,-7.227771764628521e-05,0.009626431844229288,-0.010572556879467176
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,MID,HIGH,5842,0.4512153372132831,0.42930503252310853,0.021910304690174576,0.11913728175282437,0.00034234851078397807,-0.0001711658731002319,0.011153196918784136,-0.010551478179856744
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,MID,LOW,9308,0.33444348947142244,0.3752685861624409,-0.04082509669101847,0.29028792436613665,0.0,0.0004926602470108898,0.007291693766029894,-0.007917888996683775
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,development,MID,MID,8216,0.3871713729308666,0.39629990262901654,-0.009128529698149923,0.21640701071080817,0.00012171372930866602,-0.00027508827745353903,0.008498516573621218,-0.00883937114888389
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,HIGH,HIGH,3405,0.5254038179148312,0.3750367107195301,0.15036710719530105,0.09779735682819383,0.001762114537444934,0.0005926803970959238,0.012726893386188376,-0.010135135135135198
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,HIGH,LOW,3622,0.4583103257868581,0.3522915516289343,0.10601877415792382,0.18939812258420763,0.0,0.0021696113727541766,0.01023267525435212,-0.007766222304311898
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,HIGH,MID,3422,0.4734073641145529,0.36236119228521335,0.11104617182933957,0.16306253652834599,0.0011689070718877848,0.000997836202099034,0.010815167144030635,-0.00867221392409423
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,LOW,HIGH,3123,0.366954851104707,0.52129362792187,-0.15433877681716296,0.11079090617995517,0.0009606147934678194,-0.0020108008732621085,0.009610685779442907,-0.012560540741923365
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,LOW,LOW,4506,0.32956058588548603,0.4928983577452286,-0.16333777185974258,0.17643142476697737,0.0011096316023080338,-3.231435403605598e-05,0.007848454809098016,-0.01101663535927988
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,LOW,MID,3722,0.3363782912412681,0.49435787211176785,-0.15797958087049974,0.16872649113379903,0.0005373455131649651,-0.0009451222879223176,0.008179242054982439,-0.011172384031302551
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,MID,HIGH,3088,0.4274611398963731,0.4170984455958549,0.010362694300518172,0.15349740932642486,0.0019430051813471502,-0.0004113113094697529,0.010070140976269015,-0.009847798692742216
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,MID,LOW,5758,0.3402222994095172,0.35098992705800625,-0.010767627648489042,0.30861410211879126,0.0001736714136853074,0.0005270695097967515,0.0075143269836380755,-0.007497008833622476
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2025,MID,MID,4382,0.36900958466453676,0.37631218621633955,-0.00730260155180279,0.25376540392514835,0.0009128251939753537,-0.00016483971607328396,0.008035183937379786,-0.008356172403244488
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,HIGH,HIGH,1375,0.5163636363636364,0.3498181818181818,0.16654545454545455,0.1338181818181818,0.0,0.0004543389368467654,0.011668055720919224,-0.008687485325193811
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,HIGH,LOW,2646,0.34996220710506426,0.281557067271353,0.06840513983371127,0.36772486772486773,0.0007558578987150416,0.001064050004594863,0.007674176419484979,-0.005934086011284645
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,HIGH,MID,1926,0.407061266874351,0.3032191069574247,0.1038421599169263,0.2897196261682243,0.0,0.000549347462608929,0.008680234674613319,-0.0068928073076852114
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,LOW,HIGH,1313,0.3457730388423458,0.4836252856054836,-0.13785224676313784,0.16984006092916984,0.0007616146230007616,-0.0008310578178797323,0.008521758891035125,-0.01078894133513153
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,LOW,LOW,3441,0.24237140366172624,0.3830281894798024,-0.14065678581807614,0.37343795408311536,0.0011624527753560012,-0.0006823144104802781,0.005741915986702928,-0.008143514693732978
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,LOW,MID,2136,0.27247191011235955,0.4110486891385768,-0.13857677902621723,0.3160112359550562,0.00046816479400749064,-0.001024376093631596,0.0063585191284883935,-0.009020207196518137
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,MID,HIGH,1600,0.388125,0.3575,0.030625000000000013,0.254375,0.0,-0.0003599718294183818,0.008438532532481613,-0.008002769586827552
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,MID,LOW,7572,0.22834125726360274,0.25330163761225566,-0.024960380348652916,0.5178288431061807,0.0005282620179609086,0.00011474494837837579,0.005157862863547025,-0.005449866290306804
oi_chg_15m__X__dist_low_24h,oi_chg_15m,dist_low_24h,validation_2026,MID,MID,3608,0.27300443458980045,0.27688470066518844,-0.0038802660753879947,0.4501108647450111,0.0,-0.00022760285821721293,0.006066949283631384,-0.006302521008403339
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,HIGH,HIGH,12655,0.4468589490320032,0.4107467404188068,0.03611220861319636,0.1415250888976689,0.0008692216515211379,0.0002976079758936212,0.010965692273376737,-0.01015545217292635
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,HIGH,LOW,2980,0.4610738255033557,0.39161073825503356,0.06946308724832212,0.14731543624161073,0.0,0.0009577307949866221,0.011047805859630944,-0.009814278286826239
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,HIGH,MID,7731,0.46720993403181993,0.4303453628249903,0.03686457120682962,0.10179795627991205,0.0006467468632777131,0.00042935912501129714,0.0121946429974078,-0.011547676090081449
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,LOW,HIGH,3023,0.33410519351637447,0.511081706913662,-0.17697651339728748,0.15448230234866028,0.0003307972213033411,-0.0008746655690471394,0.008563116257739312,-0.01162654139753383
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,LOW,LOW,13357,0.40563000673804,0.4502508048214419,-0.044620798083401914,0.14277158044471064,0.0013476079958074417,0.0005791089802296145,0.010307835494502982,-0.01101241177902168
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,LOW,MID,6986,0.40838820498139133,0.4778127683939307,-0.06942456341253939,0.11294016604637847,0.0008588605782994561,0.0002664774034454309,0.010966450675917061,-0.012094437266238822
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,MID,HIGH,7681,0.3564640020830621,0.3978648613461789,-0.04140085926311676,0.24528056242676735,0.00039057414399166774,5.122950819669292e-05,0.007918166319378805,-0.008593833924159466
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,MID,LOW,7032,0.39761092150170646,0.37599544937428897,0.02161547212741749,0.22639362912400454,0.0,0.0004250547224777801,0.008745596557885205,-0.008411362715275872
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,development,MID,MID,8649,0.39218406752225693,0.41126141750491385,-0.01907734998265692,0.19655451497282922,0.0,-0.00019177556779259586,0.008930034409306842,-0.009496769140395545
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,HIGH,HIGH,5449,0.46210313819049365,0.3789686180950633,0.08313452009543032,0.15764360433106991,0.001284639383373096,0.0009516256938937317,0.010669059726792218,-0.008916378825608473
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,HIGH,LOW,2332,0.49528301886792453,0.34991423670668953,0.145368782161235,0.15437392795883362,0.0004288164665523156,0.0016988560953120624,0.011470164793808801,-0.008547029614826895
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,HIGH,MID,2668,0.5232383808095952,0.34182908545727136,0.1814092953523238,0.13418290854572715,0.0007496251874062968,0.0018171728342388782,0.012261980055964461,-0.008958468891660742
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,LOW,HIGH,2439,0.3029930299302993,0.5317753177531775,-0.22878228782287824,0.16523165231652318,0.0,-0.0017280707817791674,0.007545600380250761,-0.01201095736461344
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,LOW,LOW,6167,0.359169774606778,0.4767309875141884,-0.1175612129074104,0.1629641640992379,0.0011350737797956867,-0.0005227781926810948,0.008585418203769457,-0.010782833728703922
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,LOW,MID,2745,0.3384335154826958,0.5289617486338798,-0.190528233151184,0.131511839708561,0.001092896174863388,-0.0008652720517127177,0.008756481753253276,-0.012717422298260561
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,MID,HIGH,4980,0.3365461847389558,0.40080321285140563,-0.06425702811244982,0.2620481927710843,0.0006024096385542169,-0.0004915988558492068,0.0074916021467243965,-0.008702964045481876
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,MID,LOW,4852,0.3893239901071723,0.34563066776586976,0.04369332234130252,0.2648392415498763,0.00020610057708161583,0.0005707263772488647,0.008458480707529636,-0.007629320517241356
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2025,MID,MID,3396,0.3919316843345112,0.37838633686690226,0.013545347467608937,0.22762073027090696,0.002061248527679623,0.0003655507144717518,0.008817272952572064,-0.00852916663133757
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,HIGH,HIGH,3235,0.39072642967542504,0.3106646058732612,0.08006182380216381,0.2982998454404946,0.0003091190108191654,0.0002966185485466788,0.008265547100498427,-0.006938159879336325
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,HIGH,LOW,1348,0.4332344213649852,0.2767062314540059,0.15652818991097928,0.2893175074183976,0.000741839762611276,0.0012456677636495384,0.009128588274091132,-0.006383883318636652
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,HIGH,MID,1364,0.41935483870967744,0.31671554252199413,0.1026392961876833,0.26392961876832843,0.0,0.0012924241183206453,0.009097460114193767,-0.007017247870235888
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,LOW,HIGH,1595,0.2495297805642633,0.4188087774294671,-0.16927899686520378,0.3310344827586207,0.0006269592476489029,-0.0014238773274917182,0.005692192030931187,-0.009091817364372035
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,LOW,LOW,3712,0.27586206896551724,0.3978987068965517,-0.12203663793103448,0.3251616379310345,0.0010775862068965517,-0.0005822167455135641,0.006539123174013395,-0.008424036861758133
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,LOW,MID,1583,0.2830069488313329,0.4333543903979785,-0.1503474415666456,0.2830069488313329,0.0006317119393556538,-0.0007894996545938504,0.0068876452862678406,-0.009508601292008478
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,MID,HIGH,5261,0.24824177912944306,0.27637331305835394,-0.02813153392891088,0.4750047519482988,0.00038015586390420075,-0.0002602472348730567,0.005428881650379802,-0.006105834464043447
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,MID,LOW,4630,0.2632829373650108,0.25982721382289414,0.003455723542116651,0.4766738660907127,0.00021598272138228941,0.0001367437098642732,0.005906869450295837,-0.005630961350305719
oi_chg_15m__X__taker_imb_15m,oi_chg_15m,taker_imb_15m,validation_2026,MID,MID,2889,0.2803738317757009,0.2879889235029422,-0.0076150917272412855,0.43129110418830047,0.00034614053305642093,0.0,0.0059565522074280786,-0.006383777694329629
oi_chg_15m__X__taker_imb_change_1h,oi_chg_15m,taker_imb_change_1h,development,HIGH,HIGH,12200,0.444672131147541,0.4142622950819672,0.030409836065573792,0.14024590163934425,0.000819672131147541,0.0003455829069365368,0.010897950819924285,-0.010309196597027503
oi_chg_15m__X__taker_imb_change_1h,oi_chg_15m,taker_imb_change_1h,development,HIGH,LOW,3446,0.4704004643064423,0.3862449216482879,0.08415554265815439,0.142774230992455,0.0005803830528148578,0.0006115878474876046,0.01128058510878338,-0.00987447734512159
