clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f15_touches,h2_after_f15_touch_rate,same_bar_confirmations,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate
180,03:00,08:30,15:00,reference_validation,411,96,65,37,0.8378378378378378,11,11,6,0.5454545454545454,0.7337098196613309,-0.37700321292075745,-4.147035342128332,0.5454545454545454,0.09090909090909091
180,03:00,08:30,15:00,august,14,5,3,1,1.0,1,1,1,1.0,inf,1.744168501773014,1.744168501773014,1.0,0.0
210,03:30,09:00,15:30,external,523,131,85,55,0.8,21,21,13,0.6190476190476191,0.6369831614667811,-1.056831111513183,-22.19345334177684,0.5714285714285714,0.09523809523809523
210,03:30,09:00,15:30,development,782,197,141,98,0.7857142857142857,46,46,36,0.782608695652174,1.608052399188575,0.6102987507741083,28.073742535608982,0.7608695652173914,0.10869565217391304
210,03:30,09:00,15:30,reference_validation,411,102,70,41,0.8780487804878049,22,22,16,0.7272727272727273,1.2664731029146892,0.2818154676784311,6.199940288925483,0.7272727272727273,0.13636363636363635
210,03:30,09:00,15:30,august,14,6,4,1,1.0,0,0,0,,,,0.0,,
240,04:00,09:30,16:00,external,523,122,78,49,0.7959183673469388,21,21,13,0.6190476190476191,0.8865096028953333,-0.28755839916027787,-6.0387263823658355,0.6190476190476191,0.09523809523809523
240,04:00,09:30,16:00,development,782,200,146,99,0.7676767676767676,43,43,30,0.6976744186046512,0.6948678356350535,-0.4875003942620532,-20.96251695326829,0.6744186046511628,0.20930232558139536
240,04:00,09:30,16:00,reference_validation,411,101,69,34,0.8529411764705882,16,16,12,0.75,0.944811888259666,-0.06909075668019393,-1.105452106883103,0.75,0.0
240,04:00,09:30,16:00,august,14,4,1,0,,0,0,0,,,,0.0,,
270,04:30,10:00,16:30,external,523,118,84,55,0.7636363636363637,17,17,12,0.7058823529411765,1.0872318257929225,0.1586329285068628,2.6967597846166678,0.7058823529411765,0.058823529411764705
270,04:30,10:00,16:30,development,782,202,147,99,0.8080808080808081,39,39,29,0.7435897435897436,1.156214155467775,0.17966958690463095,7.007113889280607,0.7435897435897436,0.1794871794871795
270,04:30,10:00,16:30,reference_validation,411,99,66,33,0.9090909090909091,17,17,13,0.7647058823529411,1.2376509296933227,0.21407258704352958,3.639233979740003,0.7647058823529411,0.058823529411764705
270,04:30,10:00,16:30,august,14,5,1,0,,0,0,0,,,,0.0,,
300,05:00,10:30,17:00,external,523,117,79,47,0.723404255319149,23,23,15,0.6521739130434783,0.32105766630871124,-2.8670605087165457,-65.94239170048056,0.6521739130434783,0.08695652173913043
300,05:00,10:30,17:00,development,782,199,143,92,0.7717391304347826,34,34,25,0.7352941176470589,1.6255721050534893,0.5295666952928275,18.005267639956134,0.6764705882352942,0.17647058823529413
300,05:00,10:30,17:00,reference_validation,411,95,63,33,0.9090909090909091,14,14,11,0.7857142857142857,1.395500752101189,0.3550775089626189,4.971085125476665,0.7857142857142857,0.0
300,05:00,10:30,17:00,august,14,2,0,0,,0,0,0,,,,0.0,,
330,05:30,11:00,17:30,external,523,110,73,46,0.782608695652174,26,26,16,0.6153846153846154,0.6830272102376841,-0.6816541250897408,-17.72300725233326,0.6153846153846154,0.19230769230769232
330,05:30,11:00,17:30,development,782,197,144,91,0.8021978021978022,37,37,25,0.6756756756756757,1.0488609444632286,0.058076282001268714,2.1488224340469424,0.6486486486486487,0.13513513513513514
330,05:30,11:00,17:30,reference_validation,411,98,67,38,0.8157894736842105,12,12,10,0.8333333333333334,2.53794960428917,1.0139562178856247,12.167474614627498,0.8333333333333334,0.0
330,05:30,11:00,17:30,august,14,2,0,0,,0,0,0,,,,0.0,,
360,06:00,11:30,18:00,external,523,113,79,50,0.76,31,31,19,0.6129032258064516,0.7792197142426541,-0.4802702551268863,-14.888377908933476,0.6129032258064516,0.1935483870967742
360,06:00,11:30,18:00,development,782,208,148,96,0.8125,37,37,25,0.6756756756756757,0.6487361610305333,-0.6794157075807932,-25.138381180489347,0.6756756756756757,0.08108108108108109
360,06:00,11:30,18:00,reference_validation,411,98,63,39,0.7435897435897436,16,16,12,0.75,1.0318613018129077,0.0479962538133098,0.7679400610129568,0.75,0.0625
360,06:00,11:30,18:00,august,14,2,0,0,,0,0,0,,,,0.0,,
390,06:30,12:00,18:30,external,523,114,80,54,0.7222222222222222,23,23,13,0.5652173913043478,0.9264192967675073,-0.12418289455114076,-2.8562065746762375,0.5217391304347826,0.391304347826087
390,06:30,12:00,18:30,development,782,212,153,103,0.7475728155339806,40,39,22,0.5641025641025641,0.405985123014353,-1.456676559505533,-56.810385820715794,0.5384615384615384,0.1282051282051282
390,06:30,12:00,18:30,reference_validation,411,91,52,35,0.8571428571428571,9,9,4,0.4444444444444444,0.3200623451585385,-1.2536389326659592,-11.282750393993632,0.4444444444444444,0.1111111111111111
390,06:30,12:00,18:30,august,14,2,0,0,,0,0,0,,,,0.0,,
420,07:00,12:30,19:00,external,523,105,73,55,0.7636363636363637,28,28,18,0.6428571428571429,0.7639923025067303,-0.5155819272083753,-14.436293961834508,0.5357142857142857,0.39285714285714285
420,07:00,12:30,19:00,development,782,203,148,86,0.7906976744186046,35,35,24,0.6857142857142857,0.611601143475409,-0.775642459019879,-27.147486065695766,0.6857142857142857,0.08571428571428572
420,07:00,12:30,19:00,reference_validation,411,85,52,31,0.8387096774193549,10,10,6,0.6,0.38533864150422387,-1.0609767943664856,-10.609767943664856,0.5,0.1
420,07:00,12:30,19:00,august,14,3,1,0,,0,0,0,,,,0.0,,
450,07:30,13:00,19:30,external,523,99,65,46,0.6739130434782609,20,20,12,0.6,0.6744640107756005,-0.7044506367501946,-14.089012735003893,0.5,0.4
450,07:30,13:00,19:30,development,782,199,145,77,0.8051948051948052,25,25,14,0.56,0.7200310409070149,-0.5016014596111757,-12.540036490279395,0.56,0.12
450,07:30,13:00,19:30,reference_validation,411,82,51,26,0.8846153846153846,10,10,7,0.7,0.6542517913876579,-0.31798971104017265,-3.1798971104017264,0.6,0.2
450,07:30,13:00,19:30,august,14,4,2,1,1.0,1,1,1,1.0,inf,1.9052697484147179,1.9052697484147179,1.0,0.0
480,08:00,13:30,20:00,external,523,95,69,51,0.7450980392156863,25,25,16,0.64,1.1091056257009795,0.1572611090568058,3.9315277264201445,0.6,0.24
480,08:00,13:30,20:00,development,782,194,137,80,0.75,25,25,15,0.6,0.7715709681430254,-0.33057159106862,-8.2642897767155,0.6,0.16
480,08:00,13:30,20:00,reference_validation,411,92,59,34,0.7058823529411765,12,12,5,0.4166666666666667,0.2080795207913318,-1.9295508472357537,-23.154610166829045,0.4166666666666667,0.16666666666666666
480,08:00,13:30,20:00,august,14,2,2,1,1.0,1,1,0,0.0,0.0,-2.725815513533058,-2.725815513533058,0.0,0.0
510,08:30,14:00,20:30,external,523,97,70,50,0.86,26,26,18,0.6923076923076923,1.5253539811999561,0.7533040638476434,19.585905660038726,0.6923076923076923,0.23076923076923078
510,08:30,14:00,20:30,development,782,198,143,91,0.7582417582417582,27,27,13,0.48148148148148145,0.4565472996049781,-1.2405010741578009,-33.49352900226062,0.4444444444444444,0.2222222222222222
510,08:30,14:00,20:30,reference_validation,411,92,69,49,0.7346938775510204,15,15,9,0.6,0.4890493796539526,-1.040911391525571,-15.613670872883564,0.6,0.06666666666666667
510,08:30,14:00,20:30,august,14,2,1,1,1.0,1,1,0,0.0,0.0,-2.32313223671392,-2.32313223671392,0.0,0.0
540,09:00,14:30,21:00,external,523,91,66,44,0.7954545454545454,21,21,14,0.6666666666666666,0.840162514019038,-0.404653013532104,-8.497713284174184,0.6190476190476191,0.2857142857142857
540,09:00,14:30,21:00,development,782,186,132,87,0.7126436781609196,28,28,16,0.5714285714285714,0.7063367961050094,-0.4901456464462594,-13.724078100495264,0.5357142857142857,0.32142857142857145
540,09:00,14:30,21:00,reference_validation,411,91,52,30,0.8333333333333334,14,14,9,0.6428571428571429,0.5310999942416973,-0.8957437456395034,-12.540412438953048,0.5714285714285714,0.14285714285714285
540,09:00,14:30,21:00,august,14,3,2,0,,0,0,0,,,,0.0,,
570,09:30,15:00,21:30,external,523,89,63,44,0.8409090909090909,21,21,15,0.7142857142857143,1.94223585641322,0.8172311426241622,17.161853995107407,0.6666666666666666,0.3333333333333333
570,09:30,15:00,21:30,development,782,169,121,80,0.7625,26,26,14,0.5384615384615384,0.8766750416850657,-0.18634026662339848,-4.844846932208361,0.5,0.38461538461538464
570,09:30,15:00,21:30,reference_validation,411,87,56,37,0.7837837837837838,12,12,9,0.75,2.0243349991448536,0.7505401239956293,9.006481487947552,0.6666666666666666,0.16666666666666666
570,09:30,15:00,21:30,august,14,4,3,2,1.0,1,1,0,0.0,0.0,-0.23852037400255954,-0.23852037400255954,0.0,1.0
600,10:00,15:30,22:00,external,523,79,59,39,0.8461538461538461,16,16,7,0.4375,1.1837517169285112,0.32745624568915777,5.239299931026524,0.4375,0.4375
600,10:00,15:30,22:00,development,782,166,123,79,0.7088607594936709,37,37,20,0.5405405405405406,0.8285534711557915,-0.3082149000888451,-11.40395130328727,0.4594594594594595,0.43243243243243246
600,10:00,15:30,22:00,reference_validation,411,79,54,42,0.8095238095238095,18,18,13,0.7222222222222222,2.2073738962936296,0.9791640485964516,17.624952874736127,0.6111111111111112,0.3333333333333333
600,10:00,15:30,22:00,august,14,2,2,1,0.0,0,0,0,,,,0.0,,
630,10:30,16:00,22:30,external,523,89,68,49,0.7346938775510204,19,19,9,0.47368421052631576,0.5372750261354229,-1.1504331008450173,-21.858228916055328,0.42105263157894735,0.3684210526315789
630,10:30,16:00,22:30,development,782,169,122,83,0.7108433734939759,37,37,23,0.6216216216216216,1.032637388084773,0.05663927237439218,2.0956530778525106,0.5405405405405406,0.32432432432432434
630,10:30,16:00,22:30,reference_validation,411,73,48,28,0.8214285714285714,15,15,11,0.7333333333333333,5.945582495528554,2.118689643876822,31.78034465815233,0.7333333333333333,0.2
630,10:30,16:00,22:30,august,14,3,3,1,0.0,0,0,0,,,,0.0,,
660,11:00,16:30,23:00,external,523,80,56,38,0.631578947368421,18,18,9,0.5,1.0074635380124048,0.017563874626713955,0.3161497432808512,0.5,0.2777777777777778
660,11:00,16:30,23:00,development,782,134,97,60,0.5833333333333334,26,26,16,0.6153846153846154,1.1745174554555022,0.26040024048942645,6.770406252725088,0.5769230769230769,0.3076923076923077
660,11:00,16:30,23:00,reference_validation,411,67,41,28,0.7857142857142857,12,12,7,0.5833333333333334,2.455140849808279,1.2951035609666515,15.541242731599818,0.5833333333333334,0.3333333333333333
660,11:00,16:30,23:00,august,14,2,1,1,0.0,0,0,0,,,,0.0,,
690,11:30,17:00,23:30,external,523,74,48,32,0.71875,13,13,5,0.38461538461538464,0.30886747303503354,-1.80032069458841,-23.40416902964933,0.38461538461538464,0.38461538461538464
690,11:30,17:00,23:30,development,782,136,102,62,0.532258064516129,22,22,10,0.45454545454545453,0.41100411456288866,-1.86393133102318,-41.00648928250996,0.45454545454545453,0.22727272727272727
690,11:30,17:00,23:30,reference_validation,411,61,40,29,0.6551724137931034,17,16,5,0.3125,0.32021691471399527,-1.7332267116449545,-27.73162738631927,0.3125,0.5
690,11:30,17:00,23:30,august,14,1,1,1,0.0,0,0,0,,,,0.0,,
720,12:00,17:30,00:00+1d,external,523,84,54,34,0.5882352941176471,15,14,7,0.5,0.356837565617044,-2.5562484522894793,-35.78747833205271,0.5,0.21428571428571427
720,12:00,17:30,00:00+1d,development,782,121,90,54,0.6296296296296297,22,22,10,0.45454545454545453,0.718755301738768,-0.6688971101106558,-14.715736422434427,0.4090909090909091,0.4090909090909091
720,12:00,17:30,00:00+1d,reference_validation,411,56,34,20,0.7,10,10,1,0.1,0.08072313620148865,-2.737939094123476,-27.37939094123476,0.1,0.8
720,12:00,17:30,00:00+1d,august,14,2,2,2,0.0,1,1,0,0.0,0.0,-2.361879505321673,-2.361879505321673,0.0,1.0
750,12:30,18:00,00:30+1d,external,522,83,56,35,0.6857142857142857,16,16,10,0.625,1.560859138237419,0.8084221312758308,12.934754100413294,0.625,0.25
750,12:30,18:00,00:30+1d,development,781,126,90,54,0.46296296296296297,22,22,8,0.36363636363636365,0.36871793157050314,-2.1405094643637437,-47.09120821600236,0.3181818181818182,0.36363636363636365
750,12:30,18:00,00:30+1d,reference_validation,410,63,42,25,0.56,10,10,4,0.4,0.5362564238542953,-1.1443659540558202,-11.443659540558203,0.1,0.8
750,12:30,18:00,00:30+1d,august,13,1,1,1,0.0,0,0,0,,,,0.0,,
780,13:00,18:30,01:00+1d,external,522,83,61,39,0.7435897435897436,21,21,15,0.7142857142857143,1.1962547796323406,0.30979323073206927,6.505657845373454,0.6190476190476191,0.19047619047619047
780,13:00,18:30,01:00+1d,development,781,123,93,65,0.5230769230769231,28,28,12,0.42857142857142855,0.603601296138368,-1.0994230260307558,-30.783844728861162,0.39285714285714285,0.35714285714285715
780,13:00,18:30,01:00+1d,reference_validation,410,58,39,24,0.7083333333333334,13,13,3,0.23076923076923078,0.25199839591291695,-2.1070719936118683,-27.39193591695429,0.23076923076923078,0.6153846153846154
780,13:00,18:30,01:00+1d,august,13,1,1,1,0.0,0,0,0,,,,0.0,,
810,13:30,19:00,01:30+1d,external,522,79,55,37,0.7837837837837838,18,18,13,0.7222222222222222,1.5113179101569132,1.0081979245515862,18.147562641928552,0.6111111111111112,0.2222222222222222
810,13:30,19:00,01:30+1d,development,781,116,81,57,0.5263157894736842,24,24,9,0.375,0.5145478400675862,-1.1127648797604983,-26.70635711425196,0.375,0.4166666666666667
810,13:30,19:00,01:30+1d,reference_validation,410,64,44,27,0.7777777777777778,14,14,7,0.5,0.6668511331872323,-0.5599747832690997,-7.839646965767395,0.42857142857142855,0.5
810,13:30,19:00,01:30+1d,august,13,2,2,2,0.0,2,2,0,0.0,0.0,-1.8522604719831577,-3.7045209439663154,0.0,1.0
840,14:00,19:30,02:00+1d,external,522,80,56,37,0.7297297297297297,18,18,12,0.6666666666666666,1.5425306361493312,0.8299274700211987,14.938694460381576,0.6111111111111112,0.16666666666666666
840,14:00,19:30,02:00+1d,development,781,114,83,52,0.6153846153846154,23,23,13,0.5652173913043478,0.7803573272057631,-0.35703177297331445,-8.211730778386233,0.5652173913043478,0.34782608695652173
840,14:00,19:30,02:00+1d,reference_validation,410,51,32,17,0.7647058823529411,11,11,7,0.6363636363636364,0.8116140254094854,-0.34172300285510454,-3.7589530314061497,0.45454545454545453,0.45454545454545453
840,14:00,19:30,02:00+1d,august,13,1,1,1,1.0,0,0,0,,,,0.0,,
870,14:30,20:00,02:30+1d,external,522,90,67,48,0.625,22,22,14,0.6363636363636364,0.6596333715382758,-0.9297819727315665,-20.45520340009446,0.5909090909090909,0.22727272727272727
870,14:30,20:00,02:30+1d,development,781,114,86,57,0.6666666666666666,30,30,14,0.4666666666666667,0.47539785941725504,-1.176578921397712,-35.29736764193136,0.43333333333333335,0.43333333333333335
870,14:30,20:00,02:30+1d,reference_validation,410,61,48,24,0.6666666666666666,13,13,6,0.46153846153846156,0.35694462814633554,-1.6624414052752776,-21.61173826857861,0.38461538461538464,0.46153846153846156
870,14:30,20:00,02:30+1d,august,13,1,0,0,,0,0,0,,,,0.0,,
900,15:00,20:30,03:00+1d,external,522,86,64,44,0.5909090909090909,21,20,11,0.55,0.7676148257761141,-0.4383571497105745,-8.76714299421149,0.55,0.15
900,15:00,20:30,03:00+1d,development,781,99,70,44,0.6590909090909091,20,20,9,0.45,0.8119366739271724,-0.34573269441539567,-6.914653888307914,0.45,0.5
900,15:00,20:30,03:00+1d,reference_validation,410,56,48,31,0.7096774193548387,17,17,8,0.47058823529411764,1.5880924740798783,0.6927634753976493,11.776979081760038,0.4117647058823529,0.5882352941176471
900,15:00,20:30,03:00+1d,august,13,1,0,0,,0,0,0,,,,0.0,,
930,15:30,21:00,03:30+1d,external,522,92,66,46,0.6521739130434783,23,23,12,0.5217391304347826,0.6826504677870352,-0.8008067377487581,-18.418554968221436,0.5217391304347826,0.2608695652173913
930,15:30,21:00,03:30+1d,development,781,108,83,50,0.72,16,16,8,0.5,0.9515561227701752,-0.09034571216141785,-1.4455313945826855,0.5,0.4375
930,15:30,21:00,03:30+1d,reference_validation,410,57,43,30,0.7,16,16,7,0.4375,0.8944471022818378,-0.11654784410557412,-1.8647655056891859,0.3125,0.625
930,15:30,21:00,03:30+1d,august,13,2,1,1,1.0,0,0,0,,,,0.0,,
960,16:00,21:30,04:00+1d,external,522,81,56,40,0.7,22,22,11,0.5,0.5413346608222094,-1.025489263423893,-22.560763795325645,0.5,0.36363636363636365
960,16:00,21:30,04:00+1d,development,781,105,79,47,0.7021276595744681,21,21,11,0.5238095238095238,0.7917915187231576,-0.42592967319158315,-8.944523137023246,0.47619047619047616,0.2857142857142857
960,16:00,21:30,04:00+1d,reference_validation,410,64,47,28,0.6785714285714286,11,11,5,0.45454545454545453,0.4928212784756209,-0.5626598401356623,-6.189258241492285,0.2727272727272727,0.7272727272727273
960,16:00,21:30,04:00+1d,august,13,2,2,2,0.5,1,1,0,0.0,0.0,-2.2697031706983446,-2.2697031706983446,0.0,0.0
990,16:30,22:00,04:30+1d,external,522,101,76,48,0.625,23,23,10,0.43478260869565216,0.41866129238719546,-1.5812092040134456,-36.367811692309246,0.43478260869565216,0.30434782608695654
990,16:30,22:00,04:30+1d,development,781,104,79,49,0.6326530612244898,23,23,10,0.43478260869565216,0.8506002078744127,-0.27300334616939226,-6.279076961896022,0.43478260869565216,0.391304347826087
990,16:30,22:00,04:30+1d,reference_validation,410,67,43,26,0.6538461538461539,9,9,3,0.3333333333333333,0.2539830108355157,-1.284458771365035,-11.560128942285315,0.2222222222222222,0.6666666666666666
990,16:30,22:00,04:30+1d,august,13,2,2,2,0.5,1,1,0,0.0,0.0,-2.2697031706983446,-2.2697031706983446,0.0,0.0
1020,17:00,22:30,05:00+1d,external,522,111,80,54,0.6296296296296297,28,28,13,0.4642857142857143,0.4745471132123489,-1.491081994387711,-41.750295842855905,0.42857142857142855,0.32142857142857145
1020,17:00,22:30,05:00+1d,development,781,90,63,42,0.6428571428571429,17,17,8,0.47058823529411764,1.4031081652921111,0.5052757847755871,8.589688341184981,0.47058823529411764,0.4117647058823529
1020,17:00,22:30,05:00+1d,reference_validation,410,64,41,23,0.6521739130434783,7,7,4,0.5714285714285714,0.40953907730929795,-0.4924138285647223,-3.4468967999530564,0.2857142857142857,0.5714285714285714
1020,17:00,22:30,05:00+1d,august,13,1,1,1,1.0,0,0,0,,,,0.0,,
1050,17:30,23:00,05:30+1d,external,522,117,82,56,0.6964285714285714,32,32,15,0.46875,0.3844533257526465,-1.8208166083672803,-58.26613146775297,0.4375,0.28125
1050,17:30,23:00,05:30+1d,development,781,94,64,42,0.5,16,16,8,0.5,1.297635546920184,0.2913248174771554,4.661197079634486,0.5,0.375
1050,17:30,23:00,05:30+1d,reference_validation,410,71,48,31,0.7741935483870968,11,11,4,0.36363636363636365,0.44013556567385936,-0.782476977064677,-8.607246747711446,0.36363636363636365,0.45454545454545453
1050,17:30,23:00,05:30+1d,august,13,3,3,3,1.0,0,0,0,,,,0.0,,
1080,18:00,23:30,06:00+1d,external,522,102,76,48,0.6458333333333334,25,25,12,0.48,0.5362561517563348,-1.102722475345561,-27.56806188363902,0.44,0.36
1080,18:00,23:30,06:00+1d,development,781,105,70,49,0.5714285714285714,34,34,17,0.5,1.129192170779795,0.16525284353509273,5.618596680193153,0.47058823529411764,0.4411764705882353
1080,18:00,23:30,06:00+1d,reference_validation,410,74,50,31,0.7419354838709677,14,14,6,0.42857142857142855,0.5616234066700865,-0.4629296175744056,-6.481014646041678,0.35714285714285715,0.5
1080,18:00,23:30,06:00+1d,august,13,4,3,3,0.6666666666666666,0,0,0,,,,0.0,,
1110,18:30,00:00+1d,06:30+1d,external,522,122,93,65,0.7230769230769231,25,25,17,0.68,2.1663321913222178,1.0888451768016698,27.221129420041745,0.68,0.2
1110,18:30,00:00+1d,06:30+1d,development,782,137,98,66,0.6818181818181818,36,36,16,0.4444444444444444,0.8799327456528694,-0.17064495607443883,-6.143218418679798,0.4444444444444444,0.4166666666666667
1110,18:30,00:00+1d,06:30+1d,reference_validation,410,67,42,19,0.8421052631578947,9,9,6,0.6666666666666666,0.9955656963665557,-0.0029403748827065857,-0.02646337394435927,0.5555555555555556,0.3333333333333333
1110,18:30,00:00+1d,06:30+1d,august,14,5,4,4,0.5,1,1,1,1.0,inf,0.8984841988604723,0.8984841988604723,1.0,0.0
1140,19:00,00:30+1d,07:00+1d,external,522,131,90,61,0.7540983606557377,23,23,13,0.5652173913043478,0.5515274644078827,-1.4299959372029785,-32.8899065556685,0.5217391304347826,0.34782608695652173
1140,19:00,00:30+1d,07:00+1d,development,782,132,86,57,0.631578947368421,29,29,15,0.5172413793103449,0.6132379977823141,-0.663337798896014,-19.236796167984405,0.4827586206896552,0.2413793103448276
1140,19:00,00:30+1d,07:00+1d,reference_validation,410,73,49,27,0.7407407407407407,10,10,5,0.5,0.7177425053468084,-0.31682560856421915,-3.1682560856421915,0.5,0.3
1140,19:00,00:30+1d,07:00+1d,august,14,6,5,4,0.5,1,1,1,1.0,inf,0.35953445544585383,0.35953445544585383,1.0,0.0
1170,19:30,01:00+1d,07:30+1d,external,522,112,74,49,0.7346938775510204,22,22,17,0.7727272727272727,1.6268050789832678,0.9521128244813155,20.94648213858894,0.6363636363636364,0.3181818181818182
1170,19:30,01:00+1d,07:30+1d,development,782,123,86,52,0.5769230769230769,19,19,8,0.42105263157894735,0.27976946982130885,-1.4316292414334422,-27.200955587235402,0.42105263157894735,0.2631578947368421
1170,19:30,01:00+1d,07:30+1d,reference_validation,410,76,48,24,0.625,10,10,7,0.7,1.4633087755997896,0.49392194364960024,4.9392194364960025,0.7,0.2
1170,19:30,01:00+1d,07:30+1d,august,14,4,1,1,0.0,0,0,0,,,,0.0,,
1200,20:00,01:30+1d,08:00+1d,external,522,102,70,50,0.66,27,27,20,0.7407407407407407,2.2216619995796045,1.1611649795900916,31.351454448932472,0.6296296296296297,0.3333333333333333
1200,20:00,01:30+1d,08:00+1d,development,782,114,77,42,0.6904761904761905,19,19,15,0.7894736842105263,3.9934463719694655,2.076875871538039,39.460641559222736,0.7894736842105263,0.10526315789473684
1200,20:00,01:30+1d,08:00+1d,reference_validation,410,78,45,20,0.9,10,10,8,0.8,2.6998163449196113,0.691422632256489,6.914226322564891,0.8,0.2
1200,20:00,01:30+1d,08:00+1d,august,14,4,2,2,1.0,1,1,1,1.0,inf,1.2403565717180713,1.2403565717180713,1.0,0.0
1230,20:30,02:00+1d,08:30+1d,external,522,117,80,58,0.7068965517241379,30,30,19,0.6333333333333333,1.1240123761584533,0.214417073032634,6.43251219097902,0.5666666666666667,0.3
1230,20:30,02:00+1d,08:30+1d,development,782,133,93,55,0.6545454545454545,28,28,17,0.6071428571428571,1.467474097290371,0.6504272528752966,18.211963080508305,0.6071428571428571,0.21428571428571427
1230,20:30,02:00+1d,08:30+1d,reference_validation,410,88,53,27,0.7777777777777778,14,14,11,0.7857142857142857,1.8746866559490118,0.5117052154337035,7.1638730160718485,0.7142857142857143,0.21428571428571427
1230,20:30,02:00+1d,08:30+1d,august,14,3,2,1,1.0,1,1,1,1.0,inf,1.2403565717180713,1.2403565717180713,1.0,0.0
1260,21:00,02:30+1d,09:00+1d,external,522,120,75,54,0.7222222222222222,26,26,18,0.6923076923076923,1.7380587826756946,0.7917661540911438,20.58592000636974,0.6153846153846154,0.3076923076923077
