role,partition,dev_block,execution_start,episode_class,loss_class,H,L,R,h2_exit_ts,has_reclaim,reclaim_ts,reclaim_min,initial_consecutive_closes_above_H,first_failure_min,max_close_R_before_first_failure,max_high_R_before_first_failure,max_adverse_R_before_first_failure,E40_before_first_failure,E40_eventually_after_reclaim,reclaim_failure_cycles
CENTRAL,development,2.0,2023-03-17 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,20.548,19.8,0.7479999999999976,2023-03-17 20:30:00+00:00,True,2023-03-17 21:40:00+00:00,70.0,1.0,5.0,0.2874331550802194,0.3516042780748697,0.18181818181818138,False,True,2.0
CENTRAL,development,2.0,2023-03-30 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L2_BREAK_FAST_FAIL_5M,20.687,20.129,0.5579999999999998,2023-03-31 01:15:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,2.0,2023-03-31 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,21.008,20.635,0.3729999999999975,2023-04-01 03:40:00+00:00,True,2023-04-01 03:40:00+00:00,0.0,32.0,160.0,0.6166219839142144,0.707774798927617,0.14209115281501658,True,True,8.0
CENTRAL,development,2.0,2023-04-12 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L1_NEVER_BREAK_TIME,24.386,23.239,1.1469999999999985,2023-04-13 12:35:00+00:00,True,2023-04-13 12:35:00+00:00,0.0,64.0,,0.6285963382737585,0.7881429816913698,0.03923278116826348,True,True,1.0
CENTRAL,development,2.0,2023-04-14 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L3_BREAK_FAST_FAIL_10M,24.793,23.725,1.0679999999999978,2023-04-14 23:35:00+00:00,True,2023-04-14 23:35:00+00:00,0.0,1.0,5.0,0.0009363295880161275,0.06928838951311027,0.06647940074906189,False,False,1.0
CENTRAL,development,2.0,2023-05-06 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L5_BREAK_FAIL_LATE,21.997,21.51,0.4869999999999983,2023-05-07 07:00:00+00:00,False,,,,,,,,False,False,
CENTRAL,development,2.0,2023-05-25 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L0_NEVER_BREAK_REFERENCE_INVALIDATION,19.414,19.178,0.2360000000000006,2023-05-26 14:15:00+00:00,True,2023-05-26 14:15:00+00:00,0.0,8.0,40.0,0.5381355932203329,0.584745762711855,0.1101694915254226,True,True,4.0
CENTRAL,development,2.0,2023-05-31 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,20.693,20.32,0.3730000000000011,2023-05-31 20:50:00+00:00,True,2023-05-31 20:50:00+00:00,0.0,3.0,15.0,0.05361930294906036,0.06970509383377942,0.08310991957105165,False,True,8.0
CENTRAL,development,2.0,2023-06-03 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L2_BREAK_FAST_FAIL_5M,21.34,21.08,0.2600000000000015,2023-06-04 06:25:00+00:00,True,2023-06-04 06:40:00+00:00,15.0,120.0,,3.0038461538461316,3.1115384615384474,0.17307692307691497,True,True,1.0
CENTRAL,development,2.0,2023-06-12 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L1_NEVER_BREAK_TIME,15.47,14.708,0.7620000000000005,2023-06-13 07:40:00+00:00,True,2023-06-13 08:20:00+00:00,40.0,14.0,70.0,0.24409448818897617,0.29002624671916005,0.06167979002624747,False,True,5.0
CENTRAL,development,2.0,2023-06-16 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,15.286,14.315,0.971,2023-06-16 20:15:00+00:00,True,2023-06-16 20:30:00+00:00,15.0,10.0,50.0,0.12976313079299817,0.15036045314109248,0.020597322348094308,False,True,5.0
CENTRAL,development,2.0,2023-06-19 18:00:00+00:00,RESIDUAL_LATENT_RECOVERABLE,L4_BREAK_FAIL_30M,15.827,15.419,0.4079999999999995,2023-06-19 21:15:00+00:00,True,2023-06-19 21:15:00+00:00,0.0,111.0,,1.058823529411767,1.198529411764705,0.1004901960784324,True,True,1.0
CENTRAL,development,2.0,2023-06-23 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L5_BREAK_FAIL_LATE,17.29,16.196,1.0939999999999976,2023-06-24 00:40:00+00:00,True,2023-06-24 00:50:00+00:00,10.0,1.0,5.0,0.06672760511883048,0.10237659963437122,0.15722120658135372,False,False,5.0
CENTRAL,development,3.0,2023-07-02 18:00:00+00:00,RESIDUAL_TRUE_FAILURE_PROXY,L3_BREAK_FAST_FAIL_10M,19.494,18.85,0.6439999999999984,2023-07-02 21:50:00+00:00,True,2023-07-02 22:20:00+00:00,30.0,4.0,20.0,0.35093167701863304,0.3975155279503119,0.41925465838509357,False,False,10.0
