partition,snapshot_min,outcome,kind,feature,n,value
development,30,FAILED_BREAK,MEDIAN,latest_close_R,184,-0.040301593508649695
development,30,FAILED_BREAK,MEDIAN,running_high_extension_R,184,0.07988975406676357
development,30,FAILED_BREAK,MEDIAN,running_low_depth_R,184,0.07810532115868843
development,30,FAILED_BREAK,MEDIAN,closes_H05,184,0.0
development,30,FAILED_BREAK,MEDIAN,closes_H10,184,0.0
development,30,FAILED_BREAK,MEDIAN,closes_above_H10,184,0.0
external,5,RECOVER_E40,STATE,ALIVE_ABOVE_H10,32,0.40625
external,5,RECOVER_E40,STATE,ALIVE_H05,32,0.34375
external,5,RECOVER_E40,STATE,ALIVE_H10,32,0.21875
external,5,RECOVER_E40,STATE,TARGET_BY_T,32,0.03125
external,5,RECOVER_E40,MEDIAN,latest_close_R,32,0.07211391137876089
external,5,RECOVER_E40,MEDIAN,running_high_extension_R,32,0.11881600189582037
external,5,RECOVER_E40,MEDIAN,running_low_depth_R,32,0.0
external,5,RECOVER_E40,MEDIAN,closes_H05,32,0.0
external,5,RECOVER_E40,MEDIAN,closes_H10,32,0.0
external,5,RECOVER_E40,MEDIAN,closes_above_H10,32,0.0
external,5,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,113,0.4336283185840708
external,5,FAILED_BREAK,STATE,ALIVE_H05,113,0.26548672566371684
external,5,FAILED_BREAK,STATE,ALIVE_H10,113,0.168141592920354
external,5,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,113,0.13274336283185842
external,5,FAILED_BREAK,MEDIAN,latest_close_R,113,0.007498295841854809
external,5,FAILED_BREAK,MEDIAN,running_high_extension_R,113,0.064953751284684
external,5,FAILED_BREAK,MEDIAN,running_low_depth_R,113,0.03810669875651776
external,5,FAILED_BREAK,MEDIAN,closes_H05,113,0.0
external,5,FAILED_BREAK,MEDIAN,closes_H10,113,0.0
external,5,FAILED_BREAK,MEDIAN,closes_above_H10,113,0.0
external,10,RECOVER_E40,STATE,ALIVE_ABOVE_H10,32,0.375
external,10,RECOVER_E40,STATE,ALIVE_H05,32,0.21875
external,10,RECOVER_E40,STATE,TARGET_BY_T,32,0.21875
external,10,RECOVER_E40,STATE,ALIVE_H10,32,0.1875
external,10,RECOVER_E40,MEDIAN,latest_close_R,32,0.12075491714190721
external,10,RECOVER_E40,MEDIAN,running_high_extension_R,32,0.18858837748949925
external,10,RECOVER_E40,MEDIAN,running_low_depth_R,32,0.01663207364022879
external,10,RECOVER_E40,MEDIAN,closes_H05,32,0.0
external,10,RECOVER_E40,MEDIAN,closes_H10,32,0.0
external,10,RECOVER_E40,MEDIAN,closes_above_H10,32,1.0
external,10,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,113,0.5752212389380531
external,10,FAILED_BREAK,STATE,ALIVE_H05,113,0.168141592920354
external,10,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,113,0.168141592920354
external,10,FAILED_BREAK,STATE,ALIVE_H10,113,0.08849557522123894
external,10,FAILED_BREAK,MEDIAN,latest_close_R,113,-0.011470281543273448
external,10,FAILED_BREAK,MEDIAN,running_high_extension_R,113,0.06976744186046616
external,10,FAILED_BREAK,MEDIAN,running_low_depth_R,113,0.053244592346091406
external,10,FAILED_BREAK,MEDIAN,closes_H05,113,0.0
external,10,FAILED_BREAK,MEDIAN,closes_H10,113,0.0
external,10,FAILED_BREAK,MEDIAN,closes_above_H10,113,0.0
external,15,RECOVER_E40,STATE,ALIVE_ABOVE_H10,32,0.40625
external,15,RECOVER_E40,STATE,TARGET_BY_T,32,0.375
external,15,RECOVER_E40,STATE,ALIVE_H10,32,0.125
external,15,RECOVER_E40,STATE,ALIVE_H05,32,0.09375
external,15,RECOVER_E40,MEDIAN,latest_close_R,32,0.1998409302835829
external,15,RECOVER_E40,MEDIAN,running_high_extension_R,32,0.30517745590396805
external,15,RECOVER_E40,MEDIAN,running_low_depth_R,32,0.01996283619686601
external,15,RECOVER_E40,MEDIAN,closes_H05,32,0.0
external,15,RECOVER_E40,MEDIAN,closes_H10,32,0.0
external,15,RECOVER_E40,MEDIAN,closes_above_H10,32,2.0
external,15,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,113,0.7079646017699115
external,15,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,113,0.12389380530973451
external,15,FAILED_BREAK,STATE,ALIVE_H10,113,0.08849557522123894
external,15,FAILED_BREAK,STATE,ALIVE_H05,113,0.07964601769911504
external,15,FAILED_BREAK,MEDIAN,latest_close_R,113,-0.02972136222910326
external,15,FAILED_BREAK,MEDIAN,running_high_extension_R,113,0.07393209200438103
external,15,FAILED_BREAK,MEDIAN,running_low_depth_R,113,0.06935081724997766
external,15,FAILED_BREAK,MEDIAN,closes_H05,113,0.0
external,15,FAILED_BREAK,MEDIAN,closes_H10,113,0.0
external,15,FAILED_BREAK,MEDIAN,closes_above_H10,113,0.0
external,30,RECOVER_E40,STATE,TARGET_BY_T,32,0.59375
external,30,RECOVER_E40,STATE,ALIVE_ABOVE_H10,32,0.3125
external,30,RECOVER_E40,STATE,ALIVE_H10,32,0.0625
external,30,RECOVER_E40,STATE,ALIVE_H05,32,0.03125
external,30,RECOVER_E40,MEDIAN,latest_close_R,32,0.29302772004558153
external,30,RECOVER_E40,MEDIAN,running_high_extension_R,32,0.40789375795053595
external,30,RECOVER_E40,MEDIAN,running_low_depth_R,32,0.01996283619686601
external,30,RECOVER_E40,MEDIAN,closes_H05,32,0.0
external,30,RECOVER_E40,MEDIAN,closes_H10,32,0.5
external,30,RECOVER_E40,MEDIAN,closes_above_H10,32,2.5
external,30,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,113,0.8230088495575221
external,30,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,113,0.09734513274336283
external,30,FAILED_BREAK,STATE,ALIVE_H10,113,0.04424778761061947
external,30,FAILED_BREAK,STATE,ALIVE_H05,113,0.035398230088495575
external,30,FAILED_BREAK,MEDIAN,latest_close_R,113,-0.033007839361847244
external,30,FAILED_BREAK,MEDIAN,running_high_extension_R,113,0.07478005865102813
external,30,FAILED_BREAK,MEDIAN,running_low_depth_R,113,0.07446342531756421
external,30,FAILED_BREAK,MEDIAN,closes_H05,113,0.0
external,30,FAILED_BREAK,MEDIAN,closes_H10,113,0.0
external,30,FAILED_BREAK,MEDIAN,closes_above_H10,113,0.0
reference_validation,5,RECOVER_E40,STATE,ALIVE_ABOVE_H10,29,0.4827586206896552
reference_validation,5,RECOVER_E40,STATE,ALIVE_H05,29,0.27586206896551724
reference_validation,5,RECOVER_E40,STATE,ALIVE_H10,29,0.1724137931034483
reference_validation,5,RECOVER_E40,STATE,TARGET_BY_T,29,0.06896551724137931
reference_validation,5,RECOVER_E40,MEDIAN,latest_close_R,29,0.11965811965811997
reference_validation,5,RECOVER_E40,MEDIAN,running_high_extension_R,29,0.1932773109243615
reference_validation,5,RECOVER_E40,MEDIAN,running_low_depth_R,29,0.005405405405400506
reference_validation,5,RECOVER_E40,MEDIAN,closes_H05,29,0.0
reference_validation,5,RECOVER_E40,MEDIAN,closes_H10,29,0.0
reference_validation,5,RECOVER_E40,MEDIAN,closes_above_H10,29,1.0
reference_validation,5,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,107,0.6355140186915887
reference_validation,5,FAILED_BREAK,STATE,ALIVE_H05,107,0.14953271028037382
reference_validation,5,FAILED_BREAK,STATE,ALIVE_H10,107,0.12149532710280374
reference_validation,5,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,107,0.09345794392523364
reference_validation,5,FAILED_BREAK,MEDIAN,latest_close_R,107,-0.020637898686679073
reference_validation,5,FAILED_BREAK,MEDIAN,running_high_extension_R,107,0.06333333333333258
reference_validation,5,FAILED_BREAK,MEDIAN,running_low_depth_R,107,0.06140350877192407
reference_validation,5,FAILED_BREAK,MEDIAN,closes_H05,107,0.0
reference_validation,5,FAILED_BREAK,MEDIAN,closes_H10,107,0.0
reference_validation,5,FAILED_BREAK,MEDIAN,closes_above_H10,107,0.0
reference_validation,10,RECOVER_E40,STATE,TARGET_BY_T,29,0.3448275862068966
reference_validation,10,RECOVER_E40,STATE,ALIVE_ABOVE_H10,29,0.3103448275862069
reference_validation,10,RECOVER_E40,STATE,ALIVE_H10,29,0.20689655172413793
reference_validation,10,RECOVER_E40,STATE,ALIVE_H05,29,0.13793103448275862
reference_validation,10,RECOVER_E40,MEDIAN,latest_close_R,29,0.21848739495797598
reference_validation,10,RECOVER_E40,MEDIAN,running_high_extension_R,29,0.27062706270627296
reference_validation,10,RECOVER_E40,MEDIAN,running_low_depth_R,29,0.005405405405400506
reference_validation,10,RECOVER_E40,MEDIAN,closes_H05,29,0.0
reference_validation,10,RECOVER_E40,MEDIAN,closes_H10,29,0.0
reference_validation,10,RECOVER_E40,MEDIAN,closes_above_H10,29,1.0
reference_validation,10,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,107,0.7757009345794392
reference_validation,10,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,107,0.102803738317757
reference_validation,10,FAILED_BREAK,STATE,ALIVE_H05,107,0.06542056074766354
reference_validation,10,FAILED_BREAK,STATE,ALIVE_H10,107,0.056074766355140186
reference_validation,10,FAILED_BREAK,MEDIAN,latest_close_R,107,-0.030567685589522792
reference_validation,10,FAILED_BREAK,MEDIAN,running_high_extension_R,107,0.06972111553785036
reference_validation,10,FAILED_BREAK,MEDIAN,running_low_depth_R,107,0.06569343065693381
reference_validation,10,FAILED_BREAK,MEDIAN,closes_H05,107,0.0
reference_validation,10,FAILED_BREAK,MEDIAN,closes_H10,107,0.0
reference_validation,10,FAILED_BREAK,MEDIAN,closes_above_H10,107,0.0
reference_validation,15,RECOVER_E40,STATE,TARGET_BY_T,29,0.4827586206896552
reference_validation,15,RECOVER_E40,STATE,ALIVE_ABOVE_H10,29,0.3103448275862069
reference_validation,15,RECOVER_E40,STATE,ALIVE_H10,29,0.1724137931034483
reference_validation,15,RECOVER_E40,STATE,ALIVE_H05,29,0.034482758620689655
reference_validation,15,RECOVER_E40,MEDIAN,latest_close_R,29,0.2964824120603061
reference_validation,15,RECOVER_E40,MEDIAN,running_high_extension_R,29,0.38165137614679107
reference_validation,15,RECOVER_E40,MEDIAN,running_low_depth_R,29,0.005405405405400506
reference_validation,15,RECOVER_E40,MEDIAN,closes_H05,29,0.0
reference_validation,15,RECOVER_E40,MEDIAN,closes_H10,29,0.0
reference_validation,15,RECOVER_E40,MEDIAN,closes_above_H10,29,2.0
reference_validation,15,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,107,0.8504672897196262
reference_validation,15,FAILED_BREAK,STATE,ALIVE_H05,107,0.06542056074766354
reference_validation,15,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,107,0.056074766355140186
reference_validation,15,FAILED_BREAK,STATE,ALIVE_H10,107,0.028037383177570093
reference_validation,15,FAILED_BREAK,MEDIAN,latest_close_R,107,-0.0357653791130187
reference_validation,15,FAILED_BREAK,MEDIAN,running_high_extension_R,107,0.06972111553785036
reference_validation,15,FAILED_BREAK,MEDIAN,running_low_depth_R,107,0.06666666666666667
reference_validation,15,FAILED_BREAK,MEDIAN,closes_H05,107,0.0
reference_validation,15,FAILED_BREAK,MEDIAN,closes_H10,107,0.0
reference_validation,15,FAILED_BREAK,MEDIAN,closes_above_H10,107,0.0
reference_validation,30,RECOVER_E40,STATE,TARGET_BY_T,29,0.6551724137931034
reference_validation,30,RECOVER_E40,STATE,ALIVE_ABOVE_H10,29,0.3103448275862069
reference_validation,30,RECOVER_E40,STATE,ALIVE_H10,29,0.034482758620689655
reference_validation,30,RECOVER_E40,MEDIAN,latest_close_R,29,0.36134453781512055
reference_validation,30,RECOVER_E40,MEDIAN,running_high_extension_R,29,0.4537815126050362
reference_validation,30,RECOVER_E40,MEDIAN,running_low_depth_R,29,0.005405405405400506
reference_validation,30,RECOVER_E40,MEDIAN,closes_H05,29,0.0
reference_validation,30,RECOVER_E40,MEDIAN,closes_H10,29,0.0
reference_validation,30,RECOVER_E40,MEDIAN,closes_above_H10,29,2.0
reference_validation,30,FAILED_BREAK,STATE,TERMINAL_FAIL_BY_T,107,0.9345794392523364
reference_validation,30,FAILED_BREAK,STATE,ALIVE_ABOVE_H10,107,0.028037383177570093
reference_validation,30,FAILED_BREAK,STATE,ALIVE_H05,107,0.018691588785046728
reference_validation,30,FAILED_BREAK,STATE,ALIVE_H10,107,0.018691588785046728
reference_validation,30,FAILED_BREAK,MEDIAN,latest_close_R,107,-0.04347826086956611
reference_validation,30,FAILED_BREAK,MEDIAN,running_high_extension_R,107,0.06972111553785036
reference_validation,30,FAILED_BREAK,MEDIAN,running_low_depth_R,107,0.0769230769230763
reference_validation,30,FAILED_BREAK,MEDIAN,closes_H05,107,0.0
reference_validation,30,FAILED_BREAK,MEDIAN,closes_H10,107,0.0
reference_validation,30,FAILED_BREAK,MEDIAN,closes_above_H10,107,0.0
