partition,dev_block,ref_min,hour,execution_start,family,target_R,H,L,R,h1_ts,h1_break_ts,entry_ts,entry_price,entry_F,exit_ts,exit_price,exit_reason,return,pnl,return_5bps,pnl_5bps,won,won_5bps,h1_break_confirmed,invalidation_close_ts,role,candidate_scope,loss_class,mfe_R,mae_R,mfe_band,exec_to_entry_min,entry_to_break_min,break_to_fail_min,hold_min
development,0.0,240,18,2022-01-25 18:00:00+00:00,E0_RESTING_H,0.4,97.92,90.5,7.420000000000002,2022-01-25 18:30:00+00:00,2022-01-25 18:30:00+00:00,2022-01-25 18:30:00+00:00,97.92,1.0,2022-01-25 18:45:00+00:00,97.63,FAILED_BREAK,-0.0029616013071895,-1.4808006535947935,-0.0034616013071895,-1.7308006535947935,False,False,True,2022-01-25 18:40:00+00:00,CENTRAL,FROZEN_WINNER,L3_BREAK_FAST_FAIL_10M,0.1320754716981137,0.07008086253369217,M2_0.10-<0.20R,30.0,0.0,10.0,15.0
development,0.0,240,18,2022-01-26 18:00:00+00:00,E0_RESTING_H,0.4,101.97,97.43,4.539999999999992,2022-01-26 19:00:00+00:00,2022-01-26 19:05:00+00:00,2022-01-26 19:00:00+00:00,101.97,1.0,2022-01-26 19:05:00+00:00,103.786,TARGET,0.0178091595567324,8.904579778366228,0.0173091595567324,8.654579778366228,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.5462555066079313,0.9339207048458155,WIN,60.0,5.0,,5.0
development,0.0,240,18,2022-01-28 18:00:00+00:00,E0_RESTING_H,0.4,92.7,88.16,4.540000000000006,2022-01-28 18:30:00+00:00,2022-01-28 18:30:00+00:00,2022-01-28 18:30:00+00:00,92.7,1.0,2022-01-28 18:40:00+00:00,92.01,FAILED_BREAK,-0.0074433656957928,-3.721682847896424,-0.0079433656957928,-3.971682847896424,False,False,True,2022-01-28 18:35:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.0881057268722447,0.3392070484581507,M1_0.05-<0.10R,30.0,0.0,5.0,10.0
development,0.0,240,18,2022-01-31 18:00:00+00:00,E0_RESTING_H,0.4,98.77,91.13,7.640000000000001,2022-01-31 20:00:00+00:00,2022-01-31 20:00:00+00:00,2022-01-31 20:00:00+00:00,98.77,1.0,2022-01-31 20:10:00+00:00,97.89,FAILED_BREAK,-0.0089095879315581,-4.45479396577908,-0.0094095879315581,-4.70479396577908,False,False,True,2022-01-31 20:05:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.08638743455497523,0.18193717277486918,M1_0.05-<0.10R,120.0,0.0,5.0,10.0
development,0.0,240,18,2022-02-02 18:00:00+00:00,E0_RESTING_H,0.4,109.63,103.54,6.089999999999989,2022-02-02 18:55:00+00:00,2022-02-02 19:00:00+00:00,2022-02-02 18:55:00+00:00,109.63,1.0,2022-02-02 20:05:00+00:00,108.94,FAILED_BREAK,-0.0062938976557511,-3.146948827875584,-0.0067938976557511,-3.396948827875584,False,False,True,2022-02-02 20:00:00+00:00,CENTRAL,FROZEN_WINNER,L5_BREAK_FAIL_LATE,0.35632183908046067,0.2922824302134654,M3_0.20-<0.40R,55.0,5.0,60.0,70.0
development,0.0,240,18,2022-02-03 18:00:00+00:00,E0_RESTING_H,0.4,99.2,95.76,3.4399999999999977,2022-02-03 21:15:00+00:00,2022-02-03 21:15:00+00:00,2022-02-03 21:15:00+00:00,99.2,1.0,2022-02-03 21:20:00+00:00,100.576,TARGET,0.0138709677419355,6.935483870967762,0.0133709677419355,6.685483870967762,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.45930232558139517,0.19767441860465326,WIN,195.0,0.0,,5.0
development,0.0,240,18,2022-02-04 18:00:00+00:00,E0_RESTING_H,0.4,111.3,101.98,9.319999999999991,2022-02-04 23:45:00+00:00,2022-02-04 23:45:00+00:00,2022-02-04 23:45:00+00:00,111.3,1.0,2022-02-05 00:05:00+00:00,111.31,FAILED_BREAK,8.98472596586597e-05,0.0449236298293298,-0.0004101527403413,-0.2050763701706701,True,False,True,2022-02-05 00:00:00+00:00,CENTRAL,FROZEN_WINNER,WIN,0.16952789699570814,0.0933476394849776,WIN,345.0,0.0,15.0,20.0
development,0.0,240,18,2022-02-06 18:00:00+00:00,E0_RESTING_H,0.4,115.94,111.11,4.829999999999998,2022-02-07 03:15:00+00:00,2022-02-07 03:15:00+00:00,2022-02-07 03:15:00+00:00,115.94,1.0,2022-02-07 03:35:00+00:00,117.872,TARGET,0.0166637916163532,8.331895808176615,0.0161637916163532,8.081895808176615,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.5900621118012442,0.08488612836438855,WIN,555.0,0.0,,20.0
development,0.0,240,18,2022-02-08 18:00:00+00:00,E0_RESTING_H,0.4,113.19,110.11,3.0799999999999983,2022-02-08 20:40:00+00:00,,2022-02-08 20:40:00+00:00,113.19,1.0,2022-02-08 23:30:00+00:00,114.422,TARGET,0.0108843537414966,5.442176870748328,0.0103843537414966,5.192176870748328,True,True,False,,CENTRAL,FROZEN_WINNER,WIN,0.49025974025974217,0.30519480519480463,WIN,160.0,,,170.0
development,0.0,240,18,2022-02-09 18:00:00+00:00,E0_RESTING_H,0.4,115.12,112.36,2.760000000000005,2022-02-09 19:45:00+00:00,2022-02-09 19:45:00+00:00,2022-02-09 19:45:00+00:00,115.12,1.0,2022-02-09 20:00:00+00:00,115.0,FAILED_BREAK,-0.0010423905489923,-0.5211952744961779,-0.0015423905489923,-0.7711952744961779,False,False,True,2022-02-09 19:55:00+00:00,CENTRAL,FROZEN_WINNER,L3_BREAK_FAST_FAIL_10M,0.2753623188405759,0.13405797101449415,M3_0.20-<0.40R,105.0,0.0,10.0,15.0
development,0.0,240,18,2022-02-12 18:00:00+00:00,E0_RESTING_H,0.4,97.74,93.45,4.289999999999992,2022-02-12 18:00:00+00:00,2022-02-12 18:05:00+00:00,2022-02-12 18:00:00+00:00,97.74,1.0,2022-02-12 18:10:00+00:00,99.456,TARGET,0.0175567833026395,8.778391651319772,0.0170567833026395,8.528391651319772,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.45687645687645956,0.06526806526806565,WIN,0.0,5.0,,10.0
development,0.0,240,18,2022-02-14 18:00:00+00:00,E0_RESTING_H,0.4,97.92,95.23,2.6899999999999977,2022-02-15 01:25:00+00:00,2022-02-15 01:25:00+00:00,2022-02-15 01:25:00+00:00,97.92,1.0,2022-02-15 01:30:00+00:00,98.996,TARGET,0.0109885620915031,5.494281045751559,0.0104885620915031,5.244281045751559,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.7323420074349445,0.21933085501858882,WIN,445.0,0.0,,5.0
development,0.0,240,18,2022-02-15 18:00:00+00:00,E0_RESTING_H,0.4,103.2,100.76,2.4399999999999977,2022-02-15 22:40:00+00:00,,2022-02-15 22:40:00+00:00,103.2,1.0,2022-02-15 23:35:00+00:00,104.176,TARGET,0.0094573643410853,4.728682170542675,0.0089573643410853,4.478682170542675,True,True,False,,CENTRAL,FROZEN_WINNER,WIN,0.6434426229508174,0.3893442622950835,WIN,280.0,,,55.0
development,0.0,240,18,2022-02-16 18:00:00+00:00,E0_RESTING_H,0.4,100.23,98.11,2.1200000000000045,2022-02-16 19:00:00+00:00,2022-02-16 19:05:00+00:00,2022-02-16 19:00:00+00:00,100.23,1.0,2022-02-16 19:15:00+00:00,101.078,TARGET,0.0084605407562605,4.230270378130285,0.0079605407562605,3.980270378130285,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.6886792452830145,0.5047169811320779,WIN,60.0,5.0,,15.0
development,0.0,240,18,2022-02-20 18:00:00+00:00,E0_RESTING_H,0.4,91.5,87.37,4.129999999999996,2022-02-20 18:10:00+00:00,2022-02-20 18:10:00+00:00,2022-02-20 18:10:00+00:00,91.5,1.0,2022-02-20 18:40:00+00:00,93.152,TARGET,0.018054644808743,9.02732240437154,0.017554644808743,8.77732240437154,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.46004842615012287,0.14769975786924938,WIN,10.0,0.0,,30.0
development,0.0,240,18,2022-02-22 18:00:00+00:00,E0_RESTING_H,0.4,87.6,83.71,3.890000000000001,2022-02-23 00:15:00+00:00,2022-02-23 00:15:00+00:00,2022-02-23 00:15:00+00:00,87.6,1.0,2022-02-23 00:25:00+00:00,87.51,FAILED_BREAK,-0.0010273972602738,-0.5136986301369495,-0.0015273972602738,-0.7636986301369495,False,False,True,2022-02-23 00:20:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.1850899742930588,0.20308483290488222,M2_0.10-<0.20R,375.0,0.0,5.0,10.0
development,0.0,240,18,2022-02-24 18:00:00+00:00,E0_RESTING_H,0.4,86.8,80.17,6.629999999999996,2022-02-24 18:50:00+00:00,2022-02-24 18:50:00+00:00,2022-02-24 18:50:00+00:00,86.8,1.0,2022-02-24 19:35:00+00:00,89.452,TARGET,0.0305529953917049,15.276497695852488,0.0300529953917049,15.026497695852486,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.4826546003016598,0.09049773755656028,WIN,50.0,0.0,,45.0
development,0.0,240,18,2022-03-01 18:00:00+00:00,E0_RESTING_H,0.4,102.02,96.03,5.989999999999995,2022-03-02 03:25:00+00:00,2022-03-02 03:30:00+00:00,2022-03-02 03:25:00+00:00,102.02,1.0,2022-03-02 03:40:00+00:00,104.416,TARGET,0.0234855910605764,11.74279553028823,0.0229855910605764,11.49279553028823,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.4307178631051754,0.15191986644407302,WIN,565.0,5.0,,15.0
development,0.0,240,18,2022-03-08 18:00:00+00:00,E0_RESTING_H,0.4,84.37,81.3,3.0700000000000074,2022-03-08 18:05:00+00:00,2022-03-08 18:05:00+00:00,2022-03-08 18:05:00+00:00,84.37,1.0,2022-03-08 18:25:00+00:00,84.17,FAILED_BREAK,-0.0023705108450871,-1.185255422543552,-0.0028705108450871,-1.435255422543552,False,False,True,2022-03-08 18:20:00+00:00,CENTRAL,FROZEN_WINNER,L4_BREAK_FAIL_30M,0.2247557003257316,0.2117263843648222,M3_0.20-<0.40R,5.0,0.0,15.0,20.0
development,0.0,240,18,2022-03-10 18:00:00+00:00,E0_RESTING_H,0.4,83.4,81.08,2.3200000000000074,2022-03-10 22:35:00+00:00,2022-03-10 22:35:00+00:00,2022-03-10 22:35:00+00:00,83.4,1.0,2022-03-10 22:45:00+00:00,83.23,FAILED_BREAK,-0.0020383693045563,-1.0191846522781822,-0.0025383693045563,-1.2691846522781822,False,False,True,2022-03-10 22:40:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.24568965517241007,0.10775862068965483,M3_0.20-<0.40R,275.0,0.0,5.0,10.0
development,0.0,240,18,2022-03-12 18:00:00+00:00,E0_RESTING_H,0.4,82.38,80.83,1.5499999999999972,2022-03-13 03:50:00+00:00,2022-03-13 03:55:00+00:00,2022-03-13 03:50:00+00:00,82.38,1.0,2022-03-13 04:05:00+00:00,83.0,TARGET,0.0075260985676135,3.763049283806774,0.0070260985676135,3.513049283806774,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.6322580645161328,0.0838709677419327,WIN,590.0,5.0,,15.0
development,0.0,240,18,2022-03-14 18:00:00+00:00,E0_RESTING_H,0.4,81.44,78.86,2.5799999999999983,2022-03-14 22:50:00+00:00,,2022-03-14 22:50:00+00:00,81.44,1.0,2022-03-15 05:55:00+00:00,79.84,TIME,-0.0196463654223968,-9.82318271119842,-0.0201463654223968,-10.07318271119842,False,False,False,,CENTRAL,FROZEN_WINNER,L1_NEVER_BREAK_TIME,0.04263565891472849,0.8449612403100752,M0_<0.05R,290.0,,,425.0
development,0.0,240,18,2022-03-15 18:00:00+00:00,E0_RESTING_H,0.4,82.84,79.9,2.9399999999999977,2022-03-15 18:00:00+00:00,,2022-03-15 18:00:00+00:00,82.84,1.0,2022-03-15 18:50:00+00:00,84.016,TARGET,0.0141960405601158,7.098020280057904,0.0136960405601158,6.848020280057904,True,True,False,,CENTRAL,FROZEN_WINNER,WIN,0.5204081632653069,0.20068027210884484,WIN,0.0,,,50.0
development,0.0,240,18,2022-03-16 18:00:00+00:00,E0_RESTING_H,0.4,84.97,83.32,1.6500000000000057,2022-03-16 19:10:00+00:00,2022-03-16 19:10:00+00:00,2022-03-16 19:10:00+00:00,84.97,1.0,2022-03-16 19:15:00+00:00,85.63,TARGET,0.0077674473343531,3.883723667176597,0.0072674473343531,3.633723667176597,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.6848484848484797,0.581818181818176,WIN,70.0,0.0,,5.0
development,0.0,240,18,2022-03-17 18:00:00+00:00,E0_RESTING_H,0.4,90.76,88.65,2.1099999999999994,2022-03-17 19:45:00+00:00,2022-03-17 19:55:00+00:00,2022-03-17 19:45:00+00:00,90.76,1.0,2022-03-17 20:05:00+00:00,90.45,FAILED_BREAK,-0.003415601586602,-1.7078007933010175,-0.003915601586602,-1.9578007933010175,False,False,True,2022-03-17 20:00:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.13270142180094843,0.19905213270142266,M2_0.10-<0.20R,105.0,10.0,5.0,20.0
development,0.0,240,18,2022-03-18 18:00:00+00:00,E0_RESTING_H,0.4,92.31,85.35,6.960000000000008,2022-03-19 00:50:00+00:00,,2022-03-19 00:50:00+00:00,92.31,1.0,2022-03-19 05:55:00+00:00,89.79,TIME,-0.027299317517062,-13.649658758531023,-0.027799317517062,-13.899658758531023,False,False,False,,CENTRAL,FROZEN_WINNER,L1_NEVER_BREAK_TIME,0.01436781609195319,0.4367816091954027,M0_<0.05R,410.0,,,305.0
development,0.0,240,18,2022-03-20 18:00:00+00:00,E0_RESTING_H,0.4,90.19,87.77,2.4200000000000017,2022-03-20 20:10:00+00:00,2022-03-20 20:10:00+00:00,2022-03-20 20:10:00+00:00,90.19,1.0,2022-03-20 20:20:00+00:00,89.87,FAILED_BREAK,-0.0035480651956979,-1.7740325978489735,-0.0040480651956979,-2.024032597848974,False,False,True,2022-03-20 20:15:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.04132231404959027,0.3057851239669398,M0_<0.05R,130.0,0.0,5.0,10.0
development,0.0,240,18,2022-03-21 18:00:00+00:00,E0_RESTING_H,0.4,90.1,87.39,2.7099999999999937,2022-03-22 02:25:00+00:00,2022-03-22 02:30:00+00:00,2022-03-22 02:25:00+00:00,90.1,1.0,2022-03-22 03:00:00+00:00,90.06,FAILED_BREAK,-0.0004439511653717,-0.2219755826858849,-0.0009439511653717,-0.4719755826858849,False,False,True,2022-03-22 02:55:00+00:00,CENTRAL,FROZEN_WINNER,L4_BREAK_FAIL_30M,0.25092250922509535,0.1402214022140208,M3_0.20-<0.40R,505.0,5.0,25.0,35.0
development,0.0,240,18,2022-03-23 18:00:00+00:00,E0_RESTING_H,0.4,96.35,91.91,4.439999999999998,2022-03-24 05:35:00+00:00,2022-03-24 05:35:00+00:00,2022-03-24 05:35:00+00:00,96.35,1.0,2022-03-24 05:55:00+00:00,96.97,TIME,0.0064348728593668,3.217436429683418,0.0059348728593668,2.967436429683418,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.15540540540540818,0.056306306306306335,WIN,695.0,0.0,,20.0
development,0.0,240,18,2022-03-24 18:00:00+00:00,E0_RESTING_H,0.4,102.73,99.82,2.910000000000011,2022-03-24 19:05:00+00:00,2022-03-24 19:05:00+00:00,2022-03-24 19:05:00+00:00,102.73,1.0,2022-03-24 19:50:00+00:00,102.68,FAILED_BREAK,-0.0004867127421395,-0.2433563710697583,-0.0009867127421395,-0.4933563710697584,False,False,True,2022-03-24 19:45:00+00:00,CENTRAL,FROZEN_WINNER,L5_BREAK_FAIL_LATE,0.3436426116838475,0.12714776632302516,M3_0.20-<0.40R,65.0,0.0,40.0,45.0
development,0.0,240,18,2022-03-26 18:00:00+00:00,E0_RESTING_H,0.4,103.3,99.7,3.5999999999999943,2022-03-26 20:20:00+00:00,,2022-03-26 20:20:00+00:00,103.3,1.0,2022-03-27 05:55:00+00:00,101.47,TIME,-0.0177153920619554,-8.857696030977745,-0.0182153920619554,-9.107696030977747,False,False,False,,CENTRAL,FROZEN_WINNER,L1_NEVER_BREAK_TIME,0.02777777777778019,0.6388888888888891,M0_<0.05R,140.0,,,575.0
development,0.0,240,18,2022-03-27 18:00:00+00:00,E0_RESTING_H,0.4,102.0,100.1,1.9000000000000057,2022-03-27 18:00:00+00:00,2022-03-27 18:00:00+00:00,2022-03-27 18:00:00+00:00,102.0,1.0,2022-03-27 18:15:00+00:00,102.76,TARGET,0.0074509803921569,3.7254901960784848,0.0069509803921569,3.4754901960784848,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.5,0.04736842105263323,WIN,0.0,0.0,,15.0
development,0.0,240,18,2022-04-03 18:00:00+00:00,E0_RESTING_H,0.4,137.99,134.01,3.980000000000018,2022-04-03 22:00:00+00:00,2022-04-03 22:05:00+00:00,2022-04-03 22:00:00+00:00,137.99,1.0,2022-04-03 22:15:00+00:00,137.96,FAILED_BREAK,-0.0002174070584824,-0.1087035292412497,-0.0007174070584824,-0.3587035292412497,False,False,True,2022-04-03 22:10:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.08793969849246049,0.25125628140703404,M1_0.05-<0.10R,240.0,5.0,5.0,15.0
development,0.0,240,18,2022-04-04 18:00:00+00:00,E0_RESTING_H,0.4,133.75,125.69,8.060000000000002,2022-04-05 03:25:00+00:00,2022-04-05 03:30:00+00:00,2022-04-05 03:25:00+00:00,133.75,1.0,2022-04-05 03:40:00+00:00,133.39,FAILED_BREAK,-0.0026915887850468,-1.345794392523414,-0.0031915887850468,-1.595794392523414,False,False,True,2022-04-05 03:35:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.02729528535980134,0.07320099255583166,M0_<0.05R,565.0,5.0,5.0,15.0
development,0.0,240,18,2022-04-06 18:00:00+00:00,E0_RESTING_H,0.4,119.39,114.39,5.0,2022-04-06 18:00:00+00:00,2022-04-06 18:00:00+00:00,2022-04-06 18:00:00+00:00,119.39,1.0,2022-04-06 18:10:00+00:00,118.04,FAILED_BREAK,-0.011307479688416,-5.653739844208028,-0.011807479688416,-5.903739844208028,False,False,True,2022-04-06 18:05:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.11999999999999886,0.5879999999999995,M2_0.10-<0.20R,0.0,0.0,5.0,10.0
development,0.0,240,18,2022-04-07 18:00:00+00:00,E0_RESTING_H,0.4,117.53,111.66,5.8700000000000045,2022-04-07 18:35:00+00:00,2022-04-07 18:35:00+00:00,2022-04-07 18:35:00+00:00,117.53,1.0,2022-04-07 18:45:00+00:00,117.09,FAILED_BREAK,-0.0037437250063813,-1.8718625031906575,-0.0042437250063813,-2.121862503190658,False,False,True,2022-04-07 18:40:00+00:00,CENTRAL,FROZEN_WINNER,L2_BREAK_FAST_FAIL_5M,0.04940374787052672,0.173764906303236,M0_<0.05R,35.0,0.0,5.0,10.0
development,0.0,240,18,2022-04-09 18:00:00+00:00,E0_RESTING_H,0.4,111.75,109.2,2.549999999999997,2022-04-09 23:25:00+00:00,2022-04-09 23:30:00+00:00,2022-04-09 23:25:00+00:00,111.75,1.0,2022-04-09 23:30:00+00:00,112.77,TARGET,0.0091275167785234,4.563758389261707,0.0086275167785234,4.313758389261707,True,True,True,,CENTRAL,FROZEN_WINNER,WIN,0.7607843137254902,0.25098039215686324,WIN,325.0,5.0,,5.0
development,0.0,240,18,2022-04-10 18:00:00+00:00,E0_RESTING_H,0.4,114.87,110.56,4.310000000000002,2022-04-10 18:00:00+00:00,2022-04-10 18:00:00+00:00,2022-04-10 18:00:00+00:00,114.87,1.0,2022-04-10 18:50:00+00:00,114.84,FAILED_BREAK,-0.0002611647949856,-0.1305823974928066,-0.0007611647949856,-0.3805823974928066,False,False,True,2022-04-10 18:45:00+00:00,CENTRAL,FROZEN_WINNER,L5_BREAK_FAIL_LATE,0.262180974477957,0.05800464037122967,M3_0.20-<0.40R,0.0,0.0,45.0,50.0
