role,partition,loss_class,episode_class,n,gross_loss,gross_loss_5bps,median_loss,q90_loss,h2_eligible_rate,latent_target_rate
CENTRAL,external,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,8,104.12193423536648,106.37193423536647,12.524869426331408,19.75836998506933,0.125,0.0
CENTRAL,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,11,287.71958139911476,290.46958139911476,18.653100775193774,40.29778636683062,0.0,0.0
CENTRAL,external,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,6,49.22816462806284,50.97816462806284,7.956480256165188,16.11152060124005,0.16666666666666666,1.0
CENTRAL,external,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,13,21.126920478256373,26.876920478256373,1.2390494816084676,3.072654223830485,0.7692307692307693,1.0
CENTRAL,external,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,16,51.50029313812432,58.75029313812432,2.4568975784756697,6.945066166559322,0.8125,1.0
CENTRAL,external,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,8,60.64002457439005,64.14002457439005,2.969573336820658,16.916152580289214,0.75,0.0
CENTRAL,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,3,41.67318762180855,43.17318762180855,14.927639150770169,15.817216723861797,1.0,1.0
CENTRAL,external,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,11,36.71384177047027,41.71384177047027,1.6446548716671505,8.17553157112394,0.8181818181818182,1.0
CENTRAL,external,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,13,69.5058028534411,75.00580285344108,1.7593082354023235,15.532884781242739,0.6923076923076923,0.0
CENTRAL,reference_validation,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,5,3.2955252101433685,5.295525210143369,0.588491717524009,1.0180448914443363,0.6,1.0
CENTRAL,reference_validation,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,21,26.255866275651016,36.00586627565102,1.1979358643567917,1.9110096976612256,0.8571428571428571,1.0
CENTRAL,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,5,29.91561398379755,32.165613983797556,5.745652285435831,7.007538050438522,0.8,1.0
CENTRAL,reference_validation,L3_BREAK_FAST_FAIL_10M,RESIDUAL_TRUE_FAILURE_PROXY,10,39.06398404362032,43.56398404362033,1.0572429552493934,12.3005804179928,0.8,0.0
CENTRAL,reference_validation,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,24,29.000410303152478,40.75041030315248,1.2223033569968011,2.3100129768027715,0.9583333333333334,1.0
CENTRAL,reference_validation,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,26,61.20424787615881,72.9542478761588,1.0212929797886738,4.731955835027529,0.8076923076923077,0.0
CENTRAL,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,12,138.16805431064208,142.16805431064208,10.998435064659336,15.051232607380408,0.3333333333333333,0.0
CENTRAL,reference_validation,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,13,22.57542763050624,28.32542763050624,1.149981842391956,1.9972970475030665,0.7692307692307693,0.0
CENTRAL,reference_validation,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,26,196.0688333813559,202.8188333813559,6.9336013083497186,14.932592140560697,0.038461538461538464,0.0
CENTRAL,reference_validation,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,4,2.4815304527155413,4.231530452715541,0.5662442217433672,0.8576170949039674,0.75,1.0
CENTRAL,reference_validation,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,9,10.373101966543175,14.873101966543176,1.1587052403378983,2.214666355907169,1.0,0.0
CENTRAL,reference_validation,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,8,30.240683868872853,32.24068386887286,3.9002581148258892,6.232967357383783,0.0,1.0
CLOCK_SUPPORT,external,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,11,74.76251374135994,79.76251374135994,5.266210814162397,19.377954528400963,0.8181818181818182,0.0
CLOCK_SUPPORT,external,L1_NEVER_BREAK_TIME,RESIDUAL_TRUE_FAILURE_PROXY,8,92.9647647152726,94.9647647152726,11.342937357468774,20.390866308047382,0.0,0.0
CLOCK_SUPPORT,external,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,17,30.737135982299545,38.23713598229955,1.4830127628977507,3.6335960274707313,0.7647058823529411,1.0
CLOCK_SUPPORT,external,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,13,271.2213541788046,274.4713541788046,20.264733690513737,26.275364766437807,0.0,0.0
CLOCK_SUPPORT,external,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,9,21.01623323825158,25.01623323825158,0.8230596805827162,4.575834443607818,0.7777777777777778,1.0
