episode_id,partition,origin_state,outcome,transition,resume,n_intervals,first_sideways_ts,age2_source_start,age2_source_end,frozen_boundary,path_class,first_break_pos,first_reclaim_pos,first_rebreak_pos,break_to_reclaim_min,reclaim_to_rebreak_min,confirmation_bar_start,confirmation_complete_ts,eligible_open_ts,exit_effective_ts,confirmation_to_exit_hours,eligible_before_exit,age2_final_4h_beyond
588,development,BEAR,TRANSITION,True,False,2,2022-01-25 12:00:00+00:00,2022-01-25 12:00:00+00:00,2022-01-25 16:00:00+00:00,37528.0,NO_BREAK,,,,,,,,,2022-01-25 20:00:00+00:00,,False,False
590,development,BULL,TRANSITION,True,False,3,2022-01-27 00:00:00+00:00,2022-01-27 00:00:00+00:00,2022-01-27 04:00:00+00:00,32853.83,NO_BREAK,,,,,,,,,2022-01-27 12:00:00+00:00,,False,False
597,development,BULL,TRANSITION,True,False,2,2022-01-31 04:00:00+00:00,2022-01-31 04:00:00+00:00,2022-01-31 08:00:00+00:00,37252.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-01-31 12:00:00+00:00,,False,True
602,development,BEAR,TRANSITION,True,False,2,2022-02-04 08:00:00+00:00,2022-02-04 08:00:00+00:00,2022-02-04 12:00:00+00:00,39260.26,NO_BREAK,,,,,,,,,2022-02-04 16:00:00+00:00,,False,False
604,development,BULL,RESUME,False,True,4,2022-02-11 00:00:00+00:00,2022-02-11 00:00:00+00:00,2022-02-11 04:00:00+00:00,42641.0,NO_BREAK,,,,,,,,,2022-02-11 16:00:00+00:00,,False,False
613,development,BEAR,RESUME,False,True,2,2022-02-23 12:00:00+00:00,2022-02-23 12:00:00+00:00,2022-02-23 16:00:00+00:00,38450.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-02-23 20:00:00+00:00,,False,True
615,development,BEAR,TRANSITION,True,False,2,2022-02-25 00:00:00+00:00,2022-02-25 00:00:00+00:00,2022-02-25 04:00:00+00:00,39250.0,NO_BREAK,,,,,,,,,2022-02-25 08:00:00+00:00,,False,False
620,development,BULL,TRANSITION,True,False,3,2022-03-03 16:00:00+00:00,2022-03-03 16:00:00+00:00,2022-03-03 20:00:00+00:00,43321.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-03-04 04:00:00+00:00,,False,True
625,development,BULL,TRANSITION,True,False,3,2022-03-10 08:00:00+00:00,2022-03-10 08:00:00+00:00,2022-03-10 12:00:00+00:00,37529.9,NO_BREAK,,,,,,,,,2022-03-10 20:00:00+00:00,,False,False
639,development,BULL,TRANSITION,True,False,3,2022-03-21 00:00:00+00:00,2022-03-21 00:00:00+00:00,2022-03-21 04:00:00+00:00,40442.8,NO_BREAK,,,,,,,,,2022-03-21 12:00:00+00:00,,False,False
644,development,BEAR,TRANSITION,True,False,5,2022-04-01 16:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-01 20:00:00+00:00,47688.6,NO_BREAK,,,,,,,,,2022-04-02 12:00:00+00:00,,False,False
648,development,BEAR,TRANSITION,True,False,3,2022-04-03 08:00:00+00:00,2022-04-03 08:00:00+00:00,2022-04-03 12:00:00+00:00,47236.8,NO_BREAK,,,,,,,,,2022-04-03 20:00:00+00:00,,False,False
657,development,BEAR,RESUME,False,True,5,2022-04-13 16:00:00+00:00,2022-04-13 16:00:00+00:00,2022-04-13 20:00:00+00:00,40700.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2022-04-14 12:00:00+00:00,,False,True
661,development,BEAR,RESUME,False,True,2,2022-04-17 12:00:00+00:00,2022-04-17 12:00:00+00:00,2022-04-17 16:00:00+00:00,40888.0,NO_BREAK,,,,,,,,,2022-04-17 20:00:00+00:00,,False,False
