hour_wib,candidate_rank,character_rule,dev_lb,dev_hold,dev_wr,dev_exp,dev_pf,plateau_strict_support_2022,plateau_economic_support_2022,exact_test_n,exact_test_wr,exact_test_net,exact_test_exp,exact_test_pf,exact_test_dd,exact_test_ls,local_viable_cells,local_stable_cells,verdict
5,1,DRIVE_DOWN__EFF_HIGH,180,360,0.6616541353383458,1.8262752586009243,1.7140205698392492,3,4,125,0.48,44.54453457688607,0.35635627661508856,1.2536786031443696,59.71079464517666,8,2,0,TEST_DEGRADATION_FAIL
5,2,RV_LOW__RANGE_MID,240,360,0.7435897435897436,3.417785895898396,2.9605159758803508,3,3,53,0.3018867924528302,-52.98635172337646,-0.9997424853467256,0.3183390985962404,57.08252071651618,9,0,0,TEST_DEGRADATION_FAIL
5,3,EFF_HIGH__RV_LOW,240,360,0.6304347826086957,1.4252426174404342,1.6195713213175094,2,3,82,0.24390243902439024,-105.44741930653943,-1.2859441378846272,0.2119430166926471,112.94798527319738,19,0,0,TEST_DEGRADATION_FAIL
6,1,RV_LOW__RANGE_MID,120,360,0.581081081081081,2.1177052905627045,1.8334038987680368,3,3,41,0.3902439024390244,-30.477376313143914,-0.7433506417839979,0.5611961353134423,47.750306874447155,8,0,0,TEST_DEGRADATION_FAIL
6,2,DRIVE_DOWN__STR_B60_80,180,240,0.6438356164383562,1.3901859077904517,1.6754846071733045,3,3,75,0.49333333333333335,8.343517347074535,0.1112468979609938,1.0967129739437267,47.514166349331525,10,0,0,TEST_DEGRADATION_FAIL
6,3,DRIVE_DOWN__EFF_HIGH,240,240,0.5819672131147541,1.4525630583717888,1.5916481709160983,2,4,113,0.48672566371681414,-3.574394726495121,-0.03163181173889487,0.9756457569962034,79.65390387037601,8,2,0,TEST_DEGRADATION_FAIL
7,1,DRIVE_DOWN__STR_B20_40,360,360,0.5697674418604651,1.5902255341431115,1.5499488570962634,3,3,95,0.4105263157894737,-131.7179989600743,-1.3865052522113086,0.4590952882038213,151.98423449216702,9,0,0,TEST_DEGRADATION_FAIL
7,2,DRIVE_DOWN__STR_B40_60,240,360,0.6162790697674418,2.9275891344025142,2.198449217131423,3,3,81,0.4691358024691358,-33.55083214988093,-0.4142078043195177,0.7411543077394847,65.71853873642358,14,1,0,TEST_DEGRADATION_FAIL
7,3,DRIVE_DOWN__EFF_MID,180,360,0.5723270440251572,2.0116186530548585,1.8086672911166803,3,3,139,0.41007194244604317,-77.15479032379537,-0.5550704339841394,0.7329738815920125,138.9989366977452,14,0,0,TEST_DEGRADATION_FAIL
8,1,DRIVE_DOWN__STR_B0_20,360,240,0.5555555555555556,1.2912153348404063,1.7867262220844142,2,3,100,0.33,-82.19331185335776,-0.8219331185335775,0.49318371035258546,99.21047314790721,9,0,0,TEST_DEGRADATION_FAIL
8,2,EFF_LOW__RANGE_MID,360,240,0.6176470588235294,2.09833920525352,2.8594872481993194,2,3,80,0.4125,31.003264600778962,0.387540807509737,1.4447737131115586,32.301186291632305,17,1,1,LOCAL_NEIGHBORHOOD_FAIL
8,3,RV_MID__RANGE_MID,360,240,0.5704225352112676,1.324803810584203,1.7264858373486534,2,3,137,0.35036496350364965,-148.94846365008925,-1.0872150631393376,0.3146909863952485,156.57900045039565,22,0,0,TEST_DEGRADATION_FAIL
9,1,EFF_MID__EXT_HIGH,360,360,0.6025641025641025,2.519129453985585,2.080374358773708,3,3,92,0.44565217391304346,-79.73627645343697,-0.8666986571025758,0.5220471953911329,96.70967575470468,8,0,0,TEST_DEGRADATION_FAIL
9,2,DRIVE_DOWN__STR_B80_100,360,120,0.6236559139784946,2.222724796438481,2.338257080749402,1,2,71,0.4507042253521127,-14.12406147807896,-0.1989304433532248,0.7952842349838332,39.55878132960884,7,1,0,TEST_DEGRADATION_FAIL
9,3,EFF_MID__RANGE_LOW,360,480,0.5625,1.5856178264903054,1.6393801006268098,1,2,119,0.3865546218487395,-174.8271868972265,-1.4691360243464413,0.5004025739724565,202.68089819455062,15,0,0,TEST_DEGRADATION_FAIL
10,1,DRIVE_UP__RV_HIGH,120,480,0.6551724137931034,3.355748449675356,2.2632684858242675,3,4,168,0.4226190476190476,-81.55761147437424,-0.48546197306175143,0.7920753322116546,152.21444286247214,22,0,0,TEST_DEGRADATION_FAIL
10,2,DRIVE_UP__STR_B60_80,60,480,0.6153846153846154,2.08094781048385,1.7605539862782609,2,3,84,0.42857142857142855,52.70451789555887,0.6274347368518913,1.3981269005867338,48.92069538448305,10,0,0,TEST_DEGRADATION_FAIL
10,3,DRIVE_UP__RANGE_HIGH,120,480,0.6417910447761194,2.509032729365248,1.8229327566900784,2,3,141,0.46099290780141844,39.64947483341256,0.28120194917313873,1.152777299554943,94.81681399855225,18,0,0,TEST_DEGRADATION_FAIL
11,1,DRIVE_UP__RANGE_HIGH,360,360,0.5983606557377049,2.7181425172156235,2.104799486030803,4,4,161,0.42857142857142855,-32.519034994470644,-0.20198158381658785,0.8986612250278627,108.98451454556152,19,0,0,TEST_DEGRADATION_FAIL
11,2,DRIVE_UP__RV_HIGH,240,480,0.6605504587155964,3.625632043734615,2.669005202716262,3,4,164,0.43902439024390244,7.777301149473594,0.047422567984595085,1.0218287546357485,115.4098040440395,19,1,0,TEST_DEGRADATION_FAIL
11,3,DRIVE_UP__STR_B80_100,360,480,0.6756756756756757,3.6324485011334255,3.188617041422648,3,3,107,0.514018691588785,34.871858031269376,0.3259052152455082,1.1655294709748854,67.9505712400152,11,1,0,TEST_DEGRADATION_FAIL
12,1,DRIVE_UP__STR_B80_100,240,360,0.6896551724137931,1.6725950477512528,1.8374817126568144,3,4,91,0.5274725274725275,71.72297737303627,0.7881645865168821,1.4614097877204975,50.99297748800555,8,1,0,TEST_DEGRADATION_FAIL
12,2,EFF_HIGH__RV_MID,60,480,0.6067415730337079,3.2821887058401,2.3528110907582462,3,3,91,0.4835164835164835,-44.27614744959614,-0.48655107087468286,0.7730831828730893,117.74095558994804,6,0,0,TEST_DEGRADATION_FAIL
12,3,DRIVE_UP__RV_HIGH,360,360,0.6696428571428571,1.887760274009094,1.811100909497252,3,3,163,0.4785276073619632,13.61653199993701,0.08353700613458288,1.0417577016342574,119.1194680377523,11,0,0,TEST_DEGRADATION_FAIL
13,1,DRIVE_UP__STR_B60_80,120,360,0.654320987654321,2.3667220429598403,2.272658246746193,5,5,74,0.5,63.0861690841859,0.8525157984349445,1.521165038680155,30.17156136803716,5,0,0,TEST_DEGRADATION_FAIL
13,2,DRIVE_UP__RANGE_MID,180,360,0.6041666666666666,1.3838319875036666,1.5440587866197673,4,5,140,0.42142857142857143,67.72855447899471,0.48377538913567647,1.2493875390239664,82.48306223136049,10,0,0,TEST_DEGRADATION_FAIL
13,3,EFF_MID__RV_HIGH,180,360,0.5833333333333334,3.960093721530789,2.175238343158508,4,4,94,0.5212765957446809,23.327941616254844,0.24816959166228558,1.1366118321203778,43.94481157805075,6,0,0,TEST_DEGRADATION_FAIL
14,1,EFF_HIGH__RANGE_MID,120,360,0.6262626262626263,1.4226210894836626,1.5419374037335558,4,4,65,0.38461538461538464,-60.79918004572858,-0.9353720007035167,0.5065579904461684,71.42783935329629,10,0,0,TEST_DEGRADATION_FAIL
14,2,DRIVE_UP__STR_B40_60,120,480,0.627906976744186,2.1495743323255327,1.7431363017718025,3,3,82,0.47560975609756095,13.651095618272615,0.16647677583259288,1.0669330163635382,62.96514306091525,8,0,0,TEST_DEGRADATION_FAIL
14,3,DRIVE_DOWN__STR_B40_60,360,360,0.6097560975609756,1.5045470654930724,1.766322659441752,3,3,71,0.4507042253521127,32.27363022198686,0.45455817214066,1.2459275629716915,47.070993319996276,8,0,0,TEST_DEGRADATION_FAIL
15,1,EFF_LOW__RV_HIGH,180,360,0.6081081081081081,3.774620267500208,2.003341476403436,3,3,106,0.39622641509433965,8.94581625616785,0.08439449298271556,1.0354605002781068,87.76733242928132,12,0,0,TEST_DEGRADATION_FAIL
15,2,RV_MID__RANGE_HIGH,240,120,0.5753424657534246,1.0725477909726249,1.904896328293633,2,3,65,0.35384615384615387,-100.91266322882228,-1.5525025112126505,0.21863204280958973,108.99273272100115,11,0,0,TEST_DEGRADATION_FAIL
15,3,EFF_LOW__RANGE_MID,240,360,0.575,3.810679388865213,2.7937002817586887,2,2,102,0.3333333333333333,-76.02769430169185,-0.7453695519773711,0.7230746786830412,133.85971545856452,16,0,0,TEST_DEGRADATION_FAIL
16,1,EFF_LOW__RANGE_MID,360,360,0.5857142857142857,3.623093844046284,2.48614987220674,3,3,101,0.26732673267326734,-249.55239531857936,-2.470815795233459,0.3449334237814839,257.3023982510363,14,0,0,TEST_DEGRADATION_FAIL
16,2,RV_MID__RANGE_LOW,60,240,0.6212121212121212,1.6355817239546755,1.9606750906092647,3,3,55,0.41818181818181815,-35.6299229374052,-0.6478167806800945,0.506925705853994,43.20802032205841,7,0,0,TEST_DEGRADATION_FAIL
16,3,EFF_LOW__RV_MID,120,240,0.6052631578947368,1.2815839182944295,1.5917476011562968,3,3,74,0.33783783783783783,-75.59226013164029,-1.0215170288059499,0.4371125868941771,106.80179900251734,12,0,0,TEST_DEGRADATION_FAIL
17,1,DRIVE_UP__EXT_LOW,360,360,0.5703703703703704,3.624902570984585,2.24154835211505,3,3,124,0.4274193548387097,-79.21587377811092,-0.638837691758959,0.7718506742071424,172.06806283983497,11,0,0,TEST_DEGRADATION_FAIL
17,2,EFF_LOW__EXT_MID,120,480,0.5662650602409639,2.791079968272243,1.655824685059499,2,2,81,0.3950617283950617,-33.58869579719163,-0.41467525675545225,0.8639328002288527,79.62420887831937,5,0,0,TEST_DEGRADATION_FAIL
17,3,EFF_LOW__RANGE_HIGH,120,120,0.55,1.899786017102426,1.9131858011524248,2,2,52,0.38461538461538464,-49.585570260693274,-0.953568658859486,0.37655516730740896,63.04749668465183,13,0,0,TEST_DEGRADATION_FAIL
18,1,DRIVE_DOWN__EXT_HIGH,120,240,0.5714285714285714,1.849845226148184,1.633625533111848,3,4,153,0.4117647058823529,-74.56128584910611,-0.4873286656804321,0.7932155632914759,171.4612473277736,8,0,0,TEST_DEGRADATION_FAIL
18,2,DRIVE_DOWN__STR_B80_100,60,120,0.5822784810126582,1.371327717296505,1.6362750810726838,3,3,105,0.42857142857142855,-25.727285863103187,-0.24502177012479226,0.7608564417620068,63.506241840922016,9,0,0,TEST_DEGRADATION_FAIL
18,3,RV_HIGH__RANGE_MID,360,360,0.6229508196721312,1.2548634545134392,1.464155530384479,2,3,94,0.39361702127659576,-6.706378775788355,-0.07134445506157824,0.9771009924235271,98.97742495499934,9,0,0,TEST_DEGRADATION_FAIL
19,1,RV_LOW__RANGE_MID,60,360,0.5657894736842105,3.3374251793397143,1.9570371418562047,3,3,59,0.5423728813559322,97.11189794493171,1.645964371947995,1.764339244695023,43.485634584963535,4,1,0,TEST_DEGRADATION_FAIL
19,2,DRIVE_DOWN__STR_B60_80,60,360,0.5573770491803278,1.5387660239640597,1.5285353021617396,3,3,80,0.35,-115.1346874373802,-1.4391835929672525,0.6123493804949816,142.51868874963705,13,0,0,TEST_DEGRADATION_FAIL
19,3,DRIVE_DOWN__STR_B80_100,120,120,0.6153846153846154,2.6090961952816265,2.101266289135592,2,2,99,0.36363636363636365,-69.39170365671995,-0.7009262995628278,0.6145271483351327,104.3707573115801,11,0,0,TEST_DEGRADATION_FAIL
20,1,DRIVE_DOWN__RV_HIGH,120,120,0.6055045871559633,3.791303417904336,3.0022574285105508,4,4,166,0.3493975903614458,-237.30567691300405,-1.4295522705602655,0.45366885256462325,274.7082219708028,13,0,0,TEST_DEGRADATION_FAIL
20,2,DRIVE_DOWN__RANGE_HIGH,120,120,0.5983606557377049,3.427389162125003,2.707093985352933,4,4,155,0.32903225806451614,-282.2390459201479,-1.8208970704525669,0.3456079630082363,307.5731981306389,12,0,0,TEST_DEGRADATION_FAIL
20,3,DRIVE_DOWN__STR_B80_100,60,120,0.6144578313253012,3.308305028140458,2.4731034261482203,3,3,111,0.3333333333333333,-171.69796395018867,-1.5468285040557537,0.3731947353385497,180.95351880110775,8,0,0,TEST_DEGRADATION_FAIL
21,1,DRIVE_UP__STR_B60_80,60,480,0.5555555555555556,3.472131861254047,1.9483174420566136,1,2,68,0.39705882352941174,-64.38724179279257,-0.9468712028351848,0.7553760027648446,74.64720627113131,13,0,0,TEST_DEGRADATION_FAIL
21,2,DRIVE_UP__STR_B20_40,60,480,0.573170731707317,3.1200925890468443,1.7933222550868717,1,1,70,0.35714285714285715,-94.4453094732446,-1.3492187067606372,0.5918811742361513,121.48236066311127,6,0,0,TEST_DEGRADATION_FAIL
21,3,DRIVE_UP__RANGE_MID,60,480,0.5528455284552846,2.049894222409758,1.5022409795870346,1,1,139,0.4028776978417266,-231.90226065044592,-1.66836158741328,0.5909696084504931,342.96342700191803,23,0,0,TEST_DEGRADATION_FAIL
22,1,DRIVE_UP__EFF_HIGH,360,480,0.5882352941176471,5.06762055997666,2.5273499437057394,3,3,144,0.4375,-163.34786270737936,-1.1343601576901345,0.7211760530523598,324.49641740779725,14,0,0,TEST_DEGRADATION_FAIL
22,2,EFF_HIGH__RANGE_MID,240,360,0.5714285714285714,4.207657550574145,2.585687369833641,3,3,79,0.34177215189873417,-152.1610357977074,-1.9260890607304735,0.4515895281334744,152.16103579770743,9,0,0,TEST_DEGRADATION_FAIL
22,3,RV_HIGH__RANGE_MID,360,480,0.6031746031746031,3.001192962616709,2.2367609500526946,2,2,63,0.30158730158730157,-73.26824768831348,-1.1629880585446584,0.6430514094623181,103.47926955233444,9,0,0,TEST_DEGRADATION_FAIL
23,1,DRIVE_UP__RV_MID,120,360,0.6237623762376238,2.180482039848869,1.8903958914729968,3,4,99,0.35353535353535354,-63.54373886546476,-0.6418559481360077,0.7194280530619444,111.47770465992431,15,0,0,TEST_DEGRADATION_FAIL
23,2,DRIVE_UP__STR_B40_60,60,360,0.5681818181818182,1.4512892834375029,1.4462413759163666,3,3,74,0.44594594594594594,-47.84632474599519,-0.646571956026962,0.7714485604889116,89.9889979832349,5,0,0,TEST_DEGRADATION_FAIL
23,3,DRIVE_UP__RANGE_MID,180,480,0.6097560975609756,0.9495964395438858,1.3437884592567833,2,4,95,0.3473684210526316,-166.79230298937793,-1.7557084525197677,0.5599391381136256,202.7762827130527,13,0,0,TEST_DEGRADATION_FAIL
