activation,ext,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F65,activation_px,session_end,activated,activation_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r
E40,0.4,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42232.948000000004,2022-01-17 20:00:00+00:00,True,2022-01-17 16:10:00+00:00,0,42232.948000000004,2022-01-17 16:15:00+00:00,2022-01-17 16:15:00+00:00,42232.948000000004,PROFIT_CEILING_HIT,2.6265430139923,True,1.2702350148621844,0.39999999999999375,0.31490235690235024,0.8702350148621907
E50,0.5,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42186.185,2022-01-17 20:00:00+00:00,True,2022-01-17 16:10:00+00:00,0,42186.185,2022-01-17 16:15:00+00:00,2022-01-17 16:15:00+00:00,42215.15,PROFIT_CEILING_GAP_OPEN,2.835979816448964,True,1.2702350148621844,0.43806000470457346,0.34486531986531743,0.8321750101576109
E05,0.05,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38597.13,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E10,0.1,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38564.26,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E15,0.15,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38531.39,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E20,0.2,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38498.52,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E25,0.25,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38465.65,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E30,0.3,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38432.78,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E40,0.4,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38367.04,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E50,0.5,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,39057.31,38301.3,2022-03-14 20:00:00+00:00,False,,0,,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PRE_ACT_CLOSE_INVALIDATION_F65,-5.207686100792186,False,,,,
E05,0.05,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42696.715,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E10,0.1,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42672.43,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E15,0.15,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42648.145000000004,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E20,0.2,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42623.86,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E25,0.25,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42599.575,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
E30,0.3,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.854999999996,43206.7,42721.0,485.6999999999971,43036.705,42575.29,2022-03-24 20:00:00+00:00,False,,0,,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PRE_ACT_CLOSE_INVALIDATION_F65,-3.5481739609577896,False,,,,
