SOL R4c H07 ETH-Style LONG Character Discovery
commit=7a3d6e6a4118754bcf0cdb42e719f4c098d5572d
hour_wib=7 direction=LONG candidates=3240 gate_relaxation=false
# SOL R4c — H07 ETH-Style LONG Character Discovery

Raw SOLUSDT 5m coverage: **99.7698%**.
Direction: **LONG only**.
Time habitat: **07:00–08:00 WIB only**.
Scientific grammar/gates are frozen from the established one-hour economic-first method; only the hour changes.
Development-era consistency: 2022, 2023, 2024. OOS is not opened by this runner.
Character rules: **90**; lookbacks: **6**; holds: **6**; candidates: **3240**; full-gate passers: **0**.

## Best Development LONG characters

| # | Character | LB | Hold | N | WR | Net | Exp | PF | DD | Anchors | 2022 WR/Exp | 2023 WR/Exp | 2024 WR/Exp | Gate |
| 17 | `DRIVE_DOWN__RV_HIGH` | 240m | 960m | 514 | 52.53% | $+1202.29 | $+2.34 | 1.294 | $+332.73 | 1/4 | 53.18%/$+2.06 | 54.59%/$+2.97 | 49.36%/$+1.90 | NO |
| 18 | `EFF_MID__RANGE_HIGH` | 360m | 720m | 283 | 51.94% | $+872.87 | $+3.08 | 1.431 | $+362.97 | 1/4 | 50.55%/$+2.60 | 50.00%/$+4.93 | 54.90%/$+1.88 | NO |
| 19 | `EFF_MID__RV_HIGH` | 120m | 720m | 319 | 56.43% | $+1124.19 | $+3.52 | 1.521 | $+361.48 | 1/4 | 50.00%/$+1.98 | 65.18%/$+6.48 | 53.15%/$+1.87 | NO |
| 20 | `EFF_MID__RANGE_HIGH` | 120m | 720m | 284 | 56.69% | $+1289.50 | $+4.54 | 1.712 | $+317.49 | 3/4 | 51.72%/$+4.03 | 65.35%/$+7.52 | 52.08%/$+1.87 | NO |
| 21 | `RV_HIGH__RANGE_MID` | 360m | 360m | 215 | 58.60% | $+411.01 | $+1.91 | 1.417 | $+247.27 | 4/4 | 67.44%/$+2.47 | 48.78%/$+1.71 | 63.33%/$+1.83 | NO |
| 22 | `RV_MID__RANGE_HIGH` | 30m | 720m | 227 | 53.74% | $+473.73 | $+2.09 | 1.375 | $+145.31 | 3/4 | 51.95%/$+2.06 | 52.63%/$+2.49 | 56.76%/$+1.70 | NO |
| 23 | `EFF_HIGH__RV_MID` | 60m | 360m | 293 | 55.29% | $+514.28 | $+1.76 | 1.502 | $+108.74 | 3/4 | 51.49%/$+1.52 | 53.61%/$+2.33 | 61.05%/$+1.43 | NO |
| 24 | `EFF_MID__RV_HIGH` | 120m | 960m | 319 | 50.16% | $+907.64 | $+2.85 | 1.319 | $+420.56 | 0/4 | 51.04%/$+3.23 | 51.79%/$+3.99 | 47.75%/$+1.36 | NO |
| 25 | `RV_HIGH__RANGE_LOW` | 15m | 720m | 70 | 64.29% | $+212.96 | $+3.04 | 1.891 | $+48.95 | 0/0 | 87.50%/$+5.60 | 52.94%/$+2.33 | 51.72%/$+1.35 | NO |

**Status: SOL_R4C_H07_NO_LONG_CHARACTER**

No H07 LONG character passed the unchanged anchor-stability + pooled-economics + all-era gates.
No gate relaxation. No replacement candidate is promoted.

Research/shadow only.

