family,lookback_min,state_bin,hold_min,year,N,WR,net,exp,PF,DD,LS
TREND,60,HIGH,120,2023,87,39.08045977011494,-12.616559852130367,-0.1450179293348318,0.9155717269334784,45.24425678492597,6
TREND,60,HIGH,120,2024,118,33.89830508474576,-109.98283520882039,-0.9320579254984779,0.596755480011791,136.1679563279373,9
TREND,60,HIGH,240,2022,122,40.98360655737705,-162.70750350060845,-1.333668061480397,0.6988551213019543,217.76974229127325,8
TREND,60,HIGH,240,2023,87,45.97701149425287,37.44796344916003,0.430436361484598,1.1830414025484122,79.23363865990706,6
TREND,60,HIGH,240,2024,118,42.3728813559322,-102.006522532268,-0.8644620553582033,0.7370925978955245,126.13161363223378,5
TREND,60,HIGH,360,2022,122,40.98360655737705,-118.5123687037966,-0.971412858227841,0.8137351223566446,178.02709722334484,9
TREND,60,HIGH,360,2023,87,45.97701149425287,9.463232464033162,0.1087727869429099,1.0350886328510835,96.29182561251055,7
TREND,60,HIGH,360,2024,118,45.76271186440678,-23.548265154818093,-0.1995615691086279,0.942608515913535,95.15763055896336,6
TREND,60,HIGH,720,2022,122,47.540983606557376,-129.73291528099867,-1.0633845514835956,0.8543960483607859,186.97285137174958,5
TREND,60,HIGH,720,2023,87,50.57471264367817,126.10253835002521,1.4494544637933933,1.4101944068595489,86.10655706987326,7
TREND,60,HIGH,720,2024,118,43.22033898305085,25.09862420079328,0.21270020509146847,1.046926640213779,137.84716505033668,5
TREND,60,HIGH,960,2022,122,50.0,-182.98269653341123,-1.4998581683066494,0.8166718596947156,263.43963461991297,5
TREND,60,HIGH,960,2023,87,52.87356321839081,113.15842334340994,1.3006715326828728,1.36699523148998,96.18810335520755,7
TREND,60,HIGH,960,2024,118,50.0,105.91372676452917,0.8975739556316031,1.201809444945909,98.49573796524828,5
TREND,120,LOW,60,2022,122,45.08196721311475,-137.70170917034469,-1.1287025341831531,0.5406886442591177,167.3768816355129,6
TREND,120,LOW,60,2023,98,35.714285714285715,-112.63469322950269,-1.1493336043826805,0.2822815653169173,112.87410865015691,8
TREND,120,LOW,60,2024,125,45.6,-43.6362419612843,-0.3490899356902744,0.7882862215794513,116.2037916050077,8
TREND,120,LOW,120,2022,122,41.80327868852459,-209.29771185096297,-1.7155550151718275,0.4248436801708064,216.53459333492722,8
TREND,120,LOW,120,2023,98,40.816326530612244,-91.75028424188113,-0.9362273902232768,0.5015125394217508,117.74368125895839,8
TREND,120,LOW,120,2024,125,54.400000000000006,-35.076572672888446,-0.2806125813831076,0.8598215172285377,91.37233790758427,6
TREND,120,LOW,240,2022,122,43.44262295081967,-290.6200683174415,-2.3821317075200126,0.4554825091646195,293.2330361708246,10
TREND,120,LOW,240,2023,98,46.93877551020408,-36.954930202838845,-0.37709112451876375,0.8074258062668972,70.50119081047143,8
TREND,120,LOW,240,2024,125,53.6,-76.83768588941132,-0.6147014871152906,0.789200656963258,121.65993541203287,5
TREND,120,LOW,360,2022,122,41.80327868852459,-270.41677286835187,-2.2165309251504253,0.5487933942357379,282.24677627480185,7
TREND,120,LOW,360,2023,98,47.95918367346938,-16.985326849745004,-0.17331966173209187,0.9241161468158636,94.77818269208936,5
TREND,120,LOW,360,2024,125,55.2,9.384026779661562,0.0750722142372925,1.0246159831844108,56.25524412313669,4
TREND,120,LOW,720,2022,122,40.98360655737705,-349.20405836756373,-2.8623283472751124,0.5619322286659867,389.60107538150123,6
TREND,120,LOW,720,2023,98,46.93877551020408,87.18489071589035,0.8896417419988811,1.4251856677756254,49.93466667879846,4
TREND,120,LOW,720,2024,124,58.06451612903226,-47.76289855960125,-0.38518466580323585,0.9161065476727468,186.94287194734906,7
TREND,120,LOW,960,2022,122,52.459016393442624,-214.2693869317535,-1.7563064502602745,0.7370256899833433,327.88925943494155,7
TREND,120,LOW,960,2023,98,47.95918367346938,40.244288698754694,0.41065600713014994,1.180884716577728,47.97208177569539,5
TREND,120,LOW,960,2024,124,54.03225806451613,-12.09719147045583,-0.0975579957294825,0.9785913851282599,187.56977130949912,6
TREND,120,MID,60,2022,121,34.710743801652896,-66.79878421513021,-0.5520560678936381,0.680964460263443,77.82104646688066,8
TREND,120,MID,60,2023,198,25.252525252525253,-132.4350465433708,-0.6688638714311655,0.3784333218654347,132.93907268449112,19
TREND,120,MID,60,2024,136,33.088235294117645,-103.38226291393539,-0.7601636978965838,0.4842611370182807,108.44523637936832,9
TREND,120,MID,120,2022,121,34.710743801652896,-110.12295661601473,-0.9101070794711962,0.6088577392974611,136.25910950732285,11
TREND,120,MID,120,2023,198,34.84848484848485,-128.49751912664541,-0.648977369326492,0.5678172055290559,147.52101050586577,9
TREND,120,MID,120,2024,136,41.911764705882355,-66.26118619281303,-0.48721460435891933,0.7199905867759401,85.80371694093077,9
TREND,120,MID,240,2022,121,46.28099173553719,-53.564357670121524,-0.44268064190183076,0.8747971390373914,107.81530448126938,8
TREND,120,MID,240,2023,198,42.92929292929293,-81.10933947618629,-0.40964312866760755,0.7942651859399268,173.62186258304044,8
TREND,120,MID,240,2024,136,43.38235294117647,-203.61783129538054,-1.4971899359954453,0.5324742359841204,235.57020203980747,9
TREND,120,MID,360,2022,121,41.32231404958678,-94.05694209712661,-0.7773300999762529,0.8097289921079591,188.3131687079949,7
TREND,120,MID,360,2023,198,40.4040404040404,-119.19690375094595,-0.602004564398717,0.7540991786016402,197.23643157270104,10
TREND,120,MID,360,2024,136,38.970588235294116,-207.595379624621,-1.526436614886919,0.5476655915138481,225.13791676138052,9
TREND,120,MID,720,2022,121,38.84297520661157,-241.10625590267077,-1.9926136851460394,0.6530121744158008,304.62751621278034,10
TREND,120,MID,720,2023,198,40.909090909090914,-16.590590706557514,-0.08379086215433088,0.9727363464300461,144.2284026329724,7
TREND,120,MID,720,2024,136,45.588235294117645,-170.40941259249868,-1.2530103867095492,0.7046820565951265,233.75657639886836,8
TREND,120,MID,960,2022,121,38.84297520661157,-333.5012263421306,-2.7562084821663686,0.5978134719321238,383.25427905468996,10
TREND,120,MID,960,2023,198,40.4040404040404,-21.370042418475222,-0.10792950716401628,0.9674166089404157,175.1564239822127,11
TREND,120,MID,960,2024,136,44.85294117647059,-129.7568951060172,-0.9540948169560088,0.7875407091085009,207.66611661484046,8
TREND,120,HIGH,60,2022,122,33.60655737704918,-74.04097449288845,-0.606893233548266,0.7337019411393885,104.15221792425427,9
TREND,120,HIGH,60,2023,69,37.68115942028986,-25.783621039731123,-0.37367566724248,0.7602682805973978,34.195761045785716,9
TREND,120,HIGH,60,2024,105,30.476190476190478,-110.23000336181536,-1.049809555826813,0.4665651814421944,110.87774774878133,10
TREND,120,HIGH,120,2022,122,32.78688524590164,-139.62603910856473,-1.1444757303980715,0.6597859779423371,181.56431746788482,9
TREND,120,HIGH,120,2023,69,47.82608695652174,29.383021394602444,0.42584088977684703,1.3036958626502924,30.737065623779053,4
TREND,120,HIGH,120,2024,105,37.142857142857146,-98.77016669423594,-0.9406682542308185,0.5808326311948345,121.21593000884992,9
TREND,120,HIGH,240,2022,122,39.34426229508197,-145.55749539950807,-1.1930942245861318,0.7221616755885432,196.85493612863507,9
TREND,120,HIGH,240,2023,69,50.72463768115942,11.302501092144658,0.1638043636542704,1.0663838670395,62.592769152635285,4
TREND,120,HIGH,240,2024,105,43.80952380952381,-11.526733245303909,-0.10977841186003723,0.9569100314649485,115.32341621435897,7
