i,entry_t,coarse,thu_sign,l4_sign,thu_day_ret,sun12_to16_ret,sell_pnl,buy_pnl,final_decision
23,2024-05-12 09:00:00+00:00,F-|S+|U-,-,-,-0.009400968613773597,-0.000476538268806892,-0.5940303459258807,-0.9059696540741193,BUY
24,2024-05-19 09:00:00+00:00,F+|S-|U+,+,+,0.006263054467253948,6.40643623361914e-05,2.9387547704702888,-7.773802017528762,WAIT
25,2024-05-26 09:00:00+00:00,F+|S+|U+,-,+,-0.034303694068826496,0.0027350402574155552,-0.28066817668684374,-7.799770461519844,SELL
26,2024-06-02 09:00:00+00:00,F-|S+|U+,+,-,0.0166740388868587,-0.0014700293711279455,-7.6496932433887705,4.095120217023523,BUY
27,2024-06-09 09:00:00+00:00,F-|S-|U-,-,+,-0.005300199843600639,0.0006504191670309023,-3.299061684802147,1.799061684802147,SELL
28,2024-06-16 09:00:00+00:00,F-|S+|U+,-,+,-0.037774336550146836,0.0016900982615268845,-1.121749710994776,-0.378250289005224,SELL
29,2024-06-23 09:00:00+00:00,F-|S+|U+,-,+,-0.000556240369799621,9.47887919247048e-05,11.773275414335378,-7.773275414335375,SELL
30,2024-06-30 09:00:00+00:00,F-|S+|U+,+,+,0.0073797002731468275,0.012840174954171557,-7.6998603587942345,11.648872959808633,WAIT
31,2024-07-07 09:00:00+00:00,F-|S+|U-,-,+,-0.036488483498028024,0.0007658816235303068,11.799289801074897,-7.750000000000062,BUY
32,2024-07-14 09:00:00+00:00,F+|S+|U+,-,+,-0.0009830915194051215,0.004053325679461928,-7.708370066496263,11.685192278340224,SELL
33,2024-07-21 09:00:00+00:00,F+|S+|U-,-,-,-0.005340907144514406,-0.003733743219346164,-7.746752069613234,-7.753247930386722,WAIT
34,2024-07-28 09:00:00+00:00,F+|S+|U-,-,+,-0.02281699393676384,0.0006001607361179051,-7.750000000000006,11.749999999999956,WAIT
35,2024-08-04 09:00:00+00:00,F+|S-|U-,-,+,-0.051921856415157785,6.77232596359989e-05,11.75000000000001,-7.750000000000006,SELL
36,2024-08-11 09:00:00+00:00,F+|S+|U+,+,+,0.06119549581186079,0.005998915561689744,11.75000000000001,-7.750000000000006,SELL
37,2024-08-18 09:00:00+00:00,F-|S+|U+,+,+,0.006980817559506081,0.004142730702312303,11.716524105054496,-7.73421460567708,WAIT
38,2024-08-25 09:00:00+00:00,F+|S+|U-,+,-,0.007476538705080138,-0.0032782283218963926,-7.734413776197084,0.18602372851261342,WAIT
39,2024-09-01 09:00:00+00:00,F-|S+|U-,+,-,0.018741241719251622,-0.0034907868223226224,5.567777387066816,-7.750000000000006,BUY
40,2024-09-08 09:00:00+00:00,F-|S+|U+,-,-,-0.035414436097953805,-0.00016157283813700296,-7.775843393449373,-7.750000000000006,WAIT
41,2024-09-15 09:00:00+00:00,F+|S+|U+,+,-,0.013158216334554274,-0.0008786103313259686,11.76384044280592,-7.752018787583996,SELL
42,2024-09-22 09:00:00+00:00,F-|S+|U-,+,-,0.06079197901237254,-0.0007914466661697039,-7.722479837704294,6.33002612868897,BUY
43,2024-09-29 09:00:00+00:00,F+|S-|U+,+,-,0.02963571356505068,-0.00281965756301239,8.314167261394882,-7.801762615718458,WAIT
44,2024-10-06 09:00:00+00:00,F+|S-|U+,-,+,-0.026446487022006138,0.0018011259462378248,-7.728854171615975,11.705683771593975,BUY
45,2024-10-13 09:00:00+00:00,F+|S+|U-,-,-,-0.024387993752478465,-5.2556976540496514e-05,0.9220432701156257,-2.422043270115626,WAIT
46,2024-10-20 09:00:00+00:00,F+|S-|U+,-,+,-0.006434539403809336,0.0021898484255518103,-7.699830489139026,1.694945387959078,BUY
47,2024-10-27 09:00:00+00:00,F+|S-|U+,+,+,0.025700079705469392,0.0009593797996922948,-7.699576654611487,3.5274753912354617,WAIT
48,2024-11-03 09:00:00+00:00,F-|S-|U-,-,-,-0.023277680469630857,-0.0016637406605968241,-6.655213148658573,-7.750000000000006,SELL
49,2024-11-10 09:00:00+00:00,F+|S+|U+,+,-,0.021226963988554504,-0.0013068646978757759,-7.678931410576727,11.678931410576675,SELL
50,2024-11-17 09:00:00+00:00,F+|S+|U+,-,+,-0.0334311898778058,0.004697477795396532,11.75000000000001,-7.750000000000062,SELL
51,2024-11-24 09:00:00+00:00,F+|S-|U+,+,-,0.03325319703428353,-0.0010037033191429012,3.1542166717734283,-7.750000000000006,WAIT
52,2024-12-01 09:00:00+00:00,F+|S-|U+,-,+,-0.007440047134923744,0.005465340957335529,-3.9466591692490307,2.4466591692490307,BUY
53,2024-12-08 09:00:00+00:00,F-|S+|U-,+,-,0.06553116961535488,-0.007873140159726844,-7.750000000000006,0.23070079703036053,BUY
54,2024-12-15 09:00:00+00:00,F-|S+|U+,+,-,0.008763181314228596,-0.0035855639274091633,-7.699652609206941,11.69965260920689,BUY
55,2024-12-22 09:00:00+00:00,F-|S+|U-,-,+,-0.033347671049271166,0.004616805170821747,11.846863419791195,-7.750000000000006,BUY
56,2024-12-29 09:00:00+00:00,F-|S+|U+,-,-,-0.019436471410915312,-1.0516474582278335e-06,5.710316441273837,-7.799673726032935,WAIT
57,2025-01-05 09:00:00+00:00,F+|S-|U+,+,-,0.03322415943004198,-0.005020362165834791,-7.658068585517747,4.068833526090706,WAIT
58,2025-01-12 09:00:00+00:00,F-|S+|U-,-,-,-0.005633074389934989,-0.004155035282892405,-7.6900201623006295,-0.6989787245015376,BUY
59,2025-01-19 09:00:00+00:00,F+|S-|U+,+,-,0.003618062012370027,-0.005708768077368753,-7.699749744764567,-7.800250255235445,WAIT
60,2025-01-26 09:00:00+00:00,F+|S-|U+,+,-,0.013780064916587564,-0.0013030617194708105,11.836547361904772,-7.792182836190483,WAIT
61,2025-02-02 09:00:00+00:00,F-|S-|U-,+,+,0.035273287385334307,0.0029339602633828843,11.745715860129232,-7.750000000000006,SELL
62,2025-02-09 09:00:00+00:00,F+|S-|U+,-,-,-0.014237738788954846,-0.0015928056221511389,5.805944460148311,-7.750000000000006,WAIT
63,2025-02-16 09:00:00+00:00,F+|S-|U-,-,-,-0.016744666782884665,-0.0037533479063213138,4.09951627841965,-5.59951627841965,SELL
