role,partition,snapshot_min,feature,latent_n,true_n,latent_value,true_value,latent_minus_true
CENTRAL,development,60,fraction_closes_above_H,92,41,0.9230769230769231,0.3076923076923077,0.6153846153846154
CENTRAL,development,60,E10_by_snapshot,92,41,0.9021739130434783,0.6097560975609756,0.2924178154825027
CENTRAL,development,60,E20_by_snapshot,92,41,0.7065217391304348,0.34146341463414637,0.36505832449628844
CENTRAL,external,5,close_R,51,25,0.05138180842500611,0.015624999999998277,0.03575680842500783
CENTRAL,external,5,running_mfe_R,51,25,0.11012658227848081,0.05553841406973147,0.05458816820874934
CENTRAL,external,5,closes_above_H,51,25,2.0,2.0,0.0
CENTRAL,external,5,fraction_closes_above_H,51,25,1.0,1.0,0.0
CENTRAL,external,5,E10_by_snapshot,51,25,0.5098039215686274,0.28,0.2298039215686274
CENTRAL,external,5,E20_by_snapshot,51,25,0.27450980392156865,0.04,0.23450980392156864
CENTRAL,external,10,close_R,51,25,0.05057526366251118,0.016135014836793242,0.03444024882571794
CENTRAL,external,10,running_mfe_R,51,25,0.1283737024221436,0.07800751879699562,0.050366183625147984
CENTRAL,external,10,closes_above_H,51,25,3.0,2.0,1.0
CENTRAL,external,10,fraction_closes_above_H,51,25,1.0,0.6666666666666666,0.33333333333333337
CENTRAL,external,10,E10_by_snapshot,51,25,0.6078431372549019,0.4,0.2078431372549019
CENTRAL,external,10,E20_by_snapshot,51,25,0.3333333333333333,0.04,0.29333333333333333
CENTRAL,external,15,close_R,51,25,0.040190735694826125,0.002781899109795028,0.037408836585031094
CENTRAL,external,15,running_mfe_R,51,25,0.1283737024221436,0.08352941176470752,0.04484429065743609
CENTRAL,external,15,closes_above_H,51,25,3.0,3.0,0.0
CENTRAL,external,15,fraction_closes_above_H,51,25,0.75,0.75,0.0
CENTRAL,external,15,E10_by_snapshot,51,25,0.6274509803921569,0.4,0.22745098039215683
CENTRAL,external,15,E20_by_snapshot,51,25,0.37254901960784315,0.04,0.33254901960784317
CENTRAL,external,30,close_R,51,25,0.057170542635660584,-0.024596615505706444,0.08176715814136704
CENTRAL,external,30,running_mfe_R,51,25,0.18956158663883443,0.10545796044636005,0.08410362619247438
CENTRAL,external,30,closes_above_H,51,25,5.0,3.0,2.0
CENTRAL,external,30,fraction_closes_above_H,51,25,0.7142857142857143,0.42857142857142855,0.28571428571428575
CENTRAL,external,30,E10_by_snapshot,51,25,0.8235294117647058,0.56,0.2635294117647058
CENTRAL,external,30,E20_by_snapshot,51,25,0.49019607843137253,0.08,0.4101960784313725
CENTRAL,external,60,close_R,51,25,0.11184210526315531,-0.04664723032070014,0.15848933558385545
CENTRAL,external,60,running_mfe_R,51,25,0.3778701071506694,0.11925287356321784,0.25861723358745153
CENTRAL,external,60,closes_above_H,51,25,10.0,5.0,5.0
CENTRAL,external,60,fraction_closes_above_H,51,25,0.7692307692307693,0.38461538461538464,0.38461538461538464
CENTRAL,external,60,E10_by_snapshot,51,25,0.8627450980392157,0.64,0.22274509803921572
CENTRAL,external,60,E20_by_snapshot,51,25,0.6078431372549019,0.28,0.3278431372549019
CENTRAL,reference_validation,5,close_R,51,35,0.038327526132408876,0.017857142857143765,0.02047038327526511
CENTRAL,reference_validation,5,running_mfe_R,51,35,0.10801393728223059,0.07272727272727109,0.035286664554959504
CENTRAL,reference_validation,5,closes_above_H,51,35,2.0,2.0,0.0
CENTRAL,reference_validation,5,fraction_closes_above_H,51,35,1.0,1.0,0.0
CENTRAL,reference_validation,5,E10_by_snapshot,51,35,0.5098039215686274,0.3142857142857143,0.19551820728291314
CENTRAL,reference_validation,5,E20_by_snapshot,51,35,0.27450980392156865,0.08571428571428572,0.18879551820728294
CENTRAL,reference_validation,10,close_R,51,35,0.03614457831325466,0.024701873935263362,0.0114427043779913
CENTRAL,reference_validation,10,running_mfe_R,51,35,0.12398921832884378,0.09554140127387947,0.02844781705496431
CENTRAL,reference_validation,10,closes_above_H,51,35,3.0,3.0,0.0
CENTRAL,reference_validation,10,fraction_closes_above_H,51,35,1.0,1.0,0.0
CENTRAL,reference_validation,10,E10_by_snapshot,51,35,0.6274509803921569,0.37142857142857144,0.2560224089635854
CENTRAL,reference_validation,10,E20_by_snapshot,51,35,0.35294117647058826,0.11428571428571428,0.238655462184874
CENTRAL,reference_validation,15,close_R,51,35,0.032000000000005004,0.013620885357548754,0.01837911464245625
CENTRAL,reference_validation,15,running_mfe_R,51,35,0.18518518518518812,0.09927797833934698,0.08590720684584113
CENTRAL,reference_validation,15,closes_above_H,51,35,3.0,3.0,0.0
CENTRAL,reference_validation,15,fraction_closes_above_H,51,35,0.75,0.75,0.0
CENTRAL,reference_validation,15,E10_by_snapshot,51,35,0.6862745098039216,0.4857142857142857,0.20056022408963586
CENTRAL,reference_validation,15,E20_by_snapshot,51,35,0.43137254901960786,0.11428571428571428,0.3170868347338936
CENTRAL,reference_validation,30,close_R,51,34,0.06020558002936805,0.02050935404716874,0.03969622598219931
CENTRAL,reference_validation,30,running_mfe_R,51,34,0.21568627450980216,0.12242358881050142,0.09326268569930074
CENTRAL,reference_validation,30,closes_above_H,51,34,6.0,4.5,1.5
CENTRAL,reference_validation,30,fraction_closes_above_H,51,34,0.8571428571428571,0.6428571428571428,0.2142857142857143
CENTRAL,reference_validation,30,E10_by_snapshot,51,34,0.803921568627451,0.6470588235294118,0.1568627450980392
CENTRAL,reference_validation,30,E20_by_snapshot,51,34,0.5098039215686274,0.20588235294117646,0.30392156862745096
CENTRAL,reference_validation,60,close_R,51,34,0.10256410256410631,-0.03429170410302644,0.13685580666713276
CENTRAL,reference_validation,60,running_mfe_R,51,34,0.3076923076923105,0.14389233954451702,0.16379996814779346
CENTRAL,reference_validation,60,closes_above_H,51,34,10.0,7.0,3.0
CENTRAL,reference_validation,60,fraction_closes_above_H,51,34,0.7692307692307693,0.5384615384615384,0.23076923076923084
CENTRAL,reference_validation,60,E10_by_snapshot,51,34,0.9215686274509803,0.7647058823529411,0.1568627450980392
CENTRAL,reference_validation,60,E20_by_snapshot,51,34,0.6274509803921569,0.23529411764705882,0.39215686274509803
CLOCK_SUPPORT,external,5,close_R,51,27,0.05833802288501218,0.0016247648366664107,0.05671325804834577
CLOCK_SUPPORT,external,5,running_mfe_R,51,27,0.11149961149961041,0.0513816491235143,0.06011796237609611
CLOCK_SUPPORT,external,5,closes_above_H,51,27,2.0,2.0,0.0
CLOCK_SUPPORT,external,5,fraction_closes_above_H,51,27,1.0,1.0,0.0
CLOCK_SUPPORT,external,5,E10_by_snapshot,51,27,0.5490196078431373,0.2962962962962963,0.252723311546841
CLOCK_SUPPORT,external,5,E20_by_snapshot,51,27,0.29411764705882354,0.037037037037037035,0.2570806100217865
CLOCK_SUPPORT,external,10,close_R,51,27,0.0587131870193214,-0.0037037037037033,0.0624168907230247
CLOCK_SUPPORT,external,10,running_mfe_R,51,27,0.1388829445752195,0.06442028985507325,0.07446265472014624
CLOCK_SUPPORT,external,10,closes_above_H,51,27,3.0,2.0,1.0
CLOCK_SUPPORT,external,10,fraction_closes_above_H,51,27,1.0,0.6666666666666666,0.33333333333333337
CLOCK_SUPPORT,external,10,E10_by_snapshot,51,27,0.6470588235294118,0.37037037037037035,0.27668845315904145
CLOCK_SUPPORT,external,10,E20_by_snapshot,51,27,0.3333333333333333,0.07407407407407407,0.25925925925925924
CLOCK_SUPPORT,external,15,close_R,51,27,0.09557109557109537,0.004927536231884936,0.09064355933921044
CLOCK_SUPPORT,external,15,running_mfe_R,51,27,0.15451107509454431,0.07654623392529009,0.07796484116925423
CLOCK_SUPPORT,external,15,closes_above_H,51,27,4.0,2.0,2.0
CLOCK_SUPPORT,external,15,fraction_closes_above_H,51,27,1.0,0.5,0.5
CLOCK_SUPPORT,external,15,E10_by_snapshot,51,27,0.7058823529411765,0.4074074074074074,0.29847494553376913
CLOCK_SUPPORT,external,15,E20_by_snapshot,51,27,0.4117647058823529,0.07407407407407407,0.33769063180827885
CLOCK_SUPPORT,external,30,close_R,50,27,0.08195037142405745,-0.027140851661208443,0.10909122308526589
CLOCK_SUPPORT,external,30,running_mfe_R,50,27,0.26523681632377405,0.09768115942029092,0.16755565690348312
CLOCK_SUPPORT,external,30,closes_above_H,50,27,6.5,2.0,4.5
CLOCK_SUPPORT,external,30,fraction_closes_above_H,50,27,0.9285714285714286,0.2857142857142857,0.6428571428571429
CLOCK_SUPPORT,external,30,E10_by_snapshot,50,27,0.82,0.48148148148148145,0.3385185185185185
CLOCK_SUPPORT,external,30,E20_by_snapshot,50,27,0.54,0.1111111111111111,0.42888888888888893
CLOCK_SUPPORT,external,60,close_R,50,27,0.18937295759653977,-0.1146718988445607,0.30404485644110046
CLOCK_SUPPORT,external,60,running_mfe_R,50,27,0.3776702314409518,0.10869565217391317,0.2689745792670386
CLOCK_SUPPORT,external,60,closes_above_H,50,27,11.0,3.0,8.0
CLOCK_SUPPORT,external,60,fraction_closes_above_H,50,27,0.8461538461538461,0.23076923076923078,0.6153846153846154
CLOCK_SUPPORT,external,60,E10_by_snapshot,50,27,0.9,0.5925925925925926,0.30740740740740746
CLOCK_SUPPORT,external,60,E20_by_snapshot,50,27,0.76,0.2222222222222222,0.5377777777777778
CLOCK_SUPPORT,reference_validation,5,close_R,51,37,0.03910614525140095,0.017391304347826732,0.021714840903574218
CLOCK_SUPPORT,reference_validation,5,running_mfe_R,51,37,0.10266159695817302,0.07826086956521618,0.024400727392956845
CLOCK_SUPPORT,reference_validation,5,closes_above_H,51,37,2.0,2.0,0.0
CLOCK_SUPPORT,reference_validation,5,fraction_closes_above_H,51,37,1.0,1.0,0.0
CLOCK_SUPPORT,reference_validation,5,E10_by_snapshot,51,37,0.5098039215686274,0.2702702702702703,0.23953365129835713
CLOCK_SUPPORT,reference_validation,5,E20_by_snapshot,51,37,0.19607843137254902,0.05405405405405406,0.14202437731849496
CLOCK_SUPPORT,reference_validation,10,close_R,51,36,0.051490514905148464,0.027720870678614753,0.02376964422653371
CLOCK_SUPPORT,reference_validation,10,running_mfe_R,51,36,0.11538461538461958,0.09209329713107825,0.023291318253541332
CLOCK_SUPPORT,reference_validation,10,closes_above_H,51,36,3.0,2.0,1.0
CLOCK_SUPPORT,reference_validation,10,fraction_closes_above_H,51,36,1.0,0.6666666666666666,0.33333333333333337
CLOCK_SUPPORT,reference_validation,10,E10_by_snapshot,51,36,0.6274509803921569,0.3888888888888889,0.23856209150326796
CLOCK_SUPPORT,reference_validation,10,E20_by_snapshot,51,36,0.27450980392156865,0.05555555555555555,0.2189542483660131
CLOCK_SUPPORT,reference_validation,15,close_R,51,36,0.03539823008848823,0.03474407117967164,0.0006541589088165933
CLOCK_SUPPORT,reference_validation,15,running_mfe_R,51,36,0.15151515151515807,0.10126750545534899,0.05024764605980908
CLOCK_SUPPORT,reference_validation,15,closes_above_H,51,36,4.0,3.0,1.0
CLOCK_SUPPORT,reference_validation,15,fraction_closes_above_H,51,36,1.0,0.75,0.25
CLOCK_SUPPORT,reference_validation,15,E10_by_snapshot,51,36,0.6666666666666666,0.5277777777777778,0.13888888888888884
CLOCK_SUPPORT,reference_validation,15,E20_by_snapshot,51,36,0.4117647058823529,0.05555555555555555,0.35620915032679734
CLOCK_SUPPORT,reference_validation,30,close_R,51,34,0.06020558002936805,-0.0028248587570622605,0.06303043878643032
CLOCK_SUPPORT,reference_validation,30,running_mfe_R,51,34,0.2131147540983534,0.1198248407643298,0.0932899133340236
CLOCK_SUPPORT,reference_validation,30,closes_above_H,51,34,5.0,4.5,0.5
CLOCK_SUPPORT,reference_validation,30,fraction_closes_above_H,51,34,0.7142857142857143,0.6428571428571428,0.07142857142857151
CLOCK_SUPPORT,reference_validation,30,E10_by_snapshot,51,34,0.7843137254901961,0.6176470588235294,0.16666666666666663
CLOCK_SUPPORT,reference_validation,30,E20_by_snapshot,51,34,0.5294117647058824,0.14705882352941177,0.38235294117647056
CLOCK_SUPPORT,reference_validation,60,close_R,50,32,0.07778126964174048,-0.03860640301318362,0.1163876726549241
CLOCK_SUPPORT,reference_validation,60,running_mfe_R,50,32,0.2777129584616215,0.12868279569892854,0.14903016276269293
CLOCK_SUPPORT,reference_validation,60,closes_above_H,50,32,10.0,6.5,3.5
CLOCK_SUPPORT,reference_validation,60,fraction_closes_above_H,50,32,0.7692307692307693,0.5,0.2692307692307693
CLOCK_SUPPORT,reference_validation,60,E10_by_snapshot,50,32,0.86,0.75,0.10999999999999999
CLOCK_SUPPORT,reference_validation,60,E20_by_snapshot,50,32,0.56,0.21875,0.34125000000000005
REF_SUPPORT,external,5,close_R,52,24,0.05754262147482987,0.023418273252545557,0.034124348222284315
REF_SUPPORT,external,5,running_mfe_R,52,24,0.1268474156330679,0.061149646756584464,0.06569776887648343
REF_SUPPORT,external,5,closes_above_H,52,24,2.0,2.0,0.0
REF_SUPPORT,external,5,fraction_closes_above_H,52,24,1.0,1.0,0.0
REF_SUPPORT,external,5,E10_by_snapshot,52,24,0.5961538461538461,0.25,0.34615384615384615
REF_SUPPORT,external,5,E20_by_snapshot,52,24,0.3269230769230769,0.0,0.3269230769230769
REF_SUPPORT,external,10,close_R,52,24,0.04284902867020718,-0.02369288793411791,0.0665419166043251
REF_SUPPORT,external,10,running_mfe_R,52,24,0.15250477491786069,0.0897071551750884,0.06279761974277229
REF_SUPPORT,external,10,closes_above_H,52,24,3.0,2.0,1.0
REF_SUPPORT,external,10,fraction_closes_above_H,52,24,1.0,0.6666666666666666,0.33333333333333337
REF_SUPPORT,external,10,E10_by_snapshot,52,24,0.6730769230769231,0.4166666666666667,0.25641025641025644
REF_SUPPORT,external,10,E20_by_snapshot,52,24,0.38461538461538464,0.08333333333333333,0.3012820512820513
REF_SUPPORT,external,15,close_R,52,24,0.03888451189751847,-0.019342007388075053,0.058226519285593525
REF_SUPPORT,external,15,running_mfe_R,52,24,0.15947491834337862,0.09600373031224299,0.06347118803113563
REF_SUPPORT,external,15,closes_above_H,52,24,4.0,2.0,2.0
REF_SUPPORT,external,15,fraction_closes_above_H,52,24,1.0,0.5,0.5
REF_SUPPORT,external,15,E10_by_snapshot,52,24,0.6923076923076923,0.4166666666666667,0.2756410256410256
REF_SUPPORT,external,15,E20_by_snapshot,52,24,0.40384615384615385,0.08333333333333333,0.32051282051282054
REF_SUPPORT,external,30,close_R,51,24,0.08598265895953738,-0.01310013255283258,0.09908279151236997
REF_SUPPORT,external,30,running_mfe_R,51,24,0.23376623376623168,0.10124013878245519,0.1325260949837765
REF_SUPPORT,external,30,closes_above_H,51,24,6.0,2.5,3.5
REF_SUPPORT,external,30,fraction_closes_above_H,51,24,0.8571428571428571,0.3571428571428571,0.5
REF_SUPPORT,external,30,E10_by_snapshot,51,24,0.8627450980392157,0.5,0.36274509803921573
REF_SUPPORT,external,30,E20_by_snapshot,51,24,0.5490196078431373,0.08333333333333333,0.465686274509804
REF_SUPPORT,external,60,close_R,50,24,0.14895287419045788,-0.027037425225025023,0.17599029941548291
REF_SUPPORT,external,60,running_mfe_R,50,24,0.399286754690126,0.10670625295045225,0.29258050173967376
REF_SUPPORT,external,60,closes_above_H,50,24,10.5,5.0,5.5
REF_SUPPORT,external,60,fraction_closes_above_H,50,24,0.8076923076923077,0.38461538461538464,0.4230769230769231
REF_SUPPORT,external,60,E10_by_snapshot,50,24,0.92,0.625,0.29500000000000004
REF_SUPPORT,external,60,E20_by_snapshot,50,24,0.64,0.2916666666666667,0.34833333333333333
REF_SUPPORT,reference_validation,5,close_R,57,27,0.05359317904993877,0.017391304347826732,0.036201874702112044
REF_SUPPORT,reference_validation,5,running_mfe_R,57,27,0.11330935251798474,0.07826086956521618,0.035048482952768564
REF_SUPPORT,reference_validation,5,closes_above_H,57,27,2.0,2.0,0.0
REF_SUPPORT,reference_validation,5,fraction_closes_above_H,57,27,1.0,1.0,0.0
REF_SUPPORT,reference_validation,5,E10_by_snapshot,57,27,0.543859649122807,0.37037037037037035,0.1734892787524367
REF_SUPPORT,reference_validation,5,E20_by_snapshot,57,27,0.24561403508771928,0.07407407407407407,0.17153996101364521
REF_SUPPORT,reference_validation,10,close_R,57,27,0.07430340557274902,0.022346368715079272,0.051957036857669746
REF_SUPPORT,reference_validation,10,running_mfe_R,57,27,0.1419141914191441,0.09554140127387947,0.04637279014526463
REF_SUPPORT,reference_validation,10,closes_above_H,57,27,3.0,2.0,1.0
REF_SUPPORT,reference_validation,10,fraction_closes_above_H,57,27,1.0,0.6666666666666666,0.33333333333333337
REF_SUPPORT,reference_validation,10,E10_by_snapshot,57,27,0.631578947368421,0.4444444444444444,0.1871345029239766
REF_SUPPORT,reference_validation,10,E20_by_snapshot,57,27,0.3508771929824561,0.1111111111111111,0.23976608187134502
REF_SUPPORT,reference_validation,15,close_R,57,27,0.055016181229778555,-0.0031847133758023186,0.05820089460558087
REF_SUPPORT,reference_validation,15,running_mfe_R,57,27,0.18181818181818182,0.09554140127387947,0.08627678054430235
REF_SUPPORT,reference_validation,15,closes_above_H,57,27,4.0,3.0,1.0
REF_SUPPORT,reference_validation,15,fraction_closes_above_H,57,27,1.0,0.75,0.25
REF_SUPPORT,reference_validation,15,E10_by_snapshot,57,27,0.6842105263157895,0.48148148148148145,0.20272904483430804
REF_SUPPORT,reference_validation,15,E20_by_snapshot,57,27,0.45614035087719296,0.1111111111111111,0.34502923976608185
REF_SUPPORT,reference_validation,30,close_R,57,26,0.07843137254901769,0.0061728395061715945,0.0722585330428461
REF_SUPPORT,reference_validation,30,running_mfe_R,57,26,0.21958456973294008,0.13259183061163515,0.08699273912130492
REF_SUPPORT,reference_validation,30,closes_above_H,57,26,6.0,4.0,2.0
REF_SUPPORT,reference_validation,30,fraction_closes_above_H,57,26,0.8571428571428571,0.5714285714285714,0.2857142857142857
REF_SUPPORT,reference_validation,30,E10_by_snapshot,57,26,0.8070175438596491,0.6153846153846154,0.19163292847503366
REF_SUPPORT,reference_validation,30,E20_by_snapshot,57,26,0.5614035087719298,0.19230769230769232,0.3690958164642375
REF_SUPPORT,reference_validation,60,close_R,57,26,0.16913946587536866,-0.04795464991573769,0.21709411579110635
REF_SUPPORT,reference_validation,60,running_mfe_R,57,26,0.31336405529953704,0.1458333333333362,0.16753072196620084
REF_SUPPORT,reference_validation,60,closes_above_H,57,26,11.0,7.0,4.0
REF_SUPPORT,reference_validation,60,fraction_closes_above_H,57,26,0.8461538461538461,0.5384615384615384,0.3076923076923077
REF_SUPPORT,reference_validation,60,E10_by_snapshot,57,26,0.8596491228070176,0.6923076923076923,0.16734143049932526
REF_SUPPORT,reference_validation,60,E20_by_snapshot,57,26,0.7543859649122807,0.3076923076923077,0.446693657219973
