rule,n,wins,wr,pnl,exp,pf
upper_gt_prev1=False AND upper_share_gt_prev3median=False,27,17,0.6296296296296297,50.06245789551448,1.854165107241277,2.5173783386153405
last_red=True AND body_lt_prev1=True,24,15,0.625,23.37869046634269,0.9741121027642787,1.988545639945245
upper_gt_prev1=True AND upper_localmax4=True,24,15,0.625,30.02234622249135,1.2509310926038062,2.1238389003215867
upper_gt_prev2max=True AND upper_localmax4=True,24,15,0.625,30.02234622249135,1.2509310926038062,2.1238389003215867
upper_localmax4=True,24,15,0.625,30.02234622249135,1.2509310926038062,2.1238389003215867
upper_localmax4=True AND balance_gate=True,24,15,0.625,30.02234622249135,1.2509310926038062,2.1238389003215867
upper_gt_prev1=False AND body_contract3median=True,8,5,0.625,7.688747055687674,0.9610933819609593,1.863765549623537
upper_gt_prev1=True AND upper_gt_prev2max=True,29,18,0.6206896551724138,37.72163659774813,1.3007460895775218,2.071208271984692
upper_gt_prev2max=True,29,18,0.6206896551724138,37.72163659774813,1.3007460895775218,2.071208271984692
last_upper_gt_lower=False AND wick_dominant=True,21,13,0.6190476190476191,24.956328839297242,1.1883966113951068,1.7340096717440365
body_contract3median=True,34,21,0.6176470588235294,37.15177251431012,1.0926991915973563,2.0326215602555857
body_contract3median=True AND balance_gate=True,34,21,0.6176470588235294,37.15177251431012,1.0926991915973563,2.0326215602555857
last_red=True AND balance_gate=True,26,16,0.6153846153846154,16.116627061946293,0.619870271613319,1.5515371172753083
upper_gt_prev1=True AND body_contract3median=True,26,16,0.6153846153846154,29.46302545862241,1.1331932868700927,2.0881327802625806
last_red=False AND upper_localmax4=True,13,8,0.6153846153846154,26.77943574979876,2.0599565961383663,2.6520688899110563
upper_gt_prev1=False AND balance_gate=True,13,8,0.6153846153846154,21.230996958563193,1.6331536121971686,2.463633937827063
body_lt_prev1=True AND balance_gate=True,36,22,0.6111111111111112,52.02946316168907,1.4452628656024742,2.2933608519461055
body_lt_prev1=True AND upper_share_gt_prev3median=True,18,11,0.6111111111111112,27.639884384573435,1.535549132476302,2.9292592689071184
upper_share_gt_prev3median=False AND f636_morphology=False,18,11,0.6111111111111112,36.81730793528942,2.045405996404968,2.8525513103030558
last_upper_gt_lower=False AND body_lt_prev1=True,23,14,0.6086956521739131,28.10303385785039,1.2218710372978432,1.825769622227712
last_upper_gt_lower=True AND upper_localmax4=True,23,14,0.6086956521739131,28.613723398138376,1.2440749303538425,2.071109339675098
upper_share_gt_prev3median=False AND wick_dominant=True,23,14,0.6086956521739131,30.905845157547887,1.343732398154256,1.8983884315041777
upper_gt_prev1=True AND f636_morphology=True,28,17,0.6071428571428571,42.19920057382971,1.5071143062082037,2.347068940593997
upper_gt_prev1=True AND wick_dominant=True,28,17,0.6071428571428571,42.19920057382971,1.5071143062082037,2.347068940593997
body_lt_prev1=True AND f636_morphology=True,33,20,0.6060606060606061,44.76531938513346,1.356524829852529,2.2442376452162796
body_lt_prev1=True AND wick_dominant=True,33,20,0.6060606060606061,44.76531938513346,1.356524829852529,2.2442376452162796
upper_share_gt_prev3median=False,40,24,0.6,58.47315309283731,1.4618288273209328,2.0773443452366744
body_lt_prev1=True AND body_contract3median=True,30,18,0.6,30.515319385133438,1.0171773128377812,1.9617755039189153
last_upper_gt_lower=False AND upper_gt_prev1=False,25,15,0.6,45.647050469162195,1.825882018766488,2.23901830204693
last_upper_gt_lower=False AND f636_morphology=True,20,12,0.6,15.706328839297246,0.7853164419648623,1.4619508482146248
last_red=False AND body_contract3median=True,15,9,0.6,31.69365462295961,2.1129103081973075,2.9079845642099538
last_red=True AND upper_gt_prev2max=True,15,9,0.6,4.853532780657629,0.3235688520438419,1.2553890765535658
body_contract3median=False AND wick_dominant=True,10,6,0.6,29.89649580082302,2.9896495800823017,2.7586174000484127
upper_gt_prev2max=True AND upper_localmax4=False,5,3,0.6,7.699290375256769,1.5398580750513537,1.905798867677267
wick_dominant=True,42,25,0.5952380952380952,65.41181518595644,1.557424171094201,2.2346951348498227
body_contract3median=True AND f636_morphology=True,32,19,0.59375,35.51531938513346,1.1098537307854206,1.9871368721997291
body_contract3median=True AND wick_dominant=True,32,19,0.59375,35.51531938513346,1.1098537307854206,1.9871368721997291
balance_gate=True,49,29,0.5918367346938775,60.82442546146154,1.2413148053359497,1.9680430438761156
upper_share_gt_prev3median=False AND f636_morphology=True,22,13,0.5909090909090909,21.655845157547883,0.9843565980703584,1.6295042463588918
body_contract3median=True AND upper_share_gt_prev3median=True,17,10,0.5882352941176471,21.769794913201274,1.2805761713647807,2.5195280137257634
upper_share_gt_prev3median=False AND wick_dominant=False,17,10,0.5882352941176471,27.56730793528941,1.6216063491346713,2.387115335179022
f636_morphology=True,41,24,0.5853658536585366,56.16181518595646,1.3698003703891821,2.060094721073003
wick_dominant=True AND f636_morphology=True,41,24,0.5853658536585366,56.16181518595646,1.3698003703891821,2.060094721073003
upper_gt_prev1=True AND balance_gate=True,36,21,0.5833333333333334,39.59342850289835,1.099817458413843,1.8192871250104343
last_upper_gt_lower=True AND upper_gt_prev2max=True,24,14,0.5833333333333334,24.363723398138372,1.015155141589099,1.7868377372233053
upper_gt_prev1=False AND body_lt_prev1=True,12,7,0.5833333333333334,16.272084399168943,1.3560070332640786,1.935100508719978
body_lt_prev1=True,43,25,0.5813953488372093,52.322663981065226,1.2168061390945402,1.987021818456595
upper_gt_prev1=True AND body_lt_prev1=True,31,18,0.5806451612903226,36.05057958189628,1.1629219219966542,2.0123946013552456
upper_share_gt_prev3median=True AND f636_morphology=True,19,11,0.5789473684210527,34.50597002840856,1.8161036857057138,2.857488312379703
upper_share_gt_prev3median=True AND wick_dominant=True,19,11,0.5789473684210527,34.50597002840856,1.8161036857057138,2.857488312379703
last_upper_gt_lower=False AND upper_share_gt_prev3median=False,33,19,0.5757575757575758,49.257510733522224,1.4926518404097644,1.9926178817779487
last_upper_gt_lower=True AND body_contract3median=True,21,12,0.5714285714285714,23.591939475835858,1.123425689325517,2.2431131949864396
last_upper_gt_lower=True AND f636_morphology=True,21,12,0.5714285714285714,40.45548634665922,1.9264517307932962,3.1316920102578383
last_upper_gt_lower=True AND wick_dominant=True,21,12,0.5714285714285714,40.45548634665922,1.9264517307932962,3.1316920102578383
upper_gt_prev1=False AND wick_dominant=True,14,8,0.5714285714285714,23.212614612126746,1.6580439008661962,2.0721054683046907
upper_share_gt_prev3median=True AND rejection_expansion_composite=True,14,8,0.5714285714285714,15.183085420899632,1.0845061014928308,2.087294133729773
last_upper_gt_lower=True AND upper_gt_prev1=True,30,17,0.5666666666666667,39.77630222740338,1.325876740913446,1.9987350201465093
body_contract3median=False AND upper_share_gt_prev3median=False,23,13,0.5652173913043478,43.09117549172849,1.8735293692055865,2.3208492861390924
last_red=False AND balance_gate=True,23,13,0.5652173913043478,44.70779839951524,1.9438173217180539,2.330151219283816
last_red=False AND upper_gt_prev1=True,23,13,0.5652173913043478,36.10290431974299,1.5696914921627387,2.0390304543450717
last_red=True AND last_upper_gt_lower=True,23,13,0.5652173913043478,16.890926054429357,0.7343880893230156,1.5780348846171877
upper_gt_prev1=False AND f636_morphology=False,23,13,0.5652173913043478,38.8065830277692,1.6872427403377912,2.2444959250685774
upper_gt_prev2max=True AND upper_share_gt_prev3median=True,23,13,0.5652173913043478,18.012778840432322,0.783164297410101,1.5817310397224658
body_contract3median=True AND rejection_expansion_composite=False,16,9,0.5625,7.259829336094665,0.45373933350591655,1.329782244375654
upper_localmax4=False AND body_contract3median=True,16,9,0.5625,7.259829336094665,0.45373933350591655,1.329782244375654
last_upper_gt_lower=False,41,23,0.5609756097560976,52.29508965694045,1.2754899916326938,1.8182495818556086
body_lt_prev1=True AND upper_share_gt_prev3median=False,25,14,0.56,24.682779596491784,0.9873111838596713,1.6380623211121337
rejection_expansion_composite=False AND wick_dominant=True,25,14,0.56,37.03369689253374,1.4813478757013496,1.9492409963902104
upper_localmax4=False AND balance_gate=True,25,14,0.56,30.80207923897018,1.2320831695588073,1.8528119429249448
upper_gt_prev2max=False AND upper_share_gt_prev3median=False,34,19,0.5588235294117647,38.76429533552151,1.1401263333976914,1.7748943057380928
upper_gt_prev1=False,36,20,0.5555555555555556,52.769197639895964,1.4658110455526656,1.9987734793917429
upper_gt_prev1=False AND rejection_expansion_composite=False,36,20,0.5555555555555556,52.769197639895964,1.4658110455526656,1.9987734793917429
upper_gt_prev1=False AND upper_gt_prev2max=False,36,20,0.5555555555555556,52.769197639895964,1.4658110455526656,1.9987734793917429
upper_gt_prev1=False AND upper_localmax4=False,36,20,0.5555555555555556,52.769197639895964,1.4658110455526656,1.9987734793917429
upper_localmax4=False AND upper_share_gt_prev3median=False,36,20,0.5555555555555556,43.76429533552151,1.215674870431153,1.8063395525829349
upper_share_gt_prev3median=False AND rejection_expansion_composite=False,36,20,0.5555555555555556,43.76429533552151,1.215674870431153,1.8063395525829349
body_contract3median=False AND f636_morphology=True,9,5,0.5555555555555556,20.64649580082302,2.2940550889803353,2.2144997529895893
body_lt_prev1=False AND wick_dominant=True,9,5,0.5555555555555556,20.64649580082302,2.2940550889803353,2.2144997529895893
last_upper_gt_lower=True AND balance_gate=False,9,5,0.5555555555555556,14.530352775972837,1.6144836417747597,2.0206034478945525
last_upper_gt_lower=False AND rejection_expansion_composite=False,40,22,0.55,50.88646683258747,1.2721616708146868,1.7962091752977414
last_upper_gt_lower=False AND upper_localmax4=False,40,22,0.55,50.88646683258747,1.2721616708146868,1.7962091752977414
last_upper_gt_lower=True AND body_lt_prev1=True,20,11,0.55,24.219630123214827,1.2109815061607414,2.2761876493747946
upper_localmax4=True AND upper_share_gt_prev3median=True,20,11,0.55,15.313488465175551,0.7656744232587775,1.573236145811194
rejection_expansion_composite=False AND balance_gate=True,31,17,0.5483870967741935,30.932482283246106,0.9978220091369712,1.6329770168867284
upper_gt_prev1=True AND upper_share_gt_prev3median=True,33,18,0.5454545454545454,38.01364621785879,1.1519286732684482,1.8333809363751916
upper_gt_prev1=False AND wick_dominant=False,22,12,0.5454545454545454,29.556583027769193,1.3434810467167815,1.9478558601948708
upper_gt_prev2max=True AND rejection_expansion_composite=False,11,6,0.5454545454545454,7.829693419532689,0.7117903108666082,1.3684561609191854
upper_gt_prev1=True,46,25,0.5434782608695652,46.42434141518163,1.0092248133735138,1.6939746715031079
rejection_expansion_composite=False AND f636_morphology=True,24,13,0.5416666666666666,27.78369689253374,1.157654037188906,1.7121466754508483
upper_gt_prev1=False AND body_lt_prev1=False,24,13,0.5416666666666666,36.49711324072701,1.5207130516969587,2.030044160194112
upper_localmax4=False AND wick_dominant=True,24,13,0.5416666666666666,27.78369689253374,1.157654037188906,1.7121466754508483
body_lt_prev1=False AND balance_gate=True,13,7,0.5384615384615384,8.794962299772472,0.6765355615209594,1.3890845259549698
body_lt_prev1=True AND body_contract3median=False,13,7,0.5384615384615384,21.80734459593178,1.6774880458409063,2.024659150766094
upper_gt_prev1=False AND f636_morphology=True,13,7,0.5384615384615384,13.962614612126746,1.0740472778559036,1.644881919922616
upper_gt_prev1=True AND upper_share_gt_prev3median=False,13,7,0.5384615384615384,8.410695197322836,0.6469765536402181,1.3951923518395273
upper_gt_prev2max=False AND body_contract3median=True,13,7,0.5384615384615384,4.560538960837896,0.35081068929522274,1.2567291499014408
last_upper_gt_lower=True,41,22,0.5365853658536586,46.89844939813714,1.1438646194667594,1.8401822379235344
body_lt_prev1=True AND rejection_expansion_composite=False,28,15,0.5357142857142857,28.944545687642503,1.0337337745586608,1.6685186090857183
upper_gt_prev1=False AND body_contract3median=False,28,15,0.5357142857142857,45.08045058420828,1.6100160922931528,2.0261282041567963
upper_share_gt_prev3median=True AND balance_gate=True,28,15,0.5357142857142857,30.545952059529704,1.090926859268918,1.8271103286849737
f636_morphology=False AND balance_gate=False,30,16,0.5333333333333333,51.11911359361604,1.7039704531205346,2.1579046214461095
upper_gt_prev2max=False AND body_lt_prev1=False,30,16,0.5333333333333333,46.74079092149935,1.5580263640499783,2.0279556059996464
body_contract3median=False AND balance_gate=True,15,8,0.5333333333333333,23.67265294715144,1.5781768631434294,1.8815236531725055
last_upper_gt_lower=True AND balance_gate=True,32,17,0.53125,32.3680966221643,1.0115030194426344,1.7784093901908677
last_upper_gt_lower=False AND upper_gt_prev2max=False,36,19,0.5277777777777778,38.937176457330715,1.0815882349258532,1.6526411526869356
last_red=False AND body_lt_prev1=True,19,10,0.5263157894736842,28.94397351472252,1.523367027090659,1.9857944194913757
last_red=False AND f636_morphology=True,19,10,0.5263157894736842,35.929829738166916,1.8910436704298377,2.2237236753669603
last_red=False AND wick_dominant=True,19,10,0.5263157894736842,35.929829738166916,1.8910436704298377,2.2237236753669603
upper_gt_prev2max=False AND wick_dominant=True,19,10,0.5263157894736842,20.084406517276967,1.0570740272251036,1.6582028089690217
upper_share_gt_prev3median=False AND balance_gate=False,19,10,0.5263157894736842,28.194679690905467,1.483930510047656,1.993685729675652
last_red=True AND upper_share_gt_prev3median=True,21,11,0.5238095238095238,16.554436987631902,0.7883065232205668,1.5665196830069001
last_upper_gt_lower=False AND f636_morphology=False,21,11,0.5238095238095238,36.588760817643205,1.7423219436972954,2.223257315786013
last_upper_gt_lower=True AND body_lt_prev1=False,21,11,0.5238095238095238,22.678819274922287,1.0799437749962995,1.6155819587907518
upper_gt_prev2max=False AND balance_gate=True,21,11,0.5238095238095238,18.852788863713414,0.8977518506530198,1.5915852264791375
last_red=True AND upper_gt_prev1=True,23,12,0.5217391304347826,10.321437095438638,0.4487581345842886,1.321044215281389
upper_gt_prev1=False AND balance_gate=False,23,12,0.5217391304347826,31.53820068133276,1.3712261165796853,1.8228431656382909
upper_localmax4=False AND f636_morphology=True,23,12,0.5217391304347826,18.533696892533737,0.805812908371032,1.4750523545114864
upper_localmax4=False AND body_lt_prev1=True,27,14,0.5185185185185185,26.680401911086875,0.9881630337439583,1.6162247411975357
upper_localmax4=False,58,30,0.5172413793103449,69.17119283258623,1.1926067729756247,1.7436467004231853
upper_localmax4=False AND rejection_expansion_composite=False,58,30,0.5172413793103449,69.17119283258623,1.1926067729756247,1.7436467004231853
wick_dominant=False AND balance_gate=False,29,15,0.5172413793103449,41.86911359361604,1.443762537710898,1.9483818618473574
body_lt_prev1=False AND f636_morphology=False,31,16,0.5161290322580645,35.47437927318934,1.1443348152641724,1.713487983471338
upper_localmax4=False AND body_lt_prev1=False,31,16,0.5161290322580645,42.49079092149935,1.3706706748870756,1.8546074477361014
rejection_expansion_composite=False,64,33,0.515625,69.30159587686214,1.082837435575971,1.6552338419199983
upper_gt_prev2max=False AND f636_morphology=False,35,18,0.5142857142857142,50.63749594005249,1.446785598287214,1.9376933012839719
upper_localmax4=False AND f636_morphology=False,35,18,0.5142857142857142,50.63749594005249,1.446785598287214,1.9376933012839719
body_lt_prev1=False,39,20,0.5128205128205128,46.87087507401236,1.2018173095900606,1.7025047151416808
f636_morphology=False,41,21,0.5121951219512195,43.031723869121116,1.0495542407102711,1.6446488277769853
upper_gt_prev2max=False,53,27,0.5094339622641509,61.471902457329456,1.1598472161760274,1.7273386628602532
upper_gt_prev2max=False AND rejection_expansion_composite=False,53,27,0.5094339622641509,61.471902457329456,1.1598472161760274,1.7273386628602532
upper_gt_prev2max=False AND upper_localmax4=False,53,27,0.5094339622641509,61.471902457329456,1.1598472161760274,1.7273386628602532
body_contract3median=False,48,24,0.5,62.04176654076748,1.2925368029326558,1.740777802754536
body_contract3median=False AND rejection_expansion_composite=False,48,24,0.5,62.04176654076748,1.2925368029326558,1.740777802754536
upper_localmax4=False AND body_contract3median=False,42,21,0.5,61.91136349649155,1.474080083249799,1.8719640853763697
upper_share_gt_prev3median=True,42,21,0.5,40.72038596224028,0.969532999100959,1.6221123378725029
rejection_expansion_composite=False AND f636_morphology=False,40,20,0.5,41.51789898432841,1.0379474746082102,1.6219705488307512
upper_gt_prev2max=False AND body_contract3median=False,40,20,0.5,56.91136349649156,1.422784087412289,1.8525766682456755
wick_dominant=False,40,20,0.5,33.781723869121116,0.8445430967280279,1.5060766042919749
wick_dominant=False AND f636_morphology=False,40,20,0.5,33.781723869121116,0.8445430967280279,1.5060766042919749
body_lt_prev1=False AND rejection_expansion_composite=False,36,18,0.5,40.35705018921965,1.121029171922768,1.646026419930916
last_upper_gt_lower=True AND upper_share_gt_prev3median=True,34,17,0.5,37.68280703882204,1.1083178540830012,1.7364533400148392
upper_gt_prev2max=False AND wick_dominant=False,34,17,0.5,41.38749594005248,1.2172792923544848,1.7664039656670387
upper_localmax4=False AND wick_dominant=False,34,17,0.5,41.38749594005248,1.2172792923544848,1.7664039656670387
upper_gt_prev2max=False AND balance_gate=False,32,16,0.5,42.61911359361604,1.3318472998005013,1.809511382859363
body_lt_prev1=False AND wick_dominant=False,30,15,0.5,26.224379273189324,0.8741459757729775,1.5274448734204227
last_upper_gt_lower=False AND body_contract3median=False,28,14,0.5,38.73525661846622,1.3834020220880792,1.8257192668984057
body_lt_prev1=False AND balance_gate=False,26,13,0.5,38.07591277423988,1.4644581836246109,1.8630977260611667
last_upper_gt_lower=False AND wick_dominant=False,20,10,0.5,27.338760817643198,1.3669380408821599,1.9140057883179271
last_upper_gt_lower=True AND body_contract3median=False,20,10,0.5,23.30650992230126,1.165325496115063,1.6326196640409296
last_upper_gt_lower=True AND f636_morphology=False,20,10,0.5,6.442963051477911,0.3221481525738955,1.1748844050285683
last_upper_gt_lower=True AND wick_dominant=False,20,10,0.5,6.442963051477911,0.3221481525738955,1.1748844050285683
last_red=False AND last_upper_gt_lower=True,18,9,0.5,30.00752334370775,1.667084630205986,2.1281835794071915
last_upper_gt_lower=False AND body_lt_prev1=False,18,9,0.5,24.192055799090056,1.3440030999494477,1.8096839924168429
upper_gt_prev2max=False AND f636_morphology=True,18,9,0.5,10.834406517276967,0.6019114731820537,1.3550633570899673
last_upper_gt_lower=False AND upper_gt_prev1=True,16,8,0.5,6.648039187778252,0.41550244923614077,1.2455903869137985
body_lt_prev1=True AND f636_morphology=False,10,5,0.5,7.557344595931781,0.7557344595931781,1.4437005085549737
body_lt_prev1=True AND wick_dominant=False,10,5,0.5,7.557344595931781,0.7557344595931781,1.4437005085549737
body_lt_prev1=False AND f636_morphology=True,8,4,0.5,11.396495800823018,1.4245619751028773,1.6703821059307657
last_upper_gt_lower=False AND upper_share_gt_prev3median=True,8,4,0.5,3.0375789234182307,0.37969736542727883,1.2126100851373196
upper_gt_prev2max=True AND body_contract3median=False,8,4,0.5,5.130403044275922,0.6413003805344902,1.3017884143691718
upper_localmax4=True AND body_lt_prev1=False,8,4,0.5,4.3800841525130085,0.5475105190641261,1.2576520089713534
upper_gt_prev2max=True AND f636_morphology=False,6,3,0.5,-7.605772070931368,-1.2676286784885613,0.4034688571818534
upper_gt_prev2max=True AND wick_dominant=False,6,3,0.5,-7.605772070931368,-1.2676286784885613,0.4034688571818534
upper_localmax4=True AND body_contract3median=False,6,3,0.5,0.13040304427592186,0.021733840712653645,1.0102276897471312
upper_localmax4=True AND f636_morphology=False,6,3,0.5,-7.605772070931368,-1.2676286784885613,0.4034688571818534
upper_localmax4=True AND rejection_expansion_composite=False,6,3,0.5,0.13040304427592186,0.021733840712653645,1.0102276897471312
upper_localmax4=True AND wick_dominant=False,6,3,0.5,-7.605772070931368,-1.2676286784885613,0.4034688571818534
body_contract3median=False AND f636_morphology=False,39,19,0.48717948717948717,41.395270739944465,1.0614171984601144,1.6201334819673623
rejection_expansion_composite=False AND wick_dominant=False,39,19,0.48717948717948717,32.26789898432841,0.82738202523919,1.4833983253457408
body_lt_prev1=False AND body_contract3median=False,35,17,0.4857142857142857,40.2344219448357,1.1495549127095914,1.6440634150697992
balance_gate=False,33,16,0.48484848484848486,38.36911359361604,1.1627004119277589,1.674349684061489
body_contract3median=False AND balance_gate=False,33,16,0.48484848484848486,38.36911359361604,1.1627004119277589,1.674349684061489
rejection_expansion_composite=False AND balance_gate=False,33,16,0.48484848484848486,38.36911359361604,1.1627004119277589,1.674349684061489
upper_localmax4=False AND balance_gate=False,33,16,0.48484848484848486,38.36911359361604,1.1627004119277589,1.674349684061489
upper_gt_prev2max=False AND body_lt_prev1=True,23,11,0.4782608695652174,14.731111535830113,0.6404831102534831,1.3772705558351332
last_red=False AND upper_share_gt_prev3median=True,21,10,0.47619047619047616,24.16594897460836,1.1507594749813503,1.6669459368785575
body_contract3median=False AND wick_dominant=False,38,18,0.47368421052631576,32.14527073994446,0.8459281773669595,1.4815612584823519
last_upper_gt_lower=True AND upper_gt_prev2max=False,17,8,0.47058823529411764,22.534725999998745,1.325572117646985,1.906637525655606
upper_gt_prev1=True AND body_lt_prev1=False,15,7,0.4666666666666667,10.373761833285343,0.6915841222190229,1.3315668734190387
upper_gt_prev1=True AND rejection_expansion_composite=False,28,13,0.4642857142857143,16.532398236966195,0.5904427941773641,1.3123315679711962
upper_share_gt_prev3median=True AND rejection_expansion_composite=False,28,13,0.4642857142857143,25.53730054134063,0.9120464479050225,1.4959572067671891
