family,lookback_min,state_bin,hold_min,N,WR,net,exp,PF,DD,LS,formal_pass,pooled_gate,era_gate,wr55_years,min_forward_exp,min_year_exp,min_year_wr,N_2022,WR_2022,net_2022,exp_2022,PF_2022,DD_2022,LS_2022,N_2023,WR_2023,net_2023,exp_2023,PF_2023,DD_2023,LS_2023,N_2024,WR_2024,net_2024,exp_2024,PF_2024,DD_2024,LS_2024
TREND,60,HIGH,960,327,50.764525993883794,36.08945357452782,0.11036530145115542,1.0197072957655875,263.43963461991297,7,False,False,False,0,0.8975739556316031,-1.4998581683066494,50.0,122,50.0,-182.98269653341123,-1.4998581683066494,0.8166718596947156,263.43963461991297,5,87,52.87356321839081,113.15842334340994,1.3006715326828728,1.36699523148998,96.18810335520755,7,118,50.0,105.91372676452917,0.8975739556316031,1.201809444945909,98.49573796524828,5
RANGE_POS,15,HIGH,960,377,51.19363395225464,263.99270049576626,0.7002458899091943,1.1616408268924974,130.5627748840204,7,False,False,False,0,0.850728666493897,-0.0822981560719263,47.24409448818898,122,53.278688524590166,-10.040375040775007,-0.0822981560719263,0.9871184588321406,130.5627748840204,6,128,53.125,165.99053489181622,1.2968010538423143,1.4335470596694524,78.00608206402563,5,127,47.24409448818898,108.04254064472492,0.850728666493897,1.22943821279336,81.36623297069133,7
TREND,30,MID,960,455,46.37362637362637,18.649873614710458,0.04098873321914386,1.0102963034857528,250.64158472809066,8,False,False,False,0,0.7462807024670064,-1.9293848376365947,45.07772020725388,121,45.45454545454545,-233.45556535402795,-1.9293848376365947,0.7248468091883886,250.64158472809066,6,193,45.07772020725388,144.03217557613223,0.7462807024670064,1.2855474509188547,83.14924336961978,7,141,48.93617021276596,108.07326339260618,0.7664770453376325,1.2357343762392732,91.02440451989463,5
EFFICIENCY,120,MID,960,373,47.98927613941019,124.94380290044583,0.33496998096634273,1.0813232221965103,138.01488647325982,8,False,False,False,0,0.7431531969830413,-0.6636943316536238,47.107438016528924,121,47.107438016528924,-80.30701413008848,-0.6636943316536238,0.8915642842176796,138.01488647325982,6,127,48.031496062992126,94.38045601684624,0.7431531969830413,1.251691777653145,74.94936296658257,8,125,48.8,110.87036101368813,0.886962888109505,1.2634717915544258,59.767755767571316,8
TREND,360,HIGH,720,324,47.53086419753087,58.571106800587415,0.18077502098946732,1.0360747709344311,177.54037249085226,9,False,False,False,0,0.7379354808453301,-1.0930226770965839,45.2991452991453,122,48.36065573770492,-133.34876660578323,-1.0930226770965839,0.849512986129553,177.54037249085226,9,85,49.411764705882355,105.58142214746701,1.2421343782054943,1.3661125806754286,70.73162235563953,4,117,45.2991452991453,86.33845125890362,0.7379354808453301,1.192246387916916,137.84533396862142,8
EFFICIENCY,240,MID,960,379,46.965699208443276,45.38224161145405,0.11974206229935105,1.0279927637039954,384.9527720553387,11,False,False,False,0,0.7375236488547405,-2.800955310384501,42.74193548387097,121,44.62809917355372,-338.9155925565246,-2.800955310384501,0.6311774294853073,384.9527720553387,11,124,42.74193548387097,91.45293245798783,0.7375236488547405,1.2924563897380268,108.41335112120674,7,134,52.98507462686567,292.84490170999084,2.185409714253663,1.7516652895131146,49.90444803449199,5
DRIVE,30,MID,960,371,48.78706199460917,-68.01318831859373,-0.1833239577320586,0.9611741548365685,334.88031756589186,6,False,False,False,0,0.7359940752292853,-2.0904848468805683,46.21212121212121,121,48.760330578512395,-252.94866647254875,-2.0904848468805683,0.7476260830349063,334.88031756589186,6,132,46.21212121212121,97.15121793026566,0.7359940752292853,1.2473234716822195,57.87486726860686,4,118,51.69491525423729,87.78426022368944,0.7439344086753342,1.2461268690931893,69.68869346801185,4
EFFICIENCY,360,LOW,720,334,43.11377245508982,-368.1071006765195,-1.102117067893771,0.7716738074476289,576.3239855756676,10,False,False,False,0,0.7193385748995755,-4.272100355961619,36.885245901639344,122,36.885245901639344,-521.1962434273175,-4.272100355961619,0.42462358722398025,561.3737974234679,10,123,43.90243902439025,88.47864471264779,0.7193385748995755,1.2317473245871746,88.4148939314736,6,89,50.56179775280899,64.61049803815025,0.7259606521140478,1.1990626037370071,95.17214254740622,5
DRIVE,60,HIGH,720,366,48.36065573770492,142.00227551920494,0.38798435934209,1.085392877827679,215.69422946506737,5,False,False,False,0,0.6695955383560797,-1.4779262040660244,45.38461538461539,122,45.90163934426229,-180.30699689605498,-1.4779262040660244,0.7888373633193779,215.69422946506737,5,114,54.385964912280706,235.26185242896955,2.0637004599032416,1.7383473920802672,41.43711518309166,4,130,45.38461538461539,87.04741998629035,0.6695955383560797,1.1774962303267407,124.01501155822103,5
EFFICIENCY,120,MID,720,373,45.0402144772118,103.57976455994512,0.2776937387666089,1.0725411503570588,143.0632763400804,6,False,False,False,0,0.6677463546668106,-0.6092251868398848,41.32231404958678,121,41.32231404958678,-73.71624760762606,-0.6092251868398848,0.8900606598115768,143.0632763400804,6,127,45.66929133858268,84.80378704268496,0.6677463546668106,1.2347173063470473,74.05872751687139,6,125,48.0,92.49222512488616,0.7399378009990893,1.233532795562918,58.59485345341031,6
RV,360,HIGH,360,184,48.91304347826087,-119.89382283396792,-0.6515968632280865,0.8770502946930229,248.13392077403674,7,False,False,False,1,0.6611536940870111,-1.3359417712496449,46.51162790697674,122,46.72131147540984,-162.98489609245667,-1.3359417712496449,0.7861693368437777,248.13392077403674,7,19,68.42105263157895,14.661464412747277,0.7716560217235409,1.2715337014040913,21.570731313624634,2,43,46.51162790697674,28.429608845741477,0.6611536940870111,1.1788751833159985,37.67595420975874,5
EFFICIENCY,240,MID,720,379,45.64643799472295,-143.0596966984125,-0.3774662182016161,0.9113968005291527,441.9901451923429,11,False,False,False,0,0.645584203627448,-3.3707168275465595,39.66942148760331,121,39.66942148760331,-407.8567361331337,-3.3707168275465595,0.5376747311556224,441.9901451923429,11,124,42.74193548387097,80.05244124980355,0.645584203627448,1.2745775313968173,88.42063100515745,7,134,53.73134328358209,184.7445981849177,1.378691031230729,1.4190383042951222,66.51352428791182,4
DRIVE,360,MID,720,331,43.202416918429,-312.5473874091026,-0.9442519257072587,0.7989197309811166,507.8129651871243,10,False,False,False,0,0.6241928726572002,-3.7412001904030925,38.01652892561984,121,38.01652892561984,-452.6852230387742,-3.7412001904030925,0.4602275247561585,492.8627770349244,10,121,42.97520661157025,75.52733759152123,0.6241928726572002,1.1931110528878688,88.4148939314736,7,89,50.56179775280899,64.61049803815025,0.7259606521140478,1.1990626037370071,95.17214254740622,5
EFFICIENCY,360,LOW,960,334,44.61077844311377,-303.46789596794565,-0.9085865148740888,0.8247524430173039,577.2969211369202,10,False,False,False,1,0.6200763706219381,-4.242482987650863,39.34426229508197,122,39.34426229508197,-517.5829244934054,-4.242482987650863,0.47860043976867583,536.53587835566,10,123,41.46341463414634,76.26939358649838,0.6200763706219381,1.178782059457914,98.42586191065936,6,89,56.17977528089888,137.84563493896124,1.548827358864733,1.4412935343423425,72.3548432138162,6
TREND,120,HIGH,720,296,48.310810810810814,85.71772211834823,0.2895868990484738,1.0566488377476204,237.70715504712624,7,False,False,False,0,0.6148550058329957,-1.5719730169002843,47.82608695652174,122,48.36065573770492,-191.7807080618347,-1.5719730169002843,0.7951532471396484,211.15962600716952,7,69,47.82608695652174,42.4249954024767,0.6148550058329957,1.162414746474557,119.43493563306458,4,105,48.57142857142857,235.07343477770627,2.238794616930536,1.7445811505338078,56.108922976393416,5
RANGE_POS,240,HIGH,960,339,48.08259587020649,-61.3562776753559,-0.1809919695438227,0.9661413304228647,350.9285300602716,10,False,False,False,0,0.5702287222442259,-1.946876941146242,43.859649122807014,122,50.81967213114754,-237.51898681984153,-1.946876941146242,0.7750839277025204,350.9285300602716,5,103,49.51456310679612,111.15663480864377,1.0791906292101336,1.3571963442081862,94.51627942209377,6,114,43.859649122807014,65.00607433584176,0.5702287222442259,1.1461128522683415,177.2257561052034,10
RV,120,LOW,720,552,44.20289855072464,82.45069303737188,0.1493671975314708,1.046138175505168,182.87436151547513,9,False,False,False,0,0.567729928982945,-1.4518341983309362,38.52459016393443,122,38.52459016393443,-177.1237721963742,-1.4518341983309362,0.6930976564728215,182.07210251362085,7,267,44.569288389513105,151.58389103844632,0.567729928982945,1.2191428239594782,125.01277435506525,9,163,47.85276073619632,107.99057419529979,0.6625188600938637,1.2083988974133248,163.95214235328874,8
DRIVE,15,MID,960,360,48.888888888888886,-45.48012432349972,-0.12633367867638812,0.9719490966162103,348.69209811921365,7,False,False,False,0,0.548644470531477,-1.6483277389343978,46.28099173553719,121,46.28099173553719,-199.44765641106213,-1.6483277389343978,0.7678868964406664,348.69209811921365,7,112,49.107142857142854,61.44818069952542,0.548644470531477,1.2296949385533693,52.350231990033905,6,127,51.181102362204726,92.51935138803697,0.7284988298270627,1.1870769088278144,126.4244882494808,4
RANGE_POS,30,MID,960,358,51.117318435754186,77.560915037979,0.2166506006647458,1.0517120953317391,209.3127624558332,6,False,False,False,1,0.5473927262473883,-0.4883779073873483,47.96747967479675,121,56.19834710743802,-59.093726793869145,-0.4883779073873483,0.9221627107190276,209.3127624558332,6,123,47.96747967479675,74.25187103964585,0.6036737482898037,1.218675316775055,66.55930072848003,6,114,49.122807017543856,62.402770792202276,0.5473927262473883,1.1555745909348112,81.87120802736571,5
DRIVE,360,HIGH,720,359,45.12534818941504,45.092583606315316,0.1256060824688449,1.0271075459818462,177.54037249085226,9,False,False,False,0,0.5319810504644001,-0.9066929044688954,41.66666666666667,122,47.540983606557376,-110.61653434520524,-0.9066929044688954,0.8707181850447262,177.54037249085226,9,108,41.66666666666667,57.45395345015521,0.5319810504644001,1.16846361420246,91.97284969759197,5,129,45.73643410852713,98.25516450136527,0.7616679418710486,1.210486727795344,151.59384317476372,5
RV,240,HIGH,360,191,48.69109947643979,-63.88941882482257,-0.33449957499907107,0.9342268061249503,291.640506217446,7,False,False,False,1,0.5277990536604749,-1.1858534846050361,45.90163934426229,122,45.90163934426229,-144.6741251218144,-1.1858534846050361,0.8092546318691077,291.640506217446,7,16,62.5,8.444784858567598,0.5277990536604749,1.194567214197293,30.930116427782366,3,53,50.943396226415096,72.33992143842423,1.364904178083476,1.4268111154385146,33.477641120264494,5
DRIVE,360,MID,960,331,45.01510574018127,-243.05115799268117,-0.734293528678795,0.8550362558115281,502.7144713174885,9,False,False,False,1,0.5132535681184427,-3.661160947718793,40.49586776859504,121,40.49586776859504,-443.00047467397394,-3.661160947718793,0.5246105851191897,461.9534285362286,9,121,41.32231404958678,62.10368174233156,0.5132535681184427,1.1436261090830568,98.42586191065936,7,89,56.17977528089888,137.84563493896124,1.548827358864733,1.4412935343423425,72.3548432138162,6
EFFICIENCY,60,HIGH,960,341,52.49266862170088,199.1676952916521,0.5840694876588038,1.120287720576083,199.20712639040835,7,False,False,False,1,0.5113339191695505,-0.7624590068041288,44.21052631578947,122,56.557377049180324,-93.01999883010372,-0.7624590068041288,0.8885369445038342,199.20712639040835,5,95,44.21052631578947,48.5767223211073,0.5113339191695505,1.1461924304820033,117.41459498514631,7,124,54.83870967741935,243.61097180064854,1.9646046112955529,1.4982380853316584,120.1839437179947,5
RV,120,LOW,960,552,45.471014492753625,60.00927023476875,0.10871244607747962,1.0305604979870455,247.51004488646058,7,False,False,False,0,0.47377352095306763,-1.4794267871408129,40.98360655737705,122,40.98360655737705,-180.49006803117916,-1.4794267871408129,0.7180701176953227,239.8479495564862,6,267,45.69288389513109,126.49753009446906,0.47377352095306763,1.1705544230488767,178.55005897437673,7,163,48.466257668711656,114.00180817147879,0.6993975961440416,1.1959659318582085,181.0681595541013,6
RANGE_POS,360,MID,960,343,42.565597667638485,-291.86576270665256,-0.8509205909814943,0.8343222042199915,555.1116560512623,9,False,False,False,0,0.46930368492250657,-4.386041950708863,36.58536585365854,121,39.66942148760331,-530.7110760357724,-4.386041950708863,0.47330662032835236,555.1116560512623,6,123,36.58536585365854,57.72435324546831,0.46930368492250657,1.1551899508607557,82.60307609193735,7,99,53.535353535353536,181.12096008365157,1.8295046473096117,1.474065018270005,85.95741726933566,9
RANGE_POS,15,HIGH,720,377,49.07161803713528,202.1211422262929,0.5361303507328724,1.1347285224301336,114.88699754558098,8,False,False,False,0,0.46281373832325395,0.051541233655629584,45.66929133858268,122,50.0,6.288030505986809,0.051541233655629584,1.009779966785119,114.88699754558098,8,128,51.5625,137.05576695325274,1.070748179322287,1.3572788775518039,84.09857857582905,5,127,45.66929133858268,58.77734476705325,0.46281373832325395,1.1240943757981725,102.54420141056374,6
RV,240,LOW,960,601,46.92179700499168,75.83061062930969,0.12617406094727068,1.0350060968471861,245.4144900131102,7,False,False,False,0,0.431533665491191,-1.6437781106836384,44.26229508196721,122,44.26229508196721,-200.5409295034039,-1.6437781106836384,0.6895355651115789,238.21444950050048,6,288,45.13888888888889,124.281695661463,0.431533665491191,1.1516820526156082,139.38058794112055,7,191,51.30890052356021,152.08984447125047,0.7962819082264423,1.2169871375987036,245.4144900131102,6
RV,360,LOW,960,620,46.45161290322581,35.4221227323911,0.05713245601998565,1.0155809814185779,260.5465550812245,7,False,False,False,0,0.41903631656787155,-1.8539991514997034,42.62295081967213,122,42.62295081967213,-226.18789648296382,-1.8539991514997034,0.6576096447804602,260.5465550812245,6,298,44.966442953020135,124.87282233722573,0.41903631656787155,1.140739575614773,164.53389234961648,7,200,51.0,136.73719687812923,0.6836859843906461,1.1884614108987555,245.2254353065106,6
RV,240,LOW,720,601,44.42595673876872,-25.756851030591775,-0.04285665728883823,0.9874643482504997,253.65268122209912,9,False,False,False,0,0.40301294803467164,-1.8246669846889316,38.52459016393443,122,38.52459016393443,-222.60937213204966,-1.8246669846889316,0.6219381780843277,253.65268122209912,7,288,43.40277777777778,119.87704802683561,0.4162397500931792,1.1541640756672296,125.17701245638682,9,191,49.73821989528796,76.97547307462229,0.40301294803467164,1.1118380048318472,226.27409202977645,9
EFFICIENCY,60,HIGH,720,341,48.38709677419355,33.61782473058821,0.09858599627738478,1.020840901846204,226.9307990465701,7,False,False,False,0,0.38975299475731834,-1.5384137999821135,44.21052631578947,122,45.90163934426229,-187.68648359781784,-1.5384137999821135,0.7713801804478946,226.9307990465701,7,95,44.21052631578947,37.02653450194524,0.38975299475731834,1.1178200060630195,98.88047734276012,7,124,54.03225806451613,184.27777382646087,1.4861110792456522,1.3856381963030189,132.803592734833,5
EFFICIENCY,15,LOW,960,360,48.05555555555556,-113.32117810970516,-0.3147810503047366,0.932207046066745,361.21530033187497,7,False,False,False,0,0.3835521771167109,-1.8290144777202721,45.90163934426229,122,45.90163934426229,-223.1397662818732,-1.8290144777202721,0.7472825289218264,361.21530033187497,7,111,48.64864864864865,61.10746167834579,0.55051767277789,1.2284213217636957,52.350231990033905,6,127,49.60629921259843,48.711126493822285,0.3835521771167109,1.0934783424666674,148.25796437391182,4
DRIVE,360,HIGH,960,359,45.96100278551532,54.98561307271659,0.15316326761202392,1.0320666666576799,171.74971764581426,8,False,False,False,0,0.3708578890785094,-1.065785658919444,41.66666666666667,122,50.81967213114754,-130.0258503881722,-1.065785658919444,0.8589154373679471,171.74971764581426,5,108,41.66666666666667,40.052652020479016,0.3708578890785094,1.1113510116616623,93.25339061963048,8,129,44.96124031007752,144.95881144040973,1.1237117165923236,1.334457773469968,124.40879763497006,6
RV,30,MID,960,331,48.036253776435046,-205.47076790205065,-0.6207576069548358,0.8824182204437174,392.59642600608515,9,False,False,False,0,0.3534737112454646,-2.8175306938579316,45.45454545454545,121,47.107438016528924,-340.9212139568097,-2.8175306938579316,0.6188145408007927,392.59642600608515,5,88,45.45454545454545,92.32665328281249,1.0491665145774147,1.310150365195256,69.23166859414289,9,122,50.81967213114754,43.12379277194668,0.3534737112454646,1.0776422402870156,193.73023620246062,5
TREND,60,MID,720,427,43.559718969555036,-227.4635670461035,-0.5327015621688607,0.8540225488688643,394.61485447189693,7,False,False,False,0,0.3490999307069024,-3.1384706488383665,38.84297520661157,121,38.84297520661157,-379.75494850944233,-3.1384706488383665,0.513216867312197,394.61485447189693,7,185,41.62162162162162,64.58348718077694,0.3490999307069024,1.1405302769785797,111.05424581319087,7,121,51.2396694214876,87.70789428256187,0.7248586304343956,1.2753704909647046,79.85502271728812,7
TREND,240,HIGH,720,310,45.483870967741936,33.505896408044435,0.10808353680014333,1.0215339931739478,184.70308184753543,8,False,False,False,0,0.3369891233415207,-0.2862113638017353,42.72727272727273,122,49.18032786885246,-34.9177863838117,-0.2862113638017353,0.9576181312682934,184.70308184753543,5,78,43.58974358974359,31.354879224288894,0.40198563108062685,1.1097613382316864,126.18622100482636,7,110,42.72727272727273,37.06880356756728,0.3369891233415207,1.0830385894283474,123.52120452395312,8
EFFICIENCY,30,LOW,960,389,47.81491002570694,-119.06445011425022,-0.3060782779286638,0.934631151969979,335.1165647193475,6,False,False,False,0,0.30118295720426713,-1.9676724033517388,45.83333333333333,122,50.0,-240.05603320891214,-1.9676724033517388,0.7607708938878777,335.1165647193475,6,144,45.83333333333333,83.94607935853699,0.5829588844342847,1.2003745001284472,70.2994060539273,5,123,47.96747967479675,37.04550373612486,0.30118295720426713,1.0928406648398898,109.02081473640186,5
EFFICIENCY,30,MID,360,331,44.41087613293052,47.07499971230688,0.142220542937483,1.0466387893210414,111.5211132949476,7,False,False,False,0,0.29123395665637125,-0.46408583751990856,39.66942148760331,121,39.66942148760331,-56.15438633990894,-0.46408583751990856,0.8836559107915603,102.63317683516321,7,101,46.53465346534654,29.414629622293496,0.29123395665637125,1.1450301518640977,75.27811828766917,6,109,47.706422018348626,73.81475642992226,0.6771996002745161,1.2279092971503809,90.16782740868682,6
TREND,240,MID,720,457,42.4507658643326,-340.252178983055,-0.7445343084968381,0.8182578822176905,493.60113527056063,8,False,False,False,0,0.28237525254534285,-3.9358323430259814,35.53719008264463,121,35.53719008264463,-476.2357135061437,-3.9358323430259814,0.4303642943439518,490.48970253087725,7,205,40.97560975609756,57.88692677179528,0.28237525254534285,1.097167116969323,109.8294544696659,8,131,51.14503816793893,78.09660775129346,0.5961573110785761,1.1773356781961142,93.29931400981907,6
RANGE_POS,240,MID,960,352,42.61363636363637,-277.9775566322537,-0.7897089677052662,0.8374547429568319,506.57655425722993,9,False,False,False,0,0.2806150948073825,-3.43970961725602,38.01652892561984,121,38.84297520661157,-416.20486368797845,-3.43970961725602,0.5494423434599186,463.72841528798847,9,121,38.01652892561984,33.95442647169328,0.2806150948073825,1.0903517193651844,111.90670888938055,6,110,51.81818181818182,104.27288058403151,0.9479352780366501,1.2539542458422523,115.96255262581923,7
RANGE_POS,120,HIGH,960,332,47.59036144578313,-277.23664207465674,-0.8350501267308938,0.8595241710760579,475.9496111006139,7,False,False,False,1,0.23830966159188224,-3.621067938386327,43.333333333333336,122,45.90163934426229,-441.7702884831319,-3.621067938386327,0.6190416562614137,448.4614997508436,7,90,55.55555555555556,135.93648701744928,1.510405411304992,1.4592869255073568,100.23676997873491,6,120,43.333333333333336,28.59715939102587,0.23830966159188224,1.0552119564115823,168.27315961662,7
TREND,30,MID,720,455,45.714285714285715,-131.87014454819035,-0.2898244935125063,0.9240881790174837,335.21289015145874,9,False,False,False,0,0.23820099368952372,-2.690878304326473,42.14876033057851,121,42.14876033057851,-325.5962748235032,-2.690878304326473,0.5945493367453195,335.21289015145874,9,193,44.04145077720207,160.13979016508998,0.8297398454149739,1.3390054759224879,70.92361938387234,7,141,51.06382978723404,33.58634011022284,0.23820099368952372,1.0727417841586935,121.38430059592696,7
RANGE_POS,360,HIGH,720,346,45.664739884393065,-78.06703972243264,-0.22562728243477642,0.9544232439394085,281.69913234647623,5,False,False,False,0,0.23600616031211452,-1.8903289122286338,44.26229508196721,122,44.26229508196721,-230.6201272918933,-1.8903289122286338,0.7619984976757922,281.69913234647623,5,103,48.54368932038835,123.9963421716948,1.203847982249464,1.4414080113553083,74.45614515941311,5,121,44.62809917355372,28.55674539776586,0.23600616031211452,1.0616812815253431,152.41192151580205,5
TREND,240,HIGH,960,310,48.70967741935484,140.89913337973223,0.4545133334830072,1.089256116399683,219.94147323672084,10,False,False,False,0,0.2313766113711187,-0.251677816284479,44.871794871794876,122,53.278688524590166,-30.70469358670644,-0.251677816284479,0.9656635691157797,219.94147323672084,5,78,44.871794871794876,18.04737568694726,0.2313766113711187,1.0597694108292102,137.77163257078837,10,110,46.36363636363636,153.5564512794914,1.3959677389044673,1.401546347463696,110.18092932582337,9
TREND,60,MID,960,427,43.09133489461358,-277.97267555048404,-0.6509898724835692,0.8390863786904672,405.6044196295599,8,False,False,False,0,0.22664892895557875,-3.2088314533305056,39.66942148760331,121,39.66942148760331,-388.2686058529912,-3.2088314533305056,0.543829055314818,388.26860585299085,6,185,43.24324324324324,41.93005185678207,0.22664892895557875,1.082461708597258,143.13566650266654,8,121,46.28099173553719,68.36587844572499,0.5650072598820247,1.185858184496478,97.9430337743256,5
RANGE_POS,120,MID,960,376,47.340425531914896,203.81928062565342,0.5420725548554612,1.1476501991333092,125.66630004610064,6,False,False,False,0,0.22615874462559063,0.22615874462559063,40.27777777777778,121,50.413223140495866,69.27370962300435,0.5725099968843335,1.114722821733206,88.00393077818359,5,144,40.27777777777778,32.56685922608505,0.22615874462559063,1.0779452305816861,124.17053175894625,6,111,53.153153153153156,101.97871177656403,0.9187271331221984,1.2842475423752586,95.62304620337812,5
TREND,60,HIGH,720,327,46.788990825688074,21.46824726981984,0.06565213232360807,1.0123859935329451,186.97285137174958,7,False,False,False,0,0.21270020509146847,-1.0633845514835956,43.22033898305085,122,47.540983606557376,-129.73291528099867,-1.0633845514835956,0.8543960483607859,186.97285137174958,5,87,50.57471264367817,126.10253835002521,1.4494544637933933,1.4101944068595489,86.10655706987326,7,118,43.22033898305085,25.09862420079328,0.21270020509146847,1.046926640213779,137.84716505033668,5
TREND,15,MID,960,419,45.82338902147971,-200.112604667233,-0.47759571519626015,0.8857529300446684,319.002231580292,9,False,False,False,0,0.21093169763565076,-2.2359841499001947,43.80165289256198,121,43.80165289256198,-270.55408213792356,-2.2359841499001947,0.6591022806731818,313.83213766606394,6,168,45.23809523809524,35.436525202789326,0.21093169763565076,1.0809590288380293,94.29150191636559,9,130,48.46153846153846,35.00495226790122,0.2692688635992401,1.0672892108813217,143.01661325379422,4
