partition,event_ts,event_complete_ts,event_hour_utc,event_hour_wib,prior3_high,prior3_low,event_open,event_high,event_low,event_close,regime_effective_ts,regime,entry_ts,entry_open,close1h,close3h,long_positive_1h,long_positive_3h,signed_ret_1h,signed_ret_3h
external,2020-03-01 19:00:00+00:00,2020-03-01 20:00:00+00:00,19,02:00,8587.72,8461.93,8467.09,8579.83,8409.0,8548.53,2020-03-01 20:00:00+00:00,BEAR,2020-03-01 20:00:00+00:00,8548.53,8499.08,8566.78,False,True,-0.005784620279744135,0.0021348699717962383
external,2020-03-02 19:00:00+00:00,2020-03-02 20:00:00+00:00,19,02:00,8925.32,8825.0,8863.6,8890.0,8823.89,8885.64,2020-03-02 20:00:00+00:00,BULL,2020-03-02 20:00:00+00:00,8885.64,8885.95,8914.57,True,True,3.488775147331147e-05,0.0032558150003827446
external,2020-03-03 08:00:00+00:00,2020-03-03 09:00:00+00:00,8,15:00,8859.96,8752.29,8759.13,8795.67,8737.07,8777.59,2020-03-03 08:00:00+00:00,BULL,2020-03-03 09:00:00+00:00,8777.58,8826.99,8863.22,True,True,0.005629114174977579,0.009756675530157466
external,2020-03-11 18:00:00+00:00,2020-03-11 19:00:00+00:00,18,01:00,7832.05,7651.5,7676.98,7819.86,7593.29,7796.37,2020-03-11 16:00:00+00:00,SIDEWAYS,2020-03-11 19:00:00+00:00,7796.41,7834.38,7813.22,True,True,0.00487019025423252,0.0021561205734434985
external,2020-03-12 04:00:00+00:00,2020-03-12 05:00:00+00:00,4,11:00,7943.76,7575.0,7666.26,7666.26,7569.16,7628.69,2020-03-12 04:00:00+00:00,SIDEWAYS,2020-03-12 05:00:00+00:00,7627.39,7650.78,7397.9,True,False,0.0030665797867945876,-0.030087618438286334
external,2020-03-12 08:00:00+00:00,2020-03-12 09:00:00+00:00,8,15:00,7663.22,7340.0,7397.35,7470.0,7308.24,7383.06,2020-03-12 08:00:00+00:00,SIDEWAYS,2020-03-12 09:00:00+00:00,7382.85,7357.61,6038.38,False,False,-0.0034187339577534948,-0.18210718083125088
external,2020-03-13 18:00:00+00:00,2020-03-13 19:00:00+00:00,18,01:00,5433.34,4888.0,5178.14,5180.39,4739.22,4966.38,2020-03-13 16:00:00+00:00,BEAR,2020-03-13 19:00:00+00:00,4966.39,5398.09,5500.09,True,True,0.08692430517941596,0.10746236199734605
external,2020-03-18 08:00:00+00:00,2020-03-18 09:00:00+00:00,8,15:00,5418.05,5091.5,5144.26,5175.0,5063.0,5165.62,2020-03-18 08:00:00+00:00,BEAR,2020-03-18 09:00:00+00:00,5165.99,5138.0,5136.25,False,False,-0.005418128954953416,-0.005756882998224855
external,2020-03-21 08:00:00+00:00,2020-03-21 09:00:00+00:00,8,15:00,6231.0,6035.01,6147.01,6162.28,6023.61,6110.42,2020-03-21 08:00:00+00:00,BULL,2020-03-21 09:00:00+00:00,6110.13,5972.53,6112.29,False,True,-0.02251997911664738,0.00035351130008698384
external,2020-03-22 18:00:00+00:00,2020-03-22 19:00:00+00:00,18,01:00,6134.87,5930.0,6013.24,6030.66,5855.68,5984.89,2020-03-22 16:00:00+00:00,SIDEWAYS,2020-03-22 19:00:00+00:00,5986.2,5907.6,6046.23,False,True,-0.013130199458755043,0.01002806454846139
external,2020-03-25 18:00:00+00:00,2020-03-25 19:00:00+00:00,18,01:00,6699.99,6588.18,6638.18,6660.0,6569.0,6645.86,2020-03-25 16:00:00+00:00,BULL,2020-03-25 19:00:00+00:00,6644.61,6618.01,6595.83,False,False,-0.004003244735206302,-0.007341288653510136
external,2020-03-29 08:00:00+00:00,2020-03-29 09:00:00+00:00,8,15:00,6198.78,6109.0,6148.98,6148.98,6085.4,6126.3,2020-03-29 08:00:00+00:00,SIDEWAYS,2020-03-29 09:00:00+00:00,6125.92,6083.39,6135.49,False,True,-0.006942630657925664,0.001562214328623135
external,2020-04-02 19:00:00+00:00,2020-04-02 20:00:00+00:00,19,02:00,7290.0,6727.04,6787.06,6865.14,6715.22,6800.42,2020-04-02 20:00:00+00:00,BULL,2020-04-02 20:00:00+00:00,6800.13,6735.99,6838.85,False,True,-0.009432172620229329,0.005694008791008454
external,2020-04-04 19:00:00+00:00,2020-04-04 20:00:00+00:00,19,02:00,6800.0,6708.33,6766.42,6784.35,6706.0,6741.19,2020-04-04 20:00:00+00:00,BULL,2020-04-04 20:00:00+00:00,6741.38,6823.35,6837.68,True,True,0.012159231492661737,0.01428490902456181
external,2020-04-08 08:00:00+00:00,2020-04-08 09:00:00+00:00,8,15:00,7417.83,7280.0,7319.58,7329.16,7256.0,7287.84,2020-04-08 08:00:00+00:00,BULL,2020-04-08 09:00:00+00:00,7288.0,7296.25,7287.3,True,False,0.001131997804610263,-9.604829857301489e-05
external,2020-04-09 04:00:00+00:00,2020-04-09 05:00:00+00:00,4,11:00,7347.92,7256.0,7280.76,7292.97,7235.51,7282.32,2020-04-09 04:00:00+00:00,BULL,2020-04-09 05:00:00+00:00,7283.05,7303.88,7325.57,True,True,0.002860065494538766,0.005838213385875424
external,2020-04-09 18:00:00+00:00,2020-04-09 19:00:00+00:00,18,01:00,7320.0,7243.0,7290.55,7291.54,7225.09,7253.45,2020-04-09 16:00:00+00:00,BULL,2020-04-09 19:00:00+00:00,7253.43,7258.0,7308.4,True,True,0.0006300467502959872,0.007578483558812854
external,2020-04-12 04:00:00+00:00,2020-04-12 05:00:00+00:00,4,11:00,6877.91,6785.22,6806.23,6822.31,6775.66,6814.01,2020-04-12 04:00:00+00:00,BEAR,2020-04-12 05:00:00+00:00,6814.02,6830.16,6825.48,True,True,0.0023686458214093875,0.0016818265869484872
external,2020-04-13 04:00:00+00:00,2020-04-13 05:00:00+00:00,4,11:00,6731.71,6642.5,6671.01,6705.64,6633.33,6682.87,2020-04-13 04:00:00+00:00,BEAR,2020-04-13 05:00:00+00:00,6682.93,6688.51,6694.93,True,True,0.0008349631074993091,0.0017956195860198143
external,2020-04-14 19:00:00+00:00,2020-04-14 20:00:00+00:00,19,02:00,6975.6,6874.98,6904.19,6920.0,6855.0,6911.3,2020-04-14 20:00:00+00:00,SIDEWAYS,2020-04-14 20:00:00+00:00,6911.47,6859.0,6868.3,False,False,-0.007591727953677019,-0.00624613866514645
external,2020-04-20 18:00:00+00:00,2020-04-20 19:00:00+00:00,18,01:00,7090.0,6830.0,6869.8,6997.0,6820.0,6862.12,2020-04-20 16:00:00+00:00,SIDEWAYS,2020-04-20 19:00:00+00:00,6862.11,6766.71,6836.94,False,False,-0.013902429427683272,-0.00366796801566871
external,2020-04-21 04:00:00+00:00,2020-04-21 05:00:00+00:00,4,11:00,6903.38,6835.01,6853.29,6861.81,6827.14,6848.5,2020-04-21 04:00:00+00:00,SIDEWAYS,2020-04-21 05:00:00+00:00,6848.78,6882.95,6873.32,True,True,0.004989209757066293,0.0035831199133276037
external,2020-04-23 04:00:00+00:00,2020-04-23 05:00:00+00:00,4,11:00,7178.0,7104.92,7108.21,7123.82,7087.49,7121.26,2020-04-23 04:00:00+00:00,BULL,2020-04-23 05:00:00+00:00,7121.27,7096.85,7056.41,False,False,-0.0034291636182871565,-0.009107925973878328
external,2020-04-25 08:00:00+00:00,2020-04-25 09:00:00+00:00,8,15:00,7590.0,7515.9,7558.67,7577.9,7510.0,7547.24,2020-04-25 08:00:00+00:00,BULL,2020-04-25 09:00:00+00:00,7547.23,7558.0,7532.3,True,False,0.0014270136195664307,-0.0019782092237813353
external,2020-04-26 04:00:00+00:00,2020-04-26 05:00:00+00:00,4,11:00,7579.0,7545.97,7563.65,7564.46,7536.65,7550.92,2020-04-26 04:00:00+00:00,BULL,2020-04-26 05:00:00+00:00,7550.93,7528.47,7542.4,False,False,-0.0029744680456579298,-0.001129662174063406
external,2020-04-28 04:00:00+00:00,2020-04-28 05:00:00+00:00,4,11:00,7741.6,7666.07,7702.54,7711.8,7662.71,7687.99,2020-04-28 04:00:00+00:00,BULL,2020-04-28 05:00:00+00:00,7687.99,7698.03,7707.99,True,True,0.0013059330202043196,0.0026014601996100506
external,2020-05-06 18:00:00+00:00,2020-05-06 19:00:00+00:00,18,01:00,9326.12,9229.8,9271.83,9271.83,9205.98,9241.25,2020-05-06 16:00:00+00:00,BULL,2020-05-06 19:00:00+00:00,9241.9,9243.01,9280.95,True,True,0.0001201051731787306,0.004225321632997714
external,2020-05-08 19:00:00+00:00,2020-05-08 20:00:00+00:00,19,02:00,10004.0,9877.19,9900.8,9975.0,9873.73,9954.49,2020-05-08 20:00:00+00:00,BULL,2020-05-08 20:00:00+00:00,9954.28,9988.42,9883.67,True,False,0.0034296804992424157,-0.007093431167296993
external,2020-05-09 04:00:00+00:00,2020-05-09 05:00:00+00:00,4,11:00,9923.98,9835.0,9874.64,9888.0,9790.37,9842.86,2020-05-09 04:00:00+00:00,BULL,2020-05-09 05:00:00+00:00,9843.0,9843.06,9609.65,True,False,6.095702529629321e-06,-0.02370720308848928
external,2020-05-11 08:00:00+00:00,2020-05-11 09:00:00+00:00,8,15:00,8729.38,8610.42,8661.0,8684.0,8560.11,8634.34,2020-05-11 08:00:00+00:00,SIDEWAYS,2020-05-11 09:00:00+00:00,8634.32,8487.29,8923.21,False,True,-0.017028555809837864,0.0334583383520648
external,2020-05-11 18:00:00+00:00,2020-05-11 19:00:00+00:00,18,01:00,8955.0,8349.49,8503.0,8673.7,8151.12,8604.55,2020-05-11 16:00:00+00:00,SIDEWAYS,2020-05-11 19:00:00+00:00,8602.86,8747.36,8589.12,True,False,0.01679673968889417,-0.001597143275608337
external,2020-05-13 04:00:00+00:00,2020-05-13 05:00:00+00:00,4,11:00,8971.0,8882.2,8908.42,8937.84,8870.0,8928.94,2020-05-13 04:00:00+00:00,SIDEWAYS,2020-05-13 05:00:00+00:00,8928.94,8881.64,8867.64,False,False,-0.005297381324099071,-0.006865316599730886
external,2020-05-13 08:00:00+00:00,2020-05-13 09:00:00+00:00,8,15:00,8940.0,8854.0,8866.83,8915.79,8828.0,8906.5,2020-05-13 08:00:00+00:00,SIDEWAYS,2020-05-13 09:00:00+00:00,8906.5,8913.58,9034.48,True,True,0.0007949250547352182,0.0143692808622915
external,2020-05-16 08:00:00+00:00,2020-05-16 09:00:00+00:00,8,15:00,9585.0,9371.35,9385.87,9436.0,9350.0,9420.0,2020-05-16 08:00:00+00:00,BULL,2020-05-16 09:00:00+00:00,9419.99,9409.87,9410.0,False,False,-0.001074311119226179,-0.0010605106799476127
external,2020-05-16 18:00:00+00:00,2020-05-16 19:00:00+00:00,18,01:00,9436.75,9284.89,9318.24,9344.0,9260.0,9285.52,2020-05-16 16:00:00+00:00,BULL,2020-05-16 19:00:00+00:00,9285.8,9325.59,9376.89,True,True,0.004285037368885858,0.009809601757522213
external,2020-05-17 18:00:00+00:00,2020-05-17 19:00:00+00:00,18,01:00,9880.0,9702.0,9757.34,9760.04,9700.68,9745.75,2020-05-17 16:00:00+00:00,BULL,2020-05-17 19:00:00+00:00,9745.82,9768.64,9762.52,True,True,0.0023415166707367874,0.0017135551446672004
external,2020-05-19 04:00:00+00:00,2020-05-19 05:00:00+00:00,4,11:00,9664.28,9480.0,9526.02,9574.0,9462.0,9532.2,2020-05-19 04:00:00+00:00,SIDEWAYS,2020-05-19 05:00:00+00:00,9532.21,9595.99,9570.18,True,True,0.006690998205033383,0.003983336498041945
external,2020-05-20 04:00:00+00:00,2020-05-20 05:00:00+00:00,4,11:00,9770.0,9706.6,9722.78,9749.0,9691.37,9732.53,2020-05-20 04:00:00+00:00,BULL,2020-05-20 05:00:00+00:00,9732.88,9748.0,9762.0,True,True,0.001553497012189764,0.002991920171624418
external,2020-05-21 04:00:00+00:00,2020-05-21 05:00:00+00:00,4,11:00,9555.0,9444.36,9479.97,9494.21,9413.98,9479.5,2020-05-21 04:00:00+00:00,SIDEWAYS,2020-05-21 05:00:00+00:00,9479.72,9497.0,9453.5,True,False,0.0018228386492429305,-0.00276590447819125
external,2020-05-22 04:00:00+00:00,2020-05-22 05:00:00+00:00,4,11:00,9128.58,8953.34,8991.25,9035.7,8920.0,8994.0,2020-05-22 04:00:00+00:00,BEAR,2020-05-22 05:00:00+00:00,8994.0,9043.19,9077.28,True,True,0.005469201690015524,0.009259506337558454
external,2020-05-22 19:00:00+00:00,2020-05-22 20:00:00+00:00,19,02:00,9259.38,9165.0,9194.25,9215.73,9134.32,9170.99,2020-05-22 20:00:00+00:00,BEAR,2020-05-22 20:00:00+00:00,9170.99,9173.01,9191.08,True,True,0.00022025975385431273,0.0021906031955110095
external,2020-05-23 19:00:00+00:00,2020-05-23 20:00:00+00:00,19,02:00,9206.98,9135.12,9160.37,9190.0,9112.34,9177.01,2020-05-23 20:00:00+00:00,BEAR,2020-05-23 20:00:00+00:00,9177.0,9225.83,9222.23,True,True,0.005320910973084958,0.004928625912607565
external,2020-05-28 04:00:00+00:00,2020-05-28 05:00:00+00:00,4,11:00,9276.84,9151.03,9166.0,9194.88,9124.0,9175.33,2020-05-28 04:00:00+00:00,BULL,2020-05-28 05:00:00+00:00,9175.35,9163.56,9146.2,False,False,-0.0012849646062549347,-0.0031769905235222717
external,2020-05-28 19:00:00+00:00,2020-05-28 20:00:00+00:00,19,02:00,9537.0,9422.22,9423.2,9477.75,9392.57,9448.84,2020-05-28 20:00:00+00:00,BULL,2020-05-28 20:00:00+00:00,9449.03,9447.66,9482.5,False,True,-0.00014498842738364104,0.0035421625288520886
external,2020-05-31 04:00:00+00:00,2020-05-31 05:00:00+00:00,4,11:00,9673.0,9551.47,9576.49,9599.53,9515.0,9555.05,2020-05-31 04:00:00+00:00,BULL,2020-05-31 05:00:00+00:00,9555.04,9568.0,9563.11,True,True,0.0013563522497026526,0.000844580451782484
external,2020-06-04 04:00:00+00:00,2020-06-04 05:00:00+00:00,4,11:00,9684.85,9626.95,9664.01,9674.0,9623.0,9640.97,2020-06-04 04:00:00+00:00,SIDEWAYS,2020-06-04 05:00:00+00:00,9640.97,9639.05,9644.81,False,True,-0.00019915008552040536,0.0003983001710408107
external,2020-06-04 08:00:00+00:00,2020-06-04 09:00:00+00:00,8,15:00,9660.0,9621.0,9644.81,9648.19,9610.0,9637.81,2020-06-04 08:00:00+00:00,BULL,2020-06-04 09:00:00+00:00,9637.81,9558.46,9618.4,False,False,-0.008233198205816472,-0.002013943001573981
external,2020-06-07 08:00:00+00:00,2020-06-07 09:00:00+00:00,8,15:00,9685.92,9630.62,9655.0,9678.09,9540.0,9658.43,2020-06-07 08:00:00+00:00,SIDEWAYS,2020-06-07 09:00:00+00:00,9658.44,9627.55,9573.97,False,False,-0.0031982390530976845,-0.008745718770319155
external,2020-06-09 04:00:00+00:00,2020-06-09 05:00:00+00:00,4,11:00,9716.69,9662.04,9678.81,9688.98,9660.0,9675.79,2020-06-09 04:00:00+00:00,SIDEWAYS,2020-06-09 05:00:00+00:00,9675.21,9696.57,9680.46,True,True,0.0022077040188275276,0.0005426238810319894
external,2020-06-10 04:00:00+00:00,2020-06-10 05:00:00+00:00,4,11:00,9811.25,9733.01,9752.84,9757.97,9732.0,9750.43,2020-06-10 04:00:00+00:00,BULL,2020-06-10 05:00:00+00:00,9750.43,9770.4,9749.0,True,False,0.0020481148010906836,-0.00014666019857589863
external,2020-06-13 04:00:00+00:00,2020-06-13 05:00:00+00:00,4,11:00,9443.99,9398.0,9406.38,9408.34,9361.0,9404.82,2020-06-13 04:00:00+00:00,SIDEWAYS,2020-06-13 05:00:00+00:00,9404.82,9409.39,9431.93,True,True,0.0004859210489940313,0.0028825644722600963
external,2020-06-14 04:00:00+00:00,2020-06-14 05:00:00+00:00,4,11:00,9456.69,9421.61,9431.72,9441.0,9420.07,9426.14,2020-06-14 04:00:00+00:00,SIDEWAYS,2020-06-14 05:00:00+00:00,9426.5,9428.14,9412.65,True,False,0.00017397761629434072,-0.0014692621863894306
external,2020-06-15 04:00:00+00:00,2020-06-15 05:00:00+00:00,4,11:00,9340.23,9130.0,9161.08,9225.3,9122.0,9184.61,2020-06-15 04:00:00+00:00,SIDEWAYS,2020-06-15 05:00:00+00:00,9184.61,9034.86,9114.76,False,False,-0.016304448419693363,-0.007605113336331182
external,2020-06-18 19:00:00+00:00,2020-06-18 20:00:00+00:00,19,02:00,9415.5,9371.0,9392.89,9410.82,9329.7,9391.51,2020-06-18 20:00:00+00:00,SIDEWAYS,2020-06-18 20:00:00+00:00,9391.5,9341.0,9375.38,False,False,-0.00537720278975673,-0.0017164457221956475
external,2020-06-19 18:00:00+00:00,2020-06-19 19:00:00+00:00,18,01:00,9380.0,9281.0,9310.3,9340.0,9261.66,9319.86,2020-06-19 16:00:00+00:00,SIDEWAYS,2020-06-19 19:00:00+00:00,9320.62,9302.89,9329.71,False,True,-0.0019022339715599745,0.0009752570107994796
external,2020-06-21 08:00:00+00:00,2020-06-21 09:00:00+00:00,8,15:00,9420.47,9356.75,9364.0,9370.0,9355.33,9359.51,2020-06-21 08:00:00+00:00,SIDEWAYS,2020-06-21 09:00:00+00:00,9359.52,9360.43,9355.02,True,False,9.722720823290842e-05,-0.00048079388686594893
external,2020-06-21 19:00:00+00:00,2020-06-21 20:00:00+00:00,19,02:00,9375.0,9306.0,9312.24,9350.0,9301.0,9347.82,2020-06-21 20:00:00+00:00,SIDEWAYS,2020-06-21 20:00:00+00:00,9347.82,9323.5,9309.94,False,False,-0.002601676112719331,-0.004052281708462391
external,2020-06-23 19:00:00+00:00,2020-06-23 20:00:00+00:00,19,02:00,9700.0,9646.5,9660.01,9675.14,9645.35,9647.05,2020-06-23 20:00:00+00:00,BULL,2020-06-23 20:00:00+00:00,9647.05,9634.66,9617.53,False,False,-0.0012843304429851488,-0.003060002798782935
external,2020-06-24 08:00:00+00:00,2020-06-24 09:00:00+00:00,8,15:00,9675.19,9503.0,9518.88,9555.83,9490.0,9525.32,2020-06-24 08:00:00+00:00,SIDEWAYS,2020-06-24 09:00:00+00:00,9525.31,9533.0,9337.26,True,False,0.0008073228062919213,-0.019742139625901878
external,2020-06-26 04:00:00+00:00,2020-06-26 05:00:00+00:00,4,11:00,9297.16,9226.32,9241.99,9268.05,9225.74,9253.4,2020-06-26 04:00:00+00:00,BEAR,2020-06-26 05:00:00+00:00,9253.45,9218.94,9143.88,False,False,-0.0037294198380063426,-0.011840989036521643
external,2020-06-29 04:00:00+00:00,2020-06-29 05:00:00+00:00,4,11:00,9146.0,9083.0,9093.0,9122.47,9080.24,9110.66,2020-06-29 04:00:00+00:00,BEAR,2020-06-29 05:00:00+00:00,9110.66,9109.8,9095.0,False,False,-9.439491760210306e-05,-0.0017188655926134722
external,2020-06-29 08:00:00+00:00,2020-06-29 09:00:00+00:00,8,15:00,9130.0,9061.0,9095.0,9095.97,9058.19,9091.46,2020-06-29 08:00:00+00:00,BEAR,2020-06-29 09:00:00+00:00,9091.46,9130.88,9092.6,True,True,0.004335937242203158,0.00012539240122055872
external,2020-06-30 19:00:00+00:00,2020-06-30 20:00:00+00:00,19,02:00,9180.0,9122.2,9131.36,9153.99,9095.0,9133.26,2020-06-30 20:00:00+00:00,SIDEWAYS,2020-06-30 20:00:00+00:00,9133.37,9152.46,9134.82,True,True,0.0020901375943378486,0.00015875848673596593
