zone,session_date,year,ref_start,ref_end,exec_start,exec_end,ref_bars,exec_bars,status,H,L,R,k1_ts,leave_ts,h2_ts,terminal,entry_signal_ts,entry_ts,entry_px,has_k1,has_leave,upstream_h2,has_entry,h2_after_entry,trade_net_win,trade_net_return,trade_pnl_usd_500,trade_exit_type,trade_exit_ts,trade_rr,entry_structural_terminal
Z08,2022-01-03,2022,2022-01-03 08:00:00+00:00,2022-01-03 12:00:00+00:00,2022-01-03 12:00:00+00:00,2022-01-03 16:00:00+00:00,48,48,OK,531.98,524.0,7.980000000000018,2022-01-03 12:10:00+00:00,2022-01-03 12:15:00+00:00,2022-01-03 12:15:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z12,2022-01-03,2022,2022-01-03 12:00:00+00:00,2022-01-03 16:00:00+00:00,2022-01-03 16:00:00+00:00,2022-01-03 20:00:00+00:00,48,48,OK,533.0,526.54,6.460000000000036,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-03,2022,2022-01-03 16:00:00+00:00,2022-01-03 20:00:00+00:00,2022-01-03 20:00:00+00:00,2022-01-04 00:00:00+00:00,48,48,OK,528.43,514.44,13.989999999999895,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-03,2022,2022-01-03 20:00:00+00:00,2022-01-04 00:00:00+00:00,2022-01-04 00:00:00+00:00,2022-01-04 04:00:00+00:00,48,48,OK,516.46,510.41,6.050000000000011,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-04,2022,2022-01-04 00:00:00+00:00,2022-01-04 04:00:00+00:00,2022-01-04 04:00:00+00:00,2022-01-04 08:00:00+00:00,48,48,OK,513.35,502.0,11.350000000000023,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-04,2022,2022-01-04 04:00:00+00:00,2022-01-04 08:00:00+00:00,2022-01-04 08:00:00+00:00,2022-01-04 12:00:00+00:00,48,48,OK,512.44,506.36,6.080000000000041,2022-01-04 08:00:00+00:00,2022-01-04 08:05:00+00:00,2022-01-04 08:05:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z08,2022-01-04,2022,2022-01-04 08:00:00+00:00,2022-01-04 12:00:00+00:00,2022-01-04 12:00:00+00:00,2022-01-04 16:00:00+00:00,48,48,OK,515.54,510.0,5.539999999999964,2022-01-04 12:00:00+00:00,2022-01-04 12:05:00+00:00,2022-01-04 12:45:00+00:00,H2,2022-01-04 12:30:00+00:00,2022-01-04 12:35:00+00:00,513.26,True,True,True,True,True,True,0.006180317967501793,3.0901589837508965,TP,2022-01-04 13:50:00+00:00,2.3718411552346934,H2
Z12,2022-01-04,2022,2022-01-04 12:00:00+00:00,2022-01-04 16:00:00+00:00,2022-01-04 16:00:00+00:00,2022-01-04 20:00:00+00:00,48,48,OK,519.85,512.33,7.519999999999982,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-04,2022,2022-01-04 16:00:00+00:00,2022-01-04 20:00:00+00:00,2022-01-04 20:00:00+00:00,2022-01-05 00:00:00+00:00,48,48,OK,516.78,505.52,11.259999999999991,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-04,2022,2022-01-04 20:00:00+00:00,2022-01-05 00:00:00+00:00,2022-01-05 00:00:00+00:00,2022-01-05 04:00:00+00:00,48,48,OK,512.52,506.01,6.509999999999991,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-05,2022,2022-01-05 00:00:00+00:00,2022-01-05 04:00:00+00:00,2022-01-05 04:00:00+00:00,2022-01-05 08:00:00+00:00,48,48,OK,513.32,505.5,7.82000000000005,2022-01-05 06:40:00+00:00,2022-01-05 06:55:00+00:00,2022-01-05 06:55:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z04,2022-01-05,2022,2022-01-05 04:00:00+00:00,2022-01-05 08:00:00+00:00,2022-01-05 08:00:00+00:00,2022-01-05 12:00:00+00:00,48,48,OK,514.44,511.02,3.4200000000000728,2022-01-05 09:00:00+00:00,2022-01-05 09:05:00+00:00,2022-01-05 09:35:00+00:00,H2,2022-01-05 09:15:00+00:00,2022-01-05 09:20:00+00:00,513.5,True,True,True,True,True,True,0.002328627069133672,1.164313534566836,TP,2022-01-05 09:40:00+00:00,1.916179337231962,H2
Z08,2022-01-05,2022,2022-01-05 08:00:00+00:00,2022-01-05 12:00:00+00:00,2022-01-05 12:00:00+00:00,2022-01-05 16:00:00+00:00,48,48,OK,515.92,509.72,6.199999999999932,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-05,2022,2022-01-05 12:00:00+00:00,2022-01-05 16:00:00+00:00,2022-01-05 16:00:00+00:00,2022-01-05 20:00:00+00:00,48,48,OK,513.53,508.62,4.909999999999968,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-05,2022,2022-01-05 16:00:00+00:00,2022-01-05 20:00:00+00:00,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,48,48,OK,512.72,491.0,21.720000000000027,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-05,2022,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,2022-01-06 00:00:00+00:00,2022-01-06 04:00:00+00:00,48,48,OK,494.69,456.2,38.49000000000001,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-06,2022,2022-01-06 00:00:00+00:00,2022-01-06 04:00:00+00:00,2022-01-06 04:00:00+00:00,2022-01-06 08:00:00+00:00,48,48,OK,475.7,464.23,11.46999999999997,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-06,2022,2022-01-06 04:00:00+00:00,2022-01-06 08:00:00+00:00,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,48,48,OK,472.24,461.5,10.740000000000009,2022-01-06 08:00:00+00:00,2022-01-06 08:05:00+00:00,,OPPOSITE_BREAK,2022-01-06 08:15:00+00:00,2022-01-06 08:20:00+00:00,470.68,True,True,False,True,False,False,-0.008345415144046906,-4.172707572023453,SL,2022-01-06 08:35:00+00:00,1.4841713221601527,OPPOSITE_BREAK
Z08,2022-01-06,2022,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,2022-01-06 12:00:00+00:00,2022-01-06 16:00:00+00:00,48,48,OK,472.32,458.65,13.670000000000016,2022-01-06 15:55:00+00:00,,,NO_CAUSAL_LEAVE_BY_END,,,,True,False,False,False,False,False,,,,,,
Z12,2022-01-06,2022,2022-01-06 12:00:00+00:00,2022-01-06 16:00:00+00:00,2022-01-06 16:00:00+00:00,2022-01-06 20:00:00+00:00,48,48,OK,472.82,459.06,13.759999999999991,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-06,2022,2022-01-06 16:00:00+00:00,2022-01-06 20:00:00+00:00,2022-01-06 20:00:00+00:00,2022-01-07 00:00:00+00:00,48,48,OK,480.96,469.76,11.199999999999989,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-06,2022,2022-01-06 20:00:00+00:00,2022-01-07 00:00:00+00:00,2022-01-07 00:00:00+00:00,2022-01-07 04:00:00+00:00,48,48,OK,478.59,471.82,6.769999999999982,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-07,2022,2022-01-07 00:00:00+00:00,2022-01-07 04:00:00+00:00,2022-01-07 04:00:00+00:00,2022-01-07 08:00:00+00:00,48,48,OK,473.76,452.54,21.21999999999997,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-07,2022,2022-01-07 04:00:00+00:00,2022-01-07 08:00:00+00:00,2022-01-07 08:00:00+00:00,2022-01-07 12:00:00+00:00,48,48,OK,455.13,437.08,18.05000000000001,2022-01-07 08:25:00+00:00,2022-01-07 08:40:00+00:00,2022-01-07 09:10:00+00:00,H2,2022-01-07 09:00:00+00:00,2022-01-07 09:05:00+00:00,452.56,True,True,True,True,True,False,-0.0005719462612691615,-0.28597313063458074,SESSION_CLOSE,2022-01-07 11:55:00+00:00,1.4746075715604772,H2
Z08,2022-01-07,2022,2022-01-07 08:00:00+00:00,2022-01-07 12:00:00+00:00,2022-01-07 12:00:00+00:00,2022-01-07 16:00:00+00:00,48,48,OK,457.45,445.53,11.920000000000016,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-07,2022,2022-01-07 12:00:00+00:00,2022-01-07 16:00:00+00:00,2022-01-07 16:00:00+00:00,2022-01-07 20:00:00+00:00,48,48,OK,457.0,438.24,18.75999999999999,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-07,2022,2022-01-07 16:00:00+00:00,2022-01-07 20:00:00+00:00,2022-01-07 20:00:00+00:00,2022-01-08 00:00:00+00:00,48,48,OK,454.61,440.63,13.980000000000018,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-07,2022,2022-01-07 20:00:00+00:00,2022-01-08 00:00:00+00:00,2022-01-08 00:00:00+00:00,2022-01-08 04:00:00+00:00,48,48,OK,452.88,445.27,7.610000000000014,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-08,2022,2022-01-08 00:00:00+00:00,2022-01-08 04:00:00+00:00,2022-01-08 04:00:00+00:00,2022-01-08 08:00:00+00:00,48,48,OK,454.82,446.54,8.279999999999973,2022-01-08 05:55:00+00:00,2022-01-08 06:00:00+00:00,2022-01-08 06:50:00+00:00,H2,2022-01-08 06:15:00+00:00,2022-01-08 06:20:00+00:00,454.45,True,True,True,True,True,True,0.0027909010892286936,1.3954505446143468,SESSION_CLOSE,2022-01-08 07:55:00+00:00,1.1489533011272173,H2
Z04,2022-01-08,2022,2022-01-08 04:00:00+00:00,2022-01-08 08:00:00+00:00,2022-01-08 08:00:00+00:00,2022-01-08 12:00:00+00:00,48,48,OK,456.76,450.87,5.889999999999986,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-08,2022,2022-01-08 08:00:00+00:00,2022-01-08 12:00:00+00:00,2022-01-08 12:00:00+00:00,2022-01-08 16:00:00+00:00,48,48,OK,459.65,453.36,6.289999999999964,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-08,2022,2022-01-08 12:00:00+00:00,2022-01-08 16:00:00+00:00,2022-01-08 16:00:00+00:00,2022-01-08 20:00:00+00:00,48,48,OK,456.94,445.63,11.310000000000002,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-08,2022,2022-01-08 16:00:00+00:00,2022-01-08 20:00:00+00:00,2022-01-08 20:00:00+00:00,2022-01-09 00:00:00+00:00,48,48,OK,450.2,415.46,34.74000000000001,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-08,2022,2022-01-08 20:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 04:00:00+00:00,48,48,OK,437.07,418.0,19.069999999999993,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-09,2022,2022-01-09 00:00:00+00:00,2022-01-09 04:00:00+00:00,2022-01-09 04:00:00+00:00,2022-01-09 08:00:00+00:00,48,48,OK,435.69,426.72,8.96999999999997,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-09,2022,2022-01-09 04:00:00+00:00,2022-01-09 08:00:00+00:00,2022-01-09 08:00:00+00:00,2022-01-09 12:00:00+00:00,48,48,OK,437.95,432.32,5.6299999999999955,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-09,2022,2022-01-09 08:00:00+00:00,2022-01-09 12:00:00+00:00,2022-01-09 12:00:00+00:00,2022-01-09 16:00:00+00:00,48,48,OK,435.74,428.18,7.560000000000002,2022-01-09 13:15:00+00:00,2022-01-09 13:25:00+00:00,,OPPOSITE_BREAK,2022-01-09 13:40:00+00:00,2022-01-09 13:45:00+00:00,433.15,True,True,False,True,False,False,-0.006736061410596848,-3.368030705298424,SL,2022-01-09 15:10:00+00:00,2.1419753086419746,OPPOSITE_BREAK
Z12,2022-01-09,2022,2022-01-09 12:00:00+00:00,2022-01-09 16:00:00+00:00,2022-01-09 16:00:00+00:00,2022-01-09 20:00:00+00:00,48,48,OK,436.84,426.75,10.089999999999975,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-09,2022,2022-01-09 16:00:00+00:00,2022-01-09 20:00:00+00:00,2022-01-09 20:00:00+00:00,2022-01-10 00:00:00+00:00,48,48,OK,443.98,429.16,14.819999999999993,2022-01-09 20:10:00+00:00,2022-01-09 20:20:00+00:00,,NO_H2_BY_END,2022-01-09 20:35:00+00:00,2022-01-09 20:40:00+00:00,441.38,True,True,False,True,False,False,-0.011572953011010965,-5.786476505505482,SL,2022-01-09 23:25:00+00:00,1.5847953216374286,NO_H2_BY_END
Z20,2022-01-09,2022,2022-01-09 20:00:00+00:00,2022-01-10 00:00:00+00:00,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,48,48,OK,444.14,436.7,7.439999999999998,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z00,2022-01-10,2022,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,2022-01-10 04:00:00+00:00,2022-01-10 08:00:00+00:00,48,48,OK,440.66,435.29,5.3700000000000045,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-10,2022,2022-01-10 04:00:00+00:00,2022-01-10 08:00:00+00:00,2022-01-10 08:00:00+00:00,2022-01-10 12:00:00+00:00,48,48,OK,445.21,438.59,6.6200000000000045,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-10,2022,2022-01-10 08:00:00+00:00,2022-01-10 12:00:00+00:00,2022-01-10 12:00:00+00:00,2022-01-10 16:00:00+00:00,48,48,OK,442.0,432.35,9.649999999999977,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-10,2022,2022-01-10 12:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 20:00:00+00:00,48,48,OK,434.27,406.46,27.810000000000002,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-10,2022,2022-01-10 16:00:00+00:00,2022-01-10 20:00:00+00:00,2022-01-10 20:00:00+00:00,2022-01-11 00:00:00+00:00,48,48,OK,427.95,411.05,16.899999999999977,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-10,2022,2022-01-10 20:00:00+00:00,2022-01-11 00:00:00+00:00,2022-01-11 00:00:00+00:00,2022-01-11 04:00:00+00:00,48,48,OK,425.6,417.35,8.25,2022-01-11 02:00:00+00:00,2022-01-11 02:05:00+00:00,2022-01-11 02:05:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z00,2022-01-11,2022,2022-01-11 00:00:00+00:00,2022-01-11 04:00:00+00:00,2022-01-11 04:00:00+00:00,2022-01-11 08:00:00+00:00,48,48,OK,434.07,421.22,12.849999999999966,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-11,2022,2022-01-11 04:00:00+00:00,2022-01-11 08:00:00+00:00,2022-01-11 08:00:00+00:00,2022-01-11 12:00:00+00:00,48,48,OK,442.59,430.59,12.0,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-11,2022,2022-01-11 08:00:00+00:00,2022-01-11 12:00:00+00:00,2022-01-11 12:00:00+00:00,2022-01-11 16:00:00+00:00,48,48,OK,458.0,442.36,15.639999999999986,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-11,2022,2022-01-11 12:00:00+00:00,2022-01-11 16:00:00+00:00,2022-01-11 16:00:00+00:00,2022-01-11 20:00:00+00:00,48,48,OK,454.97,445.57,9.400000000000034,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-11,2022,2022-01-11 16:00:00+00:00,2022-01-11 20:00:00+00:00,2022-01-11 20:00:00+00:00,2022-01-12 00:00:00+00:00,48,48,OK,467.4,451.76,15.639999999999986,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-11,2022,2022-01-11 20:00:00+00:00,2022-01-12 00:00:00+00:00,2022-01-12 00:00:00+00:00,2022-01-12 04:00:00+00:00,48,48,OK,464.0,458.26,5.740000000000009,2022-01-12 00:00:00+00:00,2022-01-12 00:05:00+00:00,2022-01-12 00:05:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z00,2022-01-12,2022,2022-01-12 00:00:00+00:00,2022-01-12 04:00:00+00:00,2022-01-12 04:00:00+00:00,2022-01-12 08:00:00+00:00,48,48,OK,465.35,456.98,8.370000000000005,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-12,2022,2022-01-12 04:00:00+00:00,2022-01-12 08:00:00+00:00,2022-01-12 08:00:00+00:00,2022-01-12 12:00:00+00:00,48,48,OK,461.82,456.26,5.560000000000002,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-12,2022,2022-01-12 08:00:00+00:00,2022-01-12 12:00:00+00:00,2022-01-12 12:00:00+00:00,2022-01-12 16:00:00+00:00,48,48,OK,471.0,457.8,13.199999999999989,2022-01-12 12:25:00+00:00,2022-01-12 12:30:00+00:00,2022-01-12 12:30:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z12,2022-01-12,2022,2022-01-12 12:00:00+00:00,2022-01-12 16:00:00+00:00,2022-01-12 16:00:00+00:00,2022-01-12 20:00:00+00:00,48,48,OK,483.43,466.55,16.879999999999995,2022-01-12 16:30:00+00:00,2022-01-12 16:35:00+00:00,2022-01-12 16:35:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z16,2022-01-12,2022,2022-01-12 16:00:00+00:00,2022-01-12 20:00:00+00:00,2022-01-12 20:00:00+00:00,2022-01-13 00:00:00+00:00,48,48,OK,486.48,479.49,6.990000000000009,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z20,2022-01-12,2022,2022-01-12 20:00:00+00:00,2022-01-13 00:00:00+00:00,2022-01-13 00:00:00+00:00,2022-01-13 04:00:00+00:00,48,48,OK,488.41,483.58,4.830000000000041,2022-01-13 00:05:00+00:00,2022-01-13 00:10:00+00:00,,OPPOSITE_BREAK,2022-01-13 00:20:00+00:00,2022-01-13 00:25:00+00:00,486.29,True,True,False,True,False,False,-0.004479703469123351,-2.2398517345616757,SL,2022-01-13 00:45:00+00:00,2.463077984817106,OPPOSITE_BREAK
Z00,2022-01-13,2022,2022-01-13 00:00:00+00:00,2022-01-13 04:00:00+00:00,2022-01-13 04:00:00+00:00,2022-01-13 08:00:00+00:00,48,48,OK,488.5,475.55,12.949999999999989,,,,NO_K1_BY_END,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-13,2022,2022-01-13 04:00:00+00:00,2022-01-13 08:00:00+00:00,2022-01-13 08:00:00+00:00,2022-01-13 12:00:00+00:00,48,48,OK,484.75,477.33,7.420000000000016,2022-01-13 08:20:00+00:00,2022-01-13 08:25:00+00:00,2022-01-13 08:30:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z08,2022-01-13,2022,2022-01-13 08:00:00+00:00,2022-01-13 12:00:00+00:00,2022-01-13 12:00:00+00:00,2022-01-13 16:00:00+00:00,48,48,OK,486.83,476.29,10.539999999999964,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z12,2022-01-13,2022,2022-01-13 12:00:00+00:00,2022-01-13 16:00:00+00:00,2022-01-13 16:00:00+00:00,2022-01-13 20:00:00+00:00,48,48,OK,487.83,470.29,17.539999999999964,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z16,2022-01-13,2022,2022-01-13 16:00:00+00:00,2022-01-13 20:00:00+00:00,2022-01-13 20:00:00+00:00,2022-01-14 00:00:00+00:00,48,48,OK,478.68,465.86,12.819999999999993,2022-01-13 22:05:00+00:00,2022-01-13 22:15:00+00:00,,NO_H2_BY_END,2022-01-13 22:20:00+00:00,2022-01-13 22:25:00+00:00,478.0,True,True,False,True,False,False,-0.009546025104602505,-4.773012552301252,SL,2022-01-13 23:55:00+00:00,1.176807072282893,NO_H2_BY_END
Z20,2022-01-13,2022,2022-01-13 20:00:00+00:00,2022-01-14 00:00:00+00:00,2022-01-14 00:00:00+00:00,2022-01-14 04:00:00+00:00,48,48,OK,479.31,470.07,9.240000000000009,2022-01-14 00:45:00+00:00,2022-01-14 00:50:00+00:00,2022-01-14 00:50:00+00:00,H2,,,,True,True,True,False,False,False,,,,,,
Z00,2022-01-14,2022,2022-01-14 00:00:00+00:00,2022-01-14 04:00:00+00:00,2022-01-14 04:00:00+00:00,2022-01-14 08:00:00+00:00,48,48,OK,480.89,471.62,9.269999999999982,,,,BREAK_ABOVE_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z04,2022-01-14,2022,2022-01-14 04:00:00+00:00,2022-01-14 08:00:00+00:00,2022-01-14 08:00:00+00:00,2022-01-14 12:00:00+00:00,48,48,OK,489.77,479.71,10.060000000000002,,,,BREAK_BELOW_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
Z08,2022-01-14,2022,2022-01-14 08:00:00+00:00,2022-01-14 12:00:00+00:00,2022-01-14 12:00:00+00:00,2022-01-14 16:00:00+00:00,48,48,OK,483.9,467.12,16.779999999999973,,,,LOW_VISIT_BEFORE_K1,,,,False,False,False,False,False,False,,,,,,
