signal_id,partition,date_utc,k,signal_ts,signal_bar_start,structural_outcome,previous_session_high,previous_session_low,zone_name,zone_fraction,zone_px,status,activated,activation_bar_start,activation_ts,confirmed,confirmation_bar_start,confirmation_ts,confirmation_close,prior_bar_high_at_confirm,pullback_low,pullback_low_fraction,filled,entry_ts,entry_px,stop_px,target_px,nominal_rr,exit_ts,exit_px,exit_reason,net_pnl_usd
external|2020-09-11|K1|2020-09-11 16:05:00+00:00,external,2020-09-11,1,2020-09-11 16:05:00+00:00,2020-09-11 16:00:00+00:00,NO_BREAK,10334.99,10251.32,Z80,0.8,10318.256,TRADE,True,2020-09-11 16:05:00+00:00,2020-09-11 16:10:00+00:00,True,2020-09-11 16:25:00+00:00,2020-09-11 16:30:00+00:00,10331.99,10311.9,10301.06,0.5944783076371428,True,2020-09-11 16:30:00+00:00,10331.99,10301.06,10334.99,0.09699321047526582,2020-09-11 16:30:00+00:00,10334.99,TP_PREV_HIGH,-0.2548198362561257
external|2020-09-11|K1|2020-09-11 16:05:00+00:00,external,2020-09-11,1,2020-09-11 16:05:00+00:00,2020-09-11 16:00:00+00:00,NO_BREAK,10334.99,10251.32,Z85,0.85,10322.4395,TRADE,True,2020-09-11 16:05:00+00:00,2020-09-11 16:10:00+00:00,True,2020-09-11 16:25:00+00:00,2020-09-11 16:30:00+00:00,10331.99,10311.9,10301.06,0.5944783076371428,True,2020-09-11 16:30:00+00:00,10331.99,10301.06,10334.99,0.09699321047526582,2020-09-11 16:30:00+00:00,10334.99,TP_PREV_HIGH,-0.2548198362561257
external|2020-09-11|K2|2020-09-11 16:35:00+00:00,external,2020-09-11,2,2020-09-11 16:35:00+00:00,2020-09-11 16:30:00+00:00,NO_BREAK,10334.99,10251.32,Z75,0.75,10314.0725,TRADE,True,2020-09-11 16:40:00+00:00,2020-09-11 16:45:00+00:00,True,2020-09-11 18:10:00+00:00,2020-09-11 18:15:00+00:00,10319.1,10311.0,10270.0,0.2232580375283886,True,2020-09-11 18:15:00+00:00,10319.09,10270.0,10334.99,0.3238948869423424,2020-09-11 19:30:00+00:00,10334.99,TP_PREV_HIGH,0.3704167712462295
external|2020-09-11|K2|2020-09-11 16:35:00+00:00,external,2020-09-11,2,2020-09-11 16:35:00+00:00,2020-09-11 16:30:00+00:00,NO_BREAK,10334.99,10251.32,Z80,0.8,10318.256,TRADE,True,2020-09-11 16:40:00+00:00,2020-09-11 16:45:00+00:00,True,2020-09-11 18:10:00+00:00,2020-09-11 18:15:00+00:00,10319.1,10311.0,10270.0,0.2232580375283886,True,2020-09-11 18:15:00+00:00,10319.09,10270.0,10334.99,0.3238948869423424,2020-09-11 19:30:00+00:00,10334.99,TP_PREV_HIGH,0.3704167712462295
external|2020-09-11|K2|2020-09-11 16:35:00+00:00,external,2020-09-11,2,2020-09-11 16:35:00+00:00,2020-09-11 16:30:00+00:00,NO_BREAK,10334.99,10251.32,Z85,0.85,10322.4395,TRADE,True,2020-09-11 16:35:00+00:00,2020-09-11 16:40:00+00:00,True,2020-09-11 19:20:00+00:00,2020-09-11 19:25:00+00:00,10326.61,10318.87,10270.0,0.2232580375283886,True,2020-09-11 19:25:00+00:00,10326.61,10270.0,10334.99,0.14803038332448532,2020-09-11 19:30:00+00:00,10334.99,TP_PREV_HIGH,0.005747868855277338
external|2020-09-14|K1|2020-09-14 13:35:00+00:00,external,2020-09-14,1,2020-09-14 13:35:00+00:00,2020-09-14 13:30:00+00:00,TARGET_BREAK,10617.6,10320.79,Z75,0.75,10543.397500000001,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10617.6,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-09-14|K1|2020-09-14 13:35:00+00:00,external,2020-09-14,1,2020-09-14 13:35:00+00:00,2020-09-14 13:30:00+00:00,TARGET_BREAK,10617.6,10320.79,Z80,0.8,10558.238000000001,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10617.6,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-09-14|K1|2020-09-14 13:35:00+00:00,external,2020-09-14,1,2020-09-14 13:35:00+00:00,2020-09-14 13:30:00+00:00,TARGET_BREAK,10617.6,10320.79,Z85,0.85,10573.0785,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10617.6,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-09-23|K1|2020-09-23 13:35:00+00:00,external,2020-09-23,1,2020-09-23 13:35:00+00:00,2020-09-23 13:30:00+00:00,TARGET_BREAK,10515.0,10398.45,Z75,0.75,10485.8625,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10515.0,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-09-23|K1|2020-09-23 13:35:00+00:00,external,2020-09-23,1,2020-09-23 13:35:00+00:00,2020-09-23 13:30:00+00:00,TARGET_BREAK,10515.0,10398.45,Z80,0.8,10491.69,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10515.0,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
