rule,level_name,pool_family,archetype,variant,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,eligible,wr_sort,pf_sort,rank
PWH|CONT|H1_FLOW,PWH,PW,CONT,H1_FLOW,156,73,0.46794871794871795,35,38,0,0.4794520547945205,-0.000410958904109537,0.9210526315789571,8,0.36877263024700824,1,0.4794520547945205,0.9210526315789571,12
PWH|CONT|PERSIST,PWH,PW,CONT,PERSIST,156,70,0.44871794871794873,33,37,0,0.4714285714285714,-0.00057142857142852,0.8918918918919013,7,0.35904683190771935,1,0.4714285714285714,0.8918918918919013,13
PWH|CONT|FLOW3,PWH,PW,CONT,FLOW3,156,73,0.46794871794871795,34,39,0,0.4657534246575342,-0.0006849315068492649,0.8717948717948808,8,0.35591852872281665,1,0.4657534246575342,0.8717948717948808,14
PDH|CONT|MICRO,PDH,PD,CONT,MICRO,156,123,0.7884615384615384,54,69,0,0.43902439024390244,-0.0012195121951218966,0.7826086956521834,9,0.354485645582187,1,0.43902439024390244,0.7826086956521834,15
PDH|CONT|MICRO_PERSIST,PDH,PD,CONT,MICRO_PERSIST,156,123,0.7884615384615384,54,69,0,0.43902439024390244,-0.0012195121951218966,0.7826086956521834,9,0.354485645582187,1,0.43902439024390244,0.7826086956521834,16
PDH|REV|RAW,PDH,PD,REV,RAW,156,133,0.8525641025641025,56,77,0,0.42105263157894735,-0.0015789473684210465,0.7272727272727274,7,0.3405146523621463,1,0.42105263157894735,0.7272727272727274,17
PDH|REV|H1_FLOW,PDH,PD,REV,H1_FLOW,156,52,0.3333333333333333,24,27,1,0.46153846153846156,-0.0005501549028983973,0.8940442409232713,11,0.3334025986239788,1,0.46153846153846156,0.8940442409232713,18
PDH|REV|MICRO,PDH,PD,REV,MICRO,156,30,0.19230769230769232,15,14,1,0.5,0.00037973150164277535,1.0813710360663094,10,0.3315385122717376,1,0.5,1.0813710360663094,19
PDH|REV|FLOW3,PDH,PD,REV,FLOW3,156,35,0.22435897435897437,17,18,0,0.4857142857142857,-0.00028571428571428265,0.9444444444444448,5,0.32993980391252736,1,0.4857142857142857,0.9444444444444448,20
PDL|CONT|MICRO_PERSIST,PDL,PD,CONT,MICRO_PERSIST,156,119,0.7628205128205128,48,71,0,0.40336134453781514,-0.001932773109243681,0.6760563380281707,9,0.3195775475068856,1,0.40336134453781514,0.6760563380281707,21
PDL|CONT|MICRO,PDL,PD,CONT,MICRO,156,120,0.7692307692307693,48,72,0,0.4,-0.001999999999999983,0.666666666666668,9,0.31676265239401125,1,0.4,0.666666666666668,22
PWH|REV|RAW,PWH,PW,REV,RAW,156,63,0.40384615384615385,27,36,0,0.42857142857142855,-0.0014285714285714294,0.7499999999999988,6,0.3139672637328724,1,0.42857142857142855,0.7499999999999988,23
PDL|CONT|H1_FLOW,PDL,PD,CONT,H1_FLOW,156,140,0.8974358974358975,54,86,0,0.38571428571428573,-0.0022857142857142685,0.6279069767441874,10,0.3091595162735896,1,0.38571428571428573,0.6279069767441874,24
PWL|REV|RAW,PWL,PW,REV,RAW,156,51,0.3269230769230769,22,29,0,0.43137254901960786,-0.0013725490196077874,0.758620689655181,7,0.3050102809233431,1,0.43137254901960786,0.758620689655181,25
PDL|CONT|PERSIST,PDL,PD,CONT,PERSIST,156,139,0.8910256410256411,52,87,0,0.37410071942446044,-0.002517985611510775,0.5977011494252883,10,0.2980592988538872,1,0.37410071942446044,0.5977011494252883,26
PWL|CONT|FLOW3,PWL,PW,CONT,FLOW3,156,55,0.3525641025641026,23,32,0,0.41818181818181815,-0.0016363636363636257,0.7187500000000006,6,0.29737567047718927,1,0.41818181818181815,0.7187500000000006,27
PDL|CONT|RAW,PDL,PD,CONT,RAW,156,143,0.9166666666666666,53,90,0,0.3706293706293706,-0.0025874125874125685,0.5888888888888901,10,0.29582198022284456,1,0.3706293706293706,0.5888888888888901,28
PDL|CONT|FLOW3,PDL,PD,CONT,FLOW3,156,142,0.9102564102564102,52,90,0,0.36619718309859156,-0.002676056338028151,0.5777777777777786,10,0.2914525045236429,1,0.36619718309859156,0.5777777777777786,29
PWH|CONT|MICRO,PWH,PW,CONT,MICRO,156,42,0.2692307692307692,18,24,0,0.42857142857142855,-0.0014285714285713835,0.7500000000000072,8,0.2911742951914822,1,0.42857142857142855,0.7500000000000072,30
PWH|CONT|MICRO_PERSIST,PWH,PW,CONT,MICRO_PERSIST,156,42,0.2692307692307692,18,24,0,0.42857142857142855,-0.0014285714285713835,0.7500000000000072,8,0.2911742951914822,1,0.42857142857142855,0.7500000000000072,31
PDL|REV|RAW,PDL,PD,REV,RAW,156,134,0.8589743589743589,49,85,0,0.3656716417910448,-0.0026865671641790522,0.5764705882353006,8,0.2889258915556576,1,0.3656716417910448,0.5764705882353006,32
PDL|REV|MICRO,PDL,PD,REV,MICRO,156,26,0.16666666666666666,12,14,0,0.46153846153846156,-0.0007692307692307165,0.8571428571428662,4,0.28755582695234905,1,0.46153846153846156,0.8571428571428662,33
PWL|CONT|PERSIST,PWL,PW,CONT,PERSIST,156,54,0.34615384615384615,22,32,0,0.4074074074074074,-0.0018518518518518402,0.6875000000000006,6,0.2867801518924045,1,0.4074074074074074,0.6875000000000006,34
PWL|CONT|RAW,PWL,PW,CONT,RAW,156,57,0.36538461538461536,23,34,0,0.40350877192982454,-0.0019298245614034959,0.6764705882352946,6,0.2861732352653998,1,0.40350877192982454,0.6764705882352946,35
PWL|CONT|H1_FLOW,PWL,PW,CONT,H1_FLOW,156,56,0.358974358974359,22,34,0,0.39285714285714285,-0.002142857142857129,0.6470588235294122,6,0.27580225617512844,1,0.39285714285714285,0.6470588235294122,36
