structure_id,raid_i_h1,raid_time,reclaim_i_h1,reclaim_time,reclaim_close_time,raid_year,liquidity_low,liquidity_pivot_i,liquidity_confirm_i,significant_high,significant_high_pivot_i,significant_high_confirm_i,raid_extreme,raid_depth_pct,reclaim_delay_h1_bars,reclaim_close,median_prior_h1_range,bos_i_h1,bos_time,bos_close_time,bos_close,bos_high,bars_reclaim_to_bos,displacement_range_units,bull_path_efficiency,bos_extension_range_units,origin_i_h1,origin_time,origin_open,origin_high,origin_low,origin_close,zone_low,zone_high,zone_width_range_units,first_return_i_5m,first_return_time,return_year,bos_to_return_min,return_open,return_high,return_low,return_close,return_penetration_zone_width,pre_return_structural_high,outcome,resolution_i_5m,resolution_time,return_to_resolution_min,path_status,path_anchor_i_5m,path_anchor_time,path_anchor_high,descent_bars,down_path_efficiency,median_adjacent_overlap,overlap_gt50_share,range_contraction_ratio,body_contraction_ratio,largest_bear_body_share,sign_flip_rate,lower_high_share,fall_per_bar_range_units,max_bear_body_range_units,pre_return_drawdown_fraction
2021-09-06 12:00:00+00:00__L8565__H8568,8573,2021-09-06 12:00:00+00:00,8573,2021-09-06 12:00:00+00:00,2021-09-06 13:00:00+00:00,2021,140.311,8565,8567,147.171,8568,8570,135.721,3.271304459379523,0,141.978,2.385000000000005,8576,2021-09-06 15:00:00+00:00,2021-09-06 16:00:00+00:00,151.463,151.79,3,6.6004192872117216,0.804290680912406,1.7995807127882568,8575,2021-09-06 14:00:00+00:00,145.981,146.2,143.759,144.827,143.759,146.2,1.0234800838574412,103201,2021-09-07 15:05:00+00:00,2021,1385.0,156.995,158.751,130.0,134.678,1.0,195.522,INVALIDATED,103201,2021-09-07 15:05:00+00:00,0.0,USABLE,103099.0,2021-09-07 06:35:00+00:00,195.522,103.0,0.2796311109019903,0.8211846452477309,0.8137254901960784,0.7544357700496817,0.9799301919720719,0.16391600378996543,0.5346534653465347,0.6568627450980392,0.2094346005835849,8.021926671459436,1.3284538339888892
2021-10-31 10:00:00+00:00__L9879__H9881,9891,2021-10-31 10:00:00+00:00,9891,2021-10-31 10:00:00+00:00,2021-10-31 11:00:00+00:00,2021,187.288,9879,9881,197.806,9881,9883,186.072,0.6492674383836702,0,187.657,2.2409999999999997,9901,2021-10-31 20:00:00+00:00,2021-10-31 21:00:00+00:00,198.245,199.062,10,5.43195002231147,0.6414637101659999,0.19589468987059036,9900,2021-10-31 19:00:00+00:00,196.758,197.9,195.026,196.191,195.026,197.9,1.2824631860776419,118909,2021-11-01 04:05:00+00:00,2021,425.0,198.32,199.424,197.556,198.516,0.11969380654140385,210.123,CONTINUATION,118954,2021-11-01 07:50:00+00:00,225.0,USABLE,118874.0,2021-11-01 01:10:00+00:00,210.123,36.0,0.45756635040007104,0.8450946643717677,0.8571428571428571,1.2070588235294106,0.8978328173374714,0.22378814570665376,0.4411764705882353,0.6571428571428571,0.25544639043143874,3.364374199060209,1.028143663585044
2021-11-04 15:00:00+00:00__L9986__H9988,9992,2021-11-04 15:00:00+00:00,9992,2021-11-04 15:00:00+00:00,2021-11-04 16:00:00+00:00,2021,236.891,9986,9988,244.178,9988,9990,236.0,0.37612235163007085,0,238.674,5.135999999999996,9997,2021-11-04 20:00:00+00:00,2021-11-04 21:00:00+00:00,248.745,249.19,5,2.4815031152648004,0.5468911213684498,0.8892133956386314,9994,2021-11-04 17:00:00+00:00,241.6,242.4,237.263,237.436,237.263,242.4,1.0001947040498451,120022,2021-11-05 00:50:00+00:00,2021,230.0,243.366,243.9,242.182,242.469,0.042437220167416335,250.52,INVALIDATED,120147,2021-11-05 11:15:00+00:00,625.0,USABLE,120004.0,2021-11-04 23:20:00+00:00,250.52,19.0,0.4960122699386509,0.8430179538330058,0.8333333333333334,0.9293893129771086,1.7459807073954794,0.19224869618570256,0.7058823529411765,0.7222222222222222,0.26736111111111305,1.3988095238095266,1.0268472906403963
2021-11-10 00:00:00+00:00__L10112__H10115,10121,2021-11-10 00:00:00+00:00,10121,2021-11-10 00:00:00+00:00,2021-11-10 01:00:00+00:00,2021,237.333,10112,10114,243.7,10115,10117,236.0,0.561658092216421,0,238.234,2.5575000000000045,10136,2021-11-10 15:00:00+00:00,2021-11-10 16:00:00+00:00,245.295,248.18,15,3.6344086021505264,0.26574084528245084,0.6236559139784931,10133,2021-11-10 12:00:00+00:00,240.803,242.085,237.057,237.41,237.057,242.085,1.9659824046920864,121669,2021-11-10 18:05:00+00:00,2021,125.0,242.736,242.78,242.019,242.726,0.013126491646778489,248.18,INVALIDATED,121691,2021-11-10 19:55:00+00:00,110.0,USABLE,121644.0,2021-11-10 16:00:00+00:00,246.481,26.0,0.3420680554246365,0.7336898395721901,0.68,0.9659701492537218,0.9553466509988454,0.1449893390191907,0.5833333333333334,0.68,0.1620089285714306,1.1383928571428856,1.0150136487716113
2021-12-08 10:00:00+00:00__L10796__H10799,10803,2021-12-08 10:00:00+00:00,10804,2021-12-08 11:00:00+00:00,2021-12-08 12:00:00+00:00,2021,186.0,10796,10798,190.926,10799,10801,183.289,1.457526881720437,1,186.316,3.3105000000000047,10807,2021-12-08 14:00:00+00:00,2021-12-08 15:00:00+00:00,194.068,194.559,3,3.256003624830089,0.8550628722700233,0.9491013442078297,10806,2021-12-08 13:00:00+00:00,188.139,189.523,187.283,187.472,187.283,189.523,0.6766349494034152,129716,2021-12-08 16:40:00+00:00,2021,100.0,190.121,191.212,189.458,190.81,0.02901785714285601,196.243,CONTINUATION,129805,2021-12-09 00:05:00+00:00,445.0,USABLE,129700.0,2021-12-08 15:20:00+00:00,196.243,17.0,0.4539448848622146,0.7833847193519353,0.8125,0.6188118811881119,0.6064864864864866,0.18998295529041256,0.6,0.8125,0.2849526066350694,1.3734597156397863,1.0096726190476186
2022-01-06 11:00:00+00:00__L11493__H11497,11500,2022-01-06 11:00:00+00:00,11500,2022-01-06 11:00:00+00:00,2022-01-06 12:00:00+00:00,2022,147.02,11493,11495,150.96,11497,11499,146.62,0.2720718269623219,0,147.55,2.8499999999999943,11506,2022-01-06 17:00:00+00:00,2022-01-06 18:00:00+00:00,152.2,152.7,6,1.9578947368421036,0.7034795763993961,0.4350877192982397,11503,2022-01-06 14:00:00+00:00,149.54,151.09,148.0,148.53,148.0,151.09,1.0842105263157928,138119,2022-01-06 20:55:00+00:00,2022,175.0,151.49,151.77,151.09,151.69,0.0,154.32,INVALIDATED,138163,2022-01-07 00:35:00+00:00,220.0,USABLE,138095.0,2022-01-06 18:55:00+00:00,154.32,25.0,0.41598694942903197,0.7971153846153589,0.8333333333333334,1.0729166666666612,1.7500000000000444,0.2539682539682519,0.5909090909090909,0.5833333333333334,0.259146341463418,2.7317073170732047,1.0
2022-01-18 15:00:00+00:00__L11786__H11789,11792,2022-01-18 15:00:00+00:00,11792,2022-01-18 15:00:00+00:00,2022-01-18 16:00:00+00:00,2022,135.81,11786,11788,138.23,11789,11791,135.54,0.1988071570576616,0,136.58,1.5649999999999977,11798,2022-01-18 21:00:00+00:00,2022-01-18 22:00:00+00:00,140.47,140.82,6,3.1501597444089544,0.5993836671802744,1.4313099041533626,11795,2022-01-18 18:00:00+00:00,136.31,136.72,135.59,135.94,135.59,136.72,0.722044728434503,141697,2022-01-19 07:05:00+00:00,2022,545.0,137.02,137.14,136.16,136.27,0.49557522123894204,142.66,INVALIDATED,141699,2022-01-19 07:15:00+00:00,10.0,USABLE,141633.0,2022-01-19 01:45:00+00:00,142.66,65.0,0.3438781487990597,0.8480036297640325,0.84375,1.0769230769231555,2.0909090909092787,0.14534377719756472,0.4918032786885246,0.625,0.2183779761904818,3.9761904761906326,1.0942760942760947
2022-05-30 12:00:00+00:00__L14829__H14832,14837,2022-05-30 12:00:00+00:00,14838,2022-05-30 13:00:00+00:00,2022-05-30 14:00:00+00:00,2022,45.51,14829,14831,47.39,14832,14834,44.92,1.2964183695890932,1,45.55,0.6950000000000003,14846,2022-05-30 21:00:00+00:00,2022-05-30 22:00:00+00:00,47.43,48.58,8,3.6115107913669022,0.5766871165644183,0.05755395683453112,14844,2022-05-30 19:00:00+00:00,45.92,46.21,45.37,45.64,45.37,46.21,1.2086330935251843,178207,2022-05-31 01:35:00+00:00,2022,215.0,46.76,46.76,46.19,46.4,0.023809523809527434,48.58,INVALIDATED,178351,2022-05-31 13:35:00+00:00,720.0,USABLE,178190.0,2022-05-31 00:10:00+00:00,47.9,18.0,0.3357933579335806,0.6999999999999929,0.7058823529411765,0.8928571428571392,0.6666666666666666,0.17050691244239555,0.6666666666666666,0.6470588235294118,0.20199778024417353,1.3962264150943269,1.011834319526629
2022-06-07 12:00:00+00:00__L15023__H15025,15029,2022-06-07 12:00:00+00:00,15031,2022-06-07 14:00:00+00:00,2022-06-07 15:00:00+00:00,2022,38.81,15023,15025,39.64,15025,15027,37.63,3.0404534913682033,2,39.32,0.7899999999999991,15036,2022-06-07 19:00:00+00:00,2022-06-07 20:00:00+00:00,40.43,41.17,5,3.5443037974683547,0.7070063694267543,1.0,15033,2022-06-07 16:00:00+00:00,39.11,39.26,38.6,39.09,38.6,39.26,0.8354430379746801,180476,2022-06-07 22:40:00+00:00,2022,160.0,39.71,39.74,39.25,39.37,0.015151515151512215,41.35,INVALIDATED,180477,2022-06-07 22:45:00+00:00,5.0,USABLE,180449.0,2022-06-07 20:25:00+00:00,41.35,28.0,0.3699284009546533,0.7391304347826033,0.5925925925925926,0.8214285714285823,2.000000000000079,0.1562499999999984,0.5384615384615384,0.5555555555555556,0.24428684003151846,1.914893617021234,1.0047846889952143
2022-06-14 02:00:00+00:00__L15174__H15181,15187,2022-06-14 02:00:00+00:00,15187,2022-06-14 02:00:00+00:00,2022-06-14 03:00:00+00:00,2022,26.07,15174,15176,29.86,15181,15183,25.81,0.9973149213655602,0,27.0,1.4100000000000001,15190,2022-06-14 05:00:00+00:00,2022-06-14 06:00:00+00:00,30.34,31.34,3,3.212765957446809,0.7422222222222216,0.3404255319148939,15189,2022-06-14 04:00:00+00:00,28.9,29.39,28.04,28.33,28.04,29.39,0.9574468085106392,182340,2022-06-14 10:00:00+00:00,2022,240.0,29.48,29.61,29.29,29.32,0.07407407407407506,32.21,INVALIDATED,182572,2022-06-15 05:20:00+00:00,1160.0,USABLE,182298.0,2022-06-14 06:30:00+00:00,32.21,43.0,0.3978819969742815,0.8297720797720739,0.8809523809523809,0.8125000000000011,1.0,0.2402597402597401,0.5365853658536586,0.6190476190476191,0.18975468975468862,3.363636363636343,1.035460992907802
2022-07-22 02:00:00+00:00__L16095__H16096,16099,2022-07-22 02:00:00+00:00,16099,2022-07-22 02:00:00+00:00,2022-07-22 03:00:00+00:00,2022,42.54,16095,16097,43.57,16096,16098,42.52,0.047014574518091254,0,42.69,0.8100000000000023,16106,2022-07-22 09:00:00+00:00,2022-07-22 10:00:00+00:00,43.9,44.34,7,1.7037037037036933,0.6914285714285747,0.40740740740740417,16104,2022-07-22 07:00:00+00:00,43.15,43.45,42.73,43.05,42.73,43.45,0.8888888888888937,193324,2022-07-22 13:20:00+00:00,2022,200.0,43.79,43.83,43.3,43.3,0.2083333333333395,44.34,INVALIDATED,193333,2022-07-22 14:05:00+00:00,45.0,USABLE,193309.0,2022-07-22 12:05:00+00:00,44.19,16.0,0.435897435897441,0.8571428571428862,1.0,1.1052631578947545,2.2499999999999556,0.3858267716535439,0.35714285714285715,0.6,0.24504504504504665,2.6486486486486776,1.2027027027027117
2022-07-23 18:00:00+00:00__L16133__H16136,16139,2022-07-23 18:00:00+00:00,16141,2022-07-23 20:00:00+00:00,2022-07-23 21:00:00+00:00,2022,39.36,16133,16135,40.48,16136,16138,38.59,1.9563008130081199,2,39.6,0.6049999999999969,16150,2022-07-24 05:00:00+00:00,2022-07-24 06:00:00+00:00,41.0,41.18,9,3.9834710743801804,0.4268292682926814,0.8595041322314145,16148,2022-07-24 03:00:00+00:00,40.04,40.06,39.44,39.58,39.44,40.06,1.0247933884297649,193895,2022-07-24 12:55:00+00:00,2022,415.0,40.27,40.3,40.06,40.24,0.0,41.38,CONTINUATION,194001,2022-07-24 21:45:00+00:00,530.0,USABLE,193876.0,2022-07-24 11:20:00+00:00,41.38,20.0,0.42439024390243396,1.0,0.7368421052631579,0.9090909090909253,0.7916666666667098,0.18064516129032115,0.6470588235294118,0.7368421052631579,0.27751196172248266,1.6969696969696761,1.0
2022-08-13 16:00:00+00:00__L16637__H16638,16641,2022-08-13 16:00:00+00:00,16641,2022-08-13 16:00:00+00:00,2022-08-13 17:00:00+00:00,2022,46.18,16637,16639,47.17,16638,16640,46.05,0.28150714595063353,0,46.19,0.735000000000003,16655,2022-08-14 06:00:00+00:00,2022-08-14 07:00:00+00:00,47.43,47.6,14,1.8775510204081591,0.40789473684210414,0.3537414965986353,16652,2022-08-14 03:00:00+00:00,46.79,46.85,46.47,46.72,46.47,46.85,0.5170068027210898,199916,2022-08-14 10:40:00+00:00,2022,220.0,46.89,46.94,46.84,46.91,0.026315789473678797,48.05,INVALIDATED,199934,2022-08-14 12:10:00+00:00,90.0,USABLE,199882.0,2022-08-14 07:50:00+00:00,48.05,35.0,0.34317343173432063,0.7207792207792508,0.8235294117647058,0.7368421052631422,0.8888888888888362,0.15591397849462324,0.5151515151515151,0.6176470588235294,0.18235294117647366,1.933333333333346,1.0083333333333317
2022-09-11 06:00:00+00:00__L17313__H17323,17327,2022-09-11 06:00:00+00:00,17327,2022-09-11 06:00:00+00:00,2022-09-11 07:00:00+00:00,2022,34.27,17313,17315,35.29,17323,17325,34.02,0.7295010213014297,0,34.35,0.3349999999999973,17337,2022-09-11 16:00:00+00:00,2022-09-11 17:00:00+00:00,35.75,36.02,10,5.164179104477644,0.7142857142857133,1.3731343283582225,17335,2022-09-11 14:00:00+00:00,34.78,34.84,34.66,34.74,34.66,34.84,0.5373134328358455,208099,2022-09-11 20:35:00+00:00,2022,215.0,35.27,35.27,34.68,34.91,0.8888888888888757,36.02,INVALIDATED,208114,2022-09-11 21:50:00+00:00,75.0,USABLE,208056.0,2022-09-11 17:00:00+00:00,35.86,44.0,0.31835205992509313,0.7999999999999148,0.7674418604651163,0.8749999999999963,2.4285714285716895,0.20689655172414315,0.40540540540540543,0.5813953488372093,0.1976744186046557,3.600000000000142,1.1568627450980435
2022-09-11 21:00:00+00:00__L17334__H17337,17342,2022-09-11 21:00:00+00:00,17342,2022-09-11 21:00:00+00:00,2022-09-11 22:00:00+00:00,2022,34.5,17334,17336,36.02,17337,17339,34.25,0.7246376811594203,0,34.51,0.3000000000000007,17353,2022-09-12 08:00:00+00:00,2022-09-12 09:00:00+00:00,36.07,36.18,11,6.066666666666653,0.32098765432098814,0.1666666666666568,17350,2022-09-12 05:00:00+00:00,34.83,34.89,34.55,34.76,34.55,34.89,1.133333333333342,208605,2022-09-13 14:45:00+00:00,2022,1785.0,34.98,35.02,34.69,34.73,0.5882352941176495,38.93,INVALIDATED,208612,2022-09-13 15:20:00+00:00,35.0,USABLE,208476.0,2022-09-13 04:00:00+00:00,38.93,130.0,0.29008746355685283,0.8000000000000427,0.8294573643410853,1.6874999999999363,1.8333333333332544,0.15358744394618803,0.45528455284552843,0.5736434108527132,0.1928294573643454,8.562500000000167,1.0495049504950502
2022-09-13 00:00:00+00:00__L17361__H17364,17369,2022-09-13 00:00:00+00:00,17369,2022-09-13 00:00:00+00:00,2022-09-13 01:00:00+00:00,2022,36.78,17361,17363,37.85,17364,17366,36.68,0.27188689505166236,0,37.03,0.5700000000000038,17371,2022-09-13 02:00:00+00:00,2022-09-13 03:00:00+00:00,37.9,38.19,2,2.140350877192966,1.0,0.08771929824560847,17369,2022-09-13 00:00:00+00:00,37.42,37.47,36.68,37.03,36.68,37.47,1.385964912280691,208578,2022-09-13 12:30:00+00:00,2022,570.0,38.75,38.85,36.0,37.38,1.0,38.93,INVALIDATED,208579,2022-09-13 12:35:00+00:00,5.0,USABLE,208476.0,2022-09-13 04:00:00+00:00,38.93,103.0,0.15165336374002342,0.7999999999999716,0.8431372549019608,0.70588235294119,0.9999999999999408,0.26653696498054386,0.4948453608247423,0.5098039215686274,0.10030165912518643,10.538461538461311,2.0068493150684916
