gate,scope,name,source_n,gate_pass_n,gate_pass_rate,fills_n,fill_rate_gatepass,rebreak_n,rebreak_rate_fill,t10_n,t10_rate_fill,t10_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill,median_reclaim_fill_min,median_fill_rebreak_min,median_fill_t10_min,retained_fills_vs_base
BASE,CLOCK_REUSED,04-08,69,69,1.0,58,0.8405797101449275,51,0.8793103448275862,50,0.8620689655172413,0.7246376811594203,4,0.06896551724137931,4,0.06896551724137931,0.0,15.0,32.5,1.0
BASE,CLOCK_REUSED,08-12,69,69,1.0,64,0.927536231884058,52,0.8125,50,0.78125,0.7246376811594203,9,0.140625,5,0.078125,0.0,15.0,37.5,1.0
BASE,CLOCK_REUSED,12-16,75,75,1.0,72,0.96,58,0.8055555555555556,55,0.7638888888888888,0.7333333333333333,11,0.1527777777777778,6,0.08333333333333333,0.0,20.0,30.0,1.0
BASE,CLOCK_REUSED,16-20,62,62,1.0,52,0.8387096774193549,37,0.7115384615384616,32,0.6153846153846154,0.5161290322580645,6,0.11538461538461539,14,0.2692307692307692,0.0,15.0,40.0,1.0
BASE,CLOCK_REUSED,20-00,56,56,1.0,51,0.9107142857142857,39,0.7647058823529411,38,0.7450980392156863,0.6785714285714286,8,0.1568627450980392,5,0.09803921568627451,0.0,20.0,32.5,1.0
WEAK_C05,PARTITION,external,202,86,0.42574257425742573,67,0.7790697674418605,52,0.7761194029850746,50,0.746268656716418,0.24752475247524752,10,0.14925373134328357,7,0.1044776119402985,0.0,10.0,25.0,0.366120218579235
WEAK_C05,PARTITION,development,333,152,0.45645645645645644,116,0.7631578947368421,94,0.8103448275862069,85,0.7327586206896551,0.2552552552552553,12,0.10344827586206896,19,0.16379310344827586,0.0,25.0,40.0,0.39057239057239057
WEAK_C05,PARTITION,reference_validation,194,87,0.4484536082474227,66,0.7586206896551724,51,0.7727272727272727,49,0.7424242424242424,0.25257731958762886,8,0.12121212121212122,9,0.13636363636363635,0.0,20.0,35.0,0.3815028901734104
WEAK_C05,POOL,POOLED_REUSED_EXTVAL,396,173,0.43686868686868685,133,0.7687861271676301,103,0.7744360902255639,99,0.7443609022556391,0.25,18,0.13533834586466165,16,0.12030075187969924,0.0,15.0,30.0,0.37359550561797755
WEAK_C05,POOL,POOLED_MAJOR,729,325,0.4458161865569273,249,0.7661538461538462,197,0.7911646586345381,184,0.7389558232931727,0.252400548696845,30,0.12048192771084337,35,0.14056224899598393,0.0,15.0,32.5,0.38131699846860645
WEAK_C05,CLOCK_EXTERNAL,00-04,29,11,0.3793103448275862,9,0.8181818181818182,8,0.8888888888888888,8,0.8888888888888888,0.27586206896551724,0,0.0,1,0.1111111111111111,0.0,10.0,40.0,0.3333333333333333
WEAK_C05,CLOCK_EXTERNAL,04-08,43,20,0.46511627906976744,15,0.75,12,0.8,12,0.8,0.27906976744186046,2,0.13333333333333333,1,0.06666666666666667,0.0,10.0,20.0,0.39473684210526316
WEAK_C05,CLOCK_EXTERNAL,08-12,40,16,0.4,16,1.0,11,0.6875,11,0.6875,0.275,3,0.1875,2,0.125,0.0,10.0,15.0,0.4
WEAK_C05,CLOCK_EXTERNAL,12-16,32,14,0.4375,13,0.9285714285714286,11,0.8461538461538461,10,0.7692307692307693,0.3125,2,0.15384615384615385,1,0.07692307692307693,0.0,25.0,37.5,0.41935483870967744
WEAK_C05,CLOCK_EXTERNAL,16-20,31,14,0.45161290322580644,8,0.5714285714285714,6,0.75,5,0.625,0.16129032258064516,2,0.25,1,0.125,0.0,10.0,20.0,0.32
WEAK_C05,CLOCK_EXTERNAL,20-00,27,11,0.4074074074074074,6,0.5454545454545454,4,0.6666666666666666,4,0.6666666666666666,0.14814814814814814,1,0.16666666666666666,1,0.16666666666666666,0.0,5.0,25.0,0.2727272727272727
WEAK_C05,CLOCK_DEVELOPMENT,00-04,47,30,0.6382978723404256,25,0.8333333333333334,20,0.8,18,0.72,0.3829787234042553,4,0.16,3,0.12,0.0,15.0,35.0,0.5952380952380952
WEAK_C05,CLOCK_DEVELOPMENT,04-08,43,18,0.4186046511627907,13,0.7222222222222222,10,0.7692307692307693,10,0.7692307692307693,0.23255813953488372,0,0.0,3,0.23076923076923078,0.0,35.0,40.0,0.34210526315789475
WEAK_C05,CLOCK_DEVELOPMENT,08-12,58,29,0.5,21,0.7241379310344828,16,0.7619047619047619,15,0.7142857142857143,0.25862068965517243,3,0.14285714285714285,3,0.14285714285714285,0.0,12.5,20.0,0.42
WEAK_C05,CLOCK_DEVELOPMENT,12-16,82,26,0.3170731707317073,20,0.7692307692307693,16,0.8,16,0.8,0.1951219512195122,4,0.2,0,0.0,0.0,15.0,25.0,0.2631578947368421
WEAK_C05,CLOCK_DEVELOPMENT,16-20,60,33,0.55,27,0.8181818181818182,24,0.8888888888888888,19,0.7037037037037037,0.31666666666666665,0,0.0,8,0.2962962962962963,0.0,52.5,70.0,0.5
WEAK_C05,CLOCK_DEVELOPMENT,20-00,43,16,0.37209302325581395,10,0.625,8,0.8,7,0.7,0.16279069767441862,1,0.1,2,0.2,0.0,27.5,55.0,0.2702702702702703
WEAK_C05,CLOCK_REFERENCE_VALIDATION,00-04,36,15,0.4166666666666667,11,0.7333333333333333,5,0.45454545454545453,5,0.45454545454545453,0.1388888888888889,3,0.2727272727272727,3,0.2727272727272727,0.0,15.0,20.0,0.34375
WEAK_C05,CLOCK_REFERENCE_VALIDATION,04-08,26,16,0.6153846153846154,10,0.625,9,0.9,9,0.9,0.34615384615384615,1,0.1,0,0.0,0.0,5.0,20.0,0.5
WEAK_C05,CLOCK_REFERENCE_VALIDATION,08-12,29,16,0.5517241379310345,11,0.6875,10,0.9090909090909091,10,0.9090909090909091,0.3448275862068966,1,0.09090909090909091,0,0.0,0.0,17.5,47.5,0.4583333333333333
WEAK_C05,CLOCK_REFERENCE_VALIDATION,12-16,43,14,0.32558139534883723,12,0.8571428571428571,11,0.9166666666666666,11,0.9166666666666666,0.2558139534883721,1,0.08333333333333333,0,0.0,0.0,20.0,25.0,0.2926829268292683
WEAK_C05,CLOCK_REFERENCE_VALIDATION,16-20,31,12,0.3870967741935484,8,0.6666666666666666,5,0.625,3,0.375,0.0967741935483871,0,0.0,5,0.625,0.0,35.0,50.0,0.2962962962962963
WEAK_C05,CLOCK_REFERENCE_VALIDATION,20-00,29,14,0.4827586206896552,14,1.0,11,0.7857142857142857,11,0.7857142857142857,0.3793103448275862,2,0.14285714285714285,1,0.07142857142857142,0.0,35.0,135.0,0.4827586206896552
WEAK_C05,CLOCK_REUSED,00-04,65,26,0.4,20,0.7692307692307693,13,0.65,13,0.65,0.2,3,0.15,4,0.2,0.0,10.0,25.0,0.3389830508474576
WEAK_C05,CLOCK_REUSED,04-08,69,36,0.5217391304347826,25,0.6944444444444444,21,0.84,21,0.84,0.30434782608695654,3,0.12,1,0.04,0.0,10.0,20.0,0.43103448275862066
WEAK_C05,CLOCK_REUSED,08-12,69,32,0.463768115942029,27,0.84375,21,0.7777777777777778,21,0.7777777777777778,0.30434782608695654,4,0.14814814814814814,2,0.07407407407407407,0.0,10.0,30.0,0.421875
WEAK_C05,CLOCK_REUSED,12-16,75,28,0.37333333333333335,25,0.8928571428571429,22,0.88,21,0.84,0.28,3,0.12,1,0.04,0.0,22.5,35.0,0.3472222222222222
WEAK_C05,CLOCK_REUSED,16-20,62,26,0.41935483870967744,16,0.6153846153846154,11,0.6875,8,0.5,0.12903225806451613,2,0.125,6,0.375,0.0,15.0,22.5,0.3076923076923077
WEAK_C05,CLOCK_REUSED,20-00,56,25,0.44642857142857145,20,0.8,15,0.75,15,0.75,0.26785714285714285,3,0.15,2,0.1,0.0,25.0,75.0,0.39215686274509803
WEAK_C10,PARTITION,external,202,150,0.7425742574257426,131,0.8733333333333333,102,0.7786259541984732,97,0.7404580152671756,0.4801980198019802,19,0.1450381679389313,15,0.11450381679389313,0.0,10.0,25.0,0.7158469945355191
WEAK_C10,PARTITION,development,333,239,0.7177177177177178,203,0.8493723849372385,166,0.8177339901477833,153,0.7536945812807881,0.4594594594594595,18,0.08866995073891626,32,0.15763546798029557,0.0,25.0,35.0,0.6835016835016835
WEAK_C10,PARTITION,reference_validation,194,145,0.7474226804123711,124,0.8551724137931035,99,0.7983870967741935,94,0.7580645161290323,0.4845360824742268,12,0.0967741935483871,18,0.14516129032258066,0.0,20.0,30.0,0.7167630057803468
WEAK_C10,POOL,POOLED_REUSED_EXTVAL,396,295,0.7449494949494949,255,0.864406779661017,201,0.788235294117647,191,0.7490196078431373,0.4823232323232323,31,0.12156862745098039,33,0.12941176470588237,0.0,15.0,30.0,0.7162921348314607
WEAK_C10,POOL,POOLED_MAJOR,729,534,0.7325102880658436,458,0.8576779026217228,367,0.8013100436681223,344,0.7510917030567685,0.4718792866941015,49,0.10698689956331878,65,0.14192139737991266,0.0,15.0,30.0,0.7013782542113323
WEAK_C10,CLOCK_EXTERNAL,00-04,29,22,0.7586206896551724,20,0.9090909090909091,17,0.85,17,0.85,0.5862068965517241,2,0.1,1,0.05,0.0,15.0,30.0,0.7407407407407407
WEAK_C10,CLOCK_EXTERNAL,04-08,43,34,0.7906976744186046,29,0.8529411764705882,25,0.8620689655172413,25,0.8620689655172413,0.5813953488372093,2,0.06896551724137931,2,0.06896551724137931,0.0,10.0,25.0,0.7631578947368421
WEAK_C10,CLOCK_EXTERNAL,08-12,40,30,0.75,30,1.0,22,0.7333333333333333,21,0.7,0.525,5,0.16666666666666666,4,0.13333333333333333,0.0,10.0,25.0,0.75
WEAK_C10,CLOCK_EXTERNAL,12-16,32,26,0.8125,25,0.9615384615384616,20,0.8,18,0.72,0.5625,4,0.16,3,0.12,0.0,22.5,32.5,0.8064516129032258
WEAK_C10,CLOCK_EXTERNAL,16-20,31,21,0.6774193548387096,15,0.7142857142857143,10,0.6666666666666666,9,0.6,0.2903225806451613,4,0.26666666666666666,2,0.13333333333333333,0.0,12.5,25.0,0.6
WEAK_C10,CLOCK_EXTERNAL,20-00,27,17,0.6296296296296297,12,0.7058823529411765,8,0.6666666666666666,7,0.5833333333333334,0.25925925925925924,2,0.16666666666666666,3,0.25,0.0,5.0,15.0,0.5454545454545454
WEAK_C10,CLOCK_DEVELOPMENT,00-04,47,40,0.851063829787234,35,0.875,27,0.7714285714285715,24,0.6857142857142857,0.5106382978723404,5,0.14285714285714285,6,0.17142857142857143,0.0,15.0,30.0,0.8333333333333334
WEAK_C10,CLOCK_DEVELOPMENT,04-08,43,32,0.7441860465116279,27,0.84375,22,0.8148148148148148,22,0.8148148148148148,0.5116279069767442,1,0.037037037037037035,4,0.14814814814814814,0.0,52.5,57.5,0.7105263157894737
WEAK_C10,CLOCK_DEVELOPMENT,08-12,58,43,0.7413793103448276,35,0.813953488372093,29,0.8285714285714286,28,0.8,0.4827586206896552,4,0.11428571428571428,3,0.08571428571428572,0.0,15.0,22.5,0.7
WEAK_C10,CLOCK_DEVELOPMENT,12-16,82,48,0.5853658536585366,42,0.875,36,0.8571428571428571,35,0.8333333333333334,0.4268292682926829,6,0.14285714285714285,1,0.023809523809523808,0.0,25.0,30.0,0.5526315789473685
WEAK_C10,CLOCK_DEVELOPMENT,16-20,60,43,0.7166666666666667,37,0.8604651162790697,32,0.8648648648648649,27,0.7297297297297297,0.45,0,0.0,10,0.2702702702702703,0.0,42.5,60.0,0.6851851851851852
WEAK_C10,CLOCK_DEVELOPMENT,20-00,43,33,0.7674418604651163,27,0.8181818181818182,20,0.7407407407407407,17,0.6296296296296297,0.3953488372093023,2,0.07407407407407407,8,0.2962962962962963,0.0,15.0,30.0,0.7297297297297297
WEAK_C10,CLOCK_REFERENCE_VALIDATION,00-04,36,29,0.8055555555555556,25,0.8620689655172413,17,0.68,17,0.68,0.4722222222222222,4,0.16,4,0.16,0.0,20.0,25.0,0.78125
WEAK_C10,CLOCK_REFERENCE_VALIDATION,04-08,26,22,0.8461538461538461,16,0.7272727272727273,14,0.875,13,0.8125,0.5,2,0.125,1,0.0625,0.0,7.5,25.0,0.8
WEAK_C10,CLOCK_REFERENCE_VALIDATION,08-12,29,23,0.7931034482758621,18,0.782608695652174,16,0.8888888888888888,16,0.8888888888888888,0.5517241379310345,1,0.05555555555555555,1,0.05555555555555555,0.0,20.0,45.0,0.75
WEAK_C10,CLOCK_REFERENCE_VALIDATION,12-16,43,21,0.4883720930232558,19,0.9047619047619048,17,0.8947368421052632,16,0.8421052631578947,0.37209302325581395,2,0.10526315789473684,1,0.05263157894736842,0.0,20.0,25.0,0.4634146341463415
WEAK_C10,CLOCK_REFERENCE_VALIDATION,16-20,31,27,0.8709677419354839,23,0.8518518518518519,16,0.6956521739130435,13,0.5652173913043478,0.41935483870967744,0,0.0,10,0.43478260869565216,0.0,17.5,40.0,0.8518518518518519
WEAK_C10,CLOCK_REFERENCE_VALIDATION,20-00,29,23,0.7931034482758621,23,1.0,19,0.8260869565217391,19,0.8260869565217391,0.6551724137931034,3,0.13043478260869565,1,0.043478260869565216,0.0,30.0,55.0,0.7931034482758621
WEAK_C10,CLOCK_REUSED,00-04,65,51,0.7846153846153846,45,0.8823529411764706,34,0.7555555555555555,34,0.7555555555555555,0.5230769230769231,6,0.13333333333333333,5,0.1111111111111111,0.0,17.5,25.0,0.7627118644067796
WEAK_C10,CLOCK_REUSED,04-08,69,56,0.8115942028985508,45,0.8035714285714286,39,0.8666666666666667,38,0.8444444444444444,0.5507246376811594,4,0.08888888888888889,3,0.06666666666666667,0.0,10.0,25.0,0.7758620689655172
WEAK_C10,CLOCK_REUSED,08-12,69,53,0.7681159420289855,48,0.9056603773584906,38,0.7916666666666666,37,0.7708333333333334,0.5362318840579711,6,0.125,5,0.10416666666666667,0.0,10.0,35.0,0.75
WEAK_C10,CLOCK_REUSED,12-16,75,47,0.6266666666666667,44,0.9361702127659575,37,0.8409090909090909,34,0.7727272727272727,0.4533333333333333,6,0.13636363636363635,4,0.09090909090909091,0.0,20.0,30.0,0.6111111111111112
WEAK_C10,CLOCK_REUSED,16-20,62,48,0.7741935483870968,38,0.7916666666666666,26,0.6842105263157895,22,0.5789473684210527,0.3548387096774194,4,0.10526315789473684,12,0.3157894736842105,0.0,15.0,27.5,0.7307692307692307
WEAK_C10,CLOCK_REUSED,20-00,56,40,0.7142857142857143,35,0.875,27,0.7714285714285715,26,0.7428571428571429,0.4642857142857143,5,0.14285714285714285,4,0.11428571428571428,0.0,20.0,32.5,0.6862745098039216
NOT_STRONG_BODY,PARTITION,external,202,89,0.4405940594059406,78,0.8764044943820225,62,0.7948717948717948,60,0.7692307692307693,0.297029702970297,10,0.1282051282051282,8,0.10256410256410256,0.0,10.0,25.0,0.4262295081967213
NOT_STRONG_BODY,PARTITION,development,333,136,0.4084084084084084,116,0.8529411764705882,95,0.8189655172413793,91,0.7844827586206896,0.2732732732732733,11,0.09482758620689655,14,0.1206896551724138,0.0,15.0,30.0,0.39057239057239057
NOT_STRONG_BODY,PARTITION,reference_validation,194,58,0.29896907216494845,47,0.8103448275862069,39,0.8297872340425532,36,0.7659574468085106,0.18556701030927836,5,0.10638297872340426,6,0.1276595744680851,0.0,20.0,27.5,0.27167630057803466
NOT_STRONG_BODY,POOL,POOLED_REUSED_EXTVAL,396,147,0.3712121212121212,125,0.8503401360544217,101,0.808,96,0.768,0.24242424242424243,15,0.12,14,0.112,0.0,15.0,25.0,0.351123595505618
NOT_STRONG_BODY,POOL,POOLED_MAJOR,729,283,0.38820301783264743,241,0.8515901060070671,196,0.8132780082987552,187,0.7759336099585062,0.25651577503429357,26,0.1078838174273859,28,0.11618257261410789,0.0,15.0,25.0,0.36906584992343033
NOT_STRONG_BODY,CLOCK_EXTERNAL,00-04,29,14,0.4827586206896552,12,0.8571428571428571,9,0.75,9,0.75,0.3103448275862069,2,0.16666666666666666,1,0.08333333333333333,0.0,15.0,25.0,0.4444444444444444
NOT_STRONG_BODY,CLOCK_EXTERNAL,04-08,43,19,0.4418604651162791,16,0.8421052631578947,13,0.8125,13,0.8125,0.3023255813953488,2,0.125,1,0.0625,0.0,15.0,25.0,0.42105263157894735
NOT_STRONG_BODY,CLOCK_EXTERNAL,08-12,40,23,0.575,23,1.0,18,0.782608695652174,17,0.7391304347826086,0.425,3,0.13043478260869565,3,0.13043478260869565,0.0,10.0,15.0,0.575
NOT_STRONG_BODY,CLOCK_EXTERNAL,12-16,32,12,0.375,11,0.9166666666666666,10,0.9090909090909091,9,0.8181818181818182,0.28125,2,0.18181818181818182,0,0.0,0.0,17.5,30.0,0.3548387096774194
NOT_STRONG_BODY,CLOCK_EXTERNAL,16-20,31,12,0.3870967741935484,9,0.75,7,0.7777777777777778,7,0.7777777777777778,0.22580645161290322,1,0.1111111111111111,1,0.1111111111111111,0.0,10.0,30.0,0.36
NOT_STRONG_BODY,CLOCK_EXTERNAL,20-00,27,9,0.3333333333333333,7,0.7777777777777778,5,0.7142857142857143,5,0.7142857142857143,0.18518518518518517,0,0.0,2,0.2857142857142857,0.0,5.0,15.0,0.3181818181818182
NOT_STRONG_BODY,CLOCK_DEVELOPMENT,00-04,47,22,0.46808510638297873,20,0.9090909090909091,15,0.75,14,0.7,0.2978723404255319,4,0.2,2,0.1,0.0,20.0,35.0,0.47619047619047616
NOT_STRONG_BODY,CLOCK_DEVELOPMENT,04-08,43,12,0.27906976744186046,10,0.8333333333333334,9,0.9,9,0.9,0.20930232558139536,0,0.0,1,0.1,0.0,35.0,40.0,0.2631578947368421
NOT_STRONG_BODY,CLOCK_DEVELOPMENT,08-12,58,29,0.5,23,0.7931034482758621,17,0.7391304347826086,16,0.6956521739130435,0.27586206896551724,4,0.17391304347826086,3,0.13043478260869565,0.0,10.0,20.0,0.46
NOT_STRONG_BODY,CLOCK_DEVELOPMENT,12-16,82,35,0.4268292682926829,30,0.8571428571428571,28,0.9333333333333333,26,0.8666666666666667,0.3170731707317073,2,0.06666666666666667,2,0.06666666666666667,0.0,15.0,17.5,0.39473684210526316
NOT_STRONG_BODY,CLOCK_DEVELOPMENT,16-20,60,22,0.36666666666666664,19,0.8636363636363636,15,0.7894736842105263,15,0.7894736842105263,0.25,1,0.05263157894736842,3,0.15789473684210525,0.0,45.0,65.0,0.35185185185185186
NOT_STRONG_BODY,CLOCK_DEVELOPMENT,20-00,43,16,0.37209302325581395,14,0.875,11,0.7857142857142857,11,0.7857142857142857,0.2558139534883721,0,0.0,3,0.21428571428571427,0.0,15.0,60.0,0.3783783783783784
NOT_STRONG_BODY,CLOCK_REFERENCE_VALIDATION,00-04,36,7,0.19444444444444445,5,0.7142857142857143,4,0.8,4,0.8,0.1111111111111111,1,0.2,0,0.0,0.0,22.5,27.5,0.15625
NOT_STRONG_BODY,CLOCK_REFERENCE_VALIDATION,04-08,26,8,0.3076923076923077,4,0.5,4,1.0,4,1.0,0.15384615384615385,0,0.0,0,0.0,0.0,7.5,47.5,0.2
NOT_STRONG_BODY,CLOCK_REFERENCE_VALIDATION,08-12,29,10,0.3448275862068966,7,0.7,6,0.8571428571428571,6,0.8571428571428571,0.20689655172413793,1,0.14285714285714285,0,0.0,0.0,10.0,15.0,0.2916666666666667
NOT_STRONG_BODY,CLOCK_REFERENCE_VALIDATION,12-16,43,14,0.32558139534883723,13,0.9285714285714286,12,0.9230769230769231,11,0.8461538461538461,0.2558139534883721,1,0.07692307692307693,1,0.07692307692307693,0.0,20.0,25.0,0.3170731707317073
NOT_STRONG_BODY,CLOCK_REFERENCE_VALIDATION,16-20,31,8,0.25806451612903225,7,0.875,5,0.7142857142857143,3,0.42857142857142855,0.0967741935483871,0,0.0,4,0.5714285714285714,0.0,20.0,25.0,0.25925925925925924
NOT_STRONG_BODY,CLOCK_REFERENCE_VALIDATION,20-00,29,11,0.3793103448275862,11,1.0,8,0.7272727272727273,8,0.7272727272727273,0.27586206896551724,2,0.18181818181818182,1,0.09090909090909091,0.0,30.0,105.0,0.3793103448275862
NOT_STRONG_BODY,CLOCK_REUSED,00-04,65,21,0.3230769230769231,17,0.8095238095238095,13,0.7647058823529411,13,0.7647058823529411,0.2,3,0.17647058823529413,1,0.058823529411764705,0.0,20.0,25.0,0.288135593220339
NOT_STRONG_BODY,CLOCK_REUSED,04-08,69,27,0.391304347826087,20,0.7407407407407407,17,0.85,17,0.85,0.2463768115942029,2,0.1,1,0.05,0.0,15.0,25.0,0.3448275862068966
NOT_STRONG_BODY,CLOCK_REUSED,08-12,69,33,0.4782608695652174,30,0.9090909090909091,24,0.8,23,0.7666666666666667,0.3333333333333333,4,0.13333333333333333,3,0.1,0.0,10.0,15.0,0.46875
NOT_STRONG_BODY,CLOCK_REUSED,12-16,75,26,0.3466666666666667,24,0.9230769230769231,22,0.9166666666666666,20,0.8333333333333334,0.26666666666666666,3,0.125,1,0.041666666666666664,0.0,20.0,27.5,0.3333333333333333
NOT_STRONG_BODY,CLOCK_REUSED,16-20,62,20,0.3225806451612903,16,0.8,12,0.75,10,0.625,0.16129032258064516,1,0.0625,5,0.3125,0.0,12.5,27.5,0.3076923076923077
NOT_STRONG_BODY,CLOCK_REUSED,20-00,56,20,0.35714285714285715,18,0.9,13,0.7222222222222222,13,0.7222222222222222,0.23214285714285715,2,0.1111111111111111,3,0.16666666666666666,0.0,20.0,35.0,0.35294117647058826
QUICK_RECLAIM,PARTITION,external,202,170,0.8415841584158416,156,0.9176470588235294,126,0.8076923076923077,120,0.7692307692307693,0.594059405940594,19,0.12179487179487179,17,0.10897435897435898,0.0,15.0,30.0,0.8524590163934426
QUICK_RECLAIM,PARTITION,development,333,279,0.8378378378378378,253,0.9068100358422939,200,0.7905138339920948,187,0.7391304347826086,0.5615615615615616,31,0.1225296442687747,35,0.1383399209486166,0.0,25.0,40.0,0.8518518518518519
QUICK_RECLAIM,PARTITION,reference_validation,194,158,0.8144329896907216,141,0.8924050632911392,114,0.8085106382978723,111,0.7872340425531915,0.5721649484536082,13,0.09219858156028368,17,0.12056737588652482,0.0,20.0,30.0,0.815028901734104
QUICK_RECLAIM,POOL,POOLED_REUSED_EXTVAL,396,328,0.8282828282828283,297,0.9054878048780488,240,0.8080808080808081,231,0.7777777777777778,0.5833333333333334,32,0.10774410774410774,34,0.11447811447811448,0.0,20.0,30.0,0.8342696629213483
QUICK_RECLAIM,POOL,POOLED_MAJOR,729,607,0.8326474622770919,550,0.9060955518945635,440,0.8,418,0.76,0.5733882030178327,63,0.11454545454545455,69,0.12545454545454546,0.0,20.0,30.0,0.8422664624808576
