role,partition,dev_block,execution_start,loss_class,visit_n,lane,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,recovery_entry_ts,recovery_entry_price,recovery_break_ts,recovery_exit_ts,recovery_exit_price,recovery_exit_reason,recovery_pnl,recovery_pnl_5bps,recovery_won,recovery_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps
CENTRAL,development,0,2022-02-23 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,88.7,84.71,3.990000000000009,2022-02-23 05:00:00+00:00,2022-02-23 05:20:00+00:00,-1.972942502818542,-2.222942502818542,2022-02-23 05:50:00+00:00,88.7,2022-02-23 05:50:00+00:00,2022-02-23 08:25:00+00:00,90.296,TARGET,8.996617812852325,8.746617812852325,True,True,7.0236753100337825,6.5236753100337825,True,True
CENTRAL,development,0,2022-03-05 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,89.39,85.82,3.5700000000000074,2022-03-05 12:30:00+00:00,2022-03-05 12:45:00+00:00,-0.8390200246112811,-1.0890200246112811,2022-03-05 16:15:00+00:00,89.39,2022-03-05 16:15:00+00:00,2022-03-05 16:45:00+00:00,90.818,TARGET,7.987470634299165,7.737470634299165,True,True,7.148450609687885,6.648450609687885,True,True
CENTRAL,development,0,2022-03-08 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,84.6,79.8,4.799999999999997,2022-03-08 08:30:00+00:00,2022-03-08 08:40:00+00:00,-1.122931442080366,-1.372931442080366,2022-03-08 08:45:00+00:00,84.6,2022-03-08 18:15:00+00:00,2022-03-08 18:25:00+00:00,84.17,FAILED_BREAK,-2.5413711583923693,-2.7913711583923693,False,False,-3.6643026004727353,-4.164302600472736,False,False
CENTRAL,development,0,2022-03-17 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,89.22,85.52,3.700000000000003,2022-03-17 12:50:00+00:00,2022-03-17 13:05:00+00:00,-0.5043712172159154,-0.7543712172159154,2022-03-17 13:25:00+00:00,89.22,2022-03-17 13:35:00+00:00,2022-03-17 13:45:00+00:00,89.19,FAILED_BREAK,-0.1681237390719903,-0.4181237390719903,False,False,-0.6724949562879057,-1.1724949562879057,False,False
CENTRAL,development,0,2022-03-23 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,92.43,89.12,3.3100000000000023,2022-03-23 12:55:00+00:00,2022-03-23 13:15:00+00:00,-1.4605647517040299,-1.7105647517040299,2022-03-23 14:05:00+00:00,92.43,2022-03-23 14:05:00+00:00,2022-03-23 14:25:00+00:00,93.754,TARGET,7.162176782429919,6.912176782429919,True,True,5.701612030725888,5.201612030725888,True,True
CENTRAL,development,0,2022-03-29 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,113.04,105.29,7.75,2022-03-29 11:45:00+00:00,2022-03-29 12:05:00+00:00,-0.04423213021942374,-0.29423213021942374,2022-03-29 19:35:00+00:00,113.04,2022-03-29 19:35:00+00:00,2022-03-29 20:55:00+00:00,112.16,FAILED_BREAK,-3.892427459306458,-4.142427459306458,False,False,-3.9366595895258816,-4.436659589525882,False,False
CENTRAL,development,0,2022-03-31 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,123.98,119.11,4.8700000000000045,2022-03-31 09:25:00+00:00,2022-03-31 09:50:00+00:00,-0.36296176802713687,-0.6129617680271369,2022-03-31 14:15:00+00:00,123.98,2022-03-31 14:35:00+00:00,2022-03-31 14:40:00+00:00,125.92800000000001,TARGET,7.856105823519921,7.606105823519921,True,True,7.493144055492785,6.993144055492785,True,True
CENTRAL,development,0,2022-04-05 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,133.07,129.0,4.069999999999993,2022-04-05 03:10:00+00:00,2022-04-05 05:45:00+00:00,-1.5405425715788734,-1.7905425715788734,2022-04-05 05:50:00+00:00,133.07,2022-04-05 06:10:00+00:00,2022-04-05 06:25:00+00:00,132.86,FAILED_BREAK,-0.7890583903207848,-1.0390583903207848,False,False,-2.3296009618996583,-2.8296009618996583,False,False
CENTRAL,development,0,2022-04-08 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,121.98,116.67,5.310000000000002,2022-04-08 03:10:00+00:00,2022-04-08 03:35:00+00:00,-0.8198065256599385,-1.0698065256599385,2022-04-08 03:55:00+00:00,121.98,2022-04-08 03:55:00+00:00,2022-04-08 04:20:00+00:00,121.7,FAILED_BREAK,-1.147729135923925,-1.397729135923925,False,False,-1.9675356615838635,-2.4675356615838635,False,False
CENTRAL,development,0,2022-04-10 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,113.69,109.5,4.189999999999998,2022-04-10 03:15:00+00:00,2022-04-10 03:30:00+00:00,-0.0439792417978313,-0.2939792417978313,2022-04-10 03:45:00+00:00,113.69,,2022-04-10 15:25:00+00:00,112.06,TIME,-7.168616413052997,-7.418616413052997,False,False,-7.212595654850828,-7.712595654850828,False,False
