rule1,rule2,f1,f2,rules_json,trades,wins,wr,tpd,avg_net,net_sum,eligible
cci_delta15 <= -55.14396,ema20_slope >= -4.854993e-05,cci_delta15,ema20_slope,"[{""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",182,98,0.5384615384615384,0.4986301369863014,-0.00073076923076923,-0.13299999999999987,False
cci_delta15 <= -55.14396,prev1h_ret <= -0.0035074571,cci_delta15,prev1h_ret,"[{""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}, {""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0035074570586755673}]",187,100,0.5347593582887701,0.5123287671232877,-0.0008048128342245985,-0.1504999999999999,False
prev1h_ret <= -0.006611419,ema20_dist <= -0.016073803,prev1h_ret,ema20_dist,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.006611419033494492}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}]",202,108,0.5346534653465347,0.5534246575342465,-0.0008069306930693062,-0.16299999999999987,False
prev1h_ret <= -0.006611419,ema20_slope <= -0.0016891213,prev1h_ret,ema20_slope,"[{""feature"": ""prev1h_ret"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.006611419033494492}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}]",202,108,0.5346534653465347,0.5534246575342465,-0.0008069306930693062,-0.16299999999999987,False
ret15 <= -0.0038177812,ema20_dist <= -0.016073803,ret15,ema20_dist,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}]",195,104,0.5333333333333333,0.5342465753424658,-0.0008333333333333328,-0.1624999999999999,False
ret15 <= -0.0038177812,ema20_slope <= -0.0016891213,ret15,ema20_slope,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}]",195,104,0.5333333333333333,0.5342465753424658,-0.0008333333333333328,-0.1624999999999999,False
ret15 <= -0.0038177812,cci_delta15 <= -55.14396,ret15,cci_delta15,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}, {""feature"": ""cci_delta15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -55.14395967517604}]",325,172,0.5292307692307693,0.8904109589041096,-0.0009153846153846148,-0.2974999999999998,False
ret15 <= -0.0038177812,ema20_dist >= -0.00046124673,ret15,ema20_dist,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",155,81,0.5225806451612903,0.4246575342465753,-0.001048387096774193,-0.16249999999999992,False
ret15 <= -0.0038177812,ema20_slope >= -4.854993e-05,ret15,ema20_slope,"[{""feature"": ""ret15"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0038177812174682523}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",155,81,0.5225806451612903,0.4246575342465753,-0.001048387096774193,-0.16249999999999992,False
ema20_dist >= 0.0057260027,ema20_slope <= -0.0016891213,ema20_dist,ema20_slope,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0057260027375182}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}]",0,0,,0.0,,0.0,False
ema20_slope >= 0.00060310064,ema20_dist <= -0.016073803,ema20_slope,ema20_dist,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": 0.0006031006417118069}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}]",0,0,,0.0,,0.0,False
ema20_dist <= -0.016073803,ema20_slope >= -4.854993e-05,ema20_dist,ema20_slope,"[{""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.016073803234439875}, {""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -4.8549930230201664e-05}]",0,0,,0.0,,0.0,False
ema20_slope <= -0.0016891213,ema20_dist >= -0.00046124673,ema20_slope,ema20_dist,"[{""feature"": ""ema20_slope"", ""kind"": ""num"", ""op"": ""<="", ""threshold"": -0.0016891213295004092}, {""feature"": ""ema20_dist"", ""kind"": ""num"", ""op"": "">="", ""threshold"": -0.00046124673216350014}]",0,0,,0.0,,0.0,False
