partition,origin,path_class,cohort_n,baseline_transition_rate,failed_reclaim_n,failed_reclaim_transition_rate,non_failed_reclaim_n,non_failed_reclaim_transition_rate,failed_reclaim_lift_vs_non,fr_final_4h_beyond_rate,fr_median_break_to_reclaim_min,fr_p25_break_to_reclaim_min,fr_p75_break_to_reclaim_min,fr_median_reclaim_to_rebreak_min,fr_p25_reclaim_to_rebreak_min,fr_p75_reclaim_to_rebreak_min,fr_median_confirmation_to_exit_hours,fr_p25_confirmation_to_exit_hours,fr_p75_confirmation_to_exit_hours,path_n,path_share,path_transition_rate
POOLED_OOS,BULL,BREAK_RECLAIM_NO_REBREAK,180,,,,,,,,,,,,,,,,,7.0,0.03888888888888889,0.2857142857142857
POOLED_OOS,BULL,FAILED_RECLAIM,180,,,,,,,,,,,,,,,,,38.0,0.2111111111111111,0.6052631578947368
POOLED_OOS,BEAR,,131,0.6183206106870229,14.0,0.7857142857142857,117.0,0.5982905982905983,0.18742368742368742,0.8571428571428571,45.0,5.0,98.75,7.5,5.0,21.25,7.041666666666666,5.604166666666666,10.145833333333332,,,
POOLED_OOS,BEAR,NO_BREAK,131,,,,,,,,,,,,,,,,,93.0,0.7099236641221374,0.5698924731182796
POOLED_OOS,BEAR,BREAK_NO_RECLAIM,131,,,,,,,,,,,,,,,,,20.0,0.15267175572519084,0.7
POOLED_OOS,BEAR,BREAK_RECLAIM_NO_REBREAK,131,,,,,,,,,,,,,,,,,4.0,0.030534351145038167,0.75
POOLED_OOS,BEAR,FAILED_RECLAIM,131,,,,,,,,,,,,,,,,,14.0,0.10687022900763359,0.7857142857142857
POOLED_MAJOR,BULL,,276,0.5652173913043478,51.0,0.6666666666666666,225.0,0.5422222222222223,0.12444444444444436,0.6274509803921569,25.0,7.5,80.0,10.0,5.0,25.0,8.083333333333334,6.583333333333333,11.125,,,
POOLED_MAJOR,BULL,NO_BREAK,276,,,,,,,,,,,,,,,,,157.0,0.5688405797101449,0.4968152866242038
POOLED_MAJOR,BULL,BREAK_NO_RECLAIM,276,,,,,,,,,,,,,,,,,54.0,0.1956521739130435,0.7222222222222222
POOLED_MAJOR,BULL,BREAK_RECLAIM_NO_REBREAK,276,,,,,,,,,,,,,,,,,14.0,0.050724637681159424,0.35714285714285715
POOLED_MAJOR,BULL,FAILED_RECLAIM,276,,,,,,,,,,,,,,,,,51.0,0.18478260869565216,0.6666666666666666
POOLED_MAJOR,BEAR,,241,0.5809128630705395,34.0,0.6470588235294118,207.0,0.5700483091787439,0.07701051435066786,0.6764705882352942,27.5,5.0,91.25,10.0,5.0,33.75,7.416666666666666,5.895833333333333,10.166666666666666,,,
POOLED_MAJOR,BEAR,NO_BREAK,241,,,,,,,,,,,,,,,,,164.0,0.6804979253112033,0.5304878048780488
POOLED_MAJOR,BEAR,BREAK_NO_RECLAIM,241,,,,,,,,,,,,,,,,,31.0,0.12863070539419086,0.7096774193548387
POOLED_MAJOR,BEAR,BREAK_RECLAIM_NO_REBREAK,241,,,,,,,,,,,,,,,,,12.0,0.04979253112033195,0.75
POOLED_MAJOR,BEAR,FAILED_RECLAIM,241,,,,,,,,,,,,,,,,,34.0,0.14107883817427386,0.6470588235294118
