partition,transition,date_utc,previous_session_start,previous_session_end,active_session_start,active_session_end,previous_session_high,previous_session_low,breakout_side,breakout_bar_start,breakout_ts,side,signal_level,k,visit_no,signal_bar_start,signal_ts,same_visits_at_signal,opp_visits_at_signal,structural_outcome,entry_depth,entry_fraction_from_low,planned_entry_px,stop_px,target_px,nominal_rr,filled,entry_ts,entry_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,2,2,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,2,0,TARGET_BREAK,DEEP,0.25,6972.58,6863.44,7300.0,2.9999999999999916,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-03,2020-01-03 00:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,7300.0,6863.44,HIGH,2020-01-03 09:10:00+00:00,2020-01-03 09:15:00+00:00,LONG,HIGH,2,2,2020-01-03 09:05:00+00:00,2020-01-03 09:10:00+00:00,2,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.1,6907.096,6863.44,7300.0,9.000000000000021,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,1,1,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,1,0,TARGET_BREAK,SHALLOW,0.75,7325.7474999999995,7198.0,7368.33,0.3333333333333381,True,2020-01-03 14:00:00+00:00,7325.7474999999995,2020-01-03 16:10:00+00:00,7368.33,TP_RANGE_EDGE,0.005812717405288659,2.5063587026443295,130.0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,1,1,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,1,0,TARGET_BREAK,MID,0.5,7283.165,7198.0,7368.33,1.0,True,2020-01-03 14:00:00+00:00,7283.165,2020-01-03 16:10:00+00:00,7368.33,TP_RANGE_EDGE,0.011693405270922774,5.446702635461387,130.0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,1,1,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,1,0,TARGET_BREAK,DEEP,0.25,7240.5825,7198.0,7368.33,2.9999999999999574,True,2020-01-03 14:15:00+00:00,7240.5825,2020-01-03 16:10:00+00:00,7368.33,TP_RANGE_EDGE,0.01764326281759776,8.421631408798879,115.0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,1,1,2020-01-03 13:55:00+00:00,2020-01-03 14:00:00+00:00,1,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.1,7215.033,7198.0,7368.33,8.999999999999787,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,2,2,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2,0,TARGET_BREAK,SHALLOW,0.75,7325.7474999999995,7198.0,7368.33,0.3333333333333381,True,2020-01-03 16:15:00+00:00,7325.7474999999995,2020-01-03 16:30:00+00:00,7368.33,TP_RANGE_EDGE,0.005812717405288659,2.5063587026443295,15.0
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,2,2,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2,0,TARGET_BREAK,MID,0.5,7283.165,7198.0,7368.33,1.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,2,2,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2,0,TARGET_BREAK,DEEP,0.25,7240.5825,7198.0,7368.33,2.9999999999999574,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,2,2,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.1,7215.033,7198.0,7368.33,8.999999999999787,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,3,3,2020-01-03 16:30:00+00:00,2020-01-03 16:35:00+00:00,3,0,TARGET_BREAK,SHALLOW,0.75,7325.7474999999995,7198.0,7368.33,0.3333333333333381,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,3,3,2020-01-03 16:30:00+00:00,2020-01-03 16:35:00+00:00,3,0,TARGET_BREAK,MID,0.5,7283.165,7198.0,7368.33,1.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,3,3,2020-01-03 16:30:00+00:00,2020-01-03 16:35:00+00:00,3,0,TARGET_BREAK,DEEP,0.25,7240.5825,7198.0,7368.33,2.9999999999999574,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-03,2020-01-03 08:00:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 13:30:00+00:00,2020-01-03 20:00:00+00:00,7368.33,7198.0,HIGH,2020-01-03 16:40:00+00:00,2020-01-03 16:45:00+00:00,LONG,HIGH,3,3,2020-01-03 16:30:00+00:00,2020-01-03 16:35:00+00:00,3,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.1,7215.033,7198.0,7368.33,8.999999999999787,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,LONG,HIGH,1,1,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,1,0,NO_BREAK,SHALLOW,0.75,7558.3375,7505.35,7576.0,0.33333333333334475,True,2020-01-06 17:15:00+00:00,7558.3375,2020-01-06 20:00:00+00:00,7536.72,TIME_EXIT_SESSION_END,-0.002860086626192526,-1.830043313096263,165.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,LONG,HIGH,1,1,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,1,0,NO_BREAK,MID,0.5,7540.675,7505.35,7576.0,1.0,True,2020-01-06 14:20:00+00:00,7540.675,2020-01-06 20:00:00+00:00,7536.72,TIME_EXIT_SESSION_END,-0.0005244888554406524,-0.6622444277203262,340.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,LONG,HIGH,1,1,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,1,0,NO_BREAK,DEEP,0.25,7523.012500000001,7505.35,7576.0,2.999999999999897,True,2020-01-06 13:55:00+00:00,7523.012500000001,2020-01-06 13:55:00+00:00,7505.35,SL_FILL_5M_CONSERVATIVE,-0.002347796178725048,-1.5738980893625238,0.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,LONG,HIGH,1,1,2020-01-06 13:50:00+00:00,2020-01-06 13:55:00+00:00,1,0,NO_BREAK,NEAR_OPPOSITE_EDGE,0.1,7512.415,7505.35,7576.0,9.000000000000515,True,2020-01-06 13:55:00+00:00,7512.415,2020-01-06 13:55:00+00:00,7505.35,SL_FILL_5M_CONSERVATIVE,-0.0009404432529352968,-0.8702216264676484,0.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,SHORT,LOW,1,1,2020-01-06 13:55:00+00:00,2020-01-06 14:00:00+00:00,1,1,NO_BREAK,SHALLOW,0.25,7523.012500000001,7576.0,7505.35,0.33333333333334475,True,2020-01-06 14:00:00+00:00,7523.012500000001,2020-01-06 20:00:00+00:00,7536.72,TIME_EXIT_SESSION_END,-0.0018220759303535505,-1.3110379651767752,360.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,SHORT,LOW,1,1,2020-01-06 13:55:00+00:00,2020-01-06 14:00:00+00:00,1,1,NO_BREAK,MID,0.5,7540.675,7576.0,7505.35,1.0,True,2020-01-06 14:20:00+00:00,7540.675,2020-01-06 20:00:00+00:00,7536.72,TIME_EXIT_SESSION_END,0.0005244888554406524,-0.13775557227967383,340.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,SHORT,LOW,1,1,2020-01-06 13:55:00+00:00,2020-01-06 14:00:00+00:00,1,1,NO_BREAK,DEEP,0.75,7558.3375,7576.0,7505.35,2.999999999999897,True,2020-01-06 17:15:00+00:00,7558.3375,2020-01-06 20:00:00+00:00,7536.72,TIME_EXIT_SESSION_END,0.002860086626192526,1.0300433130962632,165.0
external,LONDON_TO_NEWYORK,2020-01-06,2020-01-06 08:00:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 13:30:00+00:00,2020-01-06 20:00:00+00:00,7576.0,7505.35,,,,SHORT,LOW,1,1,2020-01-06 13:55:00+00:00,2020-01-06 14:00:00+00:00,1,1,NO_BREAK,NEAR_OPPOSITE_EDGE,0.9,7568.935,7576.0,7505.35,9.000000000000515,False,,,,,NO_FILL,,,
external,ASIA_TO_LONDON,2020-01-09,2020-01-09 00:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,8060.0,7898.0,LOW,2020-01-09 09:05:00+00:00,2020-01-09 09:10:00+00:00,SHORT,LOW,1,1,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,1,0,TARGET_BREAK,SHALLOW,0.25,7938.5,8060.0,7898.0,0.3333333333333333,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-09,2020-01-09 00:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,8060.0,7898.0,LOW,2020-01-09 09:05:00+00:00,2020-01-09 09:10:00+00:00,SHORT,LOW,1,1,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,1,0,TARGET_BREAK,MID,0.5,7979.0,8060.0,7898.0,1.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-09,2020-01-09 00:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,8060.0,7898.0,LOW,2020-01-09 09:05:00+00:00,2020-01-09 09:10:00+00:00,SHORT,LOW,1,1,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,1,0,TARGET_BREAK,DEEP,0.75,8019.5,8060.0,7898.0,3.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-09,2020-01-09 00:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 13:30:00+00:00,8060.0,7898.0,LOW,2020-01-09 09:05:00+00:00,2020-01-09 09:10:00+00:00,SHORT,LOW,1,1,2020-01-09 09:00:00+00:00,2020-01-09 09:05:00+00:00,1,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.9,8043.8,8060.0,7898.0,9.000000000000112,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-10,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,7929.0,7670.0,HIGH,2020-01-10 13:35:00+00:00,2020-01-10 13:40:00+00:00,LONG,HIGH,1,1,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,1,0,TARGET_BREAK,SHALLOW,0.75,7864.25,7670.0,7929.0,0.3333333333333333,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-10,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,7929.0,7670.0,HIGH,2020-01-10 13:35:00+00:00,2020-01-10 13:40:00+00:00,LONG,HIGH,1,1,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,1,0,TARGET_BREAK,MID,0.5,7799.5,7670.0,7929.0,1.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-10,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,7929.0,7670.0,HIGH,2020-01-10 13:35:00+00:00,2020-01-10 13:40:00+00:00,LONG,HIGH,1,1,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,1,0,TARGET_BREAK,DEEP,0.25,7734.75,7670.0,7929.0,3.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-10,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 13:30:00+00:00,2020-01-10 20:00:00+00:00,7929.0,7670.0,HIGH,2020-01-10 13:35:00+00:00,2020-01-10 13:40:00+00:00,LONG,HIGH,1,1,2020-01-10 13:30:00+00:00,2020-01-10 13:35:00+00:00,1,0,TARGET_BREAK,NEAR_OPPOSITE_EDGE,0.1,7695.9,7670.0,7929.0,9.00000000000014,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,ASIA_TO_LONDON,2020-01-14,2020-01-14 00:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,8598.27,8109.02,,,,LONG,HIGH,1,1,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,1,0,NO_BREAK,SHALLOW,0.75,8475.9575,8109.02,8598.27,0.3333333333333333,False,,,,,NO_FILL,,,
external,ASIA_TO_LONDON,2020-01-14,2020-01-14 00:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,8598.27,8109.02,,,,LONG,HIGH,1,1,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,1,0,NO_BREAK,MID,0.5,8353.645,8109.02,8598.27,1.0,False,,,,,NO_FILL,,,
external,ASIA_TO_LONDON,2020-01-14,2020-01-14 00:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,8598.27,8109.02,,,,LONG,HIGH,1,1,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,1,0,NO_BREAK,DEEP,0.25,8231.3325,8109.02,8598.27,3.0,False,,,,,NO_FILL,,,
external,ASIA_TO_LONDON,2020-01-14,2020-01-14 00:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,8598.27,8109.02,,,,LONG,HIGH,1,1,2020-01-14 12:30:00+00:00,2020-01-14 12:35:00+00:00,1,0,NO_BREAK,NEAR_OPPOSITE_EDGE,0.1,8157.945000000001,8109.02,8598.27,8.999999999999963,False,,,,,NO_FILL,,,
external,ASIA_TO_LONDON,2020-01-17,2020-01-17 00:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,9020.0,8680.0,,,,LONG,HIGH,1,1,2020-01-17 10:15:00+00:00,2020-01-17 10:20:00+00:00,1,0,NO_BREAK,SHALLOW,0.75,8935.0,8680.0,9020.0,0.3333333333333333,True,2020-01-17 10:20:00+00:00,8935.0,2020-01-17 13:30:00+00:00,8858.62,TIME_EXIT_SESSION_END,-0.008548405148293137,-4.674202574146569,190.0
external,ASIA_TO_LONDON,2020-01-17,2020-01-17 00:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,9020.0,8680.0,,,,LONG,HIGH,1,1,2020-01-17 10:15:00+00:00,2020-01-17 10:20:00+00:00,1,0,NO_BREAK,MID,0.5,8850.0,8680.0,9020.0,1.0,True,2020-01-17 12:10:00+00:00,8850.0,2020-01-17 13:30:00+00:00,8858.62,TIME_EXIT_SESSION_END,0.0009740112994351957,0.08700564971759783,80.0
external,ASIA_TO_LONDON,2020-01-17,2020-01-17 00:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,9020.0,8680.0,,,,LONG,HIGH,1,1,2020-01-17 10:15:00+00:00,2020-01-17 10:20:00+00:00,1,0,NO_BREAK,DEEP,0.25,8765.0,8680.0,9020.0,3.0,False,,,,,NO_FILL,,,
external,ASIA_TO_LONDON,2020-01-17,2020-01-17 00:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,9020.0,8680.0,,,,LONG,HIGH,1,1,2020-01-17 10:15:00+00:00,2020-01-17 10:20:00+00:00,1,0,NO_BREAK,NEAR_OPPOSITE_EDGE,0.1,8714.0,8680.0,9020.0,9.0,False,,,,,NO_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-17,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,2020-01-17 13:30:00+00:00,2020-01-17 20:00:00+00:00,9039.0,8800.0,LOW,2020-01-17 14:55:00+00:00,2020-01-17 15:00:00+00:00,SHORT,LOW,1,1,2020-01-17 14:20:00+00:00,2020-01-17 14:25:00+00:00,1,0,TARGET_BREAK,SHALLOW,0.25,8859.75,9039.0,8800.0,0.3333333333333333,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
external,LONDON_TO_NEWYORK,2020-01-17,2020-01-17 08:00:00+00:00,2020-01-17 13:30:00+00:00,2020-01-17 13:30:00+00:00,2020-01-17 20:00:00+00:00,9039.0,8800.0,LOW,2020-01-17 14:55:00+00:00,2020-01-17 15:00:00+00:00,SHORT,LOW,1,1,2020-01-17 14:20:00+00:00,2020-01-17 14:25:00+00:00,1,0,TARGET_BREAK,MID,0.5,8919.5,9039.0,8800.0,1.0,False,,,,,RANGE_BROKE_BEFORE_FILL,,,
