partition,reference_start,execution_start,fill_ts,H,L,R,F85,E20,breakout,breakout_attack,breakout_ts,minutes_fill_to_breakout,post_breakout_path
external,2020-09-30 08:00:00+00:00,2020-09-30 13:30:00+00:00,2020-09-30 13:45:00+00:00,356.1,351.02,5.080000000000041,355.338,357.11600000000004,True,2.0,2020-09-30 14:05:00+00:00,20.0,BACK_IN_RANGE_BEFORE_E20
external,2020-10-02 08:00:00+00:00,2020-10-02 13:30:00+00:00,2020-10-02 13:55:00+00:00,343.4,334.01,9.389999999999986,341.9915,345.27799999999996,True,4.0,2020-10-02 14:55:00+00:00,60.0,E20_ON_BREAKOUT_BAR
external,2020-10-05 08:00:00+00:00,2020-10-05 13:30:00+00:00,2020-10-05 16:55:00+00:00,354.2,349.5,4.699999999999989,353.495,355.14,False,,,,NO_BREAKOUT_BY_END
external,2020-10-30 08:00:00+00:00,2020-10-30 13:30:00+00:00,2020-10-30 18:30:00+00:00,384.0,373.03,10.970000000000027,382.3545,386.194,False,,,,NO_BREAKOUT_BY_END
external,2020-11-04 08:00:00+00:00,2020-11-04 13:30:00+00:00,2020-11-04 13:55:00+00:00,384.29,376.65,7.640000000000043,383.144,385.81800000000004,True,2.0,2020-11-04 16:00:00+00:00,125.0,E20_ON_BREAKOUT_BAR
external,2020-11-05 08:00:00+00:00,2020-11-05 13:30:00+00:00,2020-11-05 14:00:00+00:00,411.49,395.89,15.600000000000023,409.15,414.61,True,2.0,2020-11-05 14:10:00+00:00,10.0,BACK_IN_RANGE_BEFORE_E20
external,2020-11-19 08:00:00+00:00,2020-11-19 13:30:00+00:00,2020-11-19 13:45:00+00:00,477.0,465.15,11.850000000000023,475.2225,479.37,True,4.0,2020-11-19 14:55:00+00:00,70.0,BACK_IN_RANGE_BEFORE_E20
external,2020-11-20 08:00:00+00:00,2020-11-20 13:30:00+00:00,2020-11-20 14:25:00+00:00,511.21,490.62,20.589999999999975,508.1215,515.328,True,2.0,2020-11-20 17:35:00+00:00,190.0,BACK_IN_RANGE_BEFORE_E20
external,2020-12-30 08:00:00+00:00,2020-12-30 13:30:00+00:00,2020-12-30 16:35:00+00:00,738.46,717.52,20.940000000000055,735.3190000000001,742.648,True,2.0,2020-12-30 17:35:00+00:00,60.0,BACK_IN_RANGE_BEFORE_E20
external,2021-01-18 08:00:00+00:00,2021-01-18 13:30:00+00:00,2021-01-18 14:20:00+00:00,1257.76,1210.97,46.789999999999964,1250.7415,1267.118,False,,,,NO_BREAKOUT_BY_END
external,2021-01-29 08:00:00+00:00,2021-01-29 13:30:00+00:00,2021-01-29 14:10:00+00:00,1436.97,1295.92,141.04999999999995,1415.8125,1465.18,False,,,,NO_BREAKOUT_BY_END
external,2021-02-03 08:00:00+00:00,2021-02-03 13:30:00+00:00,2021-02-03 13:40:00+00:00,1569.58,1515.5,54.07999999999993,1561.4679999999998,1580.396,True,2.0,2021-02-03 15:15:00+00:00,95.0,DIRECT_CONTINUATION
external,2021-02-08 08:00:00+00:00,2021-02-08 13:30:00+00:00,2021-02-08 15:55:00+00:00,1758.24,1627.11,131.1300000000001,1738.5705,1784.4660000000001,True,2.0,2021-02-08 16:00:00+00:00,5.0,BACK_IN_RANGE_BEFORE_E20
external,2021-03-01 08:00:00+00:00,2021-03-01 13:30:00+00:00,2021-03-01 14:50:00+00:00,1541.0,1438.85,102.15000000000009,1525.6775,1561.43,True,2.0,2021-03-01 15:10:00+00:00,20.0,RETEST_THEN_CONTINUATION
external,2021-03-05 08:00:00+00:00,2021-03-05 13:30:00+00:00,2021-03-05 13:45:00+00:00,1497.8,1441.57,56.23000000000002,1489.3655,1509.046,True,2.0,2021-03-05 14:00:00+00:00,15.0,BACK_IN_RANGE_BEFORE_E20
external,2021-03-09 08:00:00+00:00,2021-03-09 13:30:00+00:00,2021-03-09 14:25:00+00:00,1843.6,1801.0,42.59999999999991,1837.21,1852.12,True,2.0,2021-03-09 16:00:00+00:00,95.0,BACK_IN_RANGE_BEFORE_E20
external,2021-04-08 08:00:00+00:00,2021-04-08 13:30:00+00:00,2021-04-08 13:45:00+00:00,2039.1,1985.64,53.45999999999981,2031.081,2049.792,True,2.0,2021-04-08 14:15:00+00:00,30.0,DIRECT_CONTINUATION
external,2021-04-26 08:00:00+00:00,2021-04-26 13:30:00+00:00,2021-04-26 17:05:00+00:00,2527.36,2423.41,103.95000000000027,2511.7675,2548.15,True,2.0,2021-04-26 17:20:00+00:00,15.0,BACK_IN_RANGE_BEFORE_E20
external,2021-04-28 08:00:00+00:00,2021-04-28 13:30:00+00:00,2021-04-28 18:45:00+00:00,2737.64,2580.0,157.63999999999987,2713.994,2769.1679999999997,True,2.0,2021-04-28 19:25:00+00:00,40.0,BACK_IN_RANGE_BEFORE_E20
external,2021-05-04 08:00:00+00:00,2021-05-04 13:30:00+00:00,2021-05-04 13:45:00+00:00,3521.39,3279.0,242.38999999999987,3485.0315,3569.868,False,,,,NO_BREAKOUT_BY_END
external,2021-05-24 08:00:00+00:00,2021-05-24 13:30:00+00:00,2021-05-24 14:55:00+00:00,2468.09,2222.29,245.80000000000018,2431.2200000000003,2517.25,True,2.0,2021-05-24 15:20:00+00:00,25.0,DIRECT_CONTINUATION
external,2021-05-27 08:00:00+00:00,2021-05-27 13:30:00+00:00,2021-05-27 14:45:00+00:00,2867.37,2684.0,183.3699999999999,2839.8645,2904.044,False,,,,NO_BREAKOUT_BY_END
external,2021-06-02 08:00:00+00:00,2021-06-02 13:30:00+00:00,2021-06-02 13:40:00+00:00,2749.44,2661.0,88.44000000000005,2736.174,2767.128,True,2.0,2021-06-02 14:30:00+00:00,50.0,DIRECT_CONTINUATION
external,2021-07-09 08:00:00+00:00,2021-07-09 13:30:00+00:00,2021-07-09 13:45:00+00:00,2143.0,2063.3,79.69999999999982,2131.045,2158.94,True,3.0,2021-07-09 14:15:00+00:00,30.0,DIRECT_CONTINUATION
external,2021-07-16 08:00:00+00:00,2021-07-16 13:30:00+00:00,2021-07-16 13:40:00+00:00,1913.62,1846.0,67.61999999999989,1903.477,1927.1439999999998,True,4.0,2021-07-16 15:30:00+00:00,110.0,DIRECT_CONTINUATION
external,2021-07-20 08:00:00+00:00,2021-07-20 13:30:00+00:00,2021-07-20 14:15:00+00:00,1763.03,1716.0,47.02999999999997,1755.9755,1772.436,True,3.0,2021-07-20 14:55:00+00:00,40.0,RETEST_THEN_CONTINUATION
external,2021-07-27 08:00:00+00:00,2021-07-27 13:30:00+00:00,2021-07-27 13:50:00+00:00,2317.36,2192.0,125.36000000000013,2298.556,2342.4320000000002,False,,,,NO_BREAKOUT_BY_END
external,2021-07-29 08:00:00+00:00,2021-07-29 13:30:00+00:00,2021-07-29 15:20:00+00:00,2328.0,2280.54,47.460000000000036,2320.881,2337.492,True,3.0,2021-07-29 16:15:00+00:00,55.0,DIRECT_CONTINUATION
external,2021-09-01 08:00:00+00:00,2021-09-01 13:30:00+00:00,2021-09-01 15:35:00+00:00,3564.0,3514.01,49.98999999999978,3556.5015,3573.998,True,2.0,2021-09-01 15:45:00+00:00,10.0,E20_ON_BREAKOUT_BAR
external,2021-09-02 08:00:00+00:00,2021-09-02 13:30:00+00:00,2021-09-02 14:00:00+00:00,3800.0,3730.03,69.9699999999998,3789.5045,3813.994,True,2.0,2021-09-02 14:05:00+00:00,5.0,E20_ON_BREAKOUT_BAR
external,2021-09-15 08:00:00+00:00,2021-09-15 13:30:00+00:00,2021-09-15 14:20:00+00:00,3445.0,3379.45,65.55000000000018,3435.1675,3458.11,True,2.0,2021-09-15 15:00:00+00:00,40.0,E20_ON_BREAKOUT_BAR
external,2021-10-05 08:00:00+00:00,2021-10-05 13:30:00+00:00,2021-10-05 19:25:00+00:00,3475.79,3381.0,94.78999999999996,3461.5715,3494.748,True,2.0,2021-10-05 19:50:00+00:00,25.0,E20_ON_BREAKOUT_BAR
external,2021-10-06 08:00:00+00:00,2021-10-06 13:30:00+00:00,2021-10-06 14:15:00+00:00,3598.19,3339.67,258.52,3559.4120000000003,3649.8940000000002,True,2.0,2021-10-06 14:55:00+00:00,40.0,BACK_IN_RANGE_BEFORE_E20
external,2021-10-25 08:00:00+00:00,2021-10-25 13:30:00+00:00,2021-10-25 14:15:00+00:00,4166.19,4110.0,56.1899999999996,4157.7615,4177.428,True,2.0,2021-10-25 15:40:00+00:00,85.0,RETEST_THEN_CONTINUATION
external,2021-10-28 08:00:00+00:00,2021-10-28 13:30:00+00:00,2021-10-28 14:15:00+00:00,4199.32,4011.59,187.72999999999956,4171.1605,4236.866,True,2.0,2021-10-28 17:00:00+00:00,165.0,BACK_IN_RANGE_BEFORE_E20
external,2021-11-16 08:00:00+00:00,2021-11-16 13:30:00+00:00,2021-11-16 15:00:00+00:00,4345.0,4077.0,268.0,4304.8,4398.6,False,,,,NO_BREAKOUT_BY_END
external,2021-12-16 08:00:00+00:00,2021-12-16 13:30:00+00:00,2021-12-16 14:00:00+00:00,4083.9,4006.11,77.78999999999996,4072.2315,4099.4580000000005,True,4.0,2021-12-16 15:45:00+00:00,105.0,DIRECT_CONTINUATION
external,2021-12-23 08:00:00+00:00,2021-12-23 13:30:00+00:00,2021-12-23 16:30:00+00:00,3964.47,3888.87,75.59999999999991,3953.13,3979.5899999999997,True,2.0,2021-12-23 16:40:00+00:00,10.0,DIRECT_CONTINUATION
external,2021-12-27 08:00:00+00:00,2021-12-27 13:30:00+00:00,2021-12-27 13:40:00+00:00,4095.03,4033.0,62.0300000000002,4085.7255,4107.436000000001,True,4.0,2021-12-27 14:40:00+00:00,60.0,BACK_IN_RANGE_BEFORE_E20
development,2022-01-03 08:00:00+00:00,2022-01-03 13:30:00+00:00,2022-01-03 14:45:00+00:00,3844.67,3790.01,54.659999999999854,3836.471,3855.602,False,,,,NO_BREAKOUT_BY_END
development,2022-01-25 08:00:00+00:00,2022-01-25 13:30:00+00:00,2022-01-25 16:15:00+00:00,2460.7,2371.63,89.06999999999971,2447.3395,2478.5139999999997,True,2.0,2022-01-25 17:20:00+00:00,65.0,BACK_IN_RANGE_BEFORE_E20
development,2022-02-09 08:00:00+00:00,2022-02-09 13:30:00+00:00,2022-02-09 14:55:00+00:00,3208.26,3066.48,141.7800000000002,3186.9930000000004,3236.6160000000004,True,2.0,2022-02-09 16:45:00+00:00,110.0,BACK_IN_RANGE_BEFORE_E20
development,2022-02-14 08:00:00+00:00,2022-02-14 13:30:00+00:00,2022-02-14 13:40:00+00:00,2943.33,2845.07,98.25999999999976,2928.591,2962.982,True,2.0,2022-02-14 14:10:00+00:00,30.0,DIRECT_CONTINUATION
development,2022-02-22 08:00:00+00:00,2022-02-22 13:30:00+00:00,2022-02-22 14:05:00+00:00,2622.62,2512.67,109.94999999999982,2606.1275,2644.6099999999997,True,2.0,2022-02-22 14:50:00+00:00,45.0,E20_ON_BREAKOUT_BAR
development,2022-03-03 08:00:00+00:00,2022-03-03 13:30:00+00:00,2022-03-03 14:10:00+00:00,2934.48,2877.35,57.13000000000011,2925.9105,2945.906,False,,,,NO_BREAKOUT_BY_END
development,2022-03-21 08:00:00+00:00,2022-03-21 13:30:00+00:00,2022-03-21 13:50:00+00:00,2938.5,2873.0,65.5,2928.675,2951.6,True,2.0,2022-03-21 15:20:00+00:00,90.0,DIRECT_CONTINUATION
development,2022-04-18 08:00:00+00:00,2022-04-18 13:30:00+00:00,2022-04-18 14:10:00+00:00,2947.0,2887.0,60.0,2938.0,2959.0,True,2.0,2022-04-18 17:10:00+00:00,180.0,E20_ON_BREAKOUT_BAR
development,2022-05-19 08:00:00+00:00,2022-05-19 13:30:00+00:00,2022-05-19 14:00:00+00:00,1985.99,1912.39,73.59999999999991,1974.95,2000.71,True,3.0,2022-05-19 15:10:00+00:00,70.0,RETEST_THEN_CONTINUATION
development,2022-06-01 08:00:00+00:00,2022-06-01 13:30:00+00:00,2022-06-01 13:55:00+00:00,1967.86,1924.0,43.8599999999999,1961.281,1976.6319999999998,False,,,,NO_BREAKOUT_BY_END
development,2022-06-28 08:00:00+00:00,2022-06-28 13:30:00+00:00,2022-06-28 13:40:00+00:00,1234.0,1203.32,30.680000000000064,1229.398,1240.136,False,,,,NO_BREAKOUT_BY_END
development,2022-07-15 08:00:00+00:00,2022-07-15 13:30:00+00:00,2022-07-15 14:40:00+00:00,1235.35,1202.75,32.59999999999991,1230.46,1241.87,True,2.0,2022-07-15 15:05:00+00:00,25.0,BACK_IN_RANGE_BEFORE_E20
development,2022-07-19 08:00:00+00:00,2022-07-19 13:30:00+00:00,2022-07-19 13:40:00+00:00,1574.53,1505.2,69.32999999999993,1564.1305,1588.396,True,2.0,2022-07-19 16:30:00+00:00,170.0,BACK_IN_RANGE_BEFORE_E20
development,2022-07-20 08:00:00+00:00,2022-07-20 13:30:00+00:00,2022-07-20 13:45:00+00:00,1616.0,1525.59,90.41000000000008,1602.4385,1634.082,False,,,,NO_BREAKOUT_BY_END
development,2022-07-28 08:00:00+00:00,2022-07-28 13:30:00+00:00,2022-07-28 14:55:00+00:00,1659.0,1595.0,64.0,1649.4,1671.8,True,2.0,2022-07-28 15:15:00+00:00,20.0,DIRECT_CONTINUATION
development,2022-08-12 08:00:00+00:00,2022-08-12 13:30:00+00:00,2022-08-12 15:40:00+00:00,1903.13,1852.0,51.13000000000011,1895.4605,1913.3560000000002,True,2.0,2022-08-12 16:00:00+00:00,20.0,BACK_IN_RANGE_BEFORE_E20
development,2022-08-22 08:00:00+00:00,2022-08-22 13:30:00+00:00,2022-08-22 14:30:00+00:00,1580.0,1528.0,52.0,1572.2,1590.4,True,2.0,2022-08-22 15:40:00+00:00,70.0,RETEST_THEN_CONTINUATION
development,2022-08-24 08:00:00+00:00,2022-08-24 13:30:00+00:00,2022-08-24 14:35:00+00:00,1660.25,1625.18,35.069999999999936,1654.9895,1667.264,True,2.0,2022-08-24 15:20:00+00:00,45.0,E20_ON_BREAKOUT_BAR
development,2022-09-02 08:00:00+00:00,2022-09-02 13:30:00+00:00,2022-09-02 14:55:00+00:00,1644.8,1581.33,63.47000000000003,1635.2795,1657.494,False,,,,NO_BREAKOUT_BY_END
development,2022-09-08 08:00:00+00:00,2022-09-08 13:30:00+00:00,2022-09-08 13:55:00+00:00,1646.6,1597.0,49.59999999999991,1639.16,1656.52,True,3.0,2022-09-08 19:55:00+00:00,360.0,UNRESOLVED_BY_END
development,2022-09-20 08:00:00+00:00,2022-09-20 13:30:00+00:00,2022-09-20 15:15:00+00:00,1366.4,1328.76,37.6400000000001,1360.754,1373.928,True,2.0,2022-09-20 15:50:00+00:00,35.0,DIRECT_CONTINUATION
development,2022-09-26 08:00:00+00:00,2022-09-26 13:30:00+00:00,2022-09-26 13:45:00+00:00,1324.61,1288.16,36.44999999999982,1319.1425,1331.8999999999999,True,2.0,2022-09-26 14:10:00+00:00,25.0,DIRECT_CONTINUATION
development,2022-10-04 08:00:00+00:00,2022-10-04 13:30:00+00:00,2022-10-04 14:15:00+00:00,1359.8,1341.51,18.289999999999964,1357.0565,1363.4579999999999,False,,,,NO_BREAKOUT_BY_END
development,2022-11-30 08:00:00+00:00,2022-11-30 13:30:00+00:00,2022-11-30 16:55:00+00:00,1276.93,1253.37,23.560000000000173,1273.396,1281.642,True,2.0,2022-11-30 18:35:00+00:00,100.0,E20_ON_BREAKOUT_BAR
development,2022-12-07 08:00:00+00:00,2022-12-07 13:30:00+00:00,2022-12-07 13:45:00+00:00,1233.33,1217.02,16.309999999999945,1230.8835,1236.5919999999999,True,2.0,2022-12-07 13:50:00+00:00,5.0,BACK_IN_RANGE_BEFORE_E20
development,2022-12-08 08:00:00+00:00,2022-12-08 13:30:00+00:00,2022-12-08 14:30:00+00:00,1247.33,1227.36,19.970000000000027,1244.3345,1251.3239999999998,True,2.0,2022-12-08 15:05:00+00:00,35.0,E20_ON_BREAKOUT_BAR
development,2022-12-29 08:00:00+00:00,2022-12-29 13:30:00+00:00,2022-12-29 13:40:00+00:00,1203.85,1189.58,14.269999999999982,1201.7095,1206.704,True,3.0,2022-12-29 15:05:00+00:00,85.0,E20_ON_BREAKOUT_BAR
development,2023-01-09 08:00:00+00:00,2023-01-09 13:30:00+00:00,2023-01-09 15:15:00+00:00,1328.0,1307.5,20.5,1324.925,1332.1,True,2.0,2023-01-09 15:40:00+00:00,25.0,DIRECT_CONTINUATION
development,2023-01-10 08:00:00+00:00,2023-01-10 13:30:00+00:00,2023-01-10 14:15:00+00:00,1336.27,1321.27,15.0,1334.02,1339.27,True,3.0,2023-01-10 15:10:00+00:00,55.0,E20_ON_BREAKOUT_BAR
development,2023-01-26 08:00:00+00:00,2023-01-26 13:30:00+00:00,2023-01-26 14:25:00+00:00,1618.59,1591.25,27.339999999999918,1614.489,1624.058,False,,,,NO_BREAKOUT_BY_END
development,2023-03-21 08:00:00+00:00,2023-03-21 13:30:00+00:00,2023-03-21 13:40:00+00:00,1819.9,1723.8,96.10000000000014,1805.485,1839.1200000000001,False,,,,NO_BREAKOUT_BY_END
development,2023-03-22 08:00:00+00:00,2023-03-22 13:30:00+00:00,2023-03-22 13:50:00+00:00,1802.55,1780.02,22.529999999999973,1799.1705,1807.056,True,3.0,2023-03-22 14:40:00+00:00,50.0,DIRECT_CONTINUATION
development,2023-04-20 08:00:00+00:00,2023-04-20 13:30:00+00:00,2023-04-20 14:00:00+00:00,1975.98,1935.17,40.809999999999945,1969.8585,1984.142,True,2.0,2023-04-20 14:10:00+00:00,10.0,BACK_IN_RANGE_BEFORE_E20
development,2023-04-25 08:00:00+00:00,2023-04-25 13:30:00+00:00,2023-04-25 17:35:00+00:00,1831.22,1804.44,26.779999999999973,1827.203,1836.576,True,2.0,2023-04-25 17:40:00+00:00,5.0,E20_ON_BREAKOUT_BAR
development,2023-04-27 08:00:00+00:00,2023-04-27 13:30:00+00:00,2023-04-27 14:10:00+00:00,1895.0,1858.55,36.450000000000045,1889.5325,1902.29,True,2.0,2023-04-27 15:20:00+00:00,70.0,E20_ON_BREAKOUT_BAR
development,2023-05-08 08:00:00+00:00,2023-05-08 13:30:00+00:00,2023-05-08 15:10:00+00:00,1873.5,1833.5,40.0,1867.5,1881.5,False,,,,NO_BREAKOUT_BY_END
development,2023-05-09 08:00:00+00:00,2023-05-09 13:30:00+00:00,2023-05-09 17:10:00+00:00,1853.83,1833.03,20.799999999999955,1850.71,1857.99,False,,,,NO_BREAKOUT_BY_END
development,2023-05-12 08:00:00+00:00,2023-05-12 13:30:00+00:00,2023-05-12 13:40:00+00:00,1776.68,1754.26,22.420000000000073,1773.317,1781.164,True,2.0,2023-05-12 14:10:00+00:00,30.0,E20_ON_BREAKOUT_BAR
development,2023-05-16 08:00:00+00:00,2023-05-16 13:30:00+00:00,2023-05-16 17:05:00+00:00,1826.92,1808.93,17.99000000000001,1824.2215,1830.518,False,,,,NO_BREAKOUT_BY_END
development,2023-05-26 08:00:00+00:00,2023-05-26 13:30:00+00:00,2023-05-26 13:50:00+00:00,1826.0,1807.81,18.190000000000055,1823.2715,1829.638,True,3.0,2023-05-26 14:20:00+00:00,30.0,DIRECT_CONTINUATION
development,2023-06-01 08:00:00+00:00,2023-06-01 13:30:00+00:00,2023-06-01 16:30:00+00:00,1866.01,1851.21,14.799999999999955,1863.79,1868.97,True,2.0,2023-06-01 16:50:00+00:00,20.0,E20_ON_BREAKOUT_BAR
development,2023-06-08 08:00:00+00:00,2023-06-08 13:30:00+00:00,2023-06-08 14:45:00+00:00,1857.0,1836.68,20.319999999999936,1853.952,1861.064,True,3.0,2023-06-08 15:40:00+00:00,55.0,BACK_IN_RANGE_BEFORE_E20
development,2023-06-26 08:00:00+00:00,2023-06-26 13:30:00+00:00,2023-06-26 13:50:00+00:00,1893.65,1871.27,22.38000000000011,1890.293,1898.1260000000002,True,2.0,2023-06-26 13:55:00+00:00,5.0,E20_ON_BREAKOUT_BAR
development,2023-07-26 08:00:00+00:00,2023-07-26 13:30:00+00:00,2023-07-26 14:15:00+00:00,1858.52,1846.9,11.61999999999989,1856.777,1860.844,True,2.0,2023-07-26 14:25:00+00:00,10.0,BACK_IN_RANGE_BEFORE_E20
development,2023-08-03 08:00:00+00:00,2023-08-03 13:30:00+00:00,2023-08-03 13:45:00+00:00,1838.5,1825.0,13.5,1836.475,1841.2,True,2.0,2023-08-03 13:55:00+00:00,10.0,BACK_IN_RANGE_BEFORE_E20
development,2023-09-14 08:00:00+00:00,2023-09-14 13:30:00+00:00,2023-09-14 15:15:00+00:00,1635.8,1615.85,19.950000000000045,1632.8075,1639.79,True,2.0,2023-09-14 17:05:00+00:00,110.0,BACK_IN_RANGE_BEFORE_E20
development,2023-10-05 08:00:00+00:00,2023-10-05 13:30:00+00:00,2023-10-05 14:15:00+00:00,1648.43,1630.5,17.930000000000064,1645.7405,1652.016,False,,,,NO_BREAKOUT_BY_END
development,2023-10-19 08:00:00+00:00,2023-10-19 13:30:00+00:00,2023-10-19 13:40:00+00:00,1558.67,1540.53,18.1400000000001,1555.949,1562.298,True,2.0,2023-10-19 14:55:00+00:00,75.0,DIRECT_CONTINUATION
development,2023-10-23 08:00:00+00:00,2023-10-23 13:30:00+00:00,2023-10-23 14:55:00+00:00,1683.72,1661.2,22.519999999999982,1680.342,1688.224,True,3.0,2023-10-23 16:45:00+00:00,110.0,RETEST_THEN_CONTINUATION
development,2023-11-06 08:00:00+00:00,2023-11-06 13:30:00+00:00,2023-11-06 14:40:00+00:00,1912.7,1873.43,39.26999999999998,1906.8095,1920.554,True,2.0,2023-11-06 14:55:00+00:00,15.0,BACK_IN_RANGE_BEFORE_E20
development,2023-11-15 08:00:00+00:00,2023-11-15 13:30:00+00:00,2023-11-15 16:10:00+00:00,2024.68,1982.01,42.67000000000007,2018.2795,2033.2140000000002,True,2.0,2023-11-15 18:10:00+00:00,120.0,E20_ON_BREAKOUT_BAR
development,2023-11-24 08:00:00+00:00,2023-11-24 13:30:00+00:00,2023-11-24 15:50:00+00:00,2129.96,2075.14,54.820000000000164,2121.737,2140.924,False,,,,NO_BREAKOUT_BY_END
development,2023-12-26 08:00:00+00:00,2023-12-26 13:30:00+00:00,2023-12-26 14:00:00+00:00,2251.21,2216.86,34.34999999999991,2246.0575,2258.08,False,,,,NO_BREAKOUT_BY_END
development,2024-01-12 08:00:00+00:00,2024-01-12 13:30:00+00:00,2024-01-12 13:55:00+00:00,2686.0,2585.01,100.98999999999978,2670.8515,2706.198,True,2.0,2024-01-12 14:25:00+00:00,30.0,BACK_IN_RANGE_BEFORE_E20
development,2024-01-15 08:00:00+00:00,2024-01-15 13:30:00+00:00,2024-01-15 18:25:00+00:00,2548.8,2507.93,40.870000000000346,2542.6695,2556.974,True,2.0,2024-01-15 18:30:00+00:00,5.0,BACK_IN_RANGE_BEFORE_E20
development,2024-02-05 08:00:00+00:00,2024-02-05 13:30:00+00:00,2024-02-05 13:55:00+00:00,2332.62,2309.73,22.889999999999873,2329.1865,2337.198,True,2.0,2024-02-05 14:05:00+00:00,10.0,BACK_IN_RANGE_BEFORE_E20
development,2024-02-06 08:00:00+00:00,2024-02-06 13:30:00+00:00,2024-02-06 13:40:00+00:00,2344.45,2308.16,36.289999999999964,2339.0065,2351.7079999999996,True,2.0,2024-02-06 14:35:00+00:00,55.0,BACK_IN_RANGE_BEFORE_E20
development,2024-02-07 08:00:00+00:00,2024-02-07 13:30:00+00:00,2024-02-07 14:15:00+00:00,2377.11,2352.06,25.050000000000182,2373.3525,2382.1200000000003,True,2.0,2024-02-07 14:45:00+00:00,30.0,E20_ON_BREAKOUT_BAR
development,2024-03-19 08:00:00+00:00,2024-03-19 13:30:00+00:00,2024-03-19 19:35:00+00:00,3361.66,3205.03,156.62999999999965,3338.1655,3392.986,False,,,,NO_BREAKOUT_BY_END
