partition,exec_min,execution_utc,reference_start,execution_start,entry_bar_start,exit_ts,entry_px,pnl_0,pnl_5,exit_reason,H,L,range_completion_ts,range_completion_elapsed_min,k1_ts,k1_elapsed_min,fill_elapsed_min,high_formation_ts,low_formation_ts,range_order
external,540,09:00,2020-05-13 04:00:00+00:00,2020-05-13 09:00:00+00:00,2020-05-13 11:20:00+00:00,2020-05-13 12:45:00+00:00,190.085,3.8875555672462485,3.6355377983470887,TARGET,190.9,187.64,2020-05-13 08:00:00+00:00,240.0,2020-05-13 11:00:00+00:00,120.0,140.0,2020-05-13 04:00:00+00:00,2020-05-13 08:00:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-06-08 04:00:00+00:00,2020-06-08 09:00:00+00:00,2020-06-08 09:30:00+00:00,2020-06-08 14:05:00+00:00,244.2925,-4.641841235404276,-5.137351638967047,CLOSE_INVALIDATION,244.89,242.5,2020-06-08 08:15:00+00:00,255.0,2020-06-08 09:20:00+00:00,20.0,30.0,2020-06-08 04:10:00+00:00,2020-06-08 08:15:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-06-12 04:00:00+00:00,2020-06-12 09:00:00+00:00,2020-06-12 12:15:00+00:00,2020-06-12 14:05:00+00:00,236.44,4.971341566570819,4.718782175483116,TARGET,237.71,232.63,2020-06-12 08:55:00+00:00,295.0,2020-06-12 11:55:00+00:00,175.0,195.0,2020-06-12 08:55:00+00:00,2020-06-12 05:20:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-06-22 04:00:00+00:00,2020-06-22 09:00:00+00:00,2020-06-22 09:10:00+00:00,2020-06-22 11:50:00+00:00,235.32999999999998,1.9796371053413924,1.7285728189319731,TARGET,235.89,233.65,2020-06-22 06:20:00+00:00,140.0,2020-06-22 09:00:00+00:00,0.0,10.0,2020-06-22 05:15:00+00:00,2020-06-22 06:20:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-06-30 04:00:00+00:00,2020-06-30 09:00:00+00:00,2020-06-30 09:55:00+00:00,2020-06-30 12:35:00+00:00,227.11,-5.397578266038527,-5.892333310250287,CLOSE_INVALIDATION,227.56,225.76,2020-06-30 05:20:00+00:00,80.0,2020-06-30 09:45:00+00:00,45.0,55.0,2020-06-30 04:30:00+00:00,2020-06-30 05:20:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-07-01 04:00:00+00:00,2020-07-01 09:00:00+00:00,2020-07-01 13:55:00+00:00,2020-07-01 15:00:00+00:00,228.03,0.7621277902030824,0.26121611824887514,TIME_EXIT,229.13,224.73,2020-07-01 08:40:00+00:00,280.0,2020-07-01 13:40:00+00:00,280.0,295.0,2020-07-01 08:40:00+00:00,2020-07-01 06:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-07-20 04:00:00+00:00,2020-07-20 09:00:00+00:00,2020-07-20 09:15:00+00:00,2020-07-20 10:30:00+00:00,239.1025,-1.952681381415899,-2.4508796009247042,CLOSE_INVALIDATION,239.38,238.27,2020-07-20 07:30:00+00:00,210.0,2020-07-20 09:05:00+00:00,5.0,15.0,2020-07-20 05:55:00+00:00,2020-07-20 07:30:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-07-23 04:00:00+00:00,2020-07-23 09:00:00+00:00,2020-07-23 09:35:00+00:00,2020-07-23 14:30:00+00:00,263.6625,4.40728203669456,4.1550045344273645,TARGET,264.93,259.86,2020-07-23 08:55:00+00:00,295.0,2020-07-23 09:00:00+00:00,0.0,35.0,2020-07-23 08:55:00+00:00,2020-07-23 05:45:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-08-05 04:00:00+00:00,2020-08-05 09:00:00+00:00,2020-08-05 10:05:00+00:00,2020-08-05 11:10:00+00:00,392.7675,4.011006511485848,3.7589270479618357,TARGET,394.5,387.57,2020-08-05 06:10:00+00:00,130.0,2020-08-05 09:55:00+00:00,55.0,65.0,2020-08-05 06:10:00+00:00,2020-08-05 05:35:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-09-16 04:00:00+00:00,2020-09-16 09:00:00+00:00,2020-09-16 12:15:00+00:00,2020-09-16 13:15:00+00:00,364.44,4.895796290198717,4.643274652872242,TARGET,366.37,358.65,2020-09-16 07:55:00+00:00,235.0,2020-09-16 12:00:00+00:00,180.0,195.0,2020-09-16 07:55:00+00:00,2020-09-16 04:05:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-09-18 04:00:00+00:00,2020-09-18 09:00:00+00:00,2020-09-18 10:30:00+00:00,2020-09-18 15:00:00+00:00,387.09,-2.8154589371980228,-3.312794810324193,TIME_EXIT,388.89,381.69,2020-09-18 06:50:00+00:00,170.0,2020-09-18 09:40:00+00:00,40.0,90.0,2020-09-18 06:50:00+00:00,2020-09-18 04:05:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-09-29 04:00:00+00:00,2020-09-29 09:00:00+00:00,2020-09-29 09:25:00+00:00,2020-09-29 10:30:00+00:00,354.5175,3.7817399705234016,3.529775082981868,TARGET,356.0,350.07,2020-09-29 06:50:00+00:00,170.0,2020-09-29 09:05:00+00:00,5.0,25.0,2020-09-29 06:50:00+00:00,2020-09-29 06:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-10-05 04:00:00+00:00,2020-10-05 09:00:00+00:00,2020-10-05 11:15:00+00:00,2020-10-05 13:05:00+00:00,351.28999999999996,2.5320504426543216,2.280710087610505,TARGET,352.32,348.2,2020-10-05 06:20:00+00:00,140.0,2020-10-05 11:05:00+00:00,125.0,135.0,2020-10-05 05:45:00+00:00,2020-10-05 06:20:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2020-10-07 04:00:00+00:00,2020-10-07 09:00:00+00:00,2020-10-07 13:25:00+00:00,2020-10-07 15:00:00+00:00,340.5875,0.3230153778398085,-0.17745740114853936,TIME_EXIT,342.21,335.72,2020-10-07 07:10:00+00:00,190.0,2020-10-07 13:00:00+00:00,240.0,265.0,2020-10-07 07:10:00+00:00,2020-10-07 04:15:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-11-16 04:00:00+00:00,2020-11-16 09:00:00+00:00,2020-11-16 11:30:00+00:00,2020-11-16 14:10:00+00:00,454.625,4.010228210063205,3.7581491354955037,TARGET,456.63,448.61,2020-11-16 07:15:00+00:00,195.0,2020-11-16 11:00:00+00:00,120.0,150.0,2020-11-16 07:15:00+00:00,2020-11-16 04:50:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-11-20 04:00:00+00:00,2020-11-20 09:00:00+00:00,2020-11-20 09:10:00+00:00,2020-11-20 10:50:00+00:00,497.75,10.147463586137674,9.892317427423869,TARGET,503.0,482.0,2020-11-20 08:40:00+00:00,280.0,2020-11-20 09:00:00+00:00,0.0,10.0,2020-11-20 08:40:00+00:00,2020-11-20 06:25:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-12-16 04:00:00+00:00,2020-12-16 09:00:00+00:00,2020-12-16 09:25:00+00:00,2020-12-16 10:10:00+00:00,586.635,2.7791488745130937,2.5276850319971405,TARGET,588.5,581.04,2020-12-16 08:55:00+00:00,295.0,2020-12-16 09:15:00+00:00,15.0,25.0,2020-12-16 08:55:00+00:00,2020-12-16 04:35:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-12-17 04:00:00+00:00,2020-12-17 09:00:00+00:00,2020-12-17 10:05:00+00:00,2020-12-17 10:20:00+00:00,652.125,7.198236534406832,6.944564252280694,TARGET,657.08,637.26,2020-12-17 08:20:00+00:00,260.0,2020-12-17 09:15:00+00:00,15.0,65.0,2020-12-17 08:20:00+00:00,2020-12-17 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2020-12-24 04:00:00+00:00,2020-12-24 09:00:00+00:00,2020-12-24 10:10:00+00:00,2020-12-24 13:40:00+00:00,581.6,6.236863823934025,5.983671987939987,TARGET,585.46,570.02,2020-12-24 08:55:00+00:00,295.0,2020-12-24 10:00:00+00:00,60.0,70.0,2020-12-24 08:55:00+00:00,2020-12-24 07:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-01-29 04:00:00+00:00,2021-01-29 09:00:00+00:00,2021-01-29 09:10:00+00:00,2021-01-29 11:30:00+00:00,1366.4075,19.347037395506206,19.087293748631897,TARGET,1393.39,1285.46,2021-01-29 08:55:00+00:00,295.0,2021-01-29 09:00:00+00:00,0.0,10.0,2021-01-29 08:55:00+00:00,2021-01-29 04:20:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-02-01 04:00:00+00:00,2021-02-01 09:00:00+00:00,2021-02-01 09:25:00+00:00,2021-02-01 15:00:00+00:00,1330.6100000000001,-6.1943349290927046,-6.6882936148206955,TIME_EXIT,1339.91,1302.71,2021-02-01 06:45:00+00:00,165.0,2021-02-01 09:05:00+00:00,5.0,25.0,2021-02-01 06:40:00+00:00,2021-02-01 06:45:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2021-02-02 04:00:00+00:00,2021-02-02 09:00:00+00:00,2021-02-02 09:25:00+00:00,2021-02-02 15:00:00+00:00,1439.0325,-2.1138250873416915,-2.611862243676199,TIME_EXIT,1462.04,1370.01,2021-02-02 08:55:00+00:00,295.0,2021-02-02 09:00:00+00:00,0.0,25.0,2021-02-02 08:55:00+00:00,2021-02-02 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-02-05 04:00:00+00:00,2021-02-05 09:00:00+00:00,2021-02-05 09:20:00+00:00,2021-02-05 13:50:00+00:00,1667.1499999999999,7.967573403712969,7.713516645390284,TARGET,1681.1,1625.3,2021-02-05 08:00:00+00:00,240.0,2021-02-05 09:10:00+00:00,10.0,20.0,2021-02-05 08:00:00+00:00,2021-02-05 05:25:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-02-09 04:00:00+00:00,2021-02-09 09:00:00+00:00,2021-02-09 09:30:00+00:00,2021-02-09 10:50:00+00:00,1797.9750000000001,-14.992805795408781,-15.477970407307406,CLOSE_INVALIDATION,1820.17,1731.39,2021-02-09 08:30:00+00:00,270.0,2021-02-09 09:05:00+00:00,5.0,30.0,2021-02-09 08:30:00+00:00,2021-02-09 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-02-11 04:00:00+00:00,2021-02-11 09:00:00+00:00,2021-02-11 09:10:00+00:00,2021-02-11 09:55:00+00:00,1747.4575,5.0550682920757595,4.8024670585465445,TARGET,1756.99,1718.86,2021-02-11 08:55:00+00:00,295.0,2021-02-11 09:00:00+00:00,0.0,10.0,2021-02-11 08:55:00+00:00,2021-02-11 05:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-03-26 04:00:00+00:00,2021-03-26 09:00:00+00:00,2021-03-26 13:20:00+00:00,2021-03-26 13:45:00+00:00,1632.3625,3.966370827558197,3.7143136707229023,TARGET,1639.49,1610.98,2021-03-26 08:10:00+00:00,250.0,2021-03-26 13:00:00+00:00,240.0,260.0,2021-03-26 08:10:00+00:00,2021-03-26 07:05:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-04-02 04:00:00+00:00,2021-04-02 09:00:00+00:00,2021-04-02 12:10:00+00:00,2021-04-02 14:05:00+00:00,2005.0175000000002,3.5214121572505035,3.2695773685662126,TARGET,2012.88,1981.43,2021-04-02 07:20:00+00:00,200.0,2021-04-02 12:00:00+00:00,180.0,190.0,2021-04-02 07:20:00+00:00,2021-04-02 06:40:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-04-13 04:00:00+00:00,2021-04-13 09:00:00+00:00,2021-04-13 09:20:00+00:00,2021-04-13 14:35:00+00:00,2211.995,8.562497654832034,8.308143583040616,TARGET,2231.82,2152.52,2021-04-13 08:55:00+00:00,295.0,2021-04-13 09:00:00+00:00,0.0,20.0,2021-04-13 08:55:00+00:00,2021-04-13 07:30:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-05-07 04:00:00+00:00,2021-05-07 09:00:00+00:00,2021-05-07 11:10:00+00:00,2021-05-07 13:05:00+00:00,3448.75,8.661254077564307,8.406850652238296,TARGET,3480.0,3355.0,2021-05-07 07:25:00+00:00,205.0,2021-05-07 10:00:00+00:00,60.0,130.0,2021-05-07 07:25:00+00:00,2021-05-07 04:05:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-05-10 04:00:00+00:00,2021-05-10 09:00:00+00:00,2021-05-10 09:10:00+00:00,2021-05-10 10:50:00+00:00,4139.25,-11.062559642447278,-11.551652536357915,CLOSE_INVALIDATION,4174.0,4035.0,2021-05-10 08:55:00+00:00,295.0,2021-05-10 09:00:00+00:00,0.0,10.0,2021-05-10 08:55:00+00:00,2021-05-10 04:10:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-06-02 04:00:00+00:00,2021-06-02 09:00:00+00:00,2021-06-02 09:15:00+00:00,2021-06-02 13:30:00+00:00,2690.3625,9.735251290485868,9.480311134918496,TARGET,2717.63,2608.56,2021-06-02 08:55:00+00:00,295.0,2021-06-02 09:00:00+00:00,0.0,15.0,2021-06-02 08:55:00+00:00,2021-06-02 05:10:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-06-24 04:00:00+00:00,2021-06-24 09:00:00+00:00,2021-06-24 09:20:00+00:00,2021-06-24 12:00:00+00:00,1939.1625,7.246342170911424,6.992645847987489,TARGET,1953.99,1894.68,2021-06-24 08:55:00+00:00,295.0,2021-06-24 09:00:00+00:00,0.0,20.0,2021-06-24 08:55:00+00:00,2021-06-24 04:30:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-09-14 04:00:00+00:00,2021-09-14 09:00:00+00:00,2021-09-14 09:10:00+00:00,2021-09-14 15:00:00+00:00,3338.2175,0.39870469794129926,-0.10184373254133983,TIME_EXIT,3359.92,3273.11,2021-09-14 08:50:00+00:00,290.0,2021-09-14 09:00:00+00:00,0.0,10.0,2021-09-14 08:50:00+00:00,2021-09-14 04:55:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-10-05 04:00:00+00:00,2021-10-05 09:00:00+00:00,2021-10-05 09:10:00+00:00,2021-10-05 09:55:00+00:00,3407.0,3.709186968006995,3.4572583388376548,TARGET,3421.0,3365.0,2021-10-05 08:55:00+00:00,295.0,2021-10-05 09:00:00+00:00,0.0,10.0,2021-10-05 08:55:00+00:00,2021-10-05 04:55:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-10-19 04:00:00+00:00,2021-10-19 09:00:00+00:00,2021-10-19 13:50:00+00:00,2021-10-19 14:30:00+00:00,3828.8175,-8.73122759180871,-9.222650652686449,CLOSE_INVALIDATION,3848.48,3769.83,2021-10-19 07:00:00+00:00,180.0,2021-10-19 13:30:00+00:00,270.0,290.0,2021-10-19 04:25:00+00:00,2021-10-19 07:00:00+00:00,HIGH_BEFORE_LOW
external,540,09:00,2021-10-20 04:00:00+00:00,2021-10-20 09:00:00+00:00,2021-10-20 10:05:00+00:00,2021-10-20 12:25:00+00:00,3864.6425,2.5879865990192212,2.33661828987426,TARGET,3876.19,3830.0,2021-10-20 08:35:00+00:00,275.0,2021-10-20 09:55:00+00:00,55.0,65.0,2021-10-20 08:35:00+00:00,2021-10-20 05:50:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-11-03 04:00:00+00:00,2021-11-03 09:00:00+00:00,2021-11-03 09:50:00+00:00,2021-11-03 12:30:00+00:00,4599.6849999999995,-6.483568766121928,-6.977238362557525,CLOSE_INVALIDATION,4619.95,4538.89,2021-11-03 07:55:00+00:00,235.0,2021-11-03 09:25:00+00:00,25.0,50.0,2021-11-03 07:55:00+00:00,2021-11-03 04:55:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-11-19 04:00:00+00:00,2021-11-19 09:00:00+00:00,2021-11-19 10:15:00+00:00,2021-11-19 14:05:00+00:00,4129.37,9.432008272448455,9.177219662617153,TARGET,4169.97,4007.57,2021-11-19 08:35:00+00:00,275.0,2021-11-19 09:15:00+00:00,15.0,75.0,2021-11-19 08:35:00+00:00,2021-11-19 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-12-02 04:00:00+00:00,2021-12-02 09:00:00+00:00,2021-12-02 09:25:00+00:00,2021-12-02 11:25:00+00:00,4573.0650000000005,-7.376174622490616,-7.868952059149659,CLOSE_INVALIDATION,4602.0,4486.26,2021-12-02 08:35:00+00:00,275.0,2021-12-02 09:10:00+00:00,10.0,25.0,2021-12-02 08:35:00+00:00,2021-12-02 04:00:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-12-07 04:00:00+00:00,2021-12-07 09:00:00+00:00,2021-12-07 09:15:00+00:00,2021-12-07 12:35:00+00:00,4395.115,-6.899829924814293,-7.393083468117778,CLOSE_INVALIDATION,4417.63,4327.57,2021-12-07 08:45:00+00:00,285.0,2021-12-07 09:05:00+00:00,5.0,15.0,2021-12-07 08:45:00+00:00,2021-12-07 04:45:00+00:00,LOW_BEFORE_HIGH
external,540,09:00,2021-12-24 04:00:00+00:00,2021-12-24 09:00:00+00:00,2021-12-24 13:45:00+00:00,2021-12-24 15:00:00+00:00,4103.6449999999995,-3.5953300053975674,-4.091886397196198,TIME_EXIT,4118.15,4060.13,2021-12-24 08:10:00+00:00,250.0,2021-12-24 11:25:00+00:00,145.0,285.0,2021-12-24 08:10:00+00:00,2021-12-24 06:20:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-01-03 04:00:00+00:00,2022-01-03 09:00:00+00:00,2022-01-03 10:30:00+00:00,2022-01-03 11:05:00+00:00,3811.055,2.4692842270710007,2.217975239451287,TARGET,3821.99,3778.25,2022-01-03 05:35:00+00:00,95.0,2022-01-03 10:10:00+00:00,70.0,90.0,2022-01-03 05:35:00+00:00,2022-01-03 04:00:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-01-20 04:00:00+00:00,2022-01-20 09:00:00+00:00,2022-01-20 13:15:00+00:00,2022-01-20 13:35:00+00:00,3142.89,2.8931473898226705,2.6416265765343954,TARGET,3153.24,3111.84,2022-01-20 07:40:00+00:00,220.0,2022-01-20 11:55:00+00:00,175.0,255.0,2022-01-20 07:40:00+00:00,2022-01-20 05:30:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-02-04 04:00:00+00:00,2022-02-04 09:00:00+00:00,2022-02-04 13:30:00+00:00,2022-02-04 15:00:00+00:00,2814.045,1.7490416819915926,1.247143589355804,TIME_EXIT,2860.58,2674.44,2022-02-04 08:00:00+00:00,240.0,2022-02-04 10:05:00+00:00,65.0,270.0,2022-02-04 08:00:00+00:00,2022-02-04 04:20:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-02-11 04:00:00+00:00,2022-02-11 09:00:00+00:00,2022-02-11 11:05:00+00:00,2022-02-11 14:35:00+00:00,3093.045,5.424357550569092,5.1715717646867,TARGET,3111.06,3039.0,2022-02-11 08:05:00+00:00,245.0,2022-02-11 10:55:00+00:00,115.0,125.0,2022-02-11 08:05:00+00:00,2022-02-11 05:10:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-02-22 04:00:00+00:00,2022-02-22 09:00:00+00:00,2022-02-22 10:00:00+00:00,2022-02-22 10:25:00+00:00,2539.1974999999998,5.402029972068023,5.1492553443958755,TARGET,2553.93,2495.0,2022-02-22 08:55:00+00:00,295.0,2022-02-22 09:35:00+00:00,35.0,60.0,2022-02-22 08:55:00+00:00,2022-02-22 05:55:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-02-28 04:00:00+00:00,2022-02-28 09:00:00+00:00,2022-02-28 12:55:00+00:00,2022-02-28 14:20:00+00:00,2634.75,8.424366638200963,8.170081597402357,TARGET,2658.0,2565.0,2022-02-28 08:05:00+00:00,245.0,2022-02-28 12:20:00+00:00,200.0,235.0,2022-02-28 08:05:00+00:00,2022-02-28 06:10:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-03-14 04:00:00+00:00,2022-03-14 09:00:00+00:00,2022-03-14 10:20:00+00:00,2022-03-14 15:00:00+00:00,2587.3575,-0.525127664035607,-1.0247527238416039,TIME_EXIT,2606.07,2531.22,2022-03-14 04:15:00+00:00,15.0,2022-03-14 09:55:00+00:00,55.0,80.0,2022-03-14 04:15:00+00:00,2022-03-14 04:00:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-03-17 04:00:00+00:00,2022-03-17 09:00:00+00:00,2022-03-17 10:50:00+00:00,2022-03-17 12:05:00+00:00,2767.3575,2.253253148536039,2.002052122474796,TARGET,2774.7,2745.33,2022-03-17 06:50:00+00:00,170.0,2022-03-17 10:40:00+00:00,100.0,110.0,2022-03-17 05:00:00+00:00,2022-03-17 06:50:00+00:00,HIGH_BEFORE_LOW
development,540,09:00,2022-03-30 04:00:00+00:00,2022-03-30 09:00:00+00:00,2022-03-30 11:45:00+00:00,2022-03-30 13:40:00+00:00,3403.17,-5.340981496663444,-5.8357931093603765,CLOSE_INVALIDATION,3417.35,3360.63,2022-03-30 06:05:00+00:00,125.0,2022-03-30 11:30:00+00:00,150.0,165.0,2022-03-30 06:05:00+00:00,2022-03-30 04:40:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-04-20 04:00:00+00:00,2022-04-20 09:00:00+00:00,2022-04-20 09:55:00+00:00,2022-04-20 10:45:00+00:00,3104.8149999999996,2.555087501187781,2.3037356333711183,TARGET,3113.99,3077.29,2022-04-20 07:05:00+00:00,185.0,2022-04-20 09:45:00+00:00,45.0,55.0,2022-04-20 07:05:00+00:00,2022-04-20 04:35:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-05-30 04:00:00+00:00,2022-05-30 09:00:00+00:00,2022-05-30 14:35:00+00:00,2022-05-30 15:00:00+00:00,1907.115,-3.3245745537107014,-3.8214015656510165,TIME_EXIT,1920.0,1868.46,2022-05-30 06:15:00+00:00,135.0,2022-05-30 14:10:00+00:00,310.0,335.0,2022-05-30 06:15:00+00:00,2022-05-30 04:30:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-06-02 04:00:00+00:00,2022-06-02 09:00:00+00:00,2022-06-02 10:55:00+00:00,2022-06-02 13:15:00+00:00,1827.745,-7.330671401098043,-7.823494318238245,CLOSE_INVALIDATION,1836.62,1801.12,2022-06-02 07:25:00+00:00,205.0,2022-06-02 10:45:00+00:00,105.0,115.0,2022-06-02 07:25:00+00:00,2022-06-02 04:15:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-06-23 04:00:00+00:00,2022-06-23 09:00:00+00:00,2022-06-23 09:30:00+00:00,2022-06-23 12:15:00+00:00,1100.25,8.461622358554921,8.20731869920528,TARGET,1110.0,1071.0,2022-06-23 06:35:00+00:00,155.0,2022-06-23 09:20:00+00:00,20.0,30.0,2022-06-23 06:35:00+00:00,2022-06-23 04:10:00+00:00,LOW_BEFORE_HIGH
development,540,09:00,2022-06-27 04:00:00+00:00,2022-06-27 09:00:00+00:00,2022-06-27 11:05:00+00:00,2022-06-27 12:30:00+00:00,1230.74,-6.107948063766511,-6.601993093187975,CLOSE_INVALIDATION,1237.06,1211.78,2022-06-27 07:25:00+00:00,205.0,2022-06-27 10:15:00+00:00,75.0,125.0,2022-06-27 07:25:00+00:00,2022-06-27 05:25:00+00:00,LOW_BEFORE_HIGH
