hour_wib,character_rule,component_size,component_cells,positive_halo,positive_exp_cells,wr_min,wr_mean,exp_floor,exp_mean,pf_median,dd_max,ls_max,component_rank
7,EFF_MID__RANGE_LOW,4,LB120/H240;LB180/H240;LB180/H360;LB240/H240,1,4,0.5514018691588785,0.5904603573996098,1.0795704314650914,2.011673527217359,1.779589711769894,91.65699660177575,10,2
7,EFF_MID__RV_LOW,4,LB120/H240;LB180/H240;LB180/H360;LB180/H480,0,4,0.5625,0.6064268867924528,1.7281477398238851,2.7403939210418926,1.9236412474462377,88.11949034775529,9,3
8,DRIVE_DOWN__STR_B40_60,5,LB180/H120;LB180/H240;LB180/H360;LB180/H480;LB240/H360,0,5,0.5517241379310345,0.5921630094043888,0.8242144594439718,2.9882787870163154,1.979189598401273,79.35419667458046,6,1
8,DRIVE_DOWN__STR_B20_40,4,LB240/H120;LB240/H240;LB360/H240;LB360/H360,0,4,0.55,0.5853365384615384,1.0452037691522063,1.3095141268895285,1.4912460496444964,100.43430749449435,7,2
8,DRIVE_UP__STR_B0_20,4,LB120/H120;LB120/H240;LB120/H360;LB120/H480,0,4,0.573170731707317,0.5975609756097561,0.7721864032719521,1.4132254095956238,1.6036302686004331,48.96544733578584,7,3
9,DRIVE_UP__STR_B20_40,2,LB360/H360;LB360/H480,1,2,0.5842696629213483,0.5898876404494382,2.3787588756819456,2.9325051804153803,1.8359490290685614,73.58868078461282,7,1
9,EFF_LOW__RANGE_MID,2,LB120/H120;LB120/H240,1,2,0.5846153846153846,0.5923076923076923,1.5961618204215837,1.9923372003521918,1.9283358551074605,54.95985694033871,5,2
9,DRIVE_UP__STR_B60_80,2,LB180/H360;LB180/H480,0,2,0.5540540540540541,0.5540540540540541,3.183968044986331,3.832085695843805,2.160290800488797,73.13556452196893,4,3
10,RV_MID__RANGE_LOW,2,LB240/H360;LB360/H360,0,2,0.5970149253731343,0.6025615167406212,3.254614428494286,3.410730790693451,2.27450708575807,104.36712182741076,9,1
10,DRIVE_DOWN__STR_B0_20,2,LB240/H120;LB240/H240,0,2,0.5584415584415584,0.5649350649350648,1.0111533497376315,1.3599012556318475,1.6539707110408708,45.4663762411392,5,2
11,DRIVE_UP__STR_B80_100,3,LB60/H480;LB120/H360;LB120/H480,2,3,0.5529411764705883,0.5719948849104859,2.3898882385412055,5.213381639894888,2.2685452466472276,121.06255108477471,8,1
11,DRIVE_UP__EXT_HIGH,2,LB60/H480;LB120/H480,1,2,0.5548780487804879,0.5801601128256181,2.183338168756741,2.36792712009845,1.6157713003120335,99.06801336178273,9,2
11,DRIVE_UP__STR_B60_80,2,LB360/H240;LB360/H360,1,2,0.569620253164557,0.5822784810126582,1.7297150861673778,2.370399483287565,1.6590652472007434,118.39330369110903,12,3
12,EFF_HIGH__RV_MID,2,LB180/H360;LB180/H480,1,2,0.5617977528089888,0.5674157303370786,1.3503009186786992,1.9564047173960672,1.4678795001748597,109.99578762965365,8,1
13,EFF_LOW__RV_HIGH,3,LB120/H360;LB180/H240;LB180/H360,3,3,0.5606060606060606,0.5733421168203776,3.676809818129965,5.452893992837818,2.077247039939205,115.2857183858689,9,1
13,EFF_HIGH__RV_MID,3,LB240/H120;LB240/H240;LB240/H360,0,3,0.5569620253164557,0.5949367088607594,0.8021516727154783,2.684876563010542,2.8349252165873366,86.42435183384711,14,2
13,EFF_LOW__RV_HIGH,2,LB360/H240;LB360/H360,2,2,0.625,0.625,4.815197976794236,5.588643487731888,2.58140569463596,107.07245200369209,8,3
14,RV_HIGH__RANGE_MID,4,LB120/H120;LB120/H240;LB180/H240;LB180/H360,1,4,0.5645161290322581,0.6330645161290323,3.9127720226644085,5.827746047749471,3.8395691772972746,122.87990198343071,8,1
14,DRIVE_UP__STR_B80_100,3,LB120/H360;LB180/H360;LB240/H360,0,3,0.5612244897959183,0.5741964802115178,2.3053957468927258,3.3339377318843044,2.265765463517044,111.74336087262324,10,2
14,EFF_LOW__RV_HIGH,2,LB120/H240;LB180/H240,2,2,0.5641025641025641,0.5796703296703296,3.067035177484839,3.558780873714456,1.9294609335916824,109.53450632386783,6,3
15,RV_HIGH__RANGE_MID,3,LB180/H120;LB180/H240;LB180/H360,5,3,0.6,0.6166666666666667,2.961544918793304,3.354676579742655,2.091284920167095,85.70460761378786,7,1
15,RV_LOW__RANGE_MID,3,LB180/H120;LB180/H240;LB240/H120,1,3,0.5679012345679012,0.5994363929146539,1.3144292323110582,1.6487954417487989,2.2525024967681326,37.384507404717,8,2
15,DRIVE_DOWN__EFF_MID,3,LB120/H240;LB180/H120;LB180/H240,0,3,0.5586206896551724,0.5611161524500907,0.7450787452948642,1.8771129373265822,1.6405281781736545,114.37154789811092,9,3
16,EFF_LOW__RV_LOW,3,LB60/H240;LB120/H240;LB180/H240,1,3,0.552,0.592526743474147,1.3987001737219107,1.4977127443547165,1.542732188870014,116.15571080078271,10,1
16,EFF_LOW__RANGE_LOW,3,LB60/H240;LB120/H240;LB180/H240,0,3,0.55,0.5766726958287719,0.9949616506791897,1.2777333129586492,1.530979150499718,116.15571080078274,10,2
16,DRIVE_DOWN__STR_B20_40,2,LB120/H240;LB180/H240,2,2,0.5569620253164557,0.5584810126582278,0.9136988029119106,1.173782344962238,1.4049854203400254,68.70287738427844,8,3
17,EFF_LOW__RANGE_HIGH,3,LB60/H120;LB120/H120;LB120/H240,1,3,0.5588235294117647,0.5693590869183495,7.309118550632627,7.950777211578527,3.218444329532411,124.85414720296168,8,1
17,EFF_LOW__EXT_MID,2,LB360/H120;LB360/H240,0,2,0.5625,0.578125,5.435508473322587,6.538672897687087,2.8478478422556384,78.23142704792662,6,2
18,EFF_LOW__RV_HIGH,3,LB240/H120;LB240/H240;LB360/H120,1,3,0.56,0.5700546448087432,1.6333813670163326,3.3423006759879237,1.9552759016931767,121.71108123207804,7,1
19,EFF_LOW__RV_HIGH,2,LB360/H120;LB360/H240,1,2,0.5522388059701493,0.5597014925373134,2.6691119125702625,3.9720442846077573,1.89680848753871,113.33382468737197,6,1
20,DRIVE_DOWN__STR_B80_100,4,LB60/H120;LB120/H120;LB180/H120;LB240/H120,1,4,0.56,0.5871832991569833,3.8714167084260716,4.906931165589546,2.0724865462922306,103.55167035270932,7,1
23,RV_MID__RANGE_LOW,2,LB360/H240;LB360/H360,1,2,0.6,0.60625,1.3485616473614637,1.480479283139565,1.4705759393067914,87.83311919023362,9,1
