transition,partition,side,k,purity,n,target_break_n,opposite_break_n,no_break_n,target_break_prob,opposite_break_prob,no_break_prob
ASIA_TO_LONDON,reference_validation,LONG,2,OPP0,18,12,1,5,0.6666666666666666,0.05555555555555555,0.2777777777777778
ASIA_TO_LONDON,reference_validation,LONG,3,ALL,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
ASIA_TO_LONDON,reference_validation,LONG,3,OPP0,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
ASIA_TO_LONDON,reference_validation,SHORT,1,ALL,65,55,1,9,0.8461538461538461,0.015384615384615385,0.13846153846153847
ASIA_TO_LONDON,reference_validation,SHORT,1,OPP0,65,55,1,9,0.8461538461538461,0.015384615384615385,0.13846153846153847
ASIA_TO_LONDON,reference_validation,SHORT,2,ALL,15,14,0,1,0.9333333333333333,0.0,0.06666666666666667
ASIA_TO_LONDON,reference_validation,SHORT,2,OPP0,15,14,0,1,0.9333333333333333,0.0,0.06666666666666667
ASIA_TO_LONDON,reference_validation,SHORT,3,ALL,5,5,0,0,1.0,0.0,0.0
ASIA_TO_LONDON,reference_validation,SHORT,3,OPP0,5,5,0,0,1.0,0.0,0.0
ASIA_TO_LONDON,august,LONG,1,ALL,2,1,0,1,0.5,0.0,0.5
ASIA_TO_LONDON,august,LONG,1,OPP0,2,1,0,1,0.5,0.0,0.5
ASIA_TO_LONDON,august,LONG,2,ALL,0,0,0,0,,,
ASIA_TO_LONDON,august,LONG,2,OPP0,0,0,0,0,,,
ASIA_TO_LONDON,august,LONG,3,ALL,0,0,0,0,,,
ASIA_TO_LONDON,august,LONG,3,OPP0,0,0,0,0,,,
ASIA_TO_LONDON,august,SHORT,1,ALL,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
ASIA_TO_LONDON,august,SHORT,1,OPP0,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
ASIA_TO_LONDON,august,SHORT,2,ALL,0,0,0,0,,,
ASIA_TO_LONDON,august,SHORT,2,OPP0,0,0,0,0,,,
ASIA_TO_LONDON,august,SHORT,3,ALL,0,0,0,0,,,
ASIA_TO_LONDON,august,SHORT,3,OPP0,0,0,0,0,,,
LONDON_TO_NEWYORK,external,LONG,1,ALL,104,92,2,10,0.8846153846153846,0.019230769230769232,0.09615384615384616
LONDON_TO_NEWYORK,external,LONG,1,OPP0,101,90,2,9,0.8910891089108911,0.019801980198019802,0.0891089108910891
LONDON_TO_NEWYORK,external,LONG,2,ALL,28,26,0,2,0.9285714285714286,0.0,0.07142857142857142
LONDON_TO_NEWYORK,external,LONG,2,OPP0,27,25,0,2,0.9259259259259259,0.0,0.07407407407407407
LONDON_TO_NEWYORK,external,LONG,3,ALL,9,8,0,1,0.8888888888888888,0.0,0.1111111111111111
LONDON_TO_NEWYORK,external,LONG,3,OPP0,9,8,0,1,0.8888888888888888,0.0,0.1111111111111111
LONDON_TO_NEWYORK,external,SHORT,1,ALL,97,69,8,20,0.711340206185567,0.08247422680412371,0.20618556701030927
LONDON_TO_NEWYORK,external,SHORT,1,OPP0,94,69,7,18,0.7340425531914894,0.07446808510638298,0.19148936170212766
LONDON_TO_NEWYORK,external,SHORT,2,ALL,28,20,1,7,0.7142857142857143,0.03571428571428571,0.25
LONDON_TO_NEWYORK,external,SHORT,2,OPP0,28,20,1,7,0.7142857142857143,0.03571428571428571,0.25
LONDON_TO_NEWYORK,external,SHORT,3,ALL,5,2,0,3,0.4,0.0,0.6
LONDON_TO_NEWYORK,external,SHORT,3,OPP0,5,2,0,3,0.4,0.0,0.6
LONDON_TO_NEWYORK,development,LONG,1,ALL,185,133,35,17,0.7189189189189189,0.1891891891891892,0.0918918918918919
LONDON_TO_NEWYORK,development,LONG,1,OPP0,164,119,30,15,0.725609756097561,0.18292682926829268,0.09146341463414634
LONDON_TO_NEWYORK,development,LONG,2,ALL,53,42,5,6,0.7924528301886793,0.09433962264150944,0.11320754716981132
LONDON_TO_NEWYORK,development,LONG,2,OPP0,44,36,3,5,0.8181818181818182,0.06818181818181818,0.11363636363636363
LONDON_TO_NEWYORK,development,LONG,3,ALL,17,13,3,1,0.7647058823529411,0.17647058823529413,0.058823529411764705
LONDON_TO_NEWYORK,development,LONG,3,OPP0,13,11,1,1,0.8461538461538461,0.07692307692307693,0.07692307692307693
LONDON_TO_NEWYORK,development,SHORT,1,ALL,205,159,32,14,0.775609756097561,0.15609756097560976,0.06829268292682927
LONDON_TO_NEWYORK,development,SHORT,1,OPP0,192,148,30,14,0.7708333333333334,0.15625,0.07291666666666667
LONDON_TO_NEWYORK,development,SHORT,2,ALL,63,52,6,5,0.8253968253968254,0.09523809523809523,0.07936507936507936
LONDON_TO_NEWYORK,development,SHORT,2,OPP0,55,46,4,5,0.8363636363636363,0.07272727272727272,0.09090909090909091
LONDON_TO_NEWYORK,development,SHORT,3,ALL,21,18,2,1,0.8571428571428571,0.09523809523809523,0.047619047619047616
LONDON_TO_NEWYORK,development,SHORT,3,OPP0,16,14,1,1,0.875,0.0625,0.0625
LONDON_TO_NEWYORK,reference_validation,LONG,1,ALL,91,77,11,3,0.8461538461538461,0.12087912087912088,0.03296703296703297
LONDON_TO_NEWYORK,reference_validation,LONG,1,OPP0,82,70,9,3,0.8536585365853658,0.10975609756097561,0.036585365853658534
LONDON_TO_NEWYORK,reference_validation,LONG,2,ALL,18,18,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,reference_validation,LONG,2,OPP0,17,17,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,reference_validation,LONG,3,ALL,2,2,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,reference_validation,LONG,3,OPP0,2,2,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,reference_validation,SHORT,1,ALL,94,70,19,5,0.7446808510638298,0.20212765957446807,0.05319148936170213
LONDON_TO_NEWYORK,reference_validation,SHORT,1,OPP0,92,68,19,5,0.7391304347826086,0.20652173913043478,0.05434782608695652
LONDON_TO_NEWYORK,reference_validation,SHORT,2,ALL,20,14,3,3,0.7,0.15,0.15
LONDON_TO_NEWYORK,reference_validation,SHORT,2,OPP0,19,13,3,3,0.6842105263157895,0.15789473684210525,0.15789473684210525
LONDON_TO_NEWYORK,reference_validation,SHORT,3,ALL,5,4,0,1,0.8,0.0,0.2
LONDON_TO_NEWYORK,reference_validation,SHORT,3,OPP0,4,3,0,1,0.75,0.0,0.25
LONDON_TO_NEWYORK,august,LONG,1,ALL,4,4,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,august,LONG,1,OPP0,4,4,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,august,LONG,2,ALL,2,2,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,august,LONG,2,OPP0,2,2,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,august,LONG,3,ALL,1,1,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,august,LONG,3,OPP0,1,1,0,0,1.0,0.0,0.0
LONDON_TO_NEWYORK,august,SHORT,1,ALL,2,0,2,0,0.0,1.0,0.0
LONDON_TO_NEWYORK,august,SHORT,1,OPP0,2,0,2,0,0.0,1.0,0.0
LONDON_TO_NEWYORK,august,SHORT,2,ALL,1,0,1,0,0.0,1.0,0.0
LONDON_TO_NEWYORK,august,SHORT,2,OPP0,1,0,1,0,0.0,1.0,0.0
LONDON_TO_NEWYORK,august,SHORT,3,ALL,1,0,1,0,0.0,1.0,0.0
LONDON_TO_NEWYORK,august,SHORT,3,OPP0,1,0,1,0,0.0,1.0,0.0
