event_type,decision_bar_start,effective_bar_start,old_floor,new_floor,zone,partition,entry_bar_start,execution_end,active_open,active_low,classification,old_floor_protects_open
ARM,2023-01-19 15:05:00+00:00,2023-01-19 15:10:00+00:00,,20866.7,LONDON,development,2023-01-19 15:05:00+00:00,2023-01-19 20:00:00+00:00,20882.0,20830.6,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2023-02-15 19:05:00+00:00,2023-02-15 19:10:00+00:00,,23009.800000000003,LONDON,development,2023-02-15 16:30:00+00:00,2023-02-15 20:00:00+00:00,23059.4,23025.0,NO_IMMEDIATE_CROSS,False
RATCHET,2023-02-15 19:15:00+00:00,2023-02-15 19:20:00+00:00,23009.800000000003,23094.7,LONDON,development,2023-02-15 16:30:00+00:00,2023-02-15 20:00:00+00:00,23191.2,23142.0,NO_IMMEDIATE_CROSS,False
RATCHET,2023-02-15 19:30:00+00:00,2023-02-15 19:35:00+00:00,23094.7,23179.600000000002,LONDON,development,2023-02-15 16:30:00+00:00,2023-02-15 20:00:00+00:00,23264.5,23264.4,NO_IMMEDIATE_CROSS,False
ARM,2023-03-06 14:30:00+00:00,2023-03-06 14:35:00+00:00,,22453.760000000002,LONDON,development,2023-03-06 14:00:00+00:00,2023-03-06 20:00:00+00:00,22438.2,22404.9,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2023-03-13 14:05:00+00:00,2023-03-13 14:10:00+00:00,,22802.4,LONDON,development,2023-03-13 14:05:00+00:00,2023-03-13 20:00:00+00:00,22907.7,22820.0,NO_IMMEDIATE_CROSS,False
RATCHET,2023-03-13 14:15:00+00:00,2023-03-13 14:20:00+00:00,22802.4,22956.0,LONDON,development,2023-03-13 14:05:00+00:00,2023-03-13 20:00:00+00:00,23085.9,23037.1,NO_IMMEDIATE_CROSS,False
RATCHET,2023-03-13 14:20:00+00:00,2023-03-13 14:25:00+00:00,22956.0,23263.2,LONDON,development,2023-03-13 14:05:00+00:00,2023-03-13 20:00:00+00:00,23410.4,23276.0,NO_IMMEDIATE_CROSS,False
ARM,2023-03-22 14:30:00+00:00,2023-03-22 14:35:00+00:00,,28421.13,LONDON,development,2023-03-22 13:50:00+00:00,2023-03-22 20:00:00+00:00,28354.6,28316.4,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2023-08-03 14:05:00+00:00,2023-08-03 14:10:00+00:00,,29217.31,LONDON,development,2023-08-03 13:50:00+00:00,2023-08-03 20:00:00+00:00,29216.0,29194.3,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2024-01-08 17:45:00+00:00,2024-01-08 17:50:00+00:00,,45335.03,LONDON,development,2024-01-08 15:55:00+00:00,2024-01-08 20:00:00+00:00,45424.2,45371.3,NO_IMMEDIATE_CROSS,False
RATCHET,2024-01-08 18:00:00+00:00,2024-01-08 18:05:00+00:00,45335.03,45800.12,LONDON,development,2024-01-08 15:55:00+00:00,2024-01-08 20:00:00+00:00,45987.4,45814.1,NO_IMMEDIATE_CROSS,False
ARM,2024-02-28 16:30:00+00:00,2024-02-28 16:35:00+00:00,,61417.01,LONDON,development,2024-02-28 15:10:00+00:00,2024-02-28 20:00:00+00:00,61820.4,61657.3,NO_IMMEDIATE_CROSS,False
RATCHET,2024-02-28 16:50:00+00:00,2024-02-28 16:55:00+00:00,61417.01,61707.02,LONDON,development,2024-02-28 15:10:00+00:00,2024-02-28 20:00:00+00:00,62150.0,62132.2,NO_IMMEDIATE_CROSS,False
RATCHET,2024-02-28 16:55:00+00:00,2024-02-28 17:00:00+00:00,61707.02,61997.03,LONDON,development,2024-02-28 15:10:00+00:00,2024-02-28 20:00:00+00:00,62530.2,62250.0,NO_IMMEDIATE_CROSS,False
RATCHET,2024-02-28 17:00:00+00:00,2024-02-28 17:05:00+00:00,61997.03,62577.05,LONDON,development,2024-02-28 15:10:00+00:00,2024-02-28 20:00:00+00:00,62902.1,62719.8,NO_IMMEDIATE_CROSS,False
ARM,2024-06-27 14:00:00+00:00,2024-06-27 14:05:00+00:00,,62050.0,LONDON,development,2024-06-27 13:45:00+00:00,2024-06-27 20:00:00+00:00,62183.7,62146.6,NO_IMMEDIATE_CROSS,False
RATCHET,2024-06-27 14:05:00+00:00,2024-06-27 14:10:00+00:00,62050.0,62160.0,LONDON,development,2024-06-27 13:45:00+00:00,2024-06-27 20:00:00+00:00,62284.5,62239.8,NO_IMMEDIATE_CROSS,False
ARM,2024-08-16 17:55:00+00:00,2024-08-16 18:00:00+00:00,,59049.35,LONDON,development,2024-08-16 17:45:00+00:00,2024-08-16 20:00:00+00:00,59184.2,59080.8,NO_IMMEDIATE_CROSS,False
ARM,2024-08-19 17:30:00+00:00,2024-08-19 17:35:00+00:00,,59059.0,LONDON,development,2024-08-19 17:25:00+00:00,2024-08-19 20:00:00+00:00,59222.2,59015.7,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2024-09-19 17:00:00+00:00,2024-09-19 17:05:00+00:00,,63521.43,LONDON,development,2024-09-19 14:25:00+00:00,2024-09-19 20:00:00+00:00,63692.4,63560.0,NO_IMMEDIATE_CROSS,False
ARM,2025-01-02 14:50:00+00:00,2025-01-02 14:55:00+00:00,,97129.73000000001,LONDON,reference_validation,2025-01-02 14:45:00+00:00,2025-01-02 20:00:00+00:00,97325.8,97035.5,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2025-03-19 15:40:00+00:00,2025-03-19 15:45:00+00:00,,84443.94,LONDON,reference_validation,2025-03-19 14:20:00+00:00,2025-03-19 20:00:00+00:00,84657.5,84497.5,NO_IMMEDIATE_CROSS,False
RATCHET,2025-03-19 15:50:00+00:00,2025-03-19 15:55:00+00:00,84443.94,84562.68,LONDON,reference_validation,2025-03-19 14:20:00+00:00,2025-03-19 20:00:00+00:00,84775.4,84648.8,NO_IMMEDIATE_CROSS,False
ARM,2025-06-09 18:05:00+00:00,2025-06-09 18:10:00+00:00,,108161.16,LONDON,reference_validation,2025-06-09 15:00:00+00:00,2025-06-09 20:00:00+00:00,108412.4,108270.0,NO_IMMEDIATE_CROSS,False
ARM,2025-07-22 18:50:00+00:00,2025-07-22 18:55:00+00:00,,119678.56999999999,LONDON,reference_validation,2025-07-22 15:10:00+00:00,2025-07-22 20:00:00+00:00,120034.1,119736.6,NO_IMMEDIATE_CROSS,False
ARM,2025-09-08 14:30:00+00:00,2025-09-08 14:35:00+00:00,,112433.33,LONDON,reference_validation,2025-09-08 13:50:00+00:00,2025-09-08 20:00:00+00:00,112612.2,112520.8,NO_IMMEDIATE_CROSS,False
ARM,2025-10-28 13:45:00+00:00,2025-10-28 13:50:00+00:00,,115248.53,LONDON,reference_validation,2025-10-28 13:45:00+00:00,2025-10-28 20:00:00+00:00,115313.3,115253.2,NO_IMMEDIATE_CROSS,False
ARM,2026-01-01 17:20:00+00:00,2026-01-01 17:25:00+00:00,,88082.0,LONDON,reference_validation,2026-01-01 15:30:00+00:00,2026-01-01 20:00:00+00:00,88154.3,88122.0,NO_IMMEDIATE_CROSS,False
RATCHET,2026-01-01 17:25:00+00:00,2026-01-01 17:30:00+00:00,88082.0,88164.0,LONDON,reference_validation,2026-01-01 15:30:00+00:00,2026-01-01 20:00:00+00:00,88217.5,88217.5,NO_IMMEDIATE_CROSS,False
