feature,partition,n_follow,n_fake,median_follow,median_fake,smd,stable_discriminator
h1_strong,reference_validation,32,31,1.0,1.0,-0.1255913190264268,False
h1_spread,development,89,47,0.006468828573714937,0.004060986785580413,0.4517530044634425,False
h1_spread,external,69,53,0.00943029430040998,0.006190478991935761,0.34204001353410696,False
h1_spread,reference_validation,32,31,0.005692897916073383,0.005438545095943202,-0.21167955315464101,False
h1_ema20_slope3,development,89,47,0.0025346247977199436,0.0010191245049685773,0.5638309053694803,False
h1_ema20_slope3,external,69,53,0.004161799395044457,0.001840755919263308,0.6551088659869873,False
h1_ema20_slope3,reference_validation,32,31,0.0016883490244584264,0.002100029543826163,-0.06080812255264141,False
h1_ema50_slope3,development,89,47,0.0017642850374325935,0.0010355461592068118,0.5495151879091633,False
h1_ema50_slope3,external,69,53,0.0028176221234480063,0.001574219011851147,0.5769380957404349,False
h1_ema50_slope3,reference_validation,32,31,0.0013794561069119604,0.0015228114950783776,-0.14412960812281356,False
h1_ext20,development,89,47,0.008283349237522216,0.004034692831516595,0.6242682738856384,False
h1_ext20,external,69,53,0.014314015695508773,0.006768566045822575,0.7377057736286624,False
h1_ext20,reference_validation,32,31,0.006054633116586161,0.007279483326308678,-0.17452228358398267,False
h1_ret3,development,89,47,0.0016875393119952786,0.0016403594677112388,0.24919787671022628,False
h1_ret3,external,69,53,0.0024567727641533477,0.0024274939933348616,0.2721111991306499,False
h1_ret3,reference_validation,32,31,0.00015709522277340682,0.002581579315285465,-0.4774001505713267,False
h1_atr_pct,development,89,47,0.007219239377207741,0.006840804875026037,0.020304324547452932,False
h1_atr_pct,external,69,53,0.009788833551769347,0.009684995797099973,0.10639170859846801,False
h1_atr_pct,reference_validation,32,31,0.005129307601316302,0.006338640407802828,-0.6849600357175892,False
pb_low_band_pos,development,89,47,0.7476551897520248,0.6729946991520173,-0.009675967509147608,False
pb_low_band_pos,external,69,53,0.7673479811869276,0.6701677251161693,0.08549939717364648,False
pb_low_band_pos,reference_validation,32,31,0.7894140903736784,0.8266282260193143,-0.127906914289472,False
pb_close_ext20,development,89,47,0.0009217274006213684,0.0006489871735076161,0.008199609435163598,False
pb_close_ext20,external,69,53,0.0012197944618541911,0.0006363554886744939,0.14571545054164037,False
pb_close_ext20,reference_validation,32,31,0.0006891864251085207,0.0009359750834473308,-0.264101255903097,False
reclaim_body_range,development,89,47,0.634745762711815,0.5397727272727719,0.14365398519598124,False
reclaim_body_range,external,69,53,0.5525502900625359,0.5176695319962189,-0.07325175489196718,False
reclaim_body_range,reference_validation,32,31,0.47167357555067335,0.7055695493982753,-0.2736353980934789,False
reclaim_clv,development,89,47,0.8013411567477241,0.7814465408804753,0.04614859478297365,False
reclaim_clv,external,69,53,0.7491311216430084,0.8188029516261003,-0.2546655197218026,False
reclaim_clv,reference_validation,32,31,0.8190883190881597,0.8813070639115941,-0.36197780244738825,False
reclaim_ext20,development,89,47,0.0018833331764704841,0.001511996003243984,0.25064026771311465,False
reclaim_ext20,external,69,53,0.002566546189634156,0.001762806464427823,0.3822201312712173,False
reclaim_ext20,reference_validation,32,31,0.0013458275549920037,0.0015850104544727203,-0.4923399470580957,False
reclaim_range_pct,development,89,47,0.0017694306571808631,0.001691091282343078,0.34048454246181037,False
reclaim_range_pct,external,69,53,0.002638374574474515,0.0023123369431740115,0.4334149487949397,False
reclaim_range_pct,reference_validation,32,31,0.0013264255326602943,0.0012419330996212247,-0.23422271656034024,False
ltf_spread,development,89,47,0.0009766810503576931,0.0007465969157025937,0.28011645129938567,False
ltf_spread,external,69,53,0.0014842071235060105,0.0009812724452762816,0.3930155107982801,False
ltf_spread,reference_validation,32,31,0.0006462317335715277,0.000985073735234541,-0.557442357704364,False
ltf_ema20_slope3,development,89,47,0.00035801284754989084,0.0002838259301471405,0.13115177099967326,False
ltf_ema20_slope3,external,69,53,0.0005516852295098556,0.00032674985383698987,0.27841216999849017,False
ltf_ema20_slope3,reference_validation,32,31,0.00026929371171182417,0.00039525456552935804,-0.6578539180986853,False
flow_15m,development,89,47,0.08256266180995854,0.11126852127237946,-0.05874671350555714,False
flow_15m,external,69,53,0.0653037114614384,0.06176547605405183,-0.033048023789220185,False
flow_15m,reference_validation,32,31,0.1220664952367272,0.10624363953112083,0.1243812833744775,False
flow_30m,development,89,47,0.06760011352769461,0.04266457331200245,0.20882716256488934,False
flow_30m,external,69,53,0.04768193610930372,0.025856029827351443,0.09417011815486641,False
flow_30m,reference_validation,32,31,0.08286061397675827,0.06580342437909144,0.3246260378934236,False
flow_60m,development,89,47,0.038464411441695746,0.03591363859902,0.15193321536842117,False
flow_60m,external,69,53,0.036145615142473816,0.028039916238593778,0.3500666145782643,False
flow_60m,reference_validation,32,31,0.039474390211126746,0.04248947669082081,-0.18105102494403022,False
volume_expansion_60m,development,89,47,0.9651541384780419,0.8432558401065638,0.1509432380958923,False
volume_expansion_60m,external,69,53,1.014306470698292,0.8604300453988919,0.30330996768399365,False
volume_expansion_60m,reference_validation,32,31,0.9237964744288895,0.7758199562939339,-0.12340023937153373,False
ret_60m,development,89,47,0.002106612337863245,0.0019399262401671447,0.05577358920129664,False
ret_60m,external,69,53,0.0028896419961303987,0.0018449309705010908,0.3032669270235458,False
ret_60m,reference_validation,32,31,0.0016033408004054728,0.002181058619179499,-0.51020365852234,False
