episode_id,first_sideways_ts,last_sideways_ts,partition,n_intervals,duration_hours,origin_state,exit_state,bracketed_directional,class,same_direction_resume,opposite_direction_transition,gap_or_boundary
66,2020-04-10 04:00:00+00:00,2020-04-10 20:00:00+00:00,external,5,20,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
68,2020-04-12 16:00:00+00:00,2020-04-12 20:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
70,2020-04-14 04:00:00+00:00,2020-04-14 04:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
72,2020-04-14 16:00:00+00:00,2020-04-14 20:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
74,2020-04-15 04:00:00+00:00,2020-04-15 04:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
76,2020-04-16 08:00:00+00:00,2020-04-16 08:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
78,2020-04-20 12:00:00+00:00,2020-04-21 04:00:00+00:00,external,5,20,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
80,2020-04-22 12:00:00+00:00,2020-04-22 16:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
82,2020-05-04 04:00:00+00:00,2020-05-04 12:00:00+00:00,external,3,12,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
84,2020-05-10 00:00:00+00:00,2020-05-13 12:00:00+00:00,external,22,88,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
86,2020-05-15 20:00:00+00:00,2020-05-16 00:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
88,2020-05-16 20:00:00+00:00,2020-05-16 20:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
90,2020-05-19 04:00:00+00:00,2020-05-19 08:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
92,2020-05-20 16:00:00+00:00,2020-05-22 00:00:00+00:00,external,9,36,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
94,2020-05-24 00:00:00+00:00,2020-05-25 08:00:00+00:00,external,9,36,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
96,2020-05-27 12:00:00+00:00,2020-05-27 12:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
98,2020-06-01 00:00:00+00:00,2020-06-01 00:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
100,2020-06-02 16:00:00+00:00,2020-06-04 04:00:00+00:00,external,10,40,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
102,2020-06-04 12:00:00+00:00,2020-06-04 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
104,2020-06-06 00:00:00+00:00,2020-06-07 20:00:00+00:00,external,12,48,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
106,2020-06-09 04:00:00+00:00,2020-06-09 08:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
108,2020-06-11 16:00:00+00:00,2020-06-16 04:00:00+00:00,external,28,112,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
110,2020-06-17 16:00:00+00:00,2020-06-22 04:00:00+00:00,external,28,112,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
112,2020-06-24 08:00:00+00:00,2020-06-25 08:00:00+00:00,external,7,28,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
114,2020-06-28 16:00:00+00:00,2020-06-28 16:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
116,2020-06-29 20:00:00+00:00,2020-06-30 00:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
118,2020-06-30 20:00:00+00:00,2020-07-01 08:00:00+00:00,external,4,16,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
120,2020-07-02 16:00:00+00:00,2020-07-02 16:00:00+00:00,external,1,4,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
122,2020-07-04 20:00:00+00:00,2020-07-05 04:00:00+00:00,external,3,12,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
124,2020-07-06 04:00:00+00:00,2020-07-06 04:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
126,2020-07-09 16:00:00+00:00,2020-07-10 00:00:00+00:00,external,3,12,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
128,2020-07-11 00:00:00+00:00,2020-07-11 08:00:00+00:00,external,3,12,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
130,2020-07-12 04:00:00+00:00,2020-07-12 08:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
133,2020-07-13 20:00:00+00:00,2020-07-14 00:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
135,2020-07-14 20:00:00+00:00,2020-07-15 00:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
137,2020-07-18 12:00:00+00:00,2020-07-19 00:00:00+00:00,external,4,16,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
139,2020-07-19 20:00:00+00:00,2020-07-19 20:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
141,2020-07-20 12:00:00+00:00,2020-07-20 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
143,2020-07-20 20:00:00+00:00,2020-07-21 00:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
145,2020-08-02 08:00:00+00:00,2020-08-03 16:00:00+00:00,external,9,36,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
147,2020-08-04 00:00:00+00:00,2020-08-05 08:00:00+00:00,external,9,36,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
149,2020-08-07 20:00:00+00:00,2020-08-08 08:00:00+00:00,external,4,16,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
151,2020-08-09 16:00:00+00:00,2020-08-09 20:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
153,2020-08-11 08:00:00+00:00,2020-08-12 04:00:00+00:00,external,6,24,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
155,2020-08-13 20:00:00+00:00,2020-08-14 00:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
157,2020-08-16 12:00:00+00:00,2020-08-16 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
159,2020-08-18 16:00:00+00:00,2020-08-22 08:00:00+00:00,external,23,92,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
161,2020-08-23 20:00:00+00:00,2020-08-24 08:00:00+00:00,external,4,16,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
163,2020-08-25 04:00:00+00:00,2020-08-26 00:00:00+00:00,external,6,24,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
165,2020-08-27 00:00:00+00:00,2020-08-28 00:00:00+00:00,external,7,28,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
167,2020-08-28 12:00:00+00:00,2020-08-28 20:00:00+00:00,external,3,12,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
169,2020-08-29 12:00:00+00:00,2020-08-29 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
171,2020-08-30 00:00:00+00:00,2020-08-30 00:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
173,2020-09-02 08:00:00+00:00,2020-09-04 04:00:00+00:00,external,12,48,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
175,2020-09-08 00:00:00+00:00,2020-09-08 00:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
177,2020-09-09 12:00:00+00:00,2020-09-10 00:00:00+00:00,external,4,16,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
179,2020-09-11 04:00:00+00:00,2020-09-11 12:00:00+00:00,external,3,12,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
181,2020-09-13 12:00:00+00:00,2020-09-14 04:00:00+00:00,external,5,20,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
183,2020-09-20 16:00:00+00:00,2020-09-21 00:00:00+00:00,external,3,12,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
185,2020-09-21 08:00:00+00:00,2020-09-21 20:00:00+00:00,external,4,16,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
187,2020-09-23 16:00:00+00:00,2020-09-24 04:00:00+00:00,external,4,16,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
189,2020-09-24 16:00:00+00:00,2020-09-24 20:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
191,2020-09-27 12:00:00+00:00,2020-09-27 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
193,2020-09-29 00:00:00+00:00,2020-09-29 08:00:00+00:00,external,3,12,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
195,2020-09-29 16:00:00+00:00,2020-09-29 20:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
197,2020-09-30 04:00:00+00:00,2020-09-30 20:00:00+00:00,external,5,20,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
199,2020-10-01 16:00:00+00:00,2020-10-02 16:00:00+00:00,external,7,28,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
201,2020-10-04 08:00:00+00:00,2020-10-04 20:00:00+00:00,external,4,16,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
203,2020-10-06 20:00:00+00:00,2020-10-08 12:00:00+00:00,external,11,44,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
205,2020-10-14 12:00:00+00:00,2020-10-14 20:00:00+00:00,external,3,12,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
207,2020-10-15 12:00:00+00:00,2020-10-15 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
209,2020-10-16 08:00:00+00:00,2020-10-18 04:00:00+00:00,external,12,48,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
211,2020-10-28 16:00:00+00:00,2020-10-29 12:00:00+00:00,external,6,24,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
213,2020-10-30 08:00:00+00:00,2020-10-30 08:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
215,2020-11-02 12:00:00+00:00,2020-11-03 16:00:00+00:00,external,8,32,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
217,2020-11-04 08:00:00+00:00,2020-11-04 08:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
219,2020-11-07 20:00:00+00:00,2020-11-08 08:00:00+00:00,external,4,16,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
221,2020-11-09 16:00:00+00:00,2020-11-09 16:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
223,2020-11-10 16:00:00+00:00,2020-11-10 16:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
225,2020-11-14 12:00:00+00:00,2020-11-14 20:00:00+00:00,external,3,12,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
227,2020-11-15 04:00:00+00:00,2020-11-15 04:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
229,2020-11-15 12:00:00+00:00,2020-11-15 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
231,2020-11-15 20:00:00+00:00,2020-11-16 00:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
233,2020-11-22 12:00:00+00:00,2020-11-22 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
235,2020-11-23 16:00:00+00:00,2020-11-23 16:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
237,2020-11-24 04:00:00+00:00,2020-11-24 04:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
239,2020-11-26 00:00:00+00:00,2020-11-29 00:00:00+00:00,external,19,76,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
241,2020-12-02 04:00:00+00:00,2020-12-02 04:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
243,2020-12-04 12:00:00+00:00,2020-12-05 16:00:00+00:00,external,8,32,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
245,2020-12-07 12:00:00+00:00,2020-12-07 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
247,2020-12-07 20:00:00+00:00,2020-12-07 20:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
249,2020-12-08 12:00:00+00:00,2020-12-12 16:00:00+00:00,external,26,104,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
251,2020-12-21 12:00:00+00:00,2020-12-22 12:00:00+00:00,external,7,28,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
253,2020-12-23 12:00:00+00:00,2020-12-23 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
255,2020-12-24 00:00:00+00:00,2020-12-24 16:00:00+00:00,external,5,20,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
257,2021-01-04 12:00:00+00:00,2021-01-04 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
259,2021-01-05 04:00:00+00:00,2021-01-05 08:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
261,2021-01-10 12:00:00+00:00,2021-01-10 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
263,2021-01-10 20:00:00+00:00,2021-01-14 00:00:00+00:00,external,20,80,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
265,2021-01-15 16:00:00+00:00,2021-01-16 08:00:00+00:00,external,5,20,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
267,2021-01-16 20:00:00+00:00,2021-01-19 04:00:00+00:00,external,15,60,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
269,2021-01-19 20:00:00+00:00,2021-01-22 08:00:00+00:00,external,16,64,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
271,2021-01-22 20:00:00+00:00,2021-01-22 20:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
273,2021-01-24 00:00:00+00:00,2021-01-25 08:00:00+00:00,external,9,36,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
275,2021-01-26 00:00:00+00:00,2021-01-27 20:00:00+00:00,external,12,48,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
277,2021-01-28 16:00:00+00:00,2021-01-28 20:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
279,2021-01-31 08:00:00+00:00,2021-02-01 04:00:00+00:00,external,6,24,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
281,2021-02-01 16:00:00+00:00,2021-02-01 16:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
283,2021-02-02 00:00:00+00:00,2021-02-02 00:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
285,2021-02-07 16:00:00+00:00,2021-02-07 20:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
287,2021-02-08 04:00:00+00:00,2021-02-08 04:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
289,2021-02-15 04:00:00+00:00,2021-02-15 08:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
291,2021-02-22 12:00:00+00:00,2021-02-23 16:00:00+00:00,external,8,32,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
293,2021-02-25 08:00:00+00:00,2021-02-26 12:00:00+00:00,external,8,32,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
295,2021-03-01 12:00:00+00:00,2021-03-01 12:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
297,2021-03-02 20:00:00+00:00,2021-03-02 20:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
299,2021-03-04 20:00:00+00:00,2021-03-05 00:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
301,2021-03-05 20:00:00+00:00,2021-03-06 08:00:00+00:00,external,4,16,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
303,2021-03-07 00:00:00+00:00,2021-03-07 00:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
305,2021-03-15 08:00:00+00:00,2021-03-17 20:00:00+00:00,external,16,64,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
307,2021-03-18 20:00:00+00:00,2021-03-18 20:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
309,2021-03-21 00:00:00+00:00,2021-03-23 12:00:00+00:00,external,16,64,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
311,2021-03-24 12:00:00+00:00,2021-03-24 16:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
313,2021-03-26 20:00:00+00:00,2021-03-27 00:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
315,2021-04-03 16:00:00+00:00,2021-04-05 16:00:00+00:00,external,13,52,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
317,2021-04-06 16:00:00+00:00,2021-04-09 00:00:00+00:00,external,15,60,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
319,2021-04-16 08:00:00+00:00,2021-04-18 08:00:00+00:00,external,13,52,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
321,2021-04-20 00:00:00+00:00,2021-04-22 08:00:00+00:00,external,15,60,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
323,2021-04-26 04:00:00+00:00,2021-04-26 08:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
325,2021-04-29 16:00:00+00:00,2021-04-30 00:00:00+00:00,external,3,12,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
328,2021-05-04 04:00:00+00:00,2021-05-04 04:00:00+00:00,external,1,4,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
330,2021-05-05 16:00:00+00:00,2021-05-05 20:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
332,2021-05-06 20:00:00+00:00,2021-05-07 04:00:00+00:00,external,3,12,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
334,2021-05-07 12:00:00+00:00,2021-05-07 12:00:00+00:00,external,1,4,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
336,2021-05-09 16:00:00+00:00,2021-05-09 20:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
339,2021-05-12 04:00:00+00:00,2021-05-12 08:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
341,2021-05-24 12:00:00+00:00,2021-05-24 20:00:00+00:00,external,3,12,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
343,2021-05-25 12:00:00+00:00,2021-05-25 12:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
345,2021-05-25 20:00:00+00:00,2021-05-25 20:00:00+00:00,external,1,4,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
347,2021-05-27 04:00:00+00:00,2021-05-27 08:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
349,2021-05-28 00:00:00+00:00,2021-05-28 04:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
351,2021-05-30 12:00:00+00:00,2021-05-30 12:00:00+00:00,external,1,4,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
353,2021-05-31 12:00:00+00:00,2021-05-31 16:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
355,2021-06-01 16:00:00+00:00,2021-06-01 20:00:00+00:00,external,2,8,BULL,BULL,True,BULL->SIDEWAYS->BULL,True,False,False
357,2021-06-04 08:00:00+00:00,2021-06-04 12:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
359,2021-06-05 04:00:00+00:00,2021-06-05 08:00:00+00:00,external,2,8,BEAR,BEAR,True,BEAR->SIDEWAYS->BEAR,True,False,False
361,2021-06-09 12:00:00+00:00,2021-06-09 16:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
363,2021-06-12 04:00:00+00:00,2021-06-12 08:00:00+00:00,external,2,8,BULL,BEAR,True,BULL->SIDEWAYS->BEAR,False,True,False
365,2021-06-13 12:00:00+00:00,2021-06-13 16:00:00+00:00,external,2,8,BEAR,BULL,True,BEAR->SIDEWAYS->BULL,False,True,False
