scope,name,checkpoint,mode,threshold,bad_total,bad_too_late,bad_eligible,bad_flagged,bad_capture_all,bad_recall_eligible,good_total,good_resolved_safe,good_eligible,good_flagged,good_sacrifice_all,good_fpr_eligible,flagged_n,flag_precision_bad
PARTITION,external,FILL,AGGRESSIVE,0.5727423194846668,23,0,23,6,0.2608695652173913,0.2608695652173913,98,0,98,18,0.1836734693877551,0.1836734693877551,24,0.25
PARTITION,development,FILL,AGGRESSIVE,0.5727423194846668,38,0,38,20,0.5263157894736842,0.5263157894736842,159,0,159,31,0.1949685534591195,0.1949685534591195,51,0.39215686274509803
PARTITION,reference_validation,FILL,AGGRESSIVE,0.5727423194846668,17,0,17,5,0.29411764705882354,0.29411764705882354,91,0,91,25,0.27472527472527475,0.27472527472527475,30,0.16666666666666666
POOL,POOLED_MAJOR,FILL,AGGRESSIVE,0.5727423194846668,78,0,78,31,0.3974358974358974,0.3974358974358974,348,0,348,74,0.21264367816091953,0.21264367816091953,105,0.29523809523809524
PARTITION,external,PLUS5,SAFE,0.6782377735816619,23,1,22,5,0.21739130434782608,0.22727272727272727,98,9,89,11,0.11224489795918367,0.12359550561797752,16,0.3125
PARTITION,development,PLUS5,SAFE,0.6782377735816619,38,1,37,18,0.47368421052631576,0.4864864864864865,159,11,148,13,0.08176100628930817,0.08783783783783784,31,0.5806451612903226
PARTITION,reference_validation,PLUS5,SAFE,0.6782377735816619,17,1,16,4,0.23529411764705882,0.25,91,6,85,19,0.2087912087912088,0.2235294117647059,23,0.17391304347826086
POOL,POOLED_MAJOR,PLUS5,SAFE,0.6782377735816619,78,3,75,27,0.34615384615384615,0.36,348,26,322,43,0.1235632183908046,0.13354037267080746,70,0.38571428571428573
PARTITION,external,PLUS5,AGGRESSIVE,0.5631025017287984,23,1,22,9,0.391304347826087,0.4090909090909091,98,9,89,26,0.2653061224489796,0.29213483146067415,35,0.2571428571428571
PARTITION,development,PLUS5,AGGRESSIVE,0.5631025017287984,38,1,37,28,0.7368421052631579,0.7567567567567568,159,11,148,31,0.1949685534591195,0.20945945945945946,59,0.4745762711864407
PARTITION,reference_validation,PLUS5,AGGRESSIVE,0.5631025017287984,17,1,16,8,0.47058823529411764,0.5,91,6,85,25,0.27472527472527475,0.29411764705882354,33,0.24242424242424243
POOL,POOLED_MAJOR,PLUS5,AGGRESSIVE,0.5631025017287984,78,3,75,45,0.5769230769230769,0.6,348,26,322,82,0.23563218390804597,0.2546583850931677,127,0.3543307086614173
PARTITION,external,PLUS10,SAFE,0.5898635948838399,23,1,22,8,0.34782608695652173,0.36363636363636365,98,26,72,15,0.15306122448979592,0.20833333333333334,23,0.34782608695652173
PARTITION,development,PLUS10,SAFE,0.5898635948838399,38,1,37,26,0.6842105263157895,0.7027027027027027,159,42,117,15,0.09433962264150944,0.1282051282051282,41,0.6341463414634146
PARTITION,reference_validation,PLUS10,SAFE,0.5898635948838399,17,1,16,5,0.29411764705882354,0.3125,91,19,72,17,0.18681318681318682,0.2361111111111111,22,0.22727272727272727
POOL,POOLED_MAJOR,PLUS10,SAFE,0.5898635948838399,78,3,75,39,0.5,0.52,348,87,261,47,0.13505747126436782,0.18007662835249041,86,0.45348837209302323
PARTITION,external,PLUS10,AGGRESSIVE,0.5494693389519317,23,1,22,8,0.34782608695652173,0.36363636363636365,98,26,72,17,0.17346938775510204,0.2361111111111111,25,0.32
PARTITION,development,PLUS10,AGGRESSIVE,0.5494693389519317,38,1,37,27,0.7105263157894737,0.7297297297297297,159,42,117,21,0.1320754716981132,0.1794871794871795,48,0.5625
PARTITION,reference_validation,PLUS10,AGGRESSIVE,0.5494693389519317,17,1,16,6,0.35294117647058826,0.375,91,19,72,19,0.2087912087912088,0.2638888888888889,25,0.24
POOL,POOLED_MAJOR,PLUS10,AGGRESSIVE,0.5494693389519317,78,3,75,41,0.5256410256410257,0.5466666666666666,348,87,261,57,0.16379310344827586,0.21839080459770116,98,0.41836734693877553
PARTITION,external,PLUS15,SAFE,0.6079191233470493,23,1,22,9,0.391304347826087,0.4090909090909091,98,42,56,14,0.14285714285714285,0.25,23,0.391304347826087
PARTITION,development,PLUS15,SAFE,0.6079191233470493,38,3,35,28,0.7368421052631579,0.8,159,62,97,9,0.05660377358490566,0.09278350515463918,37,0.7567567567567568
PARTITION,reference_validation,PLUS15,SAFE,0.6079191233470493,17,1,16,8,0.47058823529411764,0.5,91,30,61,15,0.16483516483516483,0.2459016393442623,23,0.34782608695652173
POOL,POOLED_MAJOR,PLUS15,SAFE,0.6079191233470493,78,5,73,45,0.5769230769230769,0.6164383561643836,348,134,214,38,0.10919540229885058,0.17757009345794392,83,0.5421686746987951
PARTITION,external,PLUS15,AGGRESSIVE,0.4101988544354365,23,1,22,9,0.391304347826087,0.4090909090909091,98,42,56,22,0.22448979591836735,0.39285714285714285,31,0.2903225806451613
PARTITION,development,PLUS15,AGGRESSIVE,0.4101988544354365,38,3,35,32,0.8421052631578947,0.9142857142857143,159,62,97,28,0.1761006289308176,0.28865979381443296,60,0.5333333333333333
PARTITION,reference_validation,PLUS15,AGGRESSIVE,0.4101988544354365,17,1,16,13,0.7647058823529411,0.8125,91,30,61,25,0.27472527472527475,0.4098360655737705,38,0.34210526315789475
POOL,POOLED_MAJOR,PLUS15,AGGRESSIVE,0.4101988544354365,78,5,73,54,0.6923076923076923,0.7397260273972602,348,134,214,75,0.21551724137931033,0.35046728971962615,129,0.4186046511627907
