rule_text,conditions,atoms_repr,selected_n,event_n,event_rate,lift_vs_buy_baseline,wilson_lower,mean_r,pf_r,cum_r,eligible
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_reward_r >= 1.16560173697,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_reward_r', 'op': '>=', 'threshold': 1.1656017369727043, 'quantile': 0.5}]",6,4,0.6666666666666666,0.29166666666666663,0.29998832134152864,-0.13787264841737937,0.7931910273739309,-0.8272358905042763,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_reward_r <= 1.35285896624,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_reward_r', 'op': '<=', 'threshold': 1.3528589662436352, 'quantile': 0.75}]",9,4,0.4444444444444444,0.06944444444444442,0.188775429471914,-0.2935113216170618,0.5597330175744073,-2.641601894553556,False
approach_start_distance_to_level_range_units >= 0.978378228578 AND structural_reward_r >= 1.35285896624,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '>=', 'threshold': 0.9783782285777651, 'quantile': 0.25}, {'feature': 'structural_reward_r', 'op': '>=', 'threshold': 1.3528589662436352, 'quantile': 0.75}]",3,2,0.6666666666666666,0.29166666666666663,0.2076549551264879,-0.1099342310631745,0.8350986534052383,-0.3298026931895235,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_directional_body_range_units <= 0.82384492265,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 0.8238449226499903, 'quantile': 0.25}]",4,1,0.25,-0.125,0.045586062644636216,-0.42065755892508616,0.4391232547665518,-1.6826302357003446,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_directional_body_range_units >= 0.82384492265,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 0.8238449226499903, 'quantile': 0.25}]",4,1,0.25,-0.125,0.045586062644636216,-0.33245067329738087,0.5567324356034922,-1.3298026931895235,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_directional_body_range_units <= 0.938715729547,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 0.9387157295465962, 'quantile': 0.5}]",5,1,0.2,-0.175,0.03622316096978745,-0.5365260471400689,0.32934244107491384,-2.6826302357003446,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_directional_body_range_units >= 0.938715729547,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 0.9387157295465962, 'quantile': 0.5}]",3,1,0.3333333333333333,-0.041666666666666685,0.0614903152761605,-0.1099342310631745,0.8350986534052383,-0.3298026931895235,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_directional_body_range_units <= 1.07291188004,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_directional_body_range_units', 'op': '<=', 'threshold': 1.0729118800400952, 'quantile': 0.75}]",7,2,0.2857142857142857,-0.0892857142857143,0.0822171657090155,-0.2874904184128383,0.5975134142220264,-2.012432928889868,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_directional_body_range_units >= 1.07291188004,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_directional_body_range_units', 'op': '>=', 'threshold': 1.0729118800400952, 'quantile': 0.75}]",1,0,0.0,-0.375,0.0,-1.0,0.0,-1.0,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_close_inside_range_units <= 0.786541923801,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 0.7865419238005553, 'quantile': 0.25}]",2,1,0.5,0.125,0.09452865480086614,0.15868488214982768,1.3173697642996554,0.31736976429965535,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_close_inside_range_units >= 0.786541923801,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 0.7865419238005553, 'quantile': 0.25}]",6,1,0.16666666666666666,-0.20833333333333334,0.03005258587173032,-0.5549671155315873,0.3340394613620953,-3.3298026931895235,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_close_inside_range_units <= 0.851580400587,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 0.8515804005869738, 'quantile': 0.5}]",4,2,0.5,0.125,0.15003570882017148,0.24689176777753297,1.493783535555066,0.9875670711101319,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_close_inside_range_units >= 0.851580400587,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 0.8515804005869738, 'quantile': 0.5}]",4,0,0.0,-0.375,0.0,-1.0,0.0,-4.0,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_close_inside_range_units <= 1.01446857606,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_close_inside_range_units', 'op': '<=', 'threshold': 1.0144685760613668, 'quantile': 0.75}]",7,2,0.2857142857142857,-0.0892857142857143,0.0822171657090155,-0.2874904184128383,0.5975134142220264,-2.012432928889868,False
approach_start_distance_to_level_range_units <= 1.08656260871 AND reclaim_close_inside_range_units >= 1.01446857606,2,"[{'feature': 'approach_start_distance_to_level_range_units', 'op': '<=', 'threshold': 1.0865626087068305, 'quantile': 0.5}, {'feature': 'reclaim_close_inside_range_units', 'op': '>=', 'threshold': 1.0144685760613668, 'quantile': 0.75}]",1,0,0.0,-0.375,0.0,-1.0,0.0,-1.0,False
