role,partition,dev_block,execution_start,component,parent_entry_ts,entry_ts,exit_ts,exit_reason,baseline_pnl,baseline_pnl_5bps,outcome,H,L,R,e20_ts,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mfe_R_at_E20,running_mae_R_to_E20,closes_gt_H_to_E20,closes_ge_E10_to_E20
CLOCK_SUPPORT,external,,2021-08-28 17:00:00+00:00,REC_H2,2021-08-28 22:05:00+00:00,2021-08-28 22:55:00+00:00,2021-08-29 00:00:00+00:00,FAILED_BREAK,-1.94085314728748,-2.1908531472874806,E20_STALLER,96.607,91.525,5.081999999999994,2021-08-28 23:05:00+00:00,10.0,5.0,0.20798898071625413,0.007988980716254118,0.22884691066509213,0.11767020857929944,2,1
CLOCK_SUPPORT,external,,2021-09-02 17:00:00+00:00,REC_H2,2021-09-02 17:20:00+00:00,2021-09-02 18:30:00+00:00,2021-09-02 21:00:00+00:00,TARGET,16.556386881778963,16.306386881778963,E20_TO_E40_CONTINUATION,124.834,114.5,10.334000000000003,2021-09-02 18:45:00+00:00,15.0,15.0,0.19943874588736135,-0.0005612541126386594,0.28701374104896393,0.1246371201857941,4,2
CLOCK_SUPPORT,external,,2021-09-03 17:00:00+00:00,REC_H2,2021-09-03 17:00:00+00:00,2021-09-03 20:00:00+00:00,2021-09-03 20:30:00+00:00,FAILED_BREAK,-1.961809185309138,-2.2118091853091384,E20_STALLER,143.49,138.287,5.203000000000003,2021-09-03 20:05:00+00:00,5.0,5.0,0.27561022487026654,0.07561022487026653,0.29021718239477035,0.11993080914856714,2,2
CLOCK_SUPPORT,external,,2021-09-04 17:00:00+00:00,REC_H2,2021-09-05 01:05:00+00:00,2021-09-05 01:50:00+00:00,2021-09-05 02:10:00+00:00,FAILED_BREAK,-0.3722464201722508,-0.6222464201722508,E20_STALLER,143.722,138.5,5.222000000000008,2021-09-05 01:55:00+00:00,5.0,0.0,0.10991957104557314,-0.09008042895442687,0.24473381846035802,0.13098429720413565,1,1
CLOCK_SUPPORT,external,,2021-09-10 17:00:00+00:00,REC_H2,2021-09-10 18:40:00+00:00,2021-09-10 19:55:00+00:00,2021-09-10 20:25:00+00:00,FAILED_BREAK,-0.7144669910732482,-0.9644669910732482,E20_STALLER,181.254,168.12,13.133999999999986,2021-09-10 20:00:00+00:00,5.0,5.0,0.12258261001979712,-0.0774173899802029,0.2075529160956298,0.10621288259479086,2,1
CLOCK_SUPPORT,external,,2021-09-14 17:00:00+00:00,REC_H2,2021-09-15 01:05:00+00:00,2021-09-15 05:35:00+00:00,2021-09-15 06:05:00+00:00,TARGET,9.89054044126647,9.64054044126647,E20_TO_E40_CONTINUATION,163.348,155.27,8.078000000000003,2021-09-15 06:05:00+00:00,30.0,0.0,0.17033919286951918,-0.029660807130480832,0.40566972022777736,0.5821985640009905,1,1
CLOCK_SUPPORT,external,,2021-10-12 17:00:00+00:00,REC_H2,2021-10-12 18:35:00+00:00,2021-10-12 21:35:00+00:00,2021-10-13 00:15:00+00:00,TARGET,14.982652788897768,14.732652788897765,E20_TO_E40_CONTINUATION,149.88,138.652,11.228000000000009,2021-10-12 23:20:00+00:00,105.0,70.0,0.1608478802992528,-0.03915211970074722,0.2125935162094762,0.10518346989668527,15,2
CLOCK_SUPPORT,external,,2021-10-14 17:00:00+00:00,REC_H2,2021-10-15 04:30:00+00:00,2021-10-15 06:00:00+00:00,2021-10-15 06:10:00+00:00,TARGET,7.272540707629727,7.022540707629727,E20_TO_E40_CONTINUATION,155.929,150.259,5.670000000000016,2021-10-15 06:10:00+00:00,10.0,5.0,1.0790123456790084,0.8790123456790084,1.2294532627865933,0.2153439153439154,2,2
CLOCK_SUPPORT,external,,2021-10-21 17:00:00+00:00,REC_H2,2021-10-21 23:55:00+00:00,2021-10-22 00:20:00+00:00,2021-10-22 00:30:00+00:00,TARGET,13.858030502730156,13.608030502730156,E20_TO_E40_CONTINUATION,191.196,177.948,13.24799999999999,2021-10-22 00:20:00+00:00,0.0,0.0,0.2486413043478271,0.0486413043478271,0.2493961352657008,0.17278079710144845,1,1
CLOCK_SUPPORT,external,,2021-10-31 17:00:00+00:00,REC_H2,2021-10-31 21:15:00+00:00,2021-10-31 23:10:00+00:00,2021-11-01 00:15:00+00:00,TARGET,16.506227925245142,16.256227925245142,E20_TO_E40_CONTINUATION,202.154,185.47,16.683999999999997,2021-11-01 00:10:00+00:00,60.0,55.0,0.23201870055142712,0.03201870055142711,0.26270678494365923,0.045432749940062925,12,1
