mechanism,lead_min,feature,dev_n,dev_loss_hit,dev_control_hit,dev_gap,dev_ratio,adequate_dev_blocks,same_bad_dev_blocks,dev_eligible,external_n,external_loss_hit,external_control_hit,external_gap,external_ratio,reference_n,reference_loss_hit,reference_control_hit,reference_gap,reference_ratio,replicated
M0_REFERENCE_INVALIDATION,10,INSIDE_BAR,37,0.10810810810810811,0.1891891891891892,-0.08108108108108109,0.5714285714285714,5,1,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,10,OUTSIDE_BAR,37,0.10810810810810811,0.10810810810810811,0.0,1.0,5,2,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,10,M0_CLOSE_L25,37,0.7027027027027027,0.0,0.7027027027027027,inf,5,5,True,13,0.8461538461538461,0.07692307692307693,0.7692307692307692,11.0,26,0.6923076923076923,0.0,0.6923076923076923,inf,True
M0_REFERENCE_INVALIDATION,10,M0_CLOSE_L10,37,0.10810810810810811,0.0,0.10810810810810811,inf,5,3,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,5,BEARISH,37,0.6216216216216216,0.4594594594594595,0.16216216216216212,1.352941176470588,5,3,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,5,LOWER_CLOSE,37,0.6486486486486487,0.4594594594594595,0.1891891891891892,1.411764705882353,5,3,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,5,LOWER_HIGH,37,0.8108108108108109,0.4594594594594595,0.35135135135135137,1.7647058823529411,5,5,True,13,0.6153846153846154,0.6153846153846154,0.0,1.0,26,0.6923076923076923,0.4230769230769231,0.2692307692307692,1.6363636363636362,False
M0_REFERENCE_INVALIDATION,5,LOWER_LOW,37,0.7297297297297297,0.3783783783783784,0.3513513513513513,1.9285714285714284,5,5,True,13,0.6153846153846154,0.6153846153846154,0.0,1.0,26,0.7692307692307693,0.5769230769230769,0.1923076923076924,1.3333333333333335,False
M0_REFERENCE_INVALIDATION,5,INSIDE_BAR,37,0.21621621621621623,0.1891891891891892,0.02702702702702703,1.1428571428571428,5,2,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,5,OUTSIDE_BAR,37,0.10810810810810811,0.05405405405405406,0.05405405405405406,2.0,5,2,False,0,,,,,0,,,,,False
M0_REFERENCE_INVALIDATION,5,M0_CLOSE_L25,37,0.8108108108108109,0.0,0.8108108108108109,inf,5,5,True,13,1.0,0.0,1.0,inf,26,0.8846153846153846,0.038461538461538464,0.8461538461538461,22.999999999999996,True
M0_REFERENCE_INVALIDATION,5,M0_CLOSE_L10,37,0.2972972972972973,0.0,0.2972972972972973,inf,5,5,False,0,,,,,0,,,,,False
