variant,tp_multiple,use_be,partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,limit_px,hard_stop_px,filled,cancel_reason,fill_ts,entry_px,initial_risk_px,initial_risk_pct,target_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes,rebreak_confirmed
A_R1,1.0,False,external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,13.0024999999996,0.0016447035549123667,7892.677500000001,2020-01-09 09:20:00+00:00,7885.79,TP,0.002515912609668027,0.8579563048340134,5.0,True
A_R1_5,1.5,False,external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,13.0024999999996,0.0016447035549123667,7886.17625,2020-01-09 09:20:00+00:00,7885.79,TP,0.002515912609668027,0.8579563048340134,5.0,True
A_R2,2.0,False,external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,13.0024999999996,0.0016447035549123667,7879.675000000001,2020-01-09 10:00:00+00:00,7879.675000000001,TP,0.0032894071098247333,1.2447035549123666,45.0,True
B_R1_BE,1.0,True,external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,13.0024999999996,0.0016447035549123667,7892.677500000001,2020-01-09 09:20:00+00:00,7885.79,TP,0.002515912609668027,0.8579563048340134,5.0,True
B_R1_5_BE,1.5,True,external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,13.0024999999996,0.0016447035549123667,7886.17625,2020-01-09 09:20:00+00:00,7885.79,TP,0.002515912609668027,0.8579563048340134,5.0,True
B_R2_BE,2.0,True,external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,13.0024999999996,0.0016447035549123667,7879.675000000001,2020-01-09 09:40:00+00:00,7905.68,BE_STOP,0.0,-0.4,25.0,True
A_R1,1.0,False,external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,,False
A_R1_5,1.5,False,external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,,False
A_R2,2.0,False,external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,,False
B_R1_BE,1.0,True,external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,,False
B_R1_5_BE,1.5,True,external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,,False
B_R2_BE,2.0,True,external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,,False
A_R1,1.0,False,external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,8.8799999999992,0.0010309553635800156,8604.490000000002,2020-01-20 12:50:00+00:00,8600.94,TP,0.0014431053118582262,0.3215526559291131,5.0,False
A_R1_5,1.5,False,external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,8.8799999999992,0.0010309553635800156,8600.050000000003,2020-01-20 12:55:00+00:00,8600.050000000003,TP,0.0015464330453699177,0.37321652268495886,10.0,False
A_R2,2.0,False,external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,8.8799999999992,0.0010309553635800156,8595.610000000002,2020-01-20 12:55:00+00:00,8595.610000000002,TP,0.002061910727160031,0.6309553635800155,10.0,False
B_R1_BE,1.0,True,external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,8.8799999999992,0.0010309553635800156,8604.490000000002,2020-01-20 12:50:00+00:00,8600.94,TP,0.0014431053118582262,0.3215526559291131,5.0,False
B_R1_5_BE,1.5,True,external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,8.8799999999992,0.0010309553635800156,8600.050000000003,2020-01-20 12:55:00+00:00,8600.050000000003,TP,0.0015464330453699177,0.37321652268495886,10.0,False
B_R2_BE,2.0,True,external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,8.8799999999992,0.0010309553635800156,8595.610000000002,2020-01-20 12:55:00+00:00,8595.610000000002,TP,0.002061910727160031,0.6309553635800155,10.0,False
A_R1,1.0,False,external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,34.29599999999846,0.0038165254573018373,8951.888000000003,2020-01-28 10:20:00+00:00,9008.75,EARLY_HOLD_EXIT,-0.0025111882863737144,-1.6555941431868573,10.0,False
A_R1_5,1.5,False,external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,34.29599999999846,0.0038165254573018373,8934.740000000003,2020-01-28 10:20:00+00:00,9008.75,EARLY_HOLD_EXIT,-0.0025111882863737144,-1.6555941431868573,10.0,False
A_R2,2.0,False,external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,34.29599999999846,0.0038165254573018373,8917.592000000004,2020-01-28 10:20:00+00:00,9008.75,EARLY_HOLD_EXIT,-0.0025111882863737144,-1.6555941431868573,10.0,False
B_R1_BE,1.0,True,external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,34.29599999999846,0.0038165254573018373,8951.888000000003,2020-01-28 10:20:00+00:00,9008.75,EARLY_HOLD_EXIT,-0.0025111882863737144,-1.6555941431868573,10.0,False
B_R1_5_BE,1.5,True,external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,34.29599999999846,0.0038165254573018373,8934.740000000003,2020-01-28 10:20:00+00:00,9008.75,EARLY_HOLD_EXIT,-0.0025111882863737144,-1.6555941431868573,10.0,False
B_R2_BE,2.0,True,external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,34.29599999999846,0.0038165254573018373,8917.592000000004,2020-01-28 10:20:00+00:00,9008.75,EARLY_HOLD_EXIT,-0.0025111882863737144,-1.6555941431868573,10.0,False
A_R1,1.0,False,external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000007,9487.451,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,22.394999999998618,0.002360215586380899,9466.145000000002,2020-01-31 01:55:00+00:00,9484.38,EARLY_HOLD_EXIT,0.0004384236141705334,-0.18078819291473333,10.0,False
A_R1_5,1.5,False,external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000007,9487.451,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,22.394999999998618,0.002360215586380899,9454.947500000002,2020-01-31 01:55:00+00:00,9484.38,EARLY_HOLD_EXIT,0.0004384236141705334,-0.18078819291473333,10.0,False
A_R2,2.0,False,external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000007,9487.451,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,22.394999999998618,0.002360215586380899,9443.750000000004,2020-01-31 01:55:00+00:00,9484.38,EARLY_HOLD_EXIT,0.0004384236141705334,-0.18078819291473333,10.0,False
B_R1_BE,1.0,True,external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000007,9487.451,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,22.394999999998618,0.002360215586380899,9466.145000000002,2020-01-31 01:55:00+00:00,9484.38,EARLY_HOLD_EXIT,0.0004384236141705334,-0.18078819291473333,10.0,False
B_R1_5_BE,1.5,True,external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000007,9487.451,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,22.394999999998618,0.002360215586380899,9454.947500000002,2020-01-31 01:55:00+00:00,9484.38,EARLY_HOLD_EXIT,0.0004384236141705334,-0.18078819291473333,10.0,False
B_R2_BE,2.0,True,external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000007,9487.451,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,22.394999999998618,0.002360215586380899,9443.750000000004,2020-01-31 01:55:00+00:00,9484.38,EARLY_HOLD_EXIT,0.0004384236141705334,-0.18078819291473333,10.0,False
A_R1,1.0,False,external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,3.2600000000002183,0.00034799391117404377,9364.72,2020-02-02 00:50:00+00:00,9355.26,TP,0.0013578167331697278,0.27890836658486384,5.0,False
A_R1_5,1.5,False,external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,3.2600000000002183,0.00034799391117404377,9363.09,2020-02-02 00:50:00+00:00,9355.26,TP,0.0013578167331697278,0.27890836658486384,5.0,False
A_R2,2.0,False,external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,3.2600000000002183,0.00034799391117404377,9361.46,2020-02-02 00:50:00+00:00,9355.26,TP,0.0013578167331697278,0.27890836658486384,5.0,False
B_R1_BE,1.0,True,external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,3.2600000000002183,0.00034799391117404377,9364.72,2020-02-02 00:50:00+00:00,9355.26,TP,0.0013578167331697278,0.27890836658486384,5.0,False
B_R1_5_BE,1.5,True,external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,3.2600000000002183,0.00034799391117404377,9363.09,2020-02-02 00:50:00+00:00,9355.26,TP,0.0013578167331697278,0.27890836658486384,5.0,False
B_R2_BE,2.0,True,external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,3.2600000000002183,0.00034799391117404377,9361.46,2020-02-02 00:50:00+00:00,9355.26,TP,0.0013578167331697278,0.27890836658486384,5.0,False
A_R1,1.0,False,external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999971,9276.021,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,15.9950000000008,0.0017237124423050223,9263.394999999999,2020-02-04 05:25:00+00:00,9285.63,EARLY_HOLD_EXIT,-0.0006724579956225336,-0.7362289978112668,10.0,False
A_R1_5,1.5,False,external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999971,9276.021,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,15.9950000000008,0.0017237124423050223,9255.3975,2020-02-04 05:25:00+00:00,9285.63,EARLY_HOLD_EXIT,-0.0006724579956225336,-0.7362289978112668,10.0,False
A_R2,2.0,False,external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999971,9276.021,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,15.9950000000008,0.0017237124423050223,9247.399999999998,2020-02-04 05:25:00+00:00,9285.63,EARLY_HOLD_EXIT,-0.0006724579956225336,-0.7362289978112668,10.0,False
B_R1_BE,1.0,True,external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999971,9276.021,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,15.9950000000008,0.0017237124423050223,9263.394999999999,2020-02-04 05:25:00+00:00,9285.63,EARLY_HOLD_EXIT,-0.0006724579956225336,-0.7362289978112668,10.0,False
B_R1_5_BE,1.5,True,external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999971,9276.021,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,15.9950000000008,0.0017237124423050223,9255.3975,2020-02-04 05:25:00+00:00,9285.63,EARLY_HOLD_EXIT,-0.0006724579956225336,-0.7362289978112668,10.0,False
B_R2_BE,2.0,True,external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999971,9276.021,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,15.9950000000008,0.0017237124423050223,9247.399999999998,2020-02-04 05:25:00+00:00,9285.63,EARLY_HOLD_EXIT,-0.0006724579956225336,-0.7362289978112668,10.0,False
A_R1,1.0,False,external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999927,9767.265,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,8.204999999999927,0.0008389467613894233,9771.915,2020-02-07 04:35:00+00:00,9788.325,HARD_STOP,-0.0008389467613894233,-0.8194733806947117,5.0,False
A_R1_5,1.5,False,external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999927,9767.265,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,8.204999999999927,0.0008389467613894233,9767.8125,2020-02-07 04:35:00+00:00,9788.325,HARD_STOP,-0.0008389467613894233,-0.8194733806947117,5.0,False
A_R2,2.0,False,external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999927,9767.265,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,8.204999999999927,0.0008389467613894233,9763.710000000001,2020-02-07 04:35:00+00:00,9788.325,HARD_STOP,-0.0008389467613894233,-0.8194733806947117,5.0,False
B_R1_BE,1.0,True,external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999927,9767.265,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,8.204999999999927,0.0008389467613894233,9771.915,2020-02-07 04:35:00+00:00,9788.325,HARD_STOP,-0.0008389467613894233,-0.8194733806947117,5.0,False
B_R1_5_BE,1.5,True,external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999927,9767.265,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,8.204999999999927,0.0008389467613894233,9767.8125,2020-02-07 04:35:00+00:00,9788.325,HARD_STOP,-0.0008389467613894233,-0.8194733806947117,5.0,False
B_R2_BE,2.0,True,external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999927,9767.265,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,8.204999999999927,0.0008389467613894233,9763.710000000001,2020-02-07 04:35:00+00:00,9788.325,HARD_STOP,-0.0008389467613894233,-0.8194733806947117,5.0,False
A_R1,1.0,False,external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,12.209999999999127,0.0012415854873806843,9821.990000000002,2020-02-11 00:45:00+00:00,9816.79,TP,0.0017703524435134382,0.48517622175671904,5.0,True
A_R1_5,1.5,False,external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,12.209999999999127,0.0012415854873806843,9815.885000000002,2020-02-11 00:50:00+00:00,9815.885000000002,TP,0.0018623782310710265,0.5311891155355132,10.0,True
A_R2,2.0,False,external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,12.209999999999127,0.0012415854873806843,9809.780000000002,2020-02-11 00:50:00+00:00,9809.780000000002,TP,0.0024831709747613687,0.8415854873806844,10.0,True
B_R1_BE,1.0,True,external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,12.209999999999127,0.0012415854873806843,9821.990000000002,2020-02-11 00:45:00+00:00,9816.79,TP,0.0017703524435134382,0.48517622175671904,5.0,True
B_R1_5_BE,1.5,True,external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,12.209999999999127,0.0012415854873806843,9815.885000000002,2020-02-11 00:50:00+00:00,9834.2,BE_STOP,0.0,-0.4,10.0,True
B_R2_BE,2.0,True,external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,12.209999999999127,0.0012415854873806843,9809.780000000002,2020-02-11 00:50:00+00:00,9834.2,BE_STOP,0.0,-0.4,10.0,True
