clock_block,wib,candidate,rule,trades_n,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,abort_n,abort_rate,trades_per_week
12-16,19-23,BASE_H,REFINED_BULL_IMPULSE,147,0.6258503401360545,0.5765248738924766,-0.5011317696109286,-73.6663701328065,1.0901131708806104,-3.1628505791604113,82.44881809765258,4,26,0.17687074829931973,0.4332561903244246
12-16,19-23,R100,NO_ABORT,147,0.46258503401360546,0.5084272325256309,-0.5763651234469048,-84.72567314669502,1.2886859811204125,-2.1817255678845955,95.97472659092544,5,0,0.0,0.4332561903244246
12-16,19-23,R100,GLOBAL_PLUS15_SAFE,147,0.4489795918367347,0.4327758885062117,-0.6584876552979485,-96.79768532879842,1.1189982568819485,-2.106809509666754,100.36723736166991,5,12,0.08163265306122448,0.4332561903244246
12-16,19-23,R100,PERSIST_10_15,147,0.4489795918367347,0.4420475204587715,-0.6582298657970213,-96.75979027216212,1.16150940236391,-2.140980380594817,102.37324603496846,5,8,0.05442176870748299,0.4332561903244246
12-16,19-23,R100,REFINED_BULL_IMPULSE,147,0.4489795918367347,0.4443865786621508,-0.6520203109652941,-95.84698571189824,1.16150940236391,-2.129711188492794,101.46044147470458,5,9,0.061224489795918366,0.4332561903244246
16-20,23-03,BASE_H,NO_ABORT,106,0.660377358490566,0.5855143634598963,-0.647147478026534,-68.59763267081262,1.3843284883810942,-4.597239634930255,81.93365100064496,4,0,0.0,0.3228875176027608
16-20,23-03,BASE_H,GLOBAL_PLUS15_SAFE,106,0.6509433962264151,0.5870768706695493,-0.6387350392869614,-67.7059141644179,1.3950933745668266,-4.431550189446728,81.04193249425025,4,2,0.018867924528301886,0.3228875176027608
16-20,23-03,BASE_H,PERSIST_10_15,106,0.660377358490566,0.5925562514419954,-0.6285928049873887,-66.6308373286632,1.3843284883810942,-4.54260643098166,79.96685565849556,4,1,0.009433962264150943,0.3228875176027608
16-20,23-03,BASE_H,REFINED_BULL_IMPULSE,106,0.660377358490566,0.5925562514419954,-0.6285928049873887,-66.6308373286632,1.3843284883810942,-4.54260643098166,79.96685565849556,4,1,0.009433962264150943,0.3228875176027608
16-20,23-03,R100,NO_ABORT,106,0.4716981132075472,0.40367739898815197,-0.8283451132757248,-87.80458200722683,1.1887768541315098,-2.629346869889327,89.42178121330795,4,0,0.0,0.3228875176027608
16-20,23-03,R100,GLOBAL_PLUS15_SAFE,106,0.46226415094339623,0.39814806090048943,-0.8384873475752974,-88.87965884298153,1.1999447217348966,-2.5908236878594995,90.49685804906267,4,1,0.009433962264150943,0.3228875176027608
16-20,23-03,R100,PERSIST_10_15,106,0.4716981132075472,0.40367739898815197,-0.8283451132757248,-87.80458200722683,1.1887768541315098,-2.629346869889327,89.42178121330795,4,0,0.0,0.3228875176027608
16-20,23-03,R100,REFINED_BULL_IMPULSE,106,0.4716981132075472,0.40367739898815197,-0.8283451132757248,-87.80458200722683,1.1887768541315098,-2.629346869889327,89.42178121330795,4,0,0.0,0.3228875176027608
20-00,03-07,BASE_H,NO_ABORT,88,0.6022727272727273,0.8162768307688214,-0.18913726498362748,-16.644079318559218,1.3952674039653836,-2.5883786208207016,29.308561397941034,5,0,0.0,0.26449316955573415
20-00,03-07,BASE_H,GLOBAL_PLUS15_SAFE,88,0.5454545454545454,0.8581040809319953,-0.1243935821472177,-10.946635228955158,1.3791435452797354,-1.9286381350595616,20.628817185854896,5,14,0.1590909090909091,0.26449316955573415
20-00,03-07,BASE_H,PERSIST_10_15,88,0.5795454545454546,0.9347266767398961,-0.057546502116986954,-5.064092186294852,1.4219369500496355,-2.0968345037520617,20.533596462404823,5,8,0.09090909090909091,0.26449316955573415
20-00,03-07,BASE_H,REFINED_BULL_IMPULSE,88,0.5795454545454546,0.9347266767398961,-0.057546502116986954,-5.064092186294852,1.4219369500496355,-2.0968345037520617,20.533596462404823,5,8,0.09090909090909091,0.26449316955573415
20-00,03-07,R100,NO_ABORT,88,0.4318181818181818,0.42324769510309124,-0.7253640024893785,-63.832032219065304,1.2327083495252622,-2.2134989900205055,63.8320322190653,11,0,0.0,0.26449316955573415
20-00,03-07,R100,GLOBAL_PLUS15_SAFE,88,0.4090909090909091,0.45797895918310416,-0.6206102972786237,-54.61370616051889,1.2818243830345133,-1.937680460572334,61.58874779599849,11,8,0.09090909090909091,0.26449316955573415
20-00,03-07,R100,PERSIST_10_15,88,0.42045454545454547,0.4387915411690422,-0.6795567386141957,-59.800992998049225,1.2636904690394557,-2.0893635363237073,61.442291224038456,11,5,0.056818181818181816,0.26449316955573415
20-00,03-07,R100,REFINED_BULL_IMPULSE,88,0.42045454545454547,0.4387915411690422,-0.6795567386141957,-59.800992998049225,1.2636904690394557,-2.0893635363237073,61.442291224038456,11,5,0.056818181818181816,0.26449316955573415
