role,partition,dev_block,execution_start,component,outcome,entry_ts,e20_ts,trigger_ts,baseline_exit_ts,baseline_exit_reason,H,L,R,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mae_R_to_e20,closes_gt_H_to_e20,trigger_close_R,trigger_close_vs_E10_R,trigger_high_R,trigger_low_R,trigger_body_R,trigger_upper_wick_R,trigger_lower_wick_R,trigger_traded_E25,trigger_traded_E30,post_e20_peak_R,giveback_peak_to_trigger_close_R,running_mfe_R_to_trigger
REF_SUPPORT,reference_validation,,2026-07-05 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2026-07-05 21:30:00+00:00,2026-07-05 21:30:00+00:00,2026-07-05 21:35:00+00:00,2026-07-05 22:00:00+00:00,TARGET,81.72,80.86,0.8599999999999994,0.0,,-0.13953488372093562,-0.33953488372093565,0.29069767441860483,0,-0.16279069767441937,-0.26279069767441937,-0.09302325581395157,-0.2441860465116208,0.02325581395348376,0.04651162790698404,0.08139534883720143,False,False,0.5697674418604596,0.7325581395348789,0.5697674418604596
REF_SUPPORT,reference_validation,,2026-07-08 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2026-07-08 23:50:00+00:00,2026-07-08 23:50:00+00:00,2026-07-08 23:55:00+00:00,2026-07-09 00:10:00+00:00,FAILED_BREAK,77.65,76.24,1.4100000000000108,0.0,0.0,0.09929078014184362,-0.1007092198581564,0.056737588652490706,1,0.09929078014184362,-0.0007092198581563902,0.13475177304964275,0.07801418439716212,0.007092198581563858,0.03546099290779913,0.014184397163117637,False,False,0.205673758865241,0.10638297872339739,0.205673758865241
REF_SUPPORT,reference_validation,,2026-07-09 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2026-07-09 18:05:00+00:00,2026-07-09 18:05:00+00:00,2026-07-09 18:10:00+00:00,2026-07-09 18:25:00+00:00,FAILED_BREAK,78.16,77.21,0.9500000000000028,0.0,0.0,0.03157894736842216,-0.16842105263157786,0.21052631578947606,1,0.09473684210526646,-0.005263157894733542,0.13684210526316765,-0.03157894736842216,0.07368421052630839,0.042105263157901196,0.05263157894738023,False,False,0.25263157894737726,0.1578947368421108,0.25263157894737726
REF_SUPPORT,reference_validation,,2026-07-12 18:00:00+00:00,PARENT,TRIGGERED_TRUE_STALLER,2026-07-12 19:50:00+00:00,2026-07-12 19:50:00+00:00,2026-07-12 19:55:00+00:00,2026-07-12 20:05:00+00:00,FAILED_BREAK,77.64,77.2,0.4399999999999977,0.0,0.0,0.0909090909091056,-0.10909090909089442,0.18181818181817888,1,0.022727272727284472,-0.07727272727271553,0.1590909090908944,0.0,0.06818181818182112,0.06818181818178883,0.022727272727284472,False,False,0.2727272727272845,0.25,0.2727272727272845
REF_SUPPORT,reference_validation,,2026-07-26 18:00:00+00:00,PARENT,TRIGGERED_E40_RECOVERY,2026-07-26 22:00:00+00:00,2026-07-26 22:00:00+00:00,2026-07-26 22:05:00+00:00,2026-07-26 22:15:00+00:00,TARGET,75.96,74.92,1.039999999999992,0.0,0.0,0.11538461538462064,-0.08461538461537937,0.32692307692306904,1,0.06730769230769992,-0.03269230769230008,0.16346153846154135,0.009615384615389608,0.0384615384615311,0.05769230769231032,0.05769230769231032,False,False,0.22115384615385167,0.15384615384615175,0.22115384615385167
CENTRAL,development,1.0,2022-09-26 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2022-09-26 21:00:00+00:00,2022-09-26 21:10:00+00:00,2022-09-26 21:15:00+00:00,2022-09-26 21:25:00+00:00,FAILED_BREAK,33.41,32.67,0.7399999999999949,10.0,10.0,0.17567567567568035,-0.024324324324319663,0.0675675675675642,3,0.09459459459459563,-0.005405405405404379,0.18918918918919125,0.09459459459459563,0.08108108108108471,0.013513513513510919,0.0,False,False,0.2162162162162227,0.12162162162162707,0.2162162162162227
CENTRAL,development,1.0,2022-12-19 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2022-12-20 14:55:00+00:00,2022-12-20 15:00:00+00:00,2022-12-20 15:05:00+00:00,2022-12-20 16:10:00+00:00,FAILED_BREAK,12.318,11.91,0.4079999999999995,5.0,5.0,0.05882352941176701,-0.14117647058823302,0.27205882352940935,2,0.07352941176470876,-0.026470588235291248,0.14705882352941319,0.029411764705883504,0.014705882352941752,0.07352941176470441,0.029411764705883504,False,False,0.2500000000000011,0.17647058823529235,0.2500000000000011
CENTRAL,development,1.0,2022-12-22 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2022-12-23 02:55:00+00:00,2022-12-23 03:20:00+00:00,2022-12-23 03:25:00+00:00,2022-12-23 03:35:00+00:00,FAILED_BREAK,12.032,11.709,0.3230000000000004,25.0,20.0,0.14551083591331437,-0.05448916408668564,0.10216718266253695,5,0.05572755417956861,-0.0442724458204314,0.14551083591331437,0.024767801857582383,0.08978328173374575,0.0,0.030959752321986226,False,False,0.22910216718266177,0.17337461300309315,0.22910216718266177
CENTRAL,development,2.0,2023-04-13 18:00:00+00:00,REC_H2,TRIGGERED_E40_RECOVERY,2023-04-14 00:40:00+00:00,2023-04-14 00:40:00+00:00,2023-04-14 00:45:00+00:00,2023-04-14 01:15:00+00:00,TARGET,24.831,24.374,0.4570000000000007,0.0,,-0.048140043763672716,-0.2481400437636727,0.22100656455142,0,-0.2800875273522974,-0.38008752735229745,-0.024070021881836358,-0.3960612691466098,0.23413566739605943,0.02188183807440164,0.11597374179431236,False,False,0.34573304157549456,0.625820568927792,0.34573304157549456
CENTRAL,development,5.0,2024-11-27 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2024-11-27 22:25:00+00:00,2024-11-27 22:30:00+00:00,2024-11-27 22:35:00+00:00,2024-11-27 22:50:00+00:00,FAILED_BREAK,241.17,236.49,4.679999999999978,5.0,5.0,0.14102564102564702,-0.05897435897435299,0.06837606837606723,2,0.07478632478632999,-0.025213675213670017,0.21153846153846445,0.05128205128205346,0.06623931623931703,0.07051282051281743,0.02350427350427653,False,False,0.21153846153846445,0.13675213675213446,0.21153846153846445
CENTRAL,development,5.0,2024-12-04 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2024-12-05 02:40:00+00:00,2024-12-05 03:20:00+00:00,2024-12-05 03:25:00+00:00,2024-12-05 03:45:00+00:00,FAILED_BREAK,235.42,224.82,10.599999999999994,40.0,10.0,0.3188679245283043,0.1188679245283043,0.45660377358490356,3,0.09339622641509525,-0.006603773584904757,0.3198113207547185,0.056603773584907834,0.22547169811320905,0.0009433962264142369,0.036792452830187415,True,True,0.33301886792452856,0.2396226415094333,0.33301886792452856
CENTRAL,external,,2020-11-15 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2020-11-16 05:00:00+00:00,2020-11-16 06:30:00+00:00,2020-11-16 06:35:00+00:00,2020-11-16 07:40:00+00:00,FAILED_BREAK,2.2252,2.031,0.1941999999999999,90.0,85.0,0.19515962924819807,-0.004840370751801937,0.04222451081359418,18,0.0030895983522138733,-0.09691040164778614,0.19979402677651772,-0.0365602471678676,0.19670442842430386,0.0,0.039649845520081474,False,False,0.2013388259526258,0.19824922760041194,0.2013388259526258
CENTRAL,external,,2020-11-22 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2020-11-22 18:35:00+00:00,2020-11-22 18:40:00+00:00,2020-11-22 18:45:00+00:00,2020-11-22 20:35:00+00:00,FAILED_BREAK,2.2387,2.1268,0.1119000000000003,5.0,5.0,0.25111706881143625,0.05111706881143624,0.04557640750670322,2,0.05451295799821249,-0.04548704200178751,0.26630920464700397,0.048257372654154015,0.20285969615728222,0.008936550491509269,0.006255585344058472,True,False,0.28596961572832835,0.23145665773011587,0.28596961572832835
CENTRAL,external,,2020-11-24 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2020-11-24 19:50:00+00:00,2020-11-24 19:50:00+00:00,2020-11-24 19:55:00+00:00,2020-11-24 20:05:00+00:00,FAILED_BREAK,2.2567,2.1701,0.0865999999999997,0.0,0.0,0.2240184757505791,0.024018475750579082,0.19515011547344335,1,0.08198614318706592,-0.01801385681293409,0.3706697459584336,0.07967667436489526,0.15242494226328368,0.136258660508084,0.0023094688221706543,True,True,0.3706697459584336,0.2886836027713677,0.3706697459584336
CENTRAL,external,,2021-04-16 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-04-17 07:50:00+00:00,2021-04-17 08:05:00+00:00,2021-04-17 08:10:00+00:00,2021-04-17 08:35:00+00:00,FAILED_BREAK,26.1245,25.1111,1.0134000000000007,15.0,15.0,0.1512729425695657,-0.04872705743043432,0.06542332741267196,4,0.06187092954410844,-0.03812907045589157,0.16419972370238733,0.002170909808563671,0.08693507006118084,0.015393724097098044,0.059700019735544764,False,False,0.2437339648707319,0.18186303532662346,0.2437339648707319
CENTRAL,external,,2021-04-21 18:00:00+00:00,REC_H2,TRIGGERED_E40_RECOVERY,2021-04-22 02:30:00+00:00,2021-04-22 02:40:00+00:00,2021-04-22 02:45:00+00:00,2021-04-22 03:30:00+00:00,TARGET,35.1789,32.7877,2.3911999999999978,10.0,10.0,0.20328705252592877,0.0032870525259287575,0.38700234192037347,3,0.08945299431248019,-0.010547005687519817,0.22461525593844214,0.047465707594514066,0.1185597189695537,0.016602542656408262,0.041987286717966116,False,False,0.22461525593844214,0.13516226162596195,0.22461525593844214
CENTRAL,external,,2021-04-30 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-04-30 18:50:00+00:00,2021-04-30 19:15:00+00:00,2021-04-30 19:20:00+00:00,2021-04-30 19:40:00+00:00,FAILED_BREAK,43.696,42.1,1.5959999999999963,25.0,10.0,0.07512531328320897,-0.12487468671679104,0.23345864661654095,3,0.08759398496240686,-0.012406015037593143,0.12637844611529003,-0.04761904761904805,0.003884711779448481,0.03878446115288317,0.13132832080200643,False,False,0.20112781954887582,0.11353383458646896,0.20112781954887582
CENTRAL,external,,2021-06-05 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-06-06 08:55:00+00:00,2021-06-06 09:00:00+00:00,2021-06-06 09:05:00+00:00,2021-06-06 09:20:00+00:00,FAILED_BREAK,40.632,39.164,1.4679999999999964,5.0,0.0,0.09264305177111928,-0.10735694822888073,0.27792915531335305,1,0.01634877384196251,-0.0836512261580375,0.0946866485013646,-0.122615803814714,0.07833787465940209,0.0,0.13896457765667652,False,False,0.21798365122615876,0.20163487738419625,0.21798365122615876
CENTRAL,external,,2021-08-04 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-08-04 21:35:00+00:00,2021-08-04 22:10:00+00:00,2021-08-04 22:15:00+00:00,2021-08-04 22:40:00+00:00,FAILED_BREAK,36.311,34.731,1.5799999999999983,35.0,20.0,0.19936708860759372,-0.0006329113924062879,0.10822784810126554,5,0.09683544303797396,-0.003164556962026041,0.22531645569620382,0.0949367088607587,0.09746835443038204,0.031012658227847812,0.001898734177215264,False,False,0.22531645569620382,0.12848101265822987,0.22531645569620382
CENTRAL,external,,2021-12-14 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2021-12-14 23:55:00+00:00,2021-12-15 00:30:00+00:00,2021-12-15 00:35:00+00:00,2021-12-15 00:45:00+00:00,FAILED_BREAK,161.66,153.6,8.060000000000002,35.0,10.0,0.12779156327543434,-0.07220843672456567,0.1935483870967744,3,0.050868486352356884,-0.04913151364764312,0.16004962779156223,0.04466501240694957,0.07692307692307747,0.03225806451612789,0.006203473945407312,False,False,0.24689826302729634,0.19602977667493945,0.24689826302729634
CENTRAL,reference_validation,,2025-02-15 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2025-02-15 23:25:00+00:00,2025-02-16 00:15:00+00:00,2025-02-16 00:20:00+00:00,2025-02-16 00:45:00+00:00,FAILED_BREAK,194.93,193.15,1.7800000000000011,50.0,0.0,0.011235955056169549,-0.18876404494383045,0.5168539325842783,1,0.011235955056169549,-0.08876404494383046,0.05617977528089565,-0.10674157303370652,0.005617977528084774,0.0449438202247261,0.1123595505617913,False,False,0.2640449438202239,0.2528089887640544,0.2640449438202239
CENTRAL,reference_validation,,2025-02-19 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2025-02-20 10:40:00+00:00,2025-02-20 11:25:00+00:00,2025-02-20 11:30:00+00:00,2025-02-20 12:55:00+00:00,FAILED_BREAK,173.38,168.03,5.349999999999994,45.0,35.0,0.2130841121495357,0.013084112149535698,0.09345794392523374,8,0.097196261682245,-0.002803738317755003,0.2485981308411241,0.07663551401869104,0.11775700934579367,0.033644859813085425,0.020560747663553973,False,False,0.3196261682243009,0.2224299065420559,0.3196261682243009
CENTRAL,reference_validation,,2025-03-11 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2025-03-11 18:40:00+00:00,2025-03-11 19:55:00+00:00,2025-03-11 20:00:00+00:00,2025-03-11 20:40:00+00:00,FAILED_BREAK,126.71,118.53,8.179999999999993,75.0,70.0,0.16503667481662712,-0.03496332518337289,0.06479217603911827,15,0.08679706601467098,-0.013202933985329027,0.1784841075794615,0.0745721271393643,0.07701711491442668,0.014669926650363842,0.012224938875306677,False,False,0.2017114914425454,0.11491442542787443,0.2017114914425454
CENTRAL,reference_validation,,2025-03-19 18:00:00+00:00,REC_H2,TRIGGERED_E40_RECOVERY,2025-03-19 19:40:00+00:00,2025-03-19 19:45:00+00:00,2025-03-19 19:50:00+00:00,2025-03-19 20:05:00+00:00,TARGET,132.71,129.6,3.1100000000000136,5.0,5.0,0.019292604501608364,-0.18070739549839165,0.17363344051447527,2,0.02250803858520671,-0.0774919614147933,0.03858520900321673,-0.11897106109324852,0.0032154340835983475,0.016077170418010017,0.1382636655948569,False,False,0.21221864951768285,0.18971061093247615,0.21221864951768285
CENTRAL,reference_validation,,2025-05-09 18:00:00+00:00,REC_H2,TRIGGERED_TRUE_STALLER,2025-05-09 21:35:00+00:00,2025-05-09 23:00:00+00:00,2025-05-09 23:05:00+00:00,2025-05-09 23:40:00+00:00,FAILED_BREAK,172.64,167.4,5.239999999999981,85.0,40.0,0.11450381679389789,-0.08549618320610212,0.1832061068702258,9,0.08015267175572853,-0.019847328244271475,0.12977099236641398,0.06297709923664384,0.036259541984732524,0.013358778625952946,0.017175572519084685,False,False,0.21946564885496372,0.13931297709923518,0.21946564885496372
