partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,H,L,range,F85,F35,E20,k1_signal_bar_start,k1_signal_ts,leave_bar_start,leave_ts,h2_bar_start,opposite_break_bar_start,touch_bar_start,same_bar_confirmed,entry_executed,entry_bar_start,entry_px,entry_fraction,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,tp_hit,time_exit,case_status,entry_executed_b,tp_hit_b,time_exit_b,zone,trade_key,regime_available_ts,regime_at_signal,touch_elapsed_min,no_bear,touch_first_half,rr_ge_050
external,2020-06-10,480,2020-06-10 08:00:00+00:00,2020-06-10 13:30:00+00:00,2020-06-10 13:30:00+00:00,2020-06-10 20:00:00+00:00,9774.0,9706.0,68.0,9763.8,9729.8,9787.6,2020-06-10 13:35:00+00:00,2020-06-10 13:40:00+00:00,2020-06-10 13:40:00+00:00,2020-06-10 13:45:00+00:00,2020-06-10 16:45:00+00:00,,2020-06-10 16:05:00+00:00,True,True,2020-06-10 16:10:00+00:00,9768.22,0.9149999999999904,0.5044247787610875,2020-06-10 18:00:00+00:00,2020-06-10 18:00:00+00:00,9787.6,TP_E20,0.0019839847996871,0.5919923998435997,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-06-10 16:10:00+00:00,2020-06-10 12:00:00+00:00,BULL,155.0,True,True,True
external,2020-06-16,210,2020-06-16 03:30:00+00:00,2020-06-16 09:00:00+00:00,2020-06-16 09:00:00+00:00,2020-06-16 15:30:00+00:00,9575.0,9450.0,125.0,9556.25,9493.75,9600.0,2020-06-16 12:55:00+00:00,2020-06-16 13:00:00+00:00,2020-06-16 13:00:00+00:00,2020-06-16 13:05:00+00:00,2020-06-16 13:10:00+00:00,,2020-06-16 13:05:00+00:00,True,True,2020-06-16 13:10:00+00:00,9570.09,0.9607200000000012,0.3917998428084857,2020-06-16 14:35:00+00:00,2020-06-16 14:40:00+00:00,9492.32,CLOSE_INVALIDATION_F35,-0.0081263603581576,-4.463180179078807,False,False,TRADE_EXECUTED,True,False,False,ALT_0330,ALT_0330|external|2020-06-16 13:10:00+00:00,2020-06-16 12:00:00+00:00,BULL,245.0,True,False,False
external,2020-07-22,480,2020-07-22 08:00:00+00:00,2020-07-22 13:30:00+00:00,2020-07-22 13:30:00+00:00,2020-07-22 20:00:00+00:00,9355.0,9292.56,62.44000000000051,9345.634,9314.414,9367.488,2020-07-22 15:00:00+00:00,2020-07-22 15:05:00+00:00,2020-07-22 15:05:00+00:00,2020-07-22 15:10:00+00:00,2020-07-22 17:25:00+00:00,,2020-07-22 15:35:00+00:00,True,True,2020-07-22 15:40:00+00:00,9346.31,0.860826393337597,0.6639704038123733,2020-07-22 17:40:00+00:00,2020-07-22 17:40:00+00:00,9367.488,TP_E20,0.0022659209891389,0.7329604945694571,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-07-22 15:40:00+00:00,2020-07-22 12:00:00+00:00,BULL,125.0,True,True,True
external,2020-07-24,480,2020-07-24 08:00:00+00:00,2020-07-24 13:30:00+00:00,2020-07-24 13:30:00+00:00,2020-07-24 20:00:00+00:00,9565.0,9490.0,75.0,9553.75,9516.25,9580.0,2020-07-24 15:45:00+00:00,2020-07-24 15:50:00+00:00,2020-07-24 15:50:00+00:00,2020-07-24 15:55:00+00:00,2020-07-24 16:50:00+00:00,,2020-07-24 15:55:00+00:00,True,True,2020-07-24 16:00:00+00:00,9554.76,0.8634666666666696,0.6554141781355398,2020-07-24 16:50:00+00:00,2020-07-24 16:50:00+00:00,9580.0,TP_E20,0.0026416152786674,0.920807639333732,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-07-24 16:00:00+00:00,2020-07-24 12:00:00+00:00,BULL,145.0,True,True,True
external,2020-08-26,210,2020-08-26 03:30:00+00:00,2020-08-26 09:00:00+00:00,2020-08-26 09:00:00+00:00,2020-08-26 15:30:00+00:00,11400.0,11303.81,96.19000000000052,11385.5715,11337.4765,11419.238,2020-08-26 10:05:00+00:00,2020-08-26 10:10:00+00:00,2020-08-26 10:10:00+00:00,2020-08-26 10:15:00+00:00,2020-08-26 10:20:00+00:00,,2020-08-26 10:15:00+00:00,True,True,2020-08-26 10:20:00+00:00,11393.78,0.9353363135461138,0.4521566154856786,2020-08-26 10:25:00+00:00,2020-08-26 10:25:00+00:00,11419.238,TP_E20,0.0022343770021888,0.7171885010944349,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2020-08-26 10:20:00+00:00,2020-08-26 08:00:00+00:00,BEAR,75.0,False,True,False
external,2020-09-09,210,2020-09-09 03:30:00+00:00,2020-09-09 09:00:00+00:00,2020-09-09 09:00:00+00:00,2020-09-09 15:30:00+00:00,10208.06,9996.45,211.6099999999988,10176.3185,10070.5135,10250.382,2020-09-09 10:00:00+00:00,2020-09-09 10:05:00+00:00,2020-09-09 10:05:00+00:00,2020-09-09 10:10:00+00:00,2020-09-09 11:15:00+00:00,,2020-09-09 10:25:00+00:00,True,True,2020-09-09 10:30:00+00:00,10176.38,0.8502906289872857,0.6990124354729931,2020-09-09 11:15:00+00:00,2020-09-09 11:15:00+00:00,10250.382,TP_E20,0.0072719375652245,3.235968782612298,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2020-09-09 10:30:00+00:00,2020-09-09 08:00:00+00:00,BEAR,85.0,False,True,True
external,2020-09-11,480,2020-09-11 08:00:00+00:00,2020-09-11 13:30:00+00:00,2020-09-11 13:30:00+00:00,2020-09-11 20:00:00+00:00,10334.99,10251.32,83.67000000000007,10322.4395,10280.6045,10351.724,2020-09-11 16:00:00+00:00,2020-09-11 16:05:00+00:00,2020-09-11 16:05:00+00:00,2020-09-11 16:10:00+00:00,2020-09-11 16:30:00+00:00,,2020-09-11 16:25:00+00:00,True,True,2020-09-11 16:30:00+00:00,10331.99,0.964144854786662,0.3840382987418679,2020-09-11 17:00:00+00:00,2020-09-11 17:05:00+00:00,10277.85,CLOSE_INVALIDATION_F35,-0.0052400360433952,-3.0200180216976453,False,False,TRADE_EXECUTED,True,False,False,LONDON,LONDON|external|2020-09-11 16:30:00+00:00,2020-09-11 16:00:00+00:00,BULL,175.0,True,True,False
external,2020-09-16,210,2020-09-16 03:30:00+00:00,2020-09-16 09:00:00+00:00,2020-09-16 09:00:00+00:00,2020-09-16 15:30:00+00:00,10937.52,10741.74,195.78000000000063,10908.153,10810.263,10976.676,2020-09-16 12:45:00+00:00,2020-09-16 12:50:00+00:00,2020-09-16 12:50:00+00:00,2020-09-16 12:55:00+00:00,2020-09-16 13:10:00+00:00,,2020-09-16 12:55:00+00:00,True,True,2020-09-16 13:00:00+00:00,10919.24,0.9066298906936326,0.5270469915670468,2020-09-16 15:30:00+00:00,2020-09-16 15:30:00+00:00,10952.23,TIME_EXIT_EXEC_END,0.0030212725427776,1.11063627138881,False,True,TRADE_EXECUTED,True,False,True,ALT_0330,ALT_0330|external|2020-09-16 13:00:00+00:00,2020-09-16 12:00:00+00:00,BULL,235.0,True,False,True
external,2020-10-05,480,2020-10-05 08:00:00+00:00,2020-10-05 13:30:00+00:00,2020-10-05 13:30:00+00:00,2020-10-05 20:00:00+00:00,10729.96,10650.0,79.95999999999913,10717.966,10677.986,10745.952,2020-10-05 14:00:00+00:00,2020-10-05 14:05:00+00:00,2020-10-05 14:10:00+00:00,2020-10-05 14:15:00+00:00,2020-10-05 14:30:00+00:00,,2020-10-05 14:15:00+00:00,True,True,2020-10-05 14:20:00+00:00,10723.0,0.9129564782391296,0.5098858133025012,2020-10-05 20:00:00+00:00,2020-10-05 20:00:00+00:00,10724.12,TIME_EXIT_EXEC_END,0.0001044483819827,-0.347775809008621,False,True,TRADE_EXECUTED,True,False,True,LONDON,LONDON|external|2020-10-05 14:20:00+00:00,2020-10-05 12:00:00+00:00,BULL,45.0,True,True,True
external,2020-10-15,480,2020-10-15 08:00:00+00:00,2020-10-15 13:30:00+00:00,2020-10-15 13:30:00+00:00,2020-10-15 20:00:00+00:00,11402.11,11250.0,152.11000000000058,11379.2935,11303.2385,11432.532,2020-10-15 13:50:00+00:00,2020-10-15 13:55:00+00:00,2020-10-15 14:05:00+00:00,2020-10-15 14:10:00+00:00,2020-10-15 15:15:00+00:00,,2020-10-15 14:10:00+00:00,True,True,2020-10-15 14:15:00+00:00,11381.01,0.8612845966734581,0.6624791858200029,2020-10-15 16:20:00+00:00,2020-10-15 16:20:00+00:00,11432.532,TP_E20,0.0045270147377078,1.8635073688539452,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-10-15 14:15:00+00:00,2020-10-15 12:00:00+00:00,SIDEWAYS,40.0,True,True,True
