rule,source_tf,family,side_type,mode,signal_i,signal_ts,side,level,instance,week,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,WIN,event_key,p_hold,route,partition
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,19280,2022-03-14 08:00:00+00:00,SHORT,39176.8,H1|PREV_HIGH|2022-03-14T07:00:00+00:00,2022-W11,2022-03-14 09:00:00+00:00,2022-03-14 13:00:00+00:00,39060.3,38611.106550000004,39392.31255,TP,0.009999999999999955,5,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-03-14T07:00:00+00:00,0.581156339326284,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,19441,2022-03-21 01:00:00+00:00,SHORT,41261.0,H1|PREV_OPEN|2022-03-21T00:00:00+00:00,2022-W12,2022-03-21 02:00:00+00:00,2022-03-21 02:00:00+00:00,41215.1,40741.12635,41565.428349999995,TP,0.009999999999999955,1,1,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2022-03-21T00:00:00+00:00,0.5858317209442465,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,19608,2022-03-28 00:00:00+00:00,LONG,46880.0,H1|PREV_HIGH|2022-03-27T23:00:00+00:00,2022-W13,2022-03-28 01:00:00+00:00,2022-03-28 13:00:00+00:00,46916.0,47455.534,46517.214,TP,0.010000000000000066,13,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2022-03-27T23:00:00+00:00,0.600147114802519,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,19778,2022-04-04 02:00:00+00:00,SHORT,46032.1,H1|PREV_HIGH|2022-04-04T01:00:00+00:00,2022-W14,2022-04-04 03:00:00+00:00,2022-04-04 17:00:00+00:00,46022.1,45492.84585,46413.28784999999,TP,0.010000000000000066,15,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-04-04T01:00:00+00:00,0.57919931411251,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,19945,2022-04-11 01:00:00+00:00,SHORT,42373.1,H1|PREV_HIGH|2022-04-11T00:00:00+00:00,2022-W15,2022-04-11 02:00:00+00:00,2022-04-11 09:00:00+00:00,42150.0,41665.275,42508.275,TP,0.009999999999999955,8,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-04-11T00:00:00+00:00,0.5645649926935111,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,20113,2022-04-18 01:00:00+00:00,SHORT,39750.0,H1|PREV_HIGH|2022-04-18T00:00:00+00:00,2022-W16,2022-04-18 02:00:00+00:00,2022-04-18 04:00:00+00:00,39732.3,39275.37855,40070.02455,TP,0.010000000000000066,3,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-04-18T00:00:00+00:00,0.5927930114064894,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,20282,2022-04-25 02:00:00+00:00,SHORT,39130.0,H1|PREV_HIGH|2022-04-25T01:00:00+00:00,2022-W17,2022-04-25 03:00:00+00:00,2022-04-25 06:00:00+00:00,39066.6,38617.3341,39398.666099999995,TP,0.009999999999999955,4,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-04-25T01:00:00+00:00,0.5765668117142081,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_HIGH|SUPPORT|HOLD,H1,R3_HIGH,SUPPORT,HOLD,20448,2022-05-02 00:00:00+00:00,LONG,38600.0,H1|R3_HIGH|2022-05-01T23:00:00+00:00,2022-W18,2022-05-02 01:00:00+00:00,2022-05-02 04:00:00+00:00,38648.9,39093.36235,38320.38435,TP,0.010000000000000066,4,1,H1|R3_HIGH|LONG|H1|R3_HIGH|2022-05-01T23:00:00+00:00,0.6131712834194722,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|SUPPORT|HOLD,H1,PREV_OPEN,SUPPORT,HOLD,20617,2022-05-09 01:00:00+00:00,LONG,34032.1,H1|PREV_OPEN|2022-05-09T00:00:00+00:00,2022-W19,2022-05-09 02:00:00+00:00,2022-05-09 02:00:00+00:00,34050.1,34441.67615,33760.67415,SL,-0.009999999999999952,1,0,H1|PREV_OPEN|LONG|H1|PREV_OPEN|2022-05-09T00:00:00+00:00,0.5702089356366237,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|SUPPORT|HOLD,H1,PREV_LOW,SUPPORT,HOLD,20791,2022-05-16 07:00:00+00:00,LONG,29361.1,H1|PREV_LOW|2022-05-16T06:00:00+00:00,2022-W20,2022-05-16 08:00:00+00:00,2022-05-16 10:00:00+00:00,29572.7,29912.786050000002,29321.33205,TP,0.010000000000000066,3,1,H1|PREV_LOW|LONG|H1|PREV_LOW|2022-05-16T06:00:00+00:00,0.5817176657186699,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|SUPPORT|HOLD,H1,PREV_OPEN,SUPPORT,HOLD,20952,2022-05-23 00:00:00+00:00,LONG,30266.1,H1|PREV_OPEN|2022-05-22T23:00:00+00:00,2022-W21,2022-05-23 01:00:00+00:00,2022-05-23 06:00:00+00:00,30267.2,30615.272800000002,30009.9288,TP,0.010000000000000066,6,1,H1|PREV_OPEN|LONG|H1|PREV_OPEN|2022-05-22T23:00:00+00:00,0.570208675697958,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,21120,2022-05-30 00:00:00+00:00,SHORT,29386.9,H1|PREV_LOW|2022-05-29T23:00:00+00:00,2022-W22,2022-05-30 01:00:00+00:00,2022-05-30 01:00:00+00:00,29318.2,28981.0407,29567.4047,SL,-0.009999999999999952,1,0,H1|PREV_LOW|SHORT|H1|PREV_LOW|2022-05-29T23:00:00+00:00,0.5723908090011883,LEVEL_SURVIVAL_TRIGGER,development
H4|R12_HIGH|SUPPORT|HOLD,H4,R12_HIGH,SUPPORT,HOLD,21288,2022-06-06 00:00:00+00:00,LONG,30250.0,H4|R12_HIGH|2022-06-05T16:00:00+00:00,2022-W23,2022-06-06 01:00:00+00:00,2022-06-06 01:00:00+00:00,30285.3,30633.58095,30027.87495,TP,0.010000000000000066,1,1,H4|R12_HIGH|LONG|H4|R12_HIGH|2022-06-05T16:00:00+00:00,0.5763563258064253,LEVEL_SURVIVAL_TRIGGER,development
W1|R12_LOW|RESISTANCE|HOLD,W1,R12_LOW,RESISTANCE,HOLD,21456,2022-06-13 00:00:00+00:00,SHORT,26538.7,W1|R12_LOW|2022-06-06T00:00:00+00:00,2022-W24,2022-06-13 01:00:00+00:00,2022-06-13 01:00:00+00:00,26291.2,25988.8512,26514.675199999998,TP,0.009999999999999955,1,1,W1|R12_LOW|SHORT|W1|R12_LOW|2022-06-06T00:00:00+00:00,0.701786075188174,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_HIGH|RESISTANCE|HOLD,H4,PREV_HIGH,RESISTANCE,HOLD,21639,2022-06-20 15:00:00+00:00,SHORT,21050.0,H4|PREV_HIGH|2022-06-20T08:00:00+00:00,2022-W25,2022-06-20 16:00:00+00:00,2022-06-20 16:00:00+00:00,20815.4,20576.022900000004,20992.3309,TP,0.009999999999999844,1,1,H4|PREV_HIGH|SHORT|H4|PREV_HIGH|2022-06-20T08:00:00+00:00,0.5799016743477885,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_LOW|SUPPORT|HOLD,D1,PREV_LOW,SUPPORT,HOLD,21793,2022-06-27 01:00:00+00:00,LONG,20952.0,D1|PREV_LOW|2022-06-26T00:00:00+00:00,2022-W26,2022-06-27 02:00:00+00:00,2022-06-27 07:00:00+00:00,21080.0,21322.420000000002,20900.82,TP,0.010000000000000066,6,1,D1|PREV_LOW|LONG|D1|PREV_LOW|2022-06-26T00:00:00+00:00,0.6153402456915332,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,21970,2022-07-04 10:00:00+00:00,LONG,19440.0,H1|PREV_HIGH|2022-07-04T09:00:00+00:00,2022-W27,2022-07-04 11:00:00+00:00,2022-07-04 11:00:00+00:00,19458.1,19681.86815,19292.706149999998,TP,0.010000000000000066,1,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2022-07-04T09:00:00+00:00,0.5941343643113365,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,22128,2022-07-11 00:00:00+00:00,SHORT,20830.1,H1|PREV_OPEN|2022-07-10T23:00:00+00:00,2022-W28,2022-07-11 01:00:00+00:00,2022-07-11 01:00:00+00:00,20804.1,20564.85285,20980.934849999998,TP,0.009999999999999955,1,1,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2022-07-10T23:00:00+00:00,0.6001724988724513,LEVEL_SURVIVAL_TRIGGER,development
W1|PREV_OPEN|SUPPORT|HOLD,W1,PREV_OPEN,SUPPORT,HOLD,22297,2022-07-18 01:00:00+00:00,LONG,20853.8,W1|PREV_OPEN|2022-07-11T00:00:00+00:00,2022-W29,2022-07-18 02:00:00+00:00,2022-07-18 02:00:00+00:00,20969.6,21210.7504,20791.3584,TP,0.010000000000000066,1,1,W1|PREV_OPEN|LONG|W1|PREV_OPEN|2022-07-11T00:00:00+00:00,0.5646713715380948,LEVEL_SURVIVAL_TRIGGER,development
H1|R6_LOW|RESISTANCE|HOLD,H1,R6_LOW,RESISTANCE,HOLD,22465,2022-07-25 01:00:00+00:00,SHORT,22257.1,H1|R6_LOW|2022-07-25T00:00:00+00:00,2022-W30,2022-07-25 02:00:00+00:00,2022-07-25 02:00:00+00:00,22199.4,21944.106900000002,22388.0949,TP,0.009999999999999955,1,1,H1|R6_LOW|SHORT|H1|R6_LOW|2022-07-25T00:00:00+00:00,0.6087155418067316,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,22632,2022-08-01 00:00:00+00:00,SHORT,23369.0,H1|PREV_OPEN|2022-07-31T23:00:00+00:00,2022-W31,2022-08-01 01:00:00+00:00,2022-08-01 10:00:00+00:00,23365.8,23097.0933,23564.4093,TP,0.009999999999999955,10,1,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2022-07-31T23:00:00+00:00,0.5782848915482269,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,22800,2022-08-08 00:00:00+00:00,LONG,23245.0,H1|PREV_HIGH|2022-08-07T23:00:00+00:00,2022-W32,2022-08-08 01:00:00+00:00,2022-08-08 06:00:00+00:00,23251.8,23519.1957,23054.1597,TP,0.010000000000000066,6,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2022-08-07T23:00:00+00:00,0.5947416328126338,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,22968,2022-08-15 00:00:00+00:00,LONG,24340.0,H1|PREV_HIGH|2022-08-14T23:00:00+00:00,2022-W33,2022-08-15 01:00:00+00:00,2022-08-15 02:00:00+00:00,24387.5,24667.956250000003,24180.206250000003,TP,0.010000000000000066,2,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2022-08-14T23:00:00+00:00,0.5640199401539522,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|RESISTANCE|HOLD,H4,PREV_OPEN,RESISTANCE,HOLD,23136,2022-08-22 00:00:00+00:00,SHORT,21498.9,H4|PREV_OPEN|2022-08-21T20:00:00+00:00,2022-W34,2022-08-22 01:00:00+00:00,2022-08-22 07:00:00+00:00,21441.2,21194.626200000002,21623.4502,TP,0.009999999999999955,7,1,H4|PREV_OPEN|SHORT|H4|PREV_OPEN|2022-08-21T20:00:00+00:00,0.5728568185719708,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,23306,2022-08-29 02:00:00+00:00,LONG,19671.9,H1|PREV_HIGH|2022-08-29T01:00:00+00:00,2022-W35,2022-08-29 03:00:00+00:00,2022-08-29 12:00:00+00:00,19752.3,19979.45145,19584.405450000002,TP,0.010000000000000066,10,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2022-08-29T01:00:00+00:00,0.5877683821516148,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|RESISTANCE|HOLD,H1,R3_LOW,RESISTANCE,HOLD,23482,2022-09-05 10:00:00+00:00,SHORT,19700.0,H1|R3_LOW|2022-09-05T07:00:00+00:00,2022-W36,2022-09-05 11:00:00+00:00,2022-09-05 14:00:00+00:00,19686.4,19460.006400000002,19853.7344,SL,-0.009999999999999952,4,0,H1|R3_LOW|SHORT|H1|R3_LOW|2022-09-05T07:00:00+00:00,0.5888592365154556,LEVEL_SURVIVAL_TRIGGER,development
H4|R12_HIGH|RESISTANCE|HOLD,H4,R12_HIGH,RESISTANCE,HOLD,23651,2022-09-12 11:00:00+00:00,SHORT,22388.0,H4|R12_HIGH|2022-09-12T00:00:00+00:00,2022-W37,2022-09-12 12:00:00+00:00,2022-09-12 15:00:00+00:00,22301.0,22044.538500000002,22490.5585,TP,0.009999999999999844,4,1,H4|R12_HIGH|SHORT|H4|R12_HIGH|2022-09-12T00:00:00+00:00,0.5973016935110007,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,23812,2022-09-19 04:00:00+00:00,SHORT,18821.6,H1|PREV_HIGH|2022-09-19T03:00:00+00:00,2022-W38,2022-09-19 05:00:00+00:00,2022-09-19 05:00:00+00:00,18804.4,18588.149400000002,18964.2374,TP,0.009999999999999955,1,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-09-19T03:00:00+00:00,0.6192920549152319,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,23976,2022-09-26 00:00:00+00:00,SHORT,18778.5,H1|PREV_OPEN|2022-09-25T23:00:00+00:00,2022-W39,2022-09-26 01:00:00+00:00,2022-09-26 02:00:00+00:00,18765.7,18549.89445,18925.20845,SL,-0.009999999999999952,2,0,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2022-09-25T23:00:00+00:00,0.5765974538662142,LEVEL_SURVIVAL_TRIGGER,development
H1|SWING2_LOW|SUPPORT|HOLD,H1,SWING2_LOW,SUPPORT,HOLD,24144,2022-10-03 00:00:00+00:00,LONG,19060.0,H1|SWING2_LOW|2022-10-02T14:00:00+00:00,2022-W40,2022-10-03 01:00:00+00:00,2022-10-03 06:00:00+00:00,19083.9,19303.36485,18921.686850000002,TP,0.010000000000000066,6,1,H1|SWING2_LOW|LONG|H1|SWING2_LOW|2022-10-02T14:00:00+00:00,0.5762348117006736,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,24315,2022-10-10 03:00:00+00:00,SHORT,19441.5,H1|PREV_LOW|2022-10-10T02:00:00+00:00,2022-W41,2022-10-10 04:00:00+00:00,2022-10-10 08:00:00+00:00,19441.1,19217.52735,19606.349349999997,TP,0.009999999999999955,5,1,H1|PREV_LOW|SHORT|H1|PREV_LOW|2022-10-10T02:00:00+00:00,0.5643218376879052,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|SUPPORT|HOLD,H1,PREV_LOW,SUPPORT,HOLD,24480,2022-10-17 00:00:00+00:00,LONG,19217.0,H1|PREV_LOW|2022-10-16T23:00:00+00:00,2022-W42,2022-10-17 01:00:00+00:00,2022-10-17 11:00:00+00:00,19220.0,19441.030000000002,19056.63,TP,0.010000000000000066,11,1,H1|PREV_LOW|LONG|H1|PREV_LOW|2022-10-16T23:00:00+00:00,0.566207601899106,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|SUPPORT|HOLD,H4,PREV_OPEN,SUPPORT,HOLD,24648,2022-10-24 00:00:00+00:00,LONG,19492.3,H4|PREV_OPEN|2022-10-23T20:00:00+00:00,2022-W43,2022-10-24 01:00:00+00:00,2022-10-24 03:00:00+00:00,19510.4,19734.769600000003,19344.5616,SL,-0.010000000000000063,3,0,H4|PREV_OPEN|LONG|H4|PREV_OPEN|2022-10-23T20:00:00+00:00,0.6192148245942531,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,24816,2022-10-31 00:00:00+00:00,SHORT,20540.0,H1|PREV_LOW|2022-10-30T23:00:00+00:00,2022-W44,2022-10-31 01:00:00+00:00,2022-10-31 09:00:00+00:00,20532.7,20296.57395,20707.22795,SL,-0.009999999999999952,9,0,H1|PREV_LOW|SHORT|H1|PREV_LOW|2022-10-30T23:00:00+00:00,0.5808489441340591,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|RESISTANCE|HOLD,H1,PREV_HIGH,RESISTANCE,HOLD,24986,2022-11-07 02:00:00+00:00,SHORT,20990.7,H1|PREV_HIGH|2022-11-07T01:00:00+00:00,2022-W45,2022-11-07 03:00:00+00:00,2022-11-07 07:00:00+00:00,20977.4,20736.159900000002,21155.7079,TP,0.009999999999999955,5,1,H1|PREV_HIGH|SHORT|H1|PREV_HIGH|2022-11-07T01:00:00+00:00,0.6149594637230283,LEVEL_SURVIVAL_TRIGGER,development
D1|R3_LOW|RESISTANCE|HOLD,D1,R3_LOW,RESISTANCE,HOLD,25154,2022-11-14 02:00:00+00:00,SHORT,16210.3,D1|R3_LOW|2022-11-13T00:00:00+00:00,2022-W46,2022-11-14 03:00:00+00:00,2022-11-14 04:00:00+00:00,16168.2,15982.265700000002,16305.6297,TP,0.009999999999999955,2,1,D1|R3_LOW|SHORT|D1|R3_LOW|2022-11-13T00:00:00+00:00,0.5820815688106996,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,25321,2022-11-21 01:00:00+00:00,SHORT,16272.7,H1|PREV_OPEN|2022-11-21T00:00:00+00:00,2022-W47,2022-11-21 02:00:00+00:00,2022-11-21 02:00:00+00:00,16204.4,16018.0494,16342.1374,TP,0.009999999999999955,1,1,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2022-11-21T00:00:00+00:00,0.607401499087689,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_OPEN|RESISTANCE|HOLD,D1,PREV_OPEN,RESISTANCE,HOLD,25488,2022-11-28 00:00:00+00:00,SHORT,16449.2,D1|PREV_OPEN|2022-11-27T00:00:00+00:00,2022-W48,2022-11-28 01:00:00+00:00,2022-11-28 01:00:00+00:00,16436.4,16247.381400000002,16576.1094,TP,0.009999999999999955,1,1,D1|PREV_OPEN|SHORT|D1|PREV_OPEN|2022-11-27T00:00:00+00:00,0.617327273745241,LEVEL_SURVIVAL_TRIGGER,development
D1|PREV_HIGH|SUPPORT|HOLD,D1,PREV_HIGH,SUPPORT,HOLD,25657,2022-12-05 01:00:00+00:00,LONG,17206.2,D1|PREV_HIGH|2022-12-04T00:00:00+00:00,2022-W49,2022-12-05 02:00:00+00:00,2022-12-05 15:00:00+00:00,17256.9,17455.35435,17110.216350000002,SL,-0.009999999999999952,14,0,D1|PREV_HIGH|LONG|D1|PREV_HIGH|2022-12-04T00:00:00+00:00,0.5751823184553614,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,25831,2022-12-12 07:00:00+00:00,SHORT,16917.5,H1|PREV_LOW|2022-12-12T06:00:00+00:00,2022-W50,2022-12-12 08:00:00+00:00,2022-12-12 20:00:00+00:00,16916.2,16721.6637,17059.9877,SL,-0.009999999999999952,13,0,H1|PREV_LOW|SHORT|H1|PREV_LOW|2022-12-12T06:00:00+00:00,0.6310647858894741,LEVEL_SURVIVAL_TRIGGER,development
H4|SWING2_HIGH|RESISTANCE|HOLD,H4,SWING2_HIGH,RESISTANCE,HOLD,25992,2022-12-19 00:00:00+00:00,SHORT,16795.0,H4|SWING2_HIGH|2022-12-18T04:00:00+00:00,2022-W51,2022-12-19 01:00:00+00:00,2022-12-19 17:00:00+00:00,16766.9,16574.080650000004,16909.41865,TP,0.009999999999999844,17,1,H4|SWING2_HIGH|SHORT|H4|SWING2_HIGH|2022-12-18T04:00:00+00:00,0.5694619273756233,LEVEL_SURVIVAL_TRIGGER,development
H4|R12_HIGH|RESISTANCE|HOLD,H4,R12_HIGH,RESISTANCE,HOLD,26161,2022-12-26 01:00:00+00:00,SHORT,16859.9,H4|R12_HIGH|2022-12-24T16:00:00+00:00,2022-W52,2022-12-26 02:00:00+00:00,2022-12-27 17:00:00+00:00,16845.6,16651.8756,16988.787599999996,TP,0.009999999999999955,40,1,H4|R12_HIGH|SHORT|H4|R12_HIGH|2022-12-24T16:00:00+00:00,0.5866975635260105,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_HIGH|SUPPORT|HOLD,H1,PREV_HIGH,SUPPORT,HOLD,26330,2023-01-02 02:00:00+00:00,LONG,16579.3,H1|PREV_HIGH|2023-01-02T01:00:00+00:00,2023-W01,2023-01-02 03:00:00+00:00,2023-01-02 21:00:00+00:00,16580.4,16771.074600000004,16439.466600000003,TP,0.010000000000000066,19,1,H1|PREV_HIGH|LONG|H1|PREV_HIGH|2023-01-02T01:00:00+00:00,0.5649903869687533,LEVEL_SURVIVAL_TRIGGER,development
