partition,entry_ts,exit_ts_norm,pnl,side,source,clock_min_norm,candidate_id,blocked_by_long,side_order,portfolio,accepted_portfolio,blocked_by_side,blocked_by_id,set,scenario
development,2024-08-07 09:20:00+00:00,2024-08-07 10:30:00+00:00,1.8039479415300048,LONG,LONG_ALT_0330,-1,development|LONG|ALT_0330|2024-08-07 09:20:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-08-08 11:50:00+00:00,2024-08-08 12:40:00+00:00,5.221152575383425,LONG,LONG_RAW_0530,-1,development|LONG|RAW_0530|2024-08-08 11:50:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-08-16 17:45:00+00:00,2024-08-16 18:15:00+00:00,2.248617083941929,LONG,LONG_LONDON,-1,development|LONG|LONDON|2024-08-16 17:45:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-08-19 17:25:00+00:00,2024-08-19 17:45:00+00:00,2.0416388756550723,LONG,LONG_LONDON,-1,development|LONG|LONDON|2024-08-19 17:25:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-08-28 15:35:00+00:00,2024-08-28 16:15:00+00:00,3.076562967113517,SHORT,SHORT_0430,270,development|SHORT|270|2024-08-28 15:35:00+00:00,,1,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-08-30 12:30:00+00:00,2024-08-30 12:40:00+00:00,-0.04636647856608411,LONG,LONG_RAW_0530,-1,development|LONG|RAW_0530|2024-08-30 12:30:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-09-09 13:35:00+00:00,2024-09-09 14:05:00+00:00,1.2659056083082603,LONG,LONG_RAW_0530,-1,development|LONG|RAW_0530|2024-09-09 13:35:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-09-19 14:25:00+00:00,2024-09-19 17:15:00+00:00,2.3004504575800504,LONG,LONG_LONDON,-1,development|LONG|LONDON|2024-09-19 14:25:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-10-01 05:15:00+00:00,2024-10-01 07:10:00+00:00,1.3385601019285214,LONG,LONG_RAW_2330,-1,development|LONG|RAW_2330|2024-10-01 05:15:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
development,2024-10-11 12:05:00+00:00,2024-10-11 12:40:00+00:00,0.45285858901373854,LONG,LONG_RAW_0530,-1,development|LONG|RAW_0530|2024-10-11 12:05:00+00:00,,0,SHORT_0430_FIRST_SIGNAL,True,,,SHORT_0430,FIRST_SIGNAL_WINS
