partition,horizon_min,from_state,to_state,n,share,from_total_n
development,15,UP_UNWIND_LIKE,HIGHLOC_SELL_ABSORPTION_LIKE,13,0.030303030303030304,429
development,15,UP_UNWIND_LIKE,HIGHLOC_SELL_UNWIND_LIKE,31,0.07226107226107226,429
development,15,UP_UNWIND_LIKE,NEUTRAL_TRANSITION,138,0.32167832167832167,429
development,15,UP_UNWIND_LIKE,POST_BREAKDOWN_UNWIND_30M,4,0.009324009324009324,429
development,15,UP_UNWIND_LIKE,PRESSURE_BUILD,59,0.13752913752913754,429
development,15,UP_UNWIND_LIKE,UP_POSITION_BUILD,40,0.09324009324009325,429
development,15,UP_UNWIND_LIKE,UP_UNWIND_LIKE,14,0.03263403263403263,429
development,30,DELEVERAGING,DELEVERAGING,764,0.13731128684399713,5564
development,30,DELEVERAGING,DOWN_POSITION_BUILD,36,0.006470165348670022,5564
development,30,DELEVERAGING,DOWN_UNWIND_LIKE,236,0.04241552839683681,5564
development,30,DELEVERAGING,EVENT_CONFLICT,8,0.0014378145219266715,5564
development,30,DELEVERAGING,HIGHLOC_BUY_BUILD,226,0.04061826024442847,5564
development,30,DELEVERAGING,HIGHLOC_BUY_EXHAUSTION_LIKE,36,0.006470165348670022,5564
development,30,DELEVERAGING,HIGHLOC_SELL_ABSORPTION_LIKE,32,0.005751258087706686,5564
development,30,DELEVERAGING,HIGHLOC_SELL_UNWIND_LIKE,143,0.02570093457943925,5564
development,30,DELEVERAGING,NEUTRAL_TRANSITION,3023,0.543314162473041,5564
development,30,DELEVERAGING,PRESSURE_BUILD,834,0.1498921639108555,5564
development,30,DELEVERAGING,UP_POSITION_BUILD,181,0.03253055355859094,5564
development,30,DELEVERAGING,UP_UNWIND_LIKE,45,0.008087706685837527,5564
development,30,DOWN_POSITION_BUILD,DELEVERAGING,23,0.07371794871794872,312
development,30,DOWN_POSITION_BUILD,DOWN_POSITION_BUILD,7,0.022435897435897436,312
development,30,DOWN_POSITION_BUILD,DOWN_UNWIND_LIKE,17,0.05448717948717949,312
development,30,DOWN_POSITION_BUILD,EVENT_CONFLICT,1,0.003205128205128205,312
development,30,DOWN_POSITION_BUILD,HIGHLOC_BUY_BUILD,7,0.022435897435897436,312
development,30,DOWN_POSITION_BUILD,HIGHLOC_BUY_EXHAUSTION_LIKE,4,0.01282051282051282,312
development,30,DOWN_POSITION_BUILD,HIGHLOC_SELL_ABSORPTION_LIKE,3,0.009615384615384616,312
development,30,DOWN_POSITION_BUILD,HIGHLOC_SELL_UNWIND_LIKE,17,0.05448717948717949,312
development,30,DOWN_POSITION_BUILD,NEUTRAL_TRANSITION,122,0.391025641025641,312
development,30,DOWN_POSITION_BUILD,POST_BREAKDOWN_UNWIND_30M,27,0.08653846153846154,312
development,30,DOWN_POSITION_BUILD,PRESSURE_BUILD,53,0.16987179487179488,312
development,30,DOWN_POSITION_BUILD,UP_POSITION_BUILD,27,0.08653846153846154,312
development,30,DOWN_POSITION_BUILD,UP_UNWIND_LIKE,4,0.01282051282051282,312
development,30,DOWN_UNWIND_LIKE,DELEVERAGING,171,0.08952879581151832,1910
development,30,DOWN_UNWIND_LIKE,DOWN_POSITION_BUILD,39,0.020418848167539267,1910
development,30,DOWN_UNWIND_LIKE,DOWN_UNWIND_LIKE,108,0.05654450261780105,1910
development,30,DOWN_UNWIND_LIKE,EVENT_CONFLICT,4,0.0020942408376963353,1910
development,30,DOWN_UNWIND_LIKE,HIGHLOC_BUY_BUILD,70,0.03664921465968586,1910
development,30,DOWN_UNWIND_LIKE,HIGHLOC_BUY_EXHAUSTION_LIKE,11,0.005759162303664921,1910
development,30,DOWN_UNWIND_LIKE,HIGHLOC_SELL_ABSORPTION_LIKE,13,0.006806282722513089,1910
development,30,DOWN_UNWIND_LIKE,HIGHLOC_SELL_UNWIND_LIKE,53,0.02774869109947644,1910
development,30,DOWN_UNWIND_LIKE,NEUTRAL_TRANSITION,778,0.4073298429319372,1910
development,30,DOWN_UNWIND_LIKE,POST_BREAKDOWN_UNWIND_30M,188,0.09842931937172775,1910
development,30,DOWN_UNWIND_LIKE,PRESSURE_BUILD,343,0.17958115183246073,1910
development,30,DOWN_UNWIND_LIKE,UP_POSITION_BUILD,115,0.060209424083769635,1910
development,30,DOWN_UNWIND_LIKE,UP_UNWIND_LIKE,17,0.008900523560209424,1910
development,30,EVENT_CONFLICT,DELEVERAGING,4,0.06557377049180328,61
development,30,EVENT_CONFLICT,DOWN_POSITION_BUILD,1,0.01639344262295082,61
development,30,EVENT_CONFLICT,DOWN_UNWIND_LIKE,6,0.09836065573770492,61
development,30,EVENT_CONFLICT,EVENT_CONFLICT,1,0.01639344262295082,61
development,30,EVENT_CONFLICT,HIGHLOC_BUY_BUILD,4,0.06557377049180328,61
development,30,EVENT_CONFLICT,HIGHLOC_BUY_EXHAUSTION_LIKE,1,0.01639344262295082,61
development,30,EVENT_CONFLICT,HIGHLOC_SELL_ABSORPTION_LIKE,1,0.01639344262295082,61
development,30,EVENT_CONFLICT,HIGHLOC_SELL_UNWIND_LIKE,1,0.01639344262295082,61
development,30,EVENT_CONFLICT,NEUTRAL_TRANSITION,13,0.21311475409836064,61
development,30,EVENT_CONFLICT,POST_BREAKDOWN_UNWIND_30M,13,0.21311475409836064,61
development,30,EVENT_CONFLICT,PRESSURE_BUILD,8,0.13114754098360656,61
development,30,EVENT_CONFLICT,UP_POSITION_BUILD,8,0.13114754098360656,61
development,30,HIGHLOC_BUY_BUILD,DELEVERAGING,260,0.06333739342265529,4105
development,30,HIGHLOC_BUY_BUILD,DOWN_POSITION_BUILD,11,0.002679658952496955,4105
development,30,HIGHLOC_BUY_BUILD,DOWN_UNWIND_LIKE,85,0.020706455542021926,4105
development,30,HIGHLOC_BUY_BUILD,EVENT_CONFLICT,7,0.001705237515225335,4105
development,30,HIGHLOC_BUY_BUILD,HIGHLOC_BUY_BUILD,586,0.14275274056029233,4105
development,30,HIGHLOC_BUY_BUILD,HIGHLOC_BUY_EXHAUSTION_LIKE,126,0.030694275274056028,4105
development,30,HIGHLOC_BUY_BUILD,HIGHLOC_SELL_ABSORPTION_LIKE,152,0.03702801461632156,4105
development,30,HIGHLOC_BUY_BUILD,HIGHLOC_SELL_UNWIND_LIKE,608,0.14811205846528624,4105
development,30,HIGHLOC_BUY_BUILD,NEUTRAL_TRANSITION,1781,0.4338611449451888,4105
development,30,HIGHLOC_BUY_BUILD,PRESSURE_BUILD,213,0.051887941534713766,4105
development,30,HIGHLOC_BUY_BUILD,UP_POSITION_BUILD,241,0.058708891595615105,4105
development,30,HIGHLOC_BUY_BUILD,UP_UNWIND_LIKE,35,0.008526187576126675,4105
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,DELEVERAGING,60,0.0702576112412178,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,DOWN_POSITION_BUILD,1,0.00117096018735363,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,DOWN_UNWIND_LIKE,15,0.01756440281030445,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,HIGHLOC_BUY_BUILD,106,0.12412177985948478,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,HIGHLOC_BUY_EXHAUSTION_LIKE,43,0.05035128805620609,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,HIGHLOC_SELL_ABSORPTION_LIKE,31,0.03629976580796253,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,HIGHLOC_SELL_UNWIND_LIKE,110,0.1288056206088993,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,NEUTRAL_TRANSITION,414,0.4847775175644028,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,PRESSURE_BUILD,27,0.03161592505854801,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,UP_POSITION_BUILD,35,0.040983606557377046,854
development,30,HIGHLOC_BUY_EXHAUSTION_LIKE,UP_UNWIND_LIKE,12,0.01405152224824356,854
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,DELEVERAGING,59,0.06243386243386243,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,DOWN_POSITION_BUILD,2,0.0021164021164021165,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,DOWN_UNWIND_LIKE,16,0.016931216931216932,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,EVENT_CONFLICT,1,0.0010582010582010583,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,HIGHLOC_BUY_BUILD,114,0.12063492063492064,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,HIGHLOC_BUY_EXHAUSTION_LIKE,34,0.03597883597883598,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,HIGHLOC_SELL_ABSORPTION_LIKE,38,0.04021164021164021,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,HIGHLOC_SELL_UNWIND_LIKE,146,0.1544973544973545,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,NEUTRAL_TRANSITION,410,0.43386243386243384,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,PRESSURE_BUILD,43,0.0455026455026455,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,UP_POSITION_BUILD,72,0.0761904761904762,945
development,30,HIGHLOC_SELL_ABSORPTION_LIKE,UP_UNWIND_LIKE,10,0.010582010582010581,945
development,30,HIGHLOC_SELL_UNWIND_LIKE,DELEVERAGING,223,0.0629587803500847,3542
