zone_id,activation_ts,origin_ts,demand_low,demand_high,h4_bos_ts,broken_h4_swing_ts,broken_h4_level,first_touch_ts,touch_open,touch_high,touch_low,touch_close,h1_bos_ts,broken_h1_swing_ts,broken_h1_level,new_high_pivot_ts,new_high_confirm_ts,new_high_price,has_h1_bos,has_confirmed_new_high,retrace_ge2_bars,has_lower_high,has_lower_low,retest_close_holds_demand,exact_structural_twin
H4D_2022-03-18T16:00:00+00:00,2022-03-18 16:00:00+00:00,2022-03-18 12:00:00+00:00,384.01,386.8,2022-03-18 16:00:00+00:00,2022-03-18 04:00:00+00:00,392.46,2022-03-20 18:00:00+00:00,390.83,391.69,386.22,387.71,2022-03-19 12:00:00+00:00,2022-03-19 02:00:00+00:00,400.69,2022-03-19 14:00:00+00:00,2022-03-19 16:00:00+00:00,406.18,True,True,True,True,True,True,True
H4D_2022-03-21T12:00:00+00:00,2022-03-21 12:00:00+00:00,2022-03-21 04:00:00+00:00,385.14,390.74,2022-03-21 12:00:00+00:00,2022-03-21 00:00:00+00:00,394.23,2022-04-25 01:00:00+00:00,398.62,399.14,390.56,391.44,2022-03-21 14:00:00+00:00,2022-03-20 21:00:00+00:00,394.23,2022-03-21 16:00:00+00:00,2022-03-21 18:00:00+00:00,399.16,True,True,True,True,True,True,True
H4D_2022-03-28T00:00:00+00:00,2022-03-28 00:00:00+00:00,2022-03-27 12:00:00+00:00,414.0,417.07,2022-03-28 00:00:00+00:00,2022-03-27 04:00:00+00:00,418.33,2022-04-01 03:00:00+00:00,422.91,424.06,413.01,415.61,2022-03-28 06:00:00+00:00,2022-03-28 01:00:00+00:00,433.75,2022-03-28 06:00:00+00:00,2022-03-28 08:00:00+00:00,437.44,True,True,True,True,True,True,True
H4D_2022-03-30T20:00:00+00:00,2022-03-30 20:00:00+00:00,2022-03-30 16:00:00+00:00,434.05,439.68,2022-03-30 20:00:00+00:00,2022-03-29 16:00:00+00:00,442.0,2022-03-31 15:00:00+00:00,443.41,443.46,428.88,437.84,2022-03-31 02:00:00+00:00,2022-03-30 19:00:00+00:00,449.75,2022-03-31 02:00:00+00:00,2022-03-31 04:00:00+00:00,452.7,True,True,True,True,True,True,True
H4D_2022-04-14T00:00:00+00:00,2022-04-14 00:00:00+00:00,2022-04-13 12:00:00+00:00,413.13,417.72,2022-04-14 00:00:00+00:00,2022-04-13 04:00:00+00:00,420.97,2022-04-14 10:00:00+00:00,420.37,420.37,416.39,419.49,2022-04-14 01:00:00+00:00,2022-04-13 19:00:00+00:00,423.17,2022-04-14 02:00:00+00:00,2022-04-14 04:00:00+00:00,426.87,True,True,True,True,True,True,True
H4D_2022-04-28T12:00:00+00:00,2022-04-28 12:00:00+00:00,2022-04-28 04:00:00+00:00,389.28,391.22,2022-04-28 12:00:00+00:00,2022-04-27 12:00:00+00:00,394.72,2022-04-29 19:00:00+00:00,395.35,395.51,390.89,393.8,2022-04-28 18:00:00+00:00,2022-04-28 13:00:00+00:00,405.31,2022-04-28 19:00:00+00:00,2022-04-28 21:00:00+00:00,407.51,True,True,True,True,True,True,True
H4D_2022-05-04T16:00:00+00:00,2022-05-04 16:00:00+00:00,2022-05-03 20:00:00+00:00,379.64,386.36,2022-05-04 16:00:00+00:00,2022-05-03 04:00:00+00:00,392.17,2022-05-05 16:00:00+00:00,392.49,392.49,378.08,380.83,2022-05-05 01:00:00+00:00,2022-05-04 21:00:00+00:00,402.93,2022-05-05 01:00:00+00:00,2022-05-05 03:00:00+00:00,406.34,True,True,True,True,True,True,True
H4D_2022-05-13T04:00:00+00:00,2022-05-13 04:00:00+00:00,2022-05-13 00:00:00+00:00,262.0,269.22,2022-05-13 04:00:00+00:00,2022-05-12 16:00:00+00:00,285.05,2022-06-11 15:00:00+00:00,277.0,277.04,269.0,270.49,2022-05-14 23:00:00+00:00,2022-05-14 19:00:00+00:00,290.74,2022-05-15 01:00:00+00:00,2022-05-15 03:00:00+00:00,299.12,True,True,True,True,True,True,True
H4D_2022-05-17T04:00:00+00:00,2022-05-17 04:00:00+00:00,2022-05-17 00:00:00+00:00,294.0,297.45,2022-05-17 04:00:00+00:00,2022-05-16 16:00:00+00:00,302.99,2022-05-17 19:00:00+00:00,301.16,302.95,295.83,300.01,2022-05-17 13:00:00+00:00,2022-05-17 09:00:00+00:00,308.5,2022-05-17 14:00:00+00:00,2022-05-17 16:00:00+00:00,310.53,True,True,True,True,True,True,True
H4D_2022-05-23T08:00:00+00:00,2022-05-23 08:00:00+00:00,2022-05-22 16:00:00+00:00,314.18,317.61,2022-05-23 08:00:00+00:00,2022-05-22 12:00:00+00:00,323.6,2022-05-24 00:00:00+00:00,319.87,319.87,315.0,316.92,2022-05-23 12:00:00+00:00,2022-05-23 08:00:00+00:00,330.5,2022-05-23 13:00:00+00:00,2022-05-23 15:00:00+00:00,336.02,True,True,True,True,True,True,True
H4D_2022-05-30T04:00:00+00:00,2022-05-30 04:00:00+00:00,2022-05-29 20:00:00+00:00,301.52,303.1,2022-05-30 04:00:00+00:00,2022-05-29 00:00:00+00:00,310.67,2022-06-01 17:00:00+00:00,305.27,305.44,302.2,304.16,2022-05-30 07:00:00+00:00,2022-05-30 04:00:00+00:00,318.84,2022-05-30 07:00:00+00:00,2022-05-30 09:00:00+00:00,321.8,True,True,True,True,True,True,True
H4D_2022-06-06T04:00:00+00:00,2022-06-06 04:00:00+00:00,2022-06-06 00:00:00+00:00,298.0,301.04,2022-06-06 04:00:00+00:00,2022-06-05 00:00:00+00:00,303.0,2022-06-06 17:00:00+00:00,303.39,303.44,299.12,300.27,2022-06-06 07:00:00+00:00,2022-06-06 04:00:00+00:00,307.84,2022-06-06 09:00:00+00:00,2022-06-06 11:00:00+00:00,312.62,True,True,True,True,True,True,True
H4D_2022-06-20T16:00:00+00:00,2022-06-20 16:00:00+00:00,2022-06-20 08:00:00+00:00,204.51,208.53,2022-06-20 16:00:00+00:00,2022-06-20 00:00:00+00:00,216.8,2022-06-30 09:00:00+00:00,211.33,211.41,208.17,209.06,2022-06-21 06:00:00+00:00,2022-06-21 02:00:00+00:00,219.29,2022-06-21 08:00:00+00:00,2022-06-21 10:00:00+00:00,225.88,True,True,True,True,True,True,True
H4D_2022-06-21T08:00:00+00:00,2022-06-21 08:00:00+00:00,2022-06-20 20:00:00+00:00,211.0,217.62,2022-06-21 08:00:00+00:00,2022-06-20 16:00:00+00:00,219.58,2022-06-22 00:00:00+00:00,221.95,222.11,216.88,219.9,2022-06-21 14:00:00+00:00,2022-06-21 08:00:00+00:00,225.88,2022-06-21 15:00:00+00:00,2022-06-21 17:00:00+00:00,228.22,True,True,True,True,True,True,True
H4D_2022-06-23T08:00:00+00:00,2022-06-23 08:00:00+00:00,2022-06-23 00:00:00+00:00,212.72,216.04,2022-06-23 08:00:00+00:00,2022-06-22 16:00:00+00:00,220.8,2022-06-29 14:00:00+00:00,217.2,219.39,215.21,218.21,2022-06-23 11:00:00+00:00,2022-06-23 08:00:00+00:00,224.17,2022-06-23 12:00:00+00:00,2022-06-23 14:00:00+00:00,229.37,True,True,True,True,True,True,True
H4D_2022-07-01T08:00:00+00:00,2022-07-01 08:00:00+00:00,2022-06-30 12:00:00+00:00,205.42,211.33,2022-07-01 08:00:00+00:00,2022-06-30 00:00:00+00:00,222.44,2023-08-17 22:00:00+00:00,224.81,225.13,204.43,214.74,2022-07-03 20:00:00+00:00,2022-07-03 13:00:00+00:00,218.59,2022-07-03 21:00:00+00:00,2022-07-03 23:00:00+00:00,220.2,True,True,True,True,True,True,True
H4D_2022-07-04T12:00:00+00:00,2022-07-04 12:00:00+00:00,2022-07-04 04:00:00+00:00,214.5,218.95,2022-07-04 12:00:00+00:00,2022-07-04 00:00:00+00:00,220.2,2022-07-13 13:00:00+00:00,226.41,229.34,217.13,218.46,2022-07-04 16:00:00+00:00,2022-07-04 13:00:00+00:00,224.93,2022-07-05 01:00:00+00:00,2022-07-05 03:00:00+00:00,233.21,True,True,True,True,True,True,True
H4D_2022-07-06T12:00:00+00:00,2022-07-06 12:00:00+00:00,2022-07-06 00:00:00+00:00,230.18,231.48,2022-07-06 12:00:00+00:00,2022-07-05 08:00:00+00:00,236.43,2022-07-11 03:00:00+00:00,232.43,232.77,230.24,230.92,2022-07-07 15:00:00+00:00,2022-07-07 10:00:00+00:00,238.47,2022-07-07 16:00:00+00:00,2022-07-07 18:00:00+00:00,243.0,True,True,True,True,True,True,True
H4D_2022-07-07T16:00:00+00:00,2022-07-07 16:00:00+00:00,2022-07-07 04:00:00+00:00,236.31,238.37,2022-07-07 16:00:00+00:00,2022-07-07 00:00:00+00:00,239.98,2022-07-08 09:00:00+00:00,241.28,242.28,238.0,238.1,2022-07-07 20:00:00+00:00,2022-07-07 16:00:00+00:00,243.0,2022-07-07 20:00:00+00:00,2022-07-07 22:00:00+00:00,243.71,True,True,True,True,True,True,True
H4D_2022-07-14T00:00:00+00:00,2022-07-14 00:00:00+00:00,2022-07-13 16:00:00+00:00,216.13,226.41,2022-07-14 00:00:00+00:00,2022-07-12 20:00:00+00:00,228.17,2022-12-16 23:00:00+00:00,242.16,243.18,222.96,229.72,2022-07-14 16:00:00+00:00,2022-07-14 02:00:00+00:00,234.49,2022-07-14 19:00:00+00:00,2022-07-14 21:00:00+00:00,240.0,True,True,True,True,True,True,True
H4D_2022-07-14T16:00:00+00:00,2022-07-14 16:00:00+00:00,2022-07-14 12:00:00+00:00,227.02,230.39,2022-07-14 16:00:00+00:00,2022-07-14 04:00:00+00:00,234.49,2022-12-16 23:00:00+00:00,242.16,243.18,222.96,229.72,2022-07-15 19:00:00+00:00,2022-07-15 15:00:00+00:00,239.75,2022-07-15 21:00:00+00:00,2022-07-15 23:00:00+00:00,242.6,True,True,True,True,True,True,True
H4D_2022-07-18T08:00:00+00:00,2022-07-18 08:00:00+00:00,2022-07-18 00:00:00+00:00,247.36,249.85,2022-07-18 08:00:00+00:00,2022-07-17 08:00:00+00:00,255.64,2022-07-25 20:00:00+00:00,254.87,255.03,249.24,252.5,2022-07-18 16:00:00+00:00,2022-07-18 12:00:00+00:00,263.67,2022-07-18 16:00:00+00:00,2022-07-18 18:00:00+00:00,264.76,True,True,True,True,True,True,True
H4D_2022-07-19T20:00:00+00:00,2022-07-19 20:00:00+00:00,2022-07-19 08:00:00+00:00,255.65,258.22,2022-07-19 20:00:00+00:00,2022-07-19 04:00:00+00:00,267.67,2022-07-20 21:00:00+00:00,263.67,264.91,256.74,259.45,2022-07-20 15:00:00+00:00,2022-07-20 11:00:00+00:00,270.39,2022-07-20 16:00:00+00:00,2022-07-20 18:00:00+00:00,271.88,True,True,True,True,True,True,True
H4D_2022-07-27T20:00:00+00:00,2022-07-27 20:00:00+00:00,2022-07-27 12:00:00+00:00,251.2,252.39,2022-07-27 20:00:00+00:00,2022-07-25 00:00:00+00:00,266.22,2022-11-21 19:00:00+00:00,254.7,255.0,251.4,253.6,2022-07-28 03:00:00+00:00,2022-07-28 00:00:00+00:00,272.1,2022-07-28 03:00:00+00:00,2022-07-28 05:00:00+00:00,274.0,True,True,True,True,True,True,True
H4D_2022-08-03T16:00:00+00:00,2022-08-03 16:00:00+00:00,2022-08-03 04:00:00+00:00,278.07,283.68,2022-08-03 16:00:00+00:00,2022-08-02 20:00:00+00:00,291.27,2022-08-19 07:00:00+00:00,291.45,291.93,273.1,279.6,2022-08-04 04:00:00+00:00,2022-08-03 19:00:00+00:00,305.9,2022-08-04 05:00:00+00:00,2022-08-04 07:00:00+00:00,308.63,True,True,True,True,True,True,True
H4D_2022-08-04T20:00:00+00:00,2022-08-04 20:00:00+00:00,2022-08-04 12:00:00+00:00,298.7,303.37,2022-08-04 20:00:00+00:00,2022-08-04 08:00:00+00:00,308.63,2022-08-18 01:00:00+00:00,306.79,307.45,301.38,305.74,2022-08-05 02:00:00+00:00,2022-08-04 23:00:00+00:00,313.67,2022-08-05 03:00:00+00:00,2022-08-05 05:00:00+00:00,315.85,True,True,True,True,True,True,True
H4D_2022-08-08T04:00:00+00:00,2022-08-08 04:00:00+00:00,2022-08-07 04:00:00+00:00,308.21,315.14,2022-08-08 04:00:00+00:00,2022-08-06 20:00:00+00:00,322.99,2022-08-09 14:00:00+00:00,318.52,319.4,314.54,315.3,2022-08-08 09:00:00+00:00,2022-08-08 02:00:00+00:00,329.63,2022-08-08 09:00:00+00:00,2022-08-08 11:00:00+00:00,332.4,True,True,True,True,True,True,True
H4D_2022-08-10T16:00:00+00:00,2022-08-10 16:00:00+00:00,2022-08-10 12:00:00+00:00,316.05,321.89,2022-08-10 16:00:00+00:00,2022-08-10 00:00:00+00:00,328.5,2022-08-12 00:00:00+00:00,322.86,323.78,321.65,323.29,2022-08-11 01:00:00+00:00,2022-08-10 22:00:00+00:00,330.49,2022-08-11 02:00:00+00:00,2022-08-11 04:00:00+00:00,334.68,True,True,True,True,True,True,True
H4D_2022-08-13T00:00:00+00:00,2022-08-13 00:00:00+00:00,2022-08-12 12:00:00+00:00,317.51,323.28,2022-08-13 00:00:00+00:00,2022-08-12 12:00:00+00:00,327.59,2022-08-13 21:00:00+00:00,323.98,326.32,323.0,325.95,2022-08-13 03:00:00+00:00,2022-08-12 21:00:00+00:00,326.0,2022-08-13 07:00:00+00:00,2022-08-13 09:00:00+00:00,331.45,True,True,True,True,True,True,True
H4D_2022-08-21T08:00:00+00:00,2022-08-21 08:00:00+00:00,2022-08-20 20:00:00+00:00,278.14,286.7,2022-08-21 08:00:00+00:00,2022-08-20 08:00:00+00:00,288.86,2022-08-26 16:00:00+00:00,292.44,292.82,286.55,287.77,2022-08-21 22:00:00+00:00,2022-08-21 17:00:00+00:00,299.91,2022-08-21 22:00:00+00:00,2022-08-22 00:00:00+00:00,304.31,True,True,True,True,True,True,True
H4D_2022-08-29T16:00:00+00:00,2022-08-29 16:00:00+00:00,2022-08-29 12:00:00+00:00,271.94,277.79,2022-08-29 16:00:00+00:00,2022-08-28 20:00:00+00:00,283.9,2022-08-30 17:00:00+00:00,281.34,282.73,276.6,276.86,2022-08-30 01:00:00+00:00,2022-08-29 17:00:00+00:00,286.23,2022-08-30 02:00:00+00:00,2022-08-30 04:00:00+00:00,288.58,True,True,True,True,True,True,True
H4D_2022-09-08T20:00:00+00:00,2022-09-08 20:00:00+00:00,2022-09-08 08:00:00+00:00,275.39,279.44,2022-09-08 20:00:00+00:00,2022-09-08 04:00:00+00:00,280.97,2022-09-13 19:00:00+00:00,283.32,283.4,279.41,280.14,2022-09-09 04:00:00+00:00,2022-09-08 21:00:00+00:00,281.94,2022-09-09 13:00:00+00:00,2022-09-09 15:00:00+00:00,295.95,True,True,True,True,True,True,True
H4D_2022-09-09T04:00:00+00:00,2022-09-09 04:00:00+00:00,2022-09-09 00:00:00+00:00,279.52,281.17,2022-09-09 04:00:00+00:00,2022-09-08 16:00:00+00:00,282.89,2022-09-13 14:00:00+00:00,283.29,284.9,280.84,283.84,2022-09-10 06:00:00+00:00,2022-09-10 00:00:00+00:00,295.11,2022-09-10 07:00:00+00:00,2022-09-10 09:00:00+00:00,297.29,True,True,True,True,True,True,True
H4D_2022-09-17T12:00:00+00:00,2022-09-17 12:00:00+00:00,2022-09-16 20:00:00+00:00,270.74,274.87,2022-09-17 12:00:00+00:00,2022-09-16 12:00:00+00:00,276.33,2022-09-18 10:00:00+00:00,278.1,278.47,274.54,274.61,2022-09-17 15:00:00+00:00,2022-09-17 10:00:00+00:00,277.27,2022-09-17 17:00:00+00:00,2022-09-17 19:00:00+00:00,279.82,True,True,True,True,True,True,True
H4D_2022-09-30T08:00:00+00:00,2022-09-30 08:00:00+00:00,2022-09-29 12:00:00+00:00,279.18,281.03,2022-09-30 08:00:00+00:00,2022-09-29 08:00:00+00:00,285.45,2022-09-30 22:00:00+00:00,281.73,282.23,280.72,281.22,2022-09-30 15:00:00+00:00,2022-09-30 11:00:00+00:00,287.93,2022-09-30 16:00:00+00:00,2022-09-30 18:00:00+00:00,289.76,True,True,True,True,True,True,True
H4D_2022-10-17T16:00:00+00:00,2022-10-17 16:00:00+00:00,2022-10-17 04:00:00+00:00,270.92,272.31,2022-10-17 16:00:00+00:00,2022-10-17 00:00:00+00:00,273.74,2022-10-18 10:00:00+00:00,272.46,273.12,271.78,272.72,2022-10-18 00:00:00+00:00,2022-10-17 17:00:00+00:00,275.4,2022-10-18 01:00:00+00:00,2022-10-18 03:00:00+00:00,275.9,True,True,True,True,True,True,True
H4D_2022-10-25T16:00:00+00:00,2022-10-25 16:00:00+00:00,2022-10-25 12:00:00+00:00,271.78,273.26,2022-10-25 16:00:00+00:00,2022-10-25 04:00:00+00:00,274.76,2022-11-09 19:00:00+00:00,287.6,288.59,273.09,280.1,2022-10-26 23:00:00+00:00,2022-10-26 17:00:00+00:00,290.84,2022-10-27 00:00:00+00:00,2022-10-27 02:00:00+00:00,291.95,True,True,True,True,True,True,True
H4D_2022-10-26T20:00:00+00:00,2022-10-26 20:00:00+00:00,2022-10-26 00:00:00+00:00,283.14,288.68,2022-10-26 20:00:00+00:00,2022-10-25 20:00:00+00:00,289.75,2022-10-27 03:00:00+00:00,289.07,290.4,288.38,288.42,2022-10-26 23:00:00+00:00,2022-10-26 17:00:00+00:00,290.84,2022-10-27 00:00:00+00:00,2022-10-27 02:00:00+00:00,291.95,True,True,True,True,True,True,True
H4D_2022-10-28T16:00:00+00:00,2022-10-28 16:00:00+00:00,2022-10-28 08:00:00+00:00,285.66,286.92,2022-10-28 16:00:00+00:00,2022-10-27 08:00:00+00:00,293.22,2022-11-09 11:00:00+00:00,295.08,301.16,283.69,298.06,2022-10-29 04:00:00+00:00,2022-10-28 21:00:00+00:00,301.08,2022-10-29 05:00:00+00:00,2022-10-29 07:00:00+00:00,306.3,True,True,True,True,True,True,True
H4D_2022-10-30T08:00:00+00:00,2022-10-30 08:00:00+00:00,2022-10-29 12:00:00+00:00,300.88,302.37,2022-10-30 08:00:00+00:00,2022-10-29 20:00:00+00:00,308.42,2022-11-08 20:00:00+00:00,326.33,330.54,298.17,315.1,2022-10-30 17:00:00+00:00,2022-10-30 13:00:00+00:00,312.55,2022-10-30 19:00:00+00:00,2022-10-30 21:00:00+00:00,317.64,True,True,True,True,True,True,True
H4D_2022-10-31T12:00:00+00:00,2022-10-31 12:00:00+00:00,2022-10-31 08:00:00+00:00,307.46,311.58,2022-10-31 12:00:00+00:00,2022-10-30 12:00:00+00:00,319.3,2022-11-08 05:00:00+00:00,334.39,337.33,307.85,318.39,2022-11-01 03:00:00+00:00,2022-10-31 20:00:00+00:00,329.94,2022-11-01 04:00:00+00:00,2022-11-01 06:00:00+00:00,334.25,True,True,True,True,True,True,True
H4D_2022-11-03T08:00:00+00:00,2022-11-03 08:00:00+00:00,2022-11-02 16:00:00+00:00,317.82,320.2,2022-11-03 08:00:00+00:00,2022-11-02 20:00:00+00:00,329.63,2022-11-08 05:00:00+00:00,334.39,337.33,307.85,318.39,2022-11-03 22:00:00+00:00,2022-11-03 18:00:00+00:00,331.77,2022-11-04 02:00:00+00:00,2022-11-04 04:00:00+00:00,342.38,True,True,True,True,True,True,True
H4D_2022-11-04T04:00:00+00:00,2022-11-04 04:00:00+00:00,2022-11-04 00:00:00+00:00,327.2,331.08,2022-11-04 04:00:00+00:00,2022-11-03 08:00:00+00:00,339.0,2022-11-07 08:00:00+00:00,337.7,337.74,327.0,327.95,2022-11-04 06:00:00+00:00,2022-11-04 02:00:00+00:00,342.38,2022-11-04 10:00:00+00:00,2022-11-04 12:00:00+00:00,354.5,True,True,True,True,True,True,True
H4D_2022-11-22T16:00:00+00:00,2022-11-22 16:00:00+00:00,2022-11-22 08:00:00+00:00,252.01,256.65,2022-11-22 16:00:00+00:00,2022-11-21 16:00:00+00:00,262.57,2022-12-13 08:00:00+00:00,260.56,264.2,255.34,263.92,2022-11-22 23:00:00+00:00,2022-11-22 15:00:00+00:00,266.22,2022-11-22 23:00:00+00:00,2022-11-23 01:00:00+00:00,267.79,True,True,True,True,True,True,True
H4D_2022-12-18T04:00:00+00:00,2022-12-18 04:00:00+00:00,2022-12-17 20:00:00+00:00,234.5,236.3,2022-12-18 04:00:00+00:00,2022-12-17 12:00:00+00:00,241.92,2023-06-10 05:00:00+00:00,249.87,249.94,225.0,237.84,2022-12-18 20:00:00+00:00,2022-12-18 09:00:00+00:00,248.5,2022-12-18 19:00:00+00:00,2022-12-18 21:00:00+00:00,251.8,True,True,True,True,True,True,True
H4D_2023-01-06T16:00:00+00:00,2023-01-06 16:00:00+00:00,2023-01-06 08:00:00+00:00,255.1,257.57,2023-01-06 16:00:00+00:00,2023-01-06 04:00:00+00:00,258.66,2023-06-07 15:00:00+00:00,269.27,269.28,253.39,256.43,2023-01-07 01:00:00+00:00,2023-01-06 21:00:00+00:00,260.5,2023-01-07 01:00:00+00:00,2023-01-07 03:00:00+00:00,264.0,True,True,True,True,True,True,True
H4D_2023-01-13T04:00:00+00:00,2023-01-13 04:00:00+00:00,2023-01-12 16:00:00+00:00,276.51,283.18,2023-01-13 04:00:00+00:00,2023-01-12 04:00:00+00:00,288.2,2023-01-18 17:00:00+00:00,294.25,295.0,281.1,290.68,2023-01-13 07:00:00+00:00,2023-01-12 22:00:00+00:00,288.67,2023-01-13 16:00:00+00:00,2023-01-13 18:00:00+00:00,288.91,True,True,True,True,True,True,True
H4D_2023-01-14T00:00:00+00:00,2023-01-14 00:00:00+00:00,2023-01-13 20:00:00+00:00,285.77,288.49,2023-01-14 00:00:00+00:00,2023-01-13 08:00:00+00:00,291.78,2023-01-18 16:00:00+00:00,302.68,303.94,288.04,294.26,2023-01-14 07:00:00+00:00,2023-01-14 02:00:00+00:00,309.58,2023-01-14 07:00:00+00:00,2023-01-14 09:00:00+00:00,315.3,True,True,True,True,True,True,True
H4D_2023-01-21T00:00:00+00:00,2023-01-21 00:00:00+00:00,2023-01-20 12:00:00+00:00,286.97,288.11,2023-01-21 00:00:00+00:00,2023-01-20 04:00:00+00:00,296.34,2023-02-13 11:00:00+00:00,290.84,295.66,287.66,291.68,2023-01-21 10:00:00+00:00,2023-01-21 02:00:00+00:00,306.78,2023-01-21 11:00:00+00:00,2023-01-21 13:00:00+00:00,310.55,True,True,True,True,True,True,True
H4D_2023-01-29T12:00:00+00:00,2023-01-29 12:00:00+00:00,2023-01-29 00:00:00+00:00,304.08,306.58,2023-01-29 12:00:00+00:00,2023-01-28 08:00:00+00:00,313.79,2023-01-30 10:00:00+00:00,310.86,310.86,305.0,306.73,2023-01-29 15:00:00+00:00,2023-01-29 12:00:00+00:00,318.36,2023-01-29 16:00:00+00:00,2023-01-29 18:00:00+00:00,320.48,True,True,True,True,True,True,True
