partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_exit_ts,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_exit_ts,control_break_ts,control_invalidation_close_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,abs_running_mae_R_match_gap,case__max_reclaim_fraction_of_mae,control__max_reclaim_fraction_of_mae,case__half_reclaim_latency_fraction,control__half_reclaim_latency_fraction,case__longest_half_reclaim_run_fraction,control__longest_half_reclaim_run_fraction,case__post_half_reclaim_hold_fraction,control__post_half_reclaim_hold_fraction,case__late_mae_extension_fraction,control__late_mae_extension_fraction
development,120,2023-10-02 15:00:00+00:00,2023-10-02 15:00:00+00:00,3.0,2023-10-02 18:40:00+00:00,2023-10-02 18:35:00+00:00,2023-10-02 15:05:00+00:00,2023-10-02 16:55:00+00:00,-24.249041987720933,2023-07-18 19:05:00+00:00,2023-07-18 15:00:00+00:00,3.0,2023-07-19 00:55:00+00:00,,,2023-07-18 19:10:00+00:00,2023-07-18 21:00:00+00:00,7.624747396238085,0.7375178316690466,0.7206931702344568,0.016824661434589827,0.789168278529984,0.042432814710043995,0.07692307692307693,1.0,0.9285714285714286,0.0,1.0,0.0,0.0,0.30127298444130235
development,120,2023-11-08 19:15:00+00:00,2023-11-08 15:00:00+00:00,3.0,2023-11-09 01:05:00+00:00,2023-11-09 01:00:00+00:00,2023-11-08 19:20:00+00:00,2023-11-08 21:10:00+00:00,-11.343584572724996,2023-07-18 19:05:00+00:00,2023-07-18 15:00:00+00:00,3.0,2023-07-19 00:55:00+00:00,,,2023-07-18 19:10:00+00:00,2023-07-18 21:00:00+00:00,7.624747396238085,0.8116740088105736,0.7206931702344568,0.09098083857611683,0.5345997286295758,0.042432814710043995,0.8571428571428571,1.0,0.125,0.0,0.5,0.0,0.21709633649932603,0.30127298444130235
development,120,2023-12-16 15:35:00+00:00,2023-12-16 15:00:00+00:00,3.0,2023-12-16 20:50:00+00:00,2023-12-16 20:45:00+00:00,2023-12-16 15:40:00+00:00,2023-12-16 17:30:00+00:00,-21.33903765635803,2023-08-01 18:30:00+00:00,2023-08-01 15:00:00+00:00,3.0,2023-08-01 23:25:00+00:00,,,2023-08-01 18:35:00+00:00,2023-08-01 20:25:00+00:00,4.904078261974365,0.27379716164762824,0.24870466321243212,0.02509249843519612,0.22123893805309464,0.1041666666666718,1.0,1.0,0.0,0.0,0.0,0.0,0.6182048040455019,0.36111111111111255
development,120,2024-01-30 15:25:00+00:00,2024-01-30 15:00:00+00:00,4.0,2024-01-30 23:25:00+00:00,2024-01-30 23:20:00+00:00,2024-01-30 15:30:00+00:00,2024-01-30 17:20:00+00:00,-16.660716969788048,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 19:55:00+00:00,12.613528879306003,0.9112492933860917,0.5071762618932429,0.4040730314928488,0.6160049627791552,0.4769475357710658,0.7692307692307693,1.0,0.14285714285714285,0.0,0.5,0.0,0.0,0.36120826709061915
development,120,2024-02-19 15:20:00+00:00,2024-02-19 15:00:00+00:00,4.0,2024-02-20 01:20:00+00:00,2024-02-20 01:15:00+00:00,2024-02-19 15:25:00+00:00,2024-02-19 17:15:00+00:00,-19.7173913043478,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 19:55:00+00:00,12.613528879306003,0.6201660735468569,0.5071762618932429,0.11298981165361399,0.3282325937260913,0.4769475357710658,1.0,1.0,0.0,0.0,0.0,0.0,0.46671767406273784,0.36120826709061915
development,120,2024-03-19 17:10:00+00:00,2024-03-19 15:00:00+00:00,4.0,2024-03-19 22:15:00+00:00,2024-03-19 22:10:00+00:00,2024-03-19 17:15:00+00:00,2024-03-19 19:05:00+00:00,-42.44157296123496,2024-03-29 20:35:00+00:00,2024-03-29 15:00:00+00:00,4.0,2024-03-29 23:00:00+00:00,,,2024-03-29 20:40:00+00:00,2024-03-29 22:30:00+00:00,6.836473818767175,0.3951076841265629,0.399815327793168,0.004707643666605088,0.27203903095558785,1.8287143956889842,1.0,0.08333333333333333,0.0,0.5384615384615384,0.0,0.9166666666666666,0.147880215343206,0.0
development,120,2024-04-07 15:15:00+00:00,2024-04-07 15:00:00+00:00,4.0,2024-04-07 18:35:00+00:00,2024-04-07 18:30:00+00:00,2024-04-07 15:20:00+00:00,2024-04-07 17:10:00+00:00,-10.593406352202628,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 19:55:00+00:00,12.613528879306003,0.7387238723872337,0.5071762618932429,0.23154761049399075,1.145569620253173,0.4769475357710658,0.26666666666666666,1.0,0.625,0.0,0.8333333333333334,0.0,0.0,0.36120826709061915
development,120,2024-05-12 16:20:00+00:00,2024-05-12 15:00:00+00:00,4.0,2024-05-12 21:25:00+00:00,2024-05-12 21:20:00+00:00,2024-05-12 16:25:00+00:00,2024-05-12 18:15:00+00:00,-10.262035594193419,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 19:55:00+00:00,12.613528879306003,0.8666107382550293,0.5071762618932429,0.3594344763617864,0.5566311713455975,0.4769475357710658,0.6,1.0,0.125,0.0,0.5714285714285714,0.0,0.0,0.36120826709061915
development,120,2024-06-01 15:05:00+00:00,2024-06-01 15:00:00+00:00,4.0,2024-06-01 23:15:00+00:00,2024-06-01 23:10:00+00:00,2024-06-01 15:10:00+00:00,2024-06-01 17:00:00+00:00,-3.641282971191595,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 19:55:00+00:00,12.613528879306003,0.6811722912966187,0.5071762618932429,0.17399602940337577,0.3833116036505662,0.4769475357710658,1.0,1.0,0.0,0.0,0.0,0.0,0.27249022164276965,0.36120826709061915
development,120,2024-07-09 20:45:00+00:00,2024-07-09 15:00:00+00:00,5.0,2024-07-10 01:05:00+00:00,2024-07-10 01:00:00+00:00,2024-07-09 20:50:00+00:00,2024-07-09 22:40:00+00:00,-15.40905757882599,2024-07-15 15:00:00+00:00,2024-07-15 15:00:00+00:00,5.0,2024-07-15 18:25:00+00:00,,,2024-07-15 15:05:00+00:00,2024-07-15 16:55:00+00:00,3.7452355244500524,0.5493085468147815,0.5456755817992369,0.0036329650155445536,0.45522080066034165,1.609802673456397,1.0,0.5238095238095238,0.0,0.5,0.0,1.0,0.5068097399917489,0.0
