period,side,character,direction,tf,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,median_stop_min,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,21,0.27631578947368424,100.0,6,0.12244897959183673,15,0.5555555555555556,-0.14239196033605045,0.07360381321902972,0.09511661335031162,-0.4038866586426206,0.5657894736842105
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,17,0.2236842105263158,85.0,6,0.12244897959183673,11,0.4074074074074074,-0.13516279895322938,0.07764553532182415,0.09511661335031162,-0.3631214299873177,0.5657894736842105
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,D0_WALL_TOUCH,53,29,24,0.06351933206552574,0.0745618443808222,-0.5338767323218132,40,0.7547169811320755,5.0,16,0.5517241379310345,24,1.0,0.1602986686050888,0.058561148386358786,-0.024892385969954547,-0.10370790146760286,0.24528301886792453
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S1_WALL_CLOSE5,53,29,24,0.06351933206552574,0.0745618443808222,-0.5338767323218132,33,0.6226415094339622,10.0,10,0.3448275862068966,23,0.9583333333333334,0.10196257549288,0.07737574897274171,-0.04228570447764666,-0.20227102546333714,0.3584905660377358
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S2_WALL_ACCEPT2,53,29,24,0.06351933206552574,0.0745618443808222,-0.5338767323218132,28,0.5283018867924528,15.0,6,0.20689655172413793,22,0.9166666666666666,0.08951829492300148,0.0914729423316098,-0.04104388064338502,-0.2581391492810834,0.4339622641509434
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S3_WALL_CLOSE15,53,29,24,0.06351933206552574,0.0745618443808222,-0.5338767323218132,31,0.5849056603773585,15.0,8,0.27586206896551724,23,0.9583333333333334,0.08947051816208093,0.0911575494048379,-0.044506203752286255,-0.25040157913195804,0.39622641509433965
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,53,29,24,0.06351933206552574,0.0745618443808222,-0.5338767323218132,37,0.6981132075471698,5.0,13,0.4482758620689655,24,1.0,0.11275362139702791,0.054191612092494276,-0.04970789625388853,-0.14559071588650604,0.3018867924528302
REF,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,53,29,24,0.06351933206552574,0.0745618443808222,-0.5338767323218132,29,0.5471698113207547,10.0,8,0.27586206896551724,21,0.875,0.07329522109457753,0.058130941184370115,-0.05716408069197146,-0.2644602043935804,0.39622641509433965
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,D0_WALL_TOUCH,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,25,0.5952380952380952,30.0,12,0.5,13,0.7222222222222222,0.11460514724157733,-0.006840644340485614,-0.05393701709823093,-0.315457919324634,0.2857142857142857
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S1_WALL_CLOSE5,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,23,0.5476190476190477,45.0,10,0.4166666666666667,13,0.7222222222222222,0.0,-0.020570653015613123,-0.09661675978677003,-0.2959921299897478,0.3333333333333333
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S2_WALL_ACCEPT2,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,16,0.38095238095238093,50.0,5,0.20833333333333334,11,0.6111111111111112,0.015602108105607748,0.03636595993339449,-0.036126937045130925,-0.31388972880569704,0.4523809523809524
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S3_WALL_CLOSE15,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,18,0.42857142857142855,45.0,5,0.20833333333333334,13,0.7222222222222222,-5.551115123125783e-17,0.03732817077879943,-0.028504089420054838,-0.2951797903841154,0.4523809523809524
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,13,0.30952380952380953,55.0,4,0.16666666666666666,9,0.5,0.14321187433804317,0.01993345995802049,-0.02314295061207953,-0.36904580433630785,0.47619047619047616
REF,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,42,24,18,0.053227473310646714,0.028980597245939696,-0.47171865122392953,12,0.2857142857142857,60.0,3,0.125,9,0.5,0.13435737673112047,0.0329218637756578,-0.0008065720236073086,-0.3694158520850833,0.5
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,D0_WALL_TOUCH,162,96,66,0.06419136124684659,0.08467718055738654,-0.5454826026768698,132,0.8148148148148148,5.0,67,0.6979166666666666,65,0.9848484848484849,0.17514558566365018,0.012573909041401599,-0.03379559166046288,-0.12955459071456357,0.17901234567901234
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S1_WALL_CLOSE5,162,96,66,0.06419136124684659,0.08467718055738654,-0.5454826026768698,113,0.6975308641975309,15.0,49,0.5104166666666666,64,0.9696969696969697,0.13598088719234575,0.021623511281682304,-0.0630811299711366,-0.22391314772715373,0.29012345679012347
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S2_WALL_ACCEPT2,162,96,66,0.06419136124684659,0.08467718055738654,-0.5454826026768698,97,0.5987654320987654,30.0,37,0.3854166666666667,60,0.9090909090909091,0.11877085836497903,0.03634725756454256,-0.06321008628538663,-0.2670850428591788,0.36419753086419754
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S3_WALL_CLOSE15,162,96,66,0.06419136124684659,0.08467718055738654,-0.5454826026768698,101,0.6234567901234568,30.0,38,0.3958333333333333,63,0.9545454545454546,0.10485038479223346,0.039508012722559084,-0.06485243816873702,-0.27678875199040753,0.35802469135802467
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,162,96,66,0.06419136124684659,0.08467718055738654,-0.5454826026768698,117,0.7222222222222222,10.0,54,0.5625,63,0.9545454545454546,0.1434533600381087,0.02158085636189062,-0.05887820017620864,-0.21146968979055902,0.25925925925925924
ALL,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,162,96,66,0.06419136124684659,0.08467718055738654,-0.5454826026768698,101,0.6234567901234568,25.0,41,0.4270833333333333,60,0.9090909090909091,0.11220189385645779,0.01877426124776652,-0.07486737919985234,-0.2788953556768188,0.3395061728395062
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,D0_WALL_TOUCH,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,63,0.5338983050847458,25.0,28,0.3835616438356164,35,0.7777777777777778,0.06483481835942359,0.05177266314738302,-0.038398623544981234,-0.26446982966098537,0.3813559322033898
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S1_WALL_CLOSE5,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,58,0.4915254237288136,35.0,24,0.3287671232876712,34,0.7555555555555555,-2.7755575615628914e-17,0.039241675083038614,-0.06131863382487039,-0.2782416158692264,0.4152542372881356
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S2_WALL_ACCEPT2,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,48,0.4067796610169492,57.5,19,0.2602739726027397,29,0.6444444444444445,-0.0053008739281059924,0.05417024425952099,-0.03986550107928559,-0.3201182116194657,0.4576271186440678
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S3_WALL_CLOSE15,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,49,0.4152542372881356,60.0,18,0.2465753424657534,31,0.6888888888888889,0.0,0.06437641667838999,-0.04103907186654693,-0.3055660372915688,0.4661016949152542
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,34,0.288135593220339,72.5,10,0.136986301369863,24,0.5333333333333333,-0.07099493352939543,0.05450080612612812,0.028636745256134626,-0.40178228294296436,0.5338983050847458
ALL,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,118,73,45,0.09958674304220862,0.09511661335031155,-0.3642216287311345,29,0.2457627118644068,75.0,9,0.1232876712328767,20,0.4444444444444444,-0.07646309825441766,0.061726940364714086,0.04222824109020726,-0.36623715971649284,0.5423728813559322
