year,side,direction,tf,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,median_stop_min,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate
2023,LOWER,LONG,TF60,S1_WALL_CLOSE5,23,17,6,0.11827987055552688,0.1242873013149912,-0.27195900460401035,8,0.34782608695652173,17.5,5,0.29411764705882354,3,0.5,-0.011151963454799844,0.05391354801594455,0.09435539218296216,-0.3097807594490416,0.5217391304347826
2023,LOWER,LONG,TF60,S2_WALL_ACCEPT2,23,17,6,0.11827987055552688,0.1242873013149912,-0.27195900460401035,7,0.30434782608695654,60.0,5,0.29411764705882354,2,0.3333333333333333,-0.007938965229049764,0.05036148973595804,0.09435539218296216,-0.3344841444565116,0.5217391304347826
2023,LOWER,LONG,TF60,S3_WALL_CLOSE15,23,17,6,0.11827987055552688,0.1242873013149912,-0.27195900460401035,7,0.30434782608695654,60.0,5,0.29411764705882354,2,0.3333333333333333,0.015877930458099467,0.06054504949358782,0.09435539218296216,-0.3092592607596372,0.5217391304347826
2023,LOWER,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,23,17,6,0.11827987055552688,0.1242873013149912,-0.27195900460401035,2,0.08695652173913043,90.0,1,0.058823529411764705,1,0.16666666666666666,-0.16356213067039013,0.10234815100847232,0.1242873013149912,-0.30467143073808844,0.6956521739130435
2023,LOWER,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,23,17,6,0.11827987055552688,0.1242873013149912,-0.27195900460401035,1,0.043478260869565216,5.0,1,0.058823529411764705,0,0.0,,0.1079100318684927,0.1242873013149912,-0.28583322202391215,0.6956521739130435
2024,UPPER,SHORT,TF05,D0_WALL_TOUCH,30,17,13,0.0625546662333257,0.0716817425225176,-0.4092204531511173,26,0.8666666666666667,5.0,13,0.7647058823529411,13,1.0,0.16337150525697292,-0.007763489373238946,-0.035992363486623935,-0.09772391348568496,0.13333333333333333
2024,UPPER,SHORT,TF05,S1_WALL_CLOSE5,30,17,13,0.0625546662333257,0.0716817425225176,-0.4092204531511173,22,0.7333333333333333,25.0,9,0.5294117647058824,13,1.0,0.14302406857581254,0.030524761553443316,-0.06575216844161534,-0.17348474858694934,0.26666666666666666
2024,UPPER,SHORT,TF05,S2_WALL_ACCEPT2,30,17,13,0.0625546662333257,0.0716817425225176,-0.4092204531511173,19,0.6333333333333333,45.0,7,0.4117647058823529,12,0.9230769230769231,0.10281077508901773,0.050919031634696334,-0.06207558555590843,-0.1919534936498441,0.3333333333333333
2024,UPPER,SHORT,TF05,S3_WALL_CLOSE15,30,17,13,0.0625546662333257,0.0716817425225176,-0.4092204531511173,20,0.6666666666666666,30.0,7,0.4117647058823529,13,1.0,0.04939725397311645,0.04574908961483246,-0.06770324939155237,-0.27457650734766836,0.3333333333333333
2024,UPPER,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,30,17,13,0.0625546662333257,0.0716817425225176,-0.4092204531511173,23,0.7666666666666667,10.0,10,0.5882352941176471,13,1.0,0.1434533600381087,0.05303055202082698,-0.05056518977960006,-0.12887425674169464,0.23333333333333334
2024,UPPER,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,30,17,13,0.0625546662333257,0.0716817425225176,-0.4092204531511173,21,0.7,30.0,8,0.47058823529411764,13,1.0,0.11452343102974727,0.03288085934117419,-0.06730666417991132,-0.23299467907564145,0.3
2024,LOWER,LONG,TF60,D0_WALL_TOUCH,36,25,11,0.19015237521044578,0.13926568798959227,-0.21202818667635875,17,0.4722222222222222,20.0,9,0.36,8,0.7272727272727273,0.03106205188909568,0.11205052464827642,-0.01971588990029405,-0.24154138110815304,0.4444444444444444
