decision,label,feature,period,state,n,success,success_rate
TOUCH_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,144,23,0.1597222222222222
TOUCH_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,385,108,0.2805194805194805
TOUCH_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,78,27,0.34615384615384615
TOUCH_CLOSE,GE1R,TOUCH_BULLISH,DEV,False,691,332,0.4804630969609262
TOUCH_CLOSE,GE1R,TOUCH_BULLISH,DEV,True,94,43,0.4574468085106383
TOUCH_CLOSE,GE1R,TOUCH_BULLISH,REF,False,420,217,0.5166666666666667
TOUCH_CLOSE,GE1R,TOUCH_BULLISH,REF,True,43,24,0.5581395348837209
TOUCH_CLOSE,GE1_5R,TOUCH_BULLISH,DEV,False,691,255,0.36903039073806077
TOUCH_CLOSE,GE1_5R,TOUCH_BULLISH,DEV,True,94,29,0.30851063829787234
TOUCH_CLOSE,GE1_5R,TOUCH_BULLISH,REF,False,420,176,0.41904761904761906
TOUCH_CLOSE,GE1_5R,TOUCH_BULLISH,REF,True,43,17,0.3953488372093023
TOUCH_CLOSE,CLEAN1R,TOUCH_BULLISH,DEV,False,691,214,0.3096960926193922
TOUCH_CLOSE,CLEAN1R,TOUCH_BULLISH,DEV,True,94,23,0.24468085106382978
TOUCH_CLOSE,CLEAN1R,TOUCH_BULLISH,REF,False,420,154,0.36666666666666664
TOUCH_CLOSE,CLEAN1R,TOUCH_BULLISH,REF,True,43,16,0.37209302325581395
TOUCH_CLOSE,CLEAN1_5R,TOUCH_BULLISH,DEV,False,691,152,0.2199710564399421
TOUCH_CLOSE,CLEAN1_5R,TOUCH_BULLISH,DEV,True,94,18,0.19148936170212766
TOUCH_CLOSE,CLEAN1_5R,TOUCH_BULLISH,REF,False,420,124,0.29523809523809524
TOUCH_CLOSE,CLEAN1_5R,TOUCH_BULLISH,REF,True,43,11,0.2558139534883721
PLUS5_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,DEV,False,172,97,0.563953488372093
PLUS5_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,DEV,True,432,220,0.5092592592592593
PLUS5_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,REF,False,121,74,0.6115702479338843
PLUS5_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,REF,True,248,133,0.5362903225806451
PLUS5_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,DEV,False,172,75,0.436046511627907
PLUS5_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,DEV,True,432,159,0.3680555555555556
PLUS5_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,REF,False,121,59,0.48760330578512395
PLUS5_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,REF,True,248,104,0.41935483870967744
PLUS5_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,DEV,False,172,62,0.36046511627906974
PLUS5_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,DEV,True,432,140,0.32407407407407407
PLUS5_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,REF,False,121,49,0.4049586776859504
PLUS5_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,REF,True,248,93,0.375
PLUS5_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,DEV,False,172,42,0.2441860465116279
PLUS5_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,DEV,True,432,99,0.22916666666666666
PLUS5_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,REF,False,121,39,0.32231404958677684
PLUS5_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,REF,True,248,71,0.2862903225806452
PLUS5_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,543,281,0.5174953959484346
PLUS5_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,61,36,0.5901639344262295
PLUS5_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,340,186,0.5470588235294118
PLUS5_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,29,21,0.7241379310344828
PLUS5_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,543,206,0.37937384898710863
PLUS5_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,61,28,0.45901639344262296
PLUS5_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,340,146,0.4294117647058823
PLUS5_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,29,17,0.5862068965517241
PLUS5_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,543,182,0.3351749539594843
PLUS5_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,61,20,0.32786885245901637
PLUS5_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,340,127,0.3735294117647059
PLUS5_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,29,15,0.5172413793103449
PLUS5_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,543,125,0.2302025782688766
PLUS5_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,61,16,0.26229508196721313
PLUS5_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,340,99,0.2911764705882353
PLUS5_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,29,11,0.3793103448275862
PLUS5_CLOSE,GE1R,TOUCH_BULLISH,DEV,False,512,275,0.537109375
PLUS5_CLOSE,GE1R,TOUCH_BULLISH,DEV,True,92,42,0.45652173913043476
PLUS5_CLOSE,GE1R,TOUCH_BULLISH,REF,False,326,183,0.5613496932515337
PLUS5_CLOSE,GE1R,TOUCH_BULLISH,REF,True,43,24,0.5581395348837209
PLUS5_CLOSE,GE1_5R,TOUCH_BULLISH,DEV,False,512,206,0.40234375
PLUS5_CLOSE,GE1_5R,TOUCH_BULLISH,DEV,True,92,28,0.30434782608695654
PLUS5_CLOSE,GE1_5R,TOUCH_BULLISH,REF,False,326,146,0.44785276073619634
PLUS5_CLOSE,GE1_5R,TOUCH_BULLISH,REF,True,43,17,0.3953488372093023
PLUS5_CLOSE,CLEAN1R,TOUCH_BULLISH,DEV,False,512,179,0.349609375
PLUS5_CLOSE,CLEAN1R,TOUCH_BULLISH,DEV,True,92,23,0.25
PLUS5_CLOSE,CLEAN1R,TOUCH_BULLISH,REF,False,326,126,0.38650306748466257
PLUS5_CLOSE,CLEAN1R,TOUCH_BULLISH,REF,True,43,16,0.37209302325581395
PLUS5_CLOSE,CLEAN1_5R,TOUCH_BULLISH,DEV,False,512,123,0.240234375
PLUS5_CLOSE,CLEAN1_5R,TOUCH_BULLISH,DEV,True,92,18,0.1956521739130435
PLUS5_CLOSE,CLEAN1_5R,TOUCH_BULLISH,REF,False,326,99,0.30368098159509205
PLUS5_CLOSE,CLEAN1_5R,TOUCH_BULLISH,REF,True,43,11,0.2558139534883721
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,DEV,False,254,106,0.41732283464566927
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,DEV,True,350,211,0.6028571428571429
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,REF,False,157,59,0.37579617834394907
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,REF,True,212,148,0.6981132075471698
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,DEV,False,254,76,0.2992125984251969
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,DEV,True,350,158,0.4514285714285714
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,REF,False,157,41,0.2611464968152866
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,REF,True,212,122,0.5754716981132075
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,DEV,False,254,40,0.15748031496062992
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,DEV,True,350,162,0.46285714285714286
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,REF,False,157,35,0.2229299363057325
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,REF,True,212,107,0.5047169811320755
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,DEV,False,254,24,0.09448818897637795
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,DEV,True,350,117,0.3342857142857143
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,REF,False,157,24,0.15286624203821655
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,REF,True,212,86,0.4056603773584906
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,False,167,74,0.4431137724550898
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,True,437,243,0.5560640732265446
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,REF,False,119,51,0.42857142857142855
PLUS5_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,REF,True,250,156,0.624
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,False,167,57,0.3413173652694611
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,True,437,177,0.40503432494279173
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_DEMAND_HIGH,REF,False,119,39,0.3277310924369748
PLUS5_CLOSE,GE1_5R,CLOSE5_ABOVE_DEMAND_HIGH,REF,True,250,124,0.496
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,False,167,29,0.17365269461077845
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,True,437,173,0.39588100686498856
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_DEMAND_HIGH,REF,False,119,30,0.25210084033613445
PLUS5_CLOSE,CLEAN1R,CLOSE5_ABOVE_DEMAND_HIGH,REF,True,250,112,0.448
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,False,167,22,0.1317365269461078
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,True,437,119,0.2723112128146453
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_DEMAND_HIGH,REF,False,119,24,0.20168067226890757
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_DEMAND_HIGH,REF,True,250,86,0.344
PLUS5_CLOSE,GE1R,CLOSE5_BREAK_TOUCH_HIGH,DEV,False,546,281,0.5146520146520146
PLUS5_CLOSE,GE1R,CLOSE5_BREAK_TOUCH_HIGH,DEV,True,58,36,0.6206896551724138
PLUS5_CLOSE,GE1R,CLOSE5_BREAK_TOUCH_HIGH,REF,False,347,188,0.5417867435158501
PLUS5_CLOSE,GE1R,CLOSE5_BREAK_TOUCH_HIGH,REF,True,22,19,0.8636363636363636
PLUS5_CLOSE,GE1_5R,CLOSE5_BREAK_TOUCH_HIGH,DEV,False,546,209,0.38278388278388276
PLUS5_CLOSE,GE1_5R,CLOSE5_BREAK_TOUCH_HIGH,DEV,True,58,25,0.43103448275862066
PLUS5_CLOSE,GE1_5R,CLOSE5_BREAK_TOUCH_HIGH,REF,False,347,147,0.42363112391930835
PLUS5_CLOSE,GE1_5R,CLOSE5_BREAK_TOUCH_HIGH,REF,True,22,16,0.7272727272727273
PLUS5_CLOSE,CLEAN1R,CLOSE5_BREAK_TOUCH_HIGH,DEV,False,546,173,0.31684981684981683
PLUS5_CLOSE,CLEAN1R,CLOSE5_BREAK_TOUCH_HIGH,DEV,True,58,29,0.5
PLUS5_CLOSE,CLEAN1R,CLOSE5_BREAK_TOUCH_HIGH,REF,False,347,128,0.3688760806916426
PLUS5_CLOSE,CLEAN1R,CLOSE5_BREAK_TOUCH_HIGH,REF,True,22,14,0.6363636363636364
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BREAK_TOUCH_HIGH,DEV,False,546,119,0.21794871794871795
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BREAK_TOUCH_HIGH,DEV,True,58,22,0.3793103448275862
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BREAK_TOUCH_HIGH,REF,False,347,99,0.28530259365994237
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BREAK_TOUCH_HIGH,REF,True,22,11,0.5
PLUS5_CLOSE,GE1R,CLOSE5_BULLISH,DEV,False,261,111,0.42528735632183906
PLUS5_CLOSE,GE1R,CLOSE5_BULLISH,DEV,True,343,206,0.6005830903790087
PLUS5_CLOSE,GE1R,CLOSE5_BULLISH,REF,False,159,60,0.37735849056603776
PLUS5_CLOSE,GE1R,CLOSE5_BULLISH,REF,True,210,147,0.7
PLUS5_CLOSE,GE1_5R,CLOSE5_BULLISH,DEV,False,261,80,0.3065134099616858
PLUS5_CLOSE,GE1_5R,CLOSE5_BULLISH,DEV,True,343,154,0.4489795918367347
PLUS5_CLOSE,GE1_5R,CLOSE5_BULLISH,REF,False,159,42,0.2641509433962264
PLUS5_CLOSE,GE1_5R,CLOSE5_BULLISH,REF,True,210,121,0.5761904761904761
PLUS5_CLOSE,CLEAN1R,CLOSE5_BULLISH,DEV,False,261,41,0.15708812260536398
PLUS5_CLOSE,CLEAN1R,CLOSE5_BULLISH,DEV,True,343,161,0.46938775510204084
PLUS5_CLOSE,CLEAN1R,CLOSE5_BULLISH,REF,False,159,36,0.22641509433962265
PLUS5_CLOSE,CLEAN1R,CLOSE5_BULLISH,REF,True,210,106,0.5047619047619047
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BULLISH,DEV,False,261,25,0.09578544061302682
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BULLISH,DEV,True,343,116,0.33819241982507287
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BULLISH,REF,False,159,25,0.15723270440251572
PLUS5_CLOSE,CLEAN1_5R,CLOSE5_BULLISH,REF,True,210,85,0.40476190476190477
PLUS5_CLOSE,GE1R,LOW5_HOLDS_TOUCH_LOW,DEV,False,145,68,0.4689655172413793
PLUS5_CLOSE,GE1R,LOW5_HOLDS_TOUCH_LOW,DEV,True,459,249,0.5424836601307189
PLUS5_CLOSE,GE1R,LOW5_HOLDS_TOUCH_LOW,REF,False,100,51,0.51
PLUS5_CLOSE,GE1R,LOW5_HOLDS_TOUCH_LOW,REF,True,269,156,0.5799256505576208
PLUS5_CLOSE,GE1_5R,LOW5_HOLDS_TOUCH_LOW,DEV,False,145,51,0.35172413793103446
PLUS5_CLOSE,GE1_5R,LOW5_HOLDS_TOUCH_LOW,DEV,True,459,183,0.39869281045751637
PLUS5_CLOSE,GE1_5R,LOW5_HOLDS_TOUCH_LOW,REF,False,100,41,0.41
PLUS5_CLOSE,GE1_5R,LOW5_HOLDS_TOUCH_LOW,REF,True,269,122,0.45353159851301117
PLUS5_CLOSE,CLEAN1R,LOW5_HOLDS_TOUCH_LOW,DEV,False,145,29,0.2
PLUS5_CLOSE,CLEAN1R,LOW5_HOLDS_TOUCH_LOW,DEV,True,459,173,0.3769063180827887
PLUS5_CLOSE,CLEAN1R,LOW5_HOLDS_TOUCH_LOW,REF,False,100,31,0.31
PLUS5_CLOSE,CLEAN1R,LOW5_HOLDS_TOUCH_LOW,REF,True,269,111,0.41263940520446096
PLUS5_CLOSE,CLEAN1_5R,LOW5_HOLDS_TOUCH_LOW,DEV,False,145,20,0.13793103448275862
PLUS5_CLOSE,CLEAN1_5R,LOW5_HOLDS_TOUCH_LOW,DEV,True,459,121,0.2636165577342048
PLUS5_CLOSE,CLEAN1_5R,LOW5_HOLDS_TOUCH_LOW,REF,False,100,26,0.26
PLUS5_CLOSE,CLEAN1_5R,LOW5_HOLDS_TOUCH_LOW,REF,True,269,84,0.31226765799256506
PLUS15_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,DEV,False,123,74,0.6016260162601627
PLUS15_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,DEV,True,375,194,0.5173333333333333
PLUS15_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,REF,False,96,59,0.6145833333333334
PLUS15_CLOSE,GE1R,TOUCH_RECLAIM_HIGH,REF,True,213,112,0.5258215962441315
PLUS15_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,DEV,False,123,60,0.4878048780487805
PLUS15_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,DEV,True,375,139,0.37066666666666664
PLUS15_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,REF,False,96,46,0.4791666666666667
PLUS15_CLOSE,GE1_5R,TOUCH_RECLAIM_HIGH,REF,True,213,87,0.4084507042253521
PLUS15_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,DEV,False,123,47,0.3821138211382114
PLUS15_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,DEV,True,375,120,0.32
PLUS15_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,REF,False,96,38,0.3958333333333333
PLUS15_CLOSE,CLEAN1R,TOUCH_RECLAIM_HIGH,REF,True,213,76,0.3568075117370892
PLUS15_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,DEV,False,123,33,0.2682926829268293
PLUS15_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,DEV,True,375,84,0.224
PLUS15_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,REF,False,96,29,0.3020833333333333
PLUS15_CLOSE,CLEAN1_5R,TOUCH_RECLAIM_HIGH,REF,True,213,58,0.27230046948356806
PLUS15_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,458,244,0.5327510917030568
PLUS15_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,40,24,0.6
PLUS15_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,295,161,0.5457627118644067
PLUS15_CLOSE,GE1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,14,10,0.7142857142857143
PLUS15_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,458,180,0.3930131004366812
PLUS15_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,40,19,0.475
PLUS15_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,295,125,0.423728813559322
PLUS15_CLOSE,GE1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,14,8,0.5714285714285714
PLUS15_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,458,153,0.33406113537117904
PLUS15_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,40,14,0.35
PLUS15_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,295,107,0.36271186440677966
PLUS15_CLOSE,CLEAN1R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,14,7,0.5
PLUS15_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,False,458,106,0.2314410480349345
PLUS15_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,DEV,True,40,11,0.275
PLUS15_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,False,295,82,0.27796610169491526
PLUS15_CLOSE,CLEAN1_5R,TOUCH_FLOOR_SWEEP_RECLAIM,REF,True,14,5,0.35714285714285715
PLUS15_CLOSE,GE1R,TOUCH_BULLISH,DEV,False,412,231,0.5606796116504854
PLUS15_CLOSE,GE1R,TOUCH_BULLISH,DEV,True,86,37,0.43023255813953487
PLUS15_CLOSE,GE1R,TOUCH_BULLISH,REF,False,266,147,0.5526315789473685
PLUS15_CLOSE,GE1R,TOUCH_BULLISH,REF,True,43,24,0.5581395348837209
PLUS15_CLOSE,GE1_5R,TOUCH_BULLISH,DEV,False,412,174,0.4223300970873786
PLUS15_CLOSE,GE1_5R,TOUCH_BULLISH,DEV,True,86,25,0.29069767441860467
PLUS15_CLOSE,GE1_5R,TOUCH_BULLISH,REF,False,266,116,0.43609022556390975
PLUS15_CLOSE,GE1_5R,TOUCH_BULLISH,REF,True,43,17,0.3953488372093023
PLUS15_CLOSE,CLEAN1R,TOUCH_BULLISH,DEV,False,412,148,0.3592233009708738
PLUS15_CLOSE,CLEAN1R,TOUCH_BULLISH,DEV,True,86,19,0.22093023255813954
PLUS15_CLOSE,CLEAN1R,TOUCH_BULLISH,REF,False,266,98,0.3684210526315789
PLUS15_CLOSE,CLEAN1R,TOUCH_BULLISH,REF,True,43,16,0.37209302325581395
PLUS15_CLOSE,CLEAN1_5R,TOUCH_BULLISH,DEV,False,412,102,0.24757281553398058
PLUS15_CLOSE,CLEAN1_5R,TOUCH_BULLISH,DEV,True,86,15,0.1744186046511628
PLUS15_CLOSE,CLEAN1_5R,TOUCH_BULLISH,REF,False,266,76,0.2857142857142857
PLUS15_CLOSE,CLEAN1_5R,TOUCH_BULLISH,REF,True,43,11,0.2558139534883721
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,DEV,False,198,96,0.48484848484848486
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,DEV,True,300,172,0.5733333333333334
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,REF,False,135,57,0.4222222222222222
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_ANCHOR,REF,True,174,114,0.6551724137931034
PLUS15_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,DEV,False,198,70,0.35353535353535354
PLUS15_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,DEV,True,300,129,0.43
PLUS15_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,REF,False,135,39,0.28888888888888886
PLUS15_CLOSE,GE1_5R,CLOSE5_ABOVE_ANCHOR,REF,True,174,94,0.5402298850574713
PLUS15_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,DEV,False,198,37,0.18686868686868688
PLUS15_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,DEV,True,300,130,0.43333333333333335
PLUS15_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,REF,False,135,33,0.24444444444444444
PLUS15_CLOSE,CLEAN1R,CLOSE5_ABOVE_ANCHOR,REF,True,174,81,0.46551724137931033
PLUS15_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,DEV,False,198,22,0.1111111111111111
PLUS15_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,DEV,True,300,95,0.31666666666666665
PLUS15_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,REF,False,135,22,0.16296296296296298
PLUS15_CLOSE,CLEAN1_5R,CLOSE5_ABOVE_ANCHOR,REF,True,174,65,0.3735632183908046
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,False,119,64,0.5378151260504201
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,True,379,204,0.5382585751978892
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,REF,False,96,41,0.4270833333333333
PLUS15_CLOSE,GE1R,CLOSE5_ABOVE_DEMAND_HIGH,REF,True,213,130,0.6103286384976526
PLUS15_CLOSE,GE1_5R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,False,119,51,0.42857142857142855
PLUS15_CLOSE,GE1_5R,CLOSE5_ABOVE_DEMAND_HIGH,DEV,True,379,148,0.39050131926121373
