decision,feature,feature_type,year,state,n,ge1r,ge1r_rate
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2023,False,86,37,0.43023255813953487
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2023,True,154,78,0.5064935064935064
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2024,False,98,39,0.3979591836734694
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2024,True,172,81,0.47093023255813954
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2025,False,130,71,0.5461538461538461
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2025,True,169,94,0.5562130177514792
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2026,False,56,23,0.4107142857142857
TOUCH_CLOSE,TOUCH_RECLAIM_HIGH,BINARY,2026,True,108,53,0.49074074074074076
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q1,42,22,0.5238095238095238
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q2,51,24,0.47058823529411764
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q3,54,30,0.5555555555555556
PLUS5_CLOSE,p5_high_r,NUMERIC,2022,Q4,61,40,0.6557377049180327
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q1,58,23,0.39655172413793105
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q2,42,19,0.4523809523809524
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q3,46,27,0.5869565217391305
PLUS5_CLOSE,p5_high_r,NUMERIC,2023,Q4,37,27,0.7297297297297297
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q1,51,22,0.43137254901960786
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q2,58,21,0.3620689655172414
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q3,51,27,0.5294117647058824
PLUS5_CLOSE,p5_high_r,NUMERIC,2024,Q4,53,35,0.660377358490566
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q1,65,31,0.47692307692307695
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q2,51,24,0.47058823529411764
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q3,52,33,0.6346153846153846
PLUS5_CLOSE,p5_high_r,NUMERIC,2025,Q4,63,49,0.7777777777777778
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q1,41,9,0.21951219512195122
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q2,26,14,0.5384615384615384
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q3,36,23,0.6388888888888888
PLUS5_CLOSE,p5_high_r,NUMERIC,2026,Q4,35,24,0.6857142857142857
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q1,46,23,0.5
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q2,54,32,0.5925925925925926
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q3,57,31,0.543859649122807
PLUS5_CLOSE,p5_close_location,NUMERIC,2022,Q4,51,30,0.5882352941176471
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q1,54,19,0.35185185185185186
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q2,42,26,0.6190476190476191
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q3,43,23,0.5348837209302325
PLUS5_CLOSE,p5_close_location,NUMERIC,2023,Q4,44,28,0.6363636363636364
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q1,51,14,0.27450980392156865
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q2,55,25,0.45454545454545453
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q3,51,27,0.5294117647058824
PLUS5_CLOSE,p5_close_location,NUMERIC,2024,Q4,56,39,0.6964285714285714
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q1,54,23,0.42592592592592593
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q2,55,25,0.45454545454545453
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q3,74,56,0.7567567567567568
PLUS5_CLOSE,p5_close_location,NUMERIC,2025,Q4,48,33,0.6875
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q1,34,7,0.20588235294117646
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q2,28,15,0.5357142857142857
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q3,43,25,0.5813953488372093
PLUS5_CLOSE,p5_close_location,NUMERIC,2026,Q4,33,23,0.696969696969697
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q1,52,25,0.4807692307692308
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q2,51,31,0.6078431372549019
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q3,49,23,0.46938775510204084
PLUS5_CLOSE,p5_body_r,NUMERIC,2022,Q4,56,37,0.6607142857142857
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q1,49,19,0.3877551020408163
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q2,47,21,0.44680851063829785
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q3,44,25,0.5681818181818182
PLUS5_CLOSE,p5_body_r,NUMERIC,2023,Q4,43,31,0.7209302325581395
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q1,50,15,0.3
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q2,53,20,0.37735849056603776
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q3,58,29,0.5
PLUS5_CLOSE,p5_body_r,NUMERIC,2024,Q4,52,41,0.7884615384615384
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q1,48,17,0.3541666666666667
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q2,78,40,0.5128205128205128
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q3,43,28,0.6511627906976745
PLUS5_CLOSE,p5_body_r,NUMERIC,2025,Q4,62,52,0.8387096774193549
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q1,28,4,0.14285714285714285
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q2,42,17,0.40476190476190477
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q3,30,19,0.6333333333333333
PLUS5_CLOSE,p5_body_r,NUMERIC,2026,Q4,38,30,0.7894736842105263
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q1,53,26,0.49056603773584906
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q2,50,30,0.6
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q3,48,22,0.4583333333333333
PLUS5_CLOSE,p5_close_r,NUMERIC,2022,Q4,57,38,0.6666666666666666
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q1,47,17,0.3617021276595745
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q2,48,23,0.4791666666666667
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q3,46,26,0.5652173913043478
PLUS5_CLOSE,p5_close_r,NUMERIC,2023,Q4,42,30,0.7142857142857143
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q1,51,16,0.3137254901960784
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q2,53,20,0.37735849056603776
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q3,57,29,0.5087719298245614
PLUS5_CLOSE,p5_close_r,NUMERIC,2024,Q4,52,40,0.7692307692307693
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q1,48,17,0.3541666666666667
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q2,78,40,0.5128205128205128
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q3,43,28,0.6511627906976745
PLUS5_CLOSE,p5_close_r,NUMERIC,2025,Q4,62,52,0.8387096774193549
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q1,28,4,0.14285714285714285
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q2,43,18,0.4186046511627907
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q3,28,17,0.6071428571428571
PLUS5_CLOSE,p5_close_r,NUMERIC,2026,Q4,39,31,0.7948717948717948
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q1,44,25,0.5681818181818182
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q2,49,27,0.5510204081632653
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q3,56,27,0.48214285714285715
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2022,Q4,59,37,0.6271186440677966
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q1,61,22,0.36065573770491804
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q2,39,19,0.48717948717948717
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q3,39,25,0.6410256410256411
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2023,Q4,44,30,0.6818181818181818
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q1,46,16,0.34782608695652173
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q2,63,27,0.42857142857142855
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q3,56,26,0.4642857142857143
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2024,Q4,48,36,0.75
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q1,65,27,0.4153846153846154
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q2,50,25,0.5
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q3,57,37,0.6491228070175439
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2025,Q4,59,48,0.8135593220338984
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q1,36,10,0.2777777777777778
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q2,29,11,0.3793103448275862
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q3,43,30,0.6976744186046512
PLUS5_CLOSE,p5_recovery_from_low_r,NUMERIC,2026,Q4,30,19,0.6333333333333333
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q1,26,16,0.6153846153846154
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q2,33,21,0.6363636363636364
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q3,25,18,0.72
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2022,Q4,23,14,0.6086956521739131
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q1,25,8,0.32
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q2,22,13,0.5909090909090909
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q3,26,14,0.5384615384615384
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2023,Q4,22,17,0.7727272727272727
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q1,29,9,0.3103448275862069
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q2,24,13,0.5416666666666666
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q3,28,13,0.4642857142857143
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2024,Q4,34,13,0.38235294117647056
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q1,44,22,0.5
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q2,31,18,0.5806451612903226
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q3,32,22,0.6875
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2025,Q4,30,19,0.6333333333333333
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q1,26,12,0.46153846153846156
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q2,14,7,0.5
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q3,16,10,0.625
PLUS5_CLOSE,compression_last3_vs_earlier,NUMERIC,2026,Q4,20,13,0.65
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2022,Q1,39,22,0.5641025641025641
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2022,Q2,48,21,0.4375
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2022,Q3,45,26,0.5777777777777777
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2022,Q4,41,27,0.6585365853658537
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2023,Q1,40,19,0.475
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2023,Q2,42,15,0.35714285714285715
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2023,Q3,36,21,0.5833333333333334
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2023,Q4,33,26,0.7878787878787878
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2024,Q1,46,15,0.32608695652173914
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2024,Q2,34,13,0.38235294117647056
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2024,Q3,43,21,0.4883720930232558
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2024,Q4,51,42,0.8235294117647058
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2025,Q1,56,22,0.39285714285714285
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2025,Q2,49,27,0.5510204081632653
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2025,Q3,43,27,0.627906976744186
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2025,Q4,44,36,0.8181818181818182
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2026,Q1,33,7,0.21212121212121213
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2026,Q2,21,8,0.38095238095238093
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2026,Q3,30,18,0.6
PLUS15_CLOSE,p15_max_close_r,NUMERIC,2026,Q4,33,26,0.7878787878787878
PLUS15_CLOSE,p15_high_r,NUMERIC,2022,Q1,41,22,0.5365853658536586
PLUS15_CLOSE,p15_high_r,NUMERIC,2022,Q2,43,18,0.4186046511627907
PLUS15_CLOSE,p15_high_r,NUMERIC,2022,Q3,43,25,0.5813953488372093
PLUS15_CLOSE,p15_high_r,NUMERIC,2022,Q4,46,31,0.6739130434782609
PLUS15_CLOSE,p15_high_r,NUMERIC,2023,Q1,44,17,0.38636363636363635
PLUS15_CLOSE,p15_high_r,NUMERIC,2023,Q2,39,18,0.46153846153846156
PLUS15_CLOSE,p15_high_r,NUMERIC,2023,Q3,35,23,0.6571428571428571
PLUS15_CLOSE,p15_high_r,NUMERIC,2023,Q4,33,23,0.696969696969697
PLUS15_CLOSE,p15_high_r,NUMERIC,2024,Q1,40,17,0.425
PLUS15_CLOSE,p15_high_r,NUMERIC,2024,Q2,42,13,0.30952380952380953
PLUS15_CLOSE,p15_high_r,NUMERIC,2024,Q3,46,23,0.5
PLUS15_CLOSE,p15_high_r,NUMERIC,2024,Q4,46,38,0.8260869565217391
PLUS15_CLOSE,p15_high_r,NUMERIC,2025,Q1,53,20,0.37735849056603776
PLUS15_CLOSE,p15_high_r,NUMERIC,2025,Q2,48,26,0.5416666666666666
PLUS15_CLOSE,p15_high_r,NUMERIC,2025,Q3,36,24,0.6666666666666666
PLUS15_CLOSE,p15_high_r,NUMERIC,2025,Q4,55,42,0.7636363636363637
PLUS15_CLOSE,p15_high_r,NUMERIC,2026,Q1,27,5,0.18518518518518517
PLUS15_CLOSE,p15_high_r,NUMERIC,2026,Q2,26,11,0.4230769230769231
PLUS15_CLOSE,p15_high_r,NUMERIC,2026,Q3,28,17,0.6071428571428571
PLUS15_CLOSE,p15_high_r,NUMERIC,2026,Q4,36,26,0.7222222222222222
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q1,45,18,0.4
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q2,47,25,0.5319148936170213
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q3,42,23,0.5476190476190477
PLUS15_CLOSE,p15_close_location,NUMERIC,2022,Q4,39,30,0.7692307692307693
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q1,30,13,0.43333333333333335
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q2,37,20,0.5405405405405406
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q3,41,20,0.4878048780487805
PLUS15_CLOSE,p15_close_location,NUMERIC,2023,Q4,43,28,0.6511627906976745
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q1,50,18,0.36
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q2,40,16,0.4
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q3,41,25,0.6097560975609756
PLUS15_CLOSE,p15_close_location,NUMERIC,2024,Q4,43,32,0.7441860465116279
PLUS15_CLOSE,p15_close_location,NUMERIC,2025,Q1,70,30,0.42857142857142855
PLUS15_CLOSE,p15_close_location,NUMERIC,2025,Q2,38,23,0.6052631578947368
