decision,label,feature,period,band,n,success,success_rate
TOUCH_CLOSE,CLEAN1R,bos_body_zw,DEV,Q1,197,70,0.3553299492385787
TOUCH_CLOSE,CLEAN1R,bos_body_zw,DEV,Q2,196,62,0.3163265306122449
TOUCH_CLOSE,CLEAN1R,bos_body_zw,DEV,Q3,196,54,0.2755102040816326
TOUCH_CLOSE,CLEAN1R,bos_body_zw,DEV,Q4,196,51,0.2602040816326531
TOUCH_CLOSE,CLEAN1R,bos_body_zw,REF,Q1,157,60,0.3821656050955414
TOUCH_CLOSE,CLEAN1R,bos_body_zw,REF,Q2,116,44,0.3793103448275862
TOUCH_CLOSE,CLEAN1R,bos_body_zw,REF,Q3,88,32,0.36363636363636365
TOUCH_CLOSE,CLEAN1R,bos_body_zw,REF,Q4,102,34,0.3333333333333333
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,DEV,Q1,197,51,0.25888324873096447
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,DEV,Q2,196,43,0.2193877551020408
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,DEV,Q3,196,35,0.17857142857142858
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,DEV,Q4,196,41,0.20918367346938777
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,REF,Q1,157,52,0.33121019108280253
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,REF,Q2,116,36,0.3103448275862069
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,REF,Q3,88,24,0.2727272727272727
TOUCH_CLOSE,CLEAN1_5R,bos_body_zw,REF,Q4,102,23,0.22549019607843138
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,DEV,Q1,197,84,0.4263959390862944
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,DEV,Q2,196,80,0.40816326530612246
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,DEV,Q3,196,110,0.5612244897959183
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,DEV,Q4,196,101,0.5153061224489796
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,REF,Q1,127,65,0.5118110236220472
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,REF,Q2,113,58,0.5132743362831859
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,REF,Q3,110,59,0.5363636363636364
TOUCH_CLOSE,GE1R,pullback_close_slope_zw_per_bar,REF,Q4,113,59,0.5221238938053098
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,DEV,Q1,197,66,0.3350253807106599
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,DEV,Q2,196,58,0.29591836734693877
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,DEV,Q3,196,88,0.4489795918367347
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,DEV,Q4,196,72,0.3673469387755102
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,REF,Q1,127,52,0.4094488188976378
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,REF,Q2,113,54,0.4778761061946903
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,REF,Q3,110,43,0.39090909090909093
TOUCH_CLOSE,GE1_5R,pullback_close_slope_zw_per_bar,REF,Q4,113,44,0.3893805309734513
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,DEV,Q1,197,49,0.24873096446700507
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,DEV,Q2,196,53,0.27040816326530615
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,DEV,Q3,196,74,0.37755102040816324
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,DEV,Q4,196,61,0.3112244897959184
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,REF,Q1,127,42,0.33070866141732286
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,REF,Q2,113,43,0.3805309734513274
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,REF,Q3,110,40,0.36363636363636365
TOUCH_CLOSE,CLEAN1R,pullback_close_slope_zw_per_bar,REF,Q4,113,45,0.39823008849557523
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,DEV,Q1,197,36,0.18274111675126903
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,DEV,Q2,196,33,0.1683673469387755
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,DEV,Q3,196,60,0.30612244897959184
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,DEV,Q4,196,41,0.20918367346938777
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,REF,Q1,127,34,0.2677165354330709
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,REF,Q2,113,39,0.34513274336283184
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,REF,Q3,110,30,0.2727272727272727
TOUCH_CLOSE,CLEAN1_5R,pullback_close_slope_zw_per_bar,REF,Q4,113,32,0.2831858407079646
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,DEV,Q1,104,40,0.38461538461538464
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,DEV,Q2,104,56,0.5384615384615384
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,DEV,Q3,104,53,0.5096153846153846
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,DEV,Q4,104,52,0.5
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,REF,Q1,81,38,0.4691358024691358
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,REF,Q2,59,28,0.4745762711864407
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,REF,Q3,59,38,0.6440677966101694
TOUCH_CLOSE,GE1R,compression_last3_vs_earlier,REF,Q4,58,30,0.5172413793103449
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,DEV,Q1,104,31,0.2980769230769231
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,DEV,Q2,104,44,0.4230769230769231
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,DEV,Q3,104,41,0.3942307692307692
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,DEV,Q4,104,40,0.38461538461538464
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,REF,Q1,81,28,0.345679012345679
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,REF,Q2,59,23,0.3898305084745763
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,REF,Q3,59,34,0.576271186440678
TOUCH_CLOSE,GE1_5R,compression_last3_vs_earlier,REF,Q4,58,21,0.3620689655172414
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,DEV,Q1,104,29,0.27884615384615385
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,DEV,Q2,104,33,0.3173076923076923
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,DEV,Q3,104,33,0.3173076923076923
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,DEV,Q4,104,31,0.2980769230769231
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,REF,Q1,81,29,0.35802469135802467
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,REF,Q2,59,22,0.3728813559322034
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,REF,Q3,59,21,0.3559322033898305
TOUCH_CLOSE,CLEAN1R,compression_last3_vs_earlier,REF,Q4,58,22,0.3793103448275862
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,DEV,Q1,104,20,0.19230769230769232
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,DEV,Q2,104,26,0.25
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,DEV,Q3,104,26,0.25
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,DEV,Q4,104,22,0.21153846153846154
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,REF,Q1,81,22,0.2716049382716049
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,REF,Q2,59,19,0.3220338983050847
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,REF,Q3,59,18,0.3050847457627119
TOUCH_CLOSE,CLEAN1_5R,compression_last3_vs_earlier,REF,Q4,58,15,0.25862068965517243
TOUCH_CLOSE,GE1R,touch_penetration_zw,DEV,Q1,197,87,0.4416243654822335
TOUCH_CLOSE,GE1R,touch_penetration_zw,DEV,Q2,196,103,0.5255102040816326
TOUCH_CLOSE,GE1R,touch_penetration_zw,DEV,Q3,196,106,0.5408163265306123
TOUCH_CLOSE,GE1R,touch_penetration_zw,DEV,Q4,196,79,0.4030612244897959
TOUCH_CLOSE,GE1R,touch_penetration_zw,REF,Q1,122,67,0.5491803278688525
TOUCH_CLOSE,GE1R,touch_penetration_zw,REF,Q2,109,51,0.46788990825688076
TOUCH_CLOSE,GE1R,touch_penetration_zw,REF,Q3,126,67,0.5317460317460317
TOUCH_CLOSE,GE1R,touch_penetration_zw,REF,Q4,106,56,0.5283018867924528
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,DEV,Q1,197,65,0.3299492385786802
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,DEV,Q2,196,73,0.37244897959183676
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,DEV,Q3,196,83,0.42346938775510207
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,DEV,Q4,196,63,0.32142857142857145
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,REF,Q1,122,54,0.4426229508196721
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,REF,Q2,109,38,0.3486238532110092
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,REF,Q3,126,53,0.42063492063492064
TOUCH_CLOSE,GE1_5R,touch_penetration_zw,REF,Q4,106,48,0.4528301886792453
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,DEV,Q1,197,55,0.27918781725888325
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,DEV,Q2,196,67,0.34183673469387754
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,DEV,Q3,196,69,0.3520408163265306
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,DEV,Q4,196,46,0.23469387755102042
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,REF,Q1,122,51,0.4180327868852459
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,REF,Q2,109,33,0.30275229357798167
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,REF,Q3,126,45,0.35714285714285715
TOUCH_CLOSE,CLEAN1R,touch_penetration_zw,REF,Q4,106,41,0.3867924528301887
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,DEV,Q1,197,44,0.2233502538071066
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,DEV,Q2,196,41,0.20918367346938777
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,DEV,Q3,196,49,0.25
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,DEV,Q4,196,36,0.1836734693877551
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,REF,Q1,122,39,0.319672131147541
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,REF,Q2,109,26,0.23853211009174313
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,REF,Q3,126,37,0.29365079365079366
TOUCH_CLOSE,CLEAN1_5R,touch_penetration_zw,REF,Q4,106,33,0.3113207547169811
TOUCH_CLOSE,GE1R,touch_floor_sweep_depth_zw,DEV,Q1,641,323,0.5039001560062403
TOUCH_CLOSE,GE1R,touch_floor_sweep_depth_zw,DEV,Q4,144,52,0.3611111111111111
TOUCH_CLOSE,GE1R,touch_floor_sweep_depth_zw,REF,Q1,385,199,0.5168831168831168
TOUCH_CLOSE,GE1R,touch_floor_sweep_depth_zw,REF,Q4,78,42,0.5384615384615384
TOUCH_CLOSE,GE1_5R,touch_floor_sweep_depth_zw,DEV,Q1,641,243,0.3790951638065523
TOUCH_CLOSE,GE1_5R,touch_floor_sweep_depth_zw,DEV,Q4,144,41,0.2847222222222222
TOUCH_CLOSE,GE1_5R,touch_floor_sweep_depth_zw,REF,Q1,385,157,0.4077922077922078
TOUCH_CLOSE,GE1_5R,touch_floor_sweep_depth_zw,REF,Q4,78,36,0.46153846153846156
TOUCH_CLOSE,CLEAN1R,touch_floor_sweep_depth_zw,DEV,Q1,641,208,0.3244929797191888
TOUCH_CLOSE,CLEAN1R,touch_floor_sweep_depth_zw,DEV,Q4,144,29,0.2013888888888889
TOUCH_CLOSE,CLEAN1R,touch_floor_sweep_depth_zw,REF,Q1,385,137,0.35584415584415585
TOUCH_CLOSE,CLEAN1R,touch_floor_sweep_depth_zw,REF,Q4,78,33,0.4230769230769231
TOUCH_CLOSE,CLEAN1_5R,touch_floor_sweep_depth_zw,DEV,Q1,641,147,0.22932917316692666
TOUCH_CLOSE,CLEAN1_5R,touch_floor_sweep_depth_zw,DEV,Q4,144,23,0.1597222222222222
TOUCH_CLOSE,CLEAN1_5R,touch_floor_sweep_depth_zw,REF,Q1,385,108,0.2805194805194805
TOUCH_CLOSE,CLEAN1_5R,touch_floor_sweep_depth_zw,REF,Q4,78,27,0.34615384615384615
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,DEV,Q1,197,89,0.4517766497461929
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,DEV,Q2,196,94,0.47959183673469385
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,DEV,Q3,196,100,0.5102040816326531
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,DEV,Q4,196,92,0.46938775510204084
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,REF,Q1,124,54,0.43548387096774194
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,REF,Q2,120,69,0.575
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,REF,Q3,118,58,0.4915254237288136
TOUCH_CLOSE,GE1R,touch_close_vs_demand_high_zw,REF,Q4,101,60,0.594059405940594
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,DEV,Q1,197,74,0.3756345177664975
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,DEV,Q2,196,72,0.3673469387755102
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,DEV,Q3,196,70,0.35714285714285715
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,DEV,Q4,196,68,0.3469387755102041
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,REF,Q1,124,47,0.3790322580645161
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,REF,Q2,120,53,0.44166666666666665
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,REF,Q3,118,47,0.3983050847457627
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_high_zw,REF,Q4,101,46,0.45544554455445546
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,DEV,Q1,197,50,0.25380710659898476
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,DEV,Q2,196,69,0.3520408163265306
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,DEV,Q3,196,59,0.3010204081632653
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,DEV,Q4,196,59,0.3010204081632653
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,REF,Q1,124,37,0.29838709677419356
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,REF,Q2,120,47,0.39166666666666666
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,REF,Q3,118,43,0.3644067796610169
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_high_zw,REF,Q4,101,43,0.42574257425742573
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,DEV,Q1,197,42,0.2131979695431472
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,DEV,Q2,196,43,0.2193877551020408
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,DEV,Q3,196,41,0.20918367346938777
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,DEV,Q4,196,44,0.22448979591836735
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,REF,Q1,124,33,0.2661290322580645
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,REF,Q2,120,35,0.2916666666666667
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,REF,Q3,118,35,0.2966101694915254
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_high_zw,REF,Q4,101,32,0.31683168316831684
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,DEV,Q1,197,89,0.4517766497461929
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,DEV,Q2,196,94,0.47959183673469385
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,DEV,Q3,196,100,0.5102040816326531
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,DEV,Q4,196,92,0.46938775510204084
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,REF,Q1,124,54,0.43548387096774194
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,REF,Q2,120,69,0.575
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,REF,Q3,118,58,0.4915254237288136
TOUCH_CLOSE,GE1R,touch_close_vs_demand_low_zw,REF,Q4,101,60,0.594059405940594
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,DEV,Q1,197,74,0.3756345177664975
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,DEV,Q2,196,72,0.3673469387755102
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,DEV,Q3,196,70,0.35714285714285715
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,DEV,Q4,196,68,0.3469387755102041
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,REF,Q1,124,47,0.3790322580645161
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,REF,Q2,120,53,0.44166666666666665
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,REF,Q3,118,47,0.3983050847457627
TOUCH_CLOSE,GE1_5R,touch_close_vs_demand_low_zw,REF,Q4,101,46,0.45544554455445546
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,DEV,Q1,197,50,0.25380710659898476
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,DEV,Q2,196,69,0.3520408163265306
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,DEV,Q3,196,59,0.3010204081632653
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,DEV,Q4,196,59,0.3010204081632653
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,REF,Q1,124,37,0.29838709677419356
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,REF,Q2,120,47,0.39166666666666666
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,REF,Q3,118,43,0.3644067796610169
TOUCH_CLOSE,CLEAN1R,touch_close_vs_demand_low_zw,REF,Q4,101,43,0.42574257425742573
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,DEV,Q1,197,42,0.2131979695431472
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,DEV,Q2,196,43,0.2193877551020408
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,DEV,Q3,196,41,0.20918367346938777
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,DEV,Q4,196,44,0.22448979591836735
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,REF,Q1,124,33,0.2661290322580645
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,REF,Q2,120,35,0.2916666666666667
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,REF,Q3,118,35,0.2966101694915254
TOUCH_CLOSE,CLEAN1_5R,touch_close_vs_demand_low_zw,REF,Q4,101,32,0.31683168316831684
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,DEV,Q1,197,95,0.48223350253807107
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,DEV,Q2,196,102,0.5204081632653061
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,DEV,Q3,196,93,0.4744897959183674
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,DEV,Q4,196,85,0.4336734693877551
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,REF,Q1,129,70,0.5426356589147286
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,REF,Q2,134,68,0.5074626865671642
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,REF,Q3,104,43,0.41346153846153844
TOUCH_CLOSE,GE1R,touch_recovery_from_low_zw,REF,Q4,96,60,0.625
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,DEV,Q1,197,73,0.37055837563451777
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,DEV,Q2,196,79,0.4030612244897959
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,DEV,Q3,196,71,0.3622448979591837
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,DEV,Q4,196,61,0.3112244897959184
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,REF,Q1,129,56,0.43410852713178294
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,REF,Q2,134,57,0.4253731343283582
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,REF,Q3,104,34,0.3269230769230769
TOUCH_CLOSE,GE1_5R,touch_recovery_from_low_zw,REF,Q4,96,46,0.4791666666666667
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,DEV,Q1,197,65,0.3299492385786802
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,DEV,Q2,196,68,0.3469387755102041
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,DEV,Q3,196,53,0.27040816326530615
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,DEV,Q4,196,51,0.2602040816326531
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,REF,Q1,129,48,0.37209302325581395
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,REF,Q2,134,52,0.3880597014925373
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,REF,Q3,104,26,0.25
TOUCH_CLOSE,CLEAN1R,touch_recovery_from_low_zw,REF,Q4,96,44,0.4583333333333333
TOUCH_CLOSE,CLEAN1_5R,touch_recovery_from_low_zw,DEV,Q1,197,46,0.233502538071066
