t,period,gt,v1,broad,bull,ret4,acc,distLow8,rv24,atr,distHigh8
1711774800000,DEV,TRANSITION,0,1,0,3.2853292340290663,1.0015839060182699,5.4138287440701705,1.0158205466795198,1.2969838803637233,-0.7589820359281463
1711778400000,DEV,TRANSITION,0,1,0,3.071702551771893,0.9825897271589965,3.7629479044959613,1.0253106670149543,1.2769953999888906,-1.176147704590813
1711998000000,DEV,BEAR,1,1,0,2.7723319360100307,3.5602462093218934,3.601287551349408,1.162063628889958,1.6711409148145002,-2.2779169866224747
1712001600000,DEV,BEAR,1,1,0,2.2303812960266844,2.71249037066205,3.79249214025954,1.1621086993433347,1.5805974594263061,-2.097562947096143
1712005200000,DEV,BEAR,0,1,0,1.2215094854647113,1.905385652913627,3.276721778577585,1.1631685512475018,1.5901209287577516,-2.1778391047168832
1712008800000,DEV,BEAR,0,1,0,1.6998286994333922,2.3256699066356523,3.341527815715173,1.1572345938675994,1.5559175211935008,-0.6370148362145889
1712073600000,DEV,BULL,1,0,0,0.7440667094291253,1.2861724981240572,2.618018192044813,1.0029737689881513,1.9468763371675033,-1.3916186233403294
1712077200000,DEV,TRANSITION,1,1,0,2.247360820356681,2.5944344407751543,3.7827181255717157,1.0289965684441578,1.8989460249334673,-0.13831031805905392
1712080800000,DEV,SIDEWAYS,1,1,0,2.5638327333148636,2.627971229347977,5.208765361255829,1.0723200052077295,1.904875051398147,-0.09010175563540779
1712084400000,DEV,TRANSITION,0,1,0,4.626067954876967,4.171004142271591,5.546244268824108,0.9898137328731379,1.8522221051652146,-0.6226696694608402
1712088000000,DEV,TRANSITION,0,1,0,2.269417946063257,1.6286257473956103,4.9468499127895305,0.9900821035359626,1.8814006833582628,-1.1870309248570465
1712113200000,DEV,SIDEWAYS,1,1,0,3.789100556475966,1.7233083409307146,6.525546290646944,1.0017219661299137,2.008574625684028,-0.26340704851873786
1712116800000,DEV,SIDEWAYS,0,1,0,3.708525968508969,2.3500494700970265,6.1961900888075405,1.0045013890796548,1.9380861185840448,-0.5717731314232033
1712124000000,DEV,TRANSITION,0,1,0,2.6158175977097464,1.6234444524466949,7.72828960748424,1.0176638410001004,1.7554860343231133,-0.668833604200525
1712235600000,DEV,BEAR,0,1,0,1.562483145461413,1.1256210206544253,3.0661448783558143,0.7524854933724426,1.179381086660157,-0.7301309491175245
1712275200000,DEV,BEAR,1,0,0,1.2942715889866285,1.6419302416756376,2.1685589326736032,0.7369311384350238,1.2978870439076358,-2.774639375706145
1712318400000,DEV,TRANSITION,1,0,0,-0.13121387283236974,2.074373061560334,2.7798929208804335,0.9877304103206604,1.9578538644017613,-2.648838703133982
1712322000000,DEV,SIDEWAYS,1,1,0,1.4460666407785094,2.8053544988908516,4.123735871505074,1.0198131642035133,2.0297512944571756,-1.26248096124556
1712325600000,DEV,TRANSITION,0,1,0,2.2280982129885274,2.629106912743092,4.6454491374182005,1.0308085509161438,2.063891801199158,-0.8371196320056007
1712329200000,DEV,SIDEWAYS,0,1,0,3.5910691364712255,4.25727161523463,4.6621058893515865,1.030179972468476,2.012246266723721,-0.821335558136127
1712451600000,DEV,TRANSITION,0,1,0,2.551281546517581,1.0062012413656563,3.1330957633350476,0.694995157824741,1.058212665801146,-0.08712901670245854
1712563200000,DEV,BEAR,1,1,0,4.2976445274578,3.4067983353502327,4.738855536741515,0.7569786478931082,1.1482973053466135,-0.4422069159861097
1712566800000,DEV,TRANSITION,0,1,0,3.3262062857175145,2.3419565302341536,4.420727361873644,0.7529214972182613,1.1604534800734707,-0.8896152035454796
1712570400000,DEV,BEAR,0,1,0,3.559185148788857,2.6932219955863035,4.540453019081991,0.7453631154736051,1.1708886646851882,-0.7759782249903924
1712682000000,DEV,BEAR,0,1,0,1.2713231904103228,1.7665318133939827,3.9306837000236516,0.6110424915105896,1.3439347945909268,-1.19426482991285
