target,feature,period,band,n,expanders,expansion_rate
MAJOR_NEAREST,objective_room_from_tp2_r,DEV,Q4,24,11,0.4583333333333333
MAJOR_NEAREST,objective_room_from_tp2_r,REF,Q1,19,16,0.8421052631578947
MAJOR_NEAREST,objective_room_from_tp2_r,REF,Q2,8,7,0.875
MAJOR_NEAREST,objective_room_from_tp2_r,REF,Q3,25,20,0.8
MAJOR_NEAREST,objective_room_from_tp2_r,REF,Q4,19,11,0.5789473684210527
MAJOR_NEAREST,minutes_entry_to_tp1,DEV,Q1,33,21,0.6363636363636364
MAJOR_NEAREST,minutes_entry_to_tp1,DEV,Q2,18,13,0.7222222222222222
MAJOR_NEAREST,minutes_entry_to_tp1,DEV,Q3,20,13,0.65
MAJOR_NEAREST,minutes_entry_to_tp1,DEV,Q4,24,20,0.8333333333333334
MAJOR_NEAREST,minutes_entry_to_tp1,REF,Q1,20,14,0.7
MAJOR_NEAREST,minutes_entry_to_tp1,REF,Q2,20,14,0.7
MAJOR_NEAREST,minutes_entry_to_tp1,REF,Q3,14,10,0.7142857142857143
MAJOR_NEAREST,minutes_entry_to_tp1,REF,Q4,17,16,0.9411764705882353
MAJOR_NEAREST,minutes_tp1_to_tp2,DEV,Q1,40,27,0.675
MAJOR_NEAREST,minutes_tp1_to_tp2,DEV,Q2,15,10,0.6666666666666666
MAJOR_NEAREST,minutes_tp1_to_tp2,DEV,Q3,17,11,0.6470588235294118
MAJOR_NEAREST,minutes_tp1_to_tp2,DEV,Q4,23,19,0.8260869565217391
MAJOR_NEAREST,minutes_tp1_to_tp2,REF,Q1,25,17,0.68
MAJOR_NEAREST,minutes_tp1_to_tp2,REF,Q2,15,10,0.6666666666666666
MAJOR_NEAREST,minutes_tp1_to_tp2,REF,Q3,11,10,0.9090909090909091
MAJOR_NEAREST,minutes_tp1_to_tp2,REF,Q4,20,17,0.85
MAJOR_NEAREST,minutes_entry_to_tp2,DEV,Q1,24,15,0.625
MAJOR_NEAREST,minutes_entry_to_tp2,DEV,Q2,24,17,0.7083333333333334
MAJOR_NEAREST,minutes_entry_to_tp2,DEV,Q3,24,15,0.625
MAJOR_NEAREST,minutes_entry_to_tp2,DEV,Q4,23,20,0.8695652173913043
MAJOR_NEAREST,minutes_entry_to_tp2,REF,Q1,21,13,0.6190476190476191
MAJOR_NEAREST,minutes_entry_to_tp2,REF,Q2,16,11,0.6875
MAJOR_NEAREST,minutes_entry_to_tp2,REF,Q3,10,8,0.8
MAJOR_NEAREST,minutes_entry_to_tp2,REF,Q4,24,22,0.9166666666666666
MAJOR_NEAREST,cluster_gap_r_per_minute,DEV,Q1,14,12,0.8571428571428571
MAJOR_NEAREST,cluster_gap_r_per_minute,DEV,Q2,14,10,0.7142857142857143
MAJOR_NEAREST,cluster_gap_r_per_minute,DEV,Q3,13,9,0.6923076923076923
MAJOR_NEAREST,cluster_gap_r_per_minute,DEV,Q4,14,9,0.6428571428571429
MAJOR_NEAREST,cluster_gap_r_per_minute,REF,Q1,13,11,0.8461538461538461
MAJOR_NEAREST,cluster_gap_r_per_minute,REF,Q2,7,5,0.7142857142857143
MAJOR_NEAREST,cluster_gap_r_per_minute,REF,Q3,18,15,0.8333333333333334
MAJOR_NEAREST,cluster_gap_r_per_minute,REF,Q4,8,6,0.75
MAJOR_NEAREST,cluster_path_efficiency,DEV,Q1,10,8,0.8
MAJOR_NEAREST,cluster_path_efficiency,DEV,Q2,10,8,0.8
MAJOR_NEAREST,cluster_path_efficiency,DEV,Q3,10,8,0.8
MAJOR_NEAREST,cluster_path_efficiency,DEV,Q4,10,6,0.6
MAJOR_NEAREST,cluster_path_efficiency,REF,Q1,4,4,1.0
MAJOR_NEAREST,cluster_path_efficiency,REF,Q2,5,4,0.8
MAJOR_NEAREST,cluster_path_efficiency,REF,Q3,9,7,0.7777777777777778
MAJOR_NEAREST,cluster_path_efficiency,REF,Q4,13,12,0.9230769230769231
MAJOR_NEAREST,cluster_green_rate,DEV,Q1,10,8,0.8
MAJOR_NEAREST,cluster_green_rate,DEV,Q2,10,6,0.6
MAJOR_NEAREST,cluster_green_rate,DEV,Q3,10,9,0.9
MAJOR_NEAREST,cluster_green_rate,DEV,Q4,10,7,0.7
MAJOR_NEAREST,cluster_green_rate,REF,Q1,8,8,1.0
MAJOR_NEAREST,cluster_green_rate,REF,Q2,1,1,1.0
MAJOR_NEAREST,cluster_green_rate,REF,Q3,11,8,0.7272727272727273
MAJOR_NEAREST,cluster_green_rate,REF,Q4,11,10,0.9090909090909091
MAJOR_NEAREST,cluster_close_above_tp1_rate,DEV,Q1,10,6,0.6
MAJOR_NEAREST,cluster_close_above_tp1_rate,DEV,Q2,10,10,1.0
MAJOR_NEAREST,cluster_close_above_tp1_rate,DEV,Q3,10,7,0.7
MAJOR_NEAREST,cluster_close_above_tp1_rate,DEV,Q4,10,7,0.7
MAJOR_NEAREST,cluster_close_above_tp1_rate,REF,Q1,8,8,1.0
MAJOR_NEAREST,cluster_close_above_tp1_rate,REF,Q2,10,9,0.9
MAJOR_NEAREST,cluster_close_above_tp1_rate,REF,Q3,6,4,0.6666666666666666
MAJOR_NEAREST,cluster_close_above_tp1_rate,REF,Q4,7,6,0.8571428571428571
MAJOR_NEAREST,cluster_max_pullback_r,DEV,Q1,14,11,0.7857142857142857
MAJOR_NEAREST,cluster_max_pullback_r,DEV,Q2,14,9,0.6428571428571429
MAJOR_NEAREST,cluster_max_pullback_r,DEV,Q3,13,8,0.6153846153846154
MAJOR_NEAREST,cluster_max_pullback_r,DEV,Q4,14,12,0.8571428571428571
MAJOR_NEAREST,cluster_max_pullback_r,REF,Q1,12,9,0.75
MAJOR_NEAREST,cluster_max_pullback_r,REF,Q2,20,17,0.85
MAJOR_NEAREST,cluster_max_pullback_r,REF,Q3,3,3,1.0
MAJOR_NEAREST,cluster_max_pullback_r,REF,Q4,11,8,0.7272727272727273
MAJOR_NEAREST,cluster_mae_from_tp1_r,DEV,Q1,10,8,0.8
MAJOR_NEAREST,cluster_mae_from_tp1_r,DEV,Q2,10,9,0.9
MAJOR_NEAREST,cluster_mae_from_tp1_r,DEV,Q3,10,6,0.6
MAJOR_NEAREST,cluster_mae_from_tp1_r,DEV,Q4,10,7,0.7
MAJOR_NEAREST,cluster_mae_from_tp1_r,REF,Q1,11,9,0.8181818181818182
MAJOR_NEAREST,cluster_mae_from_tp1_r,REF,Q2,5,5,1.0
MAJOR_NEAREST,cluster_mae_from_tp1_r,REF,Q3,9,8,0.8888888888888888
MAJOR_NEAREST,cluster_mae_from_tp1_r,REF,Q4,6,5,0.8333333333333334
MAJOR_NEAREST,last1_progress_r,DEV,Q1,10,7,0.7
MAJOR_NEAREST,last1_progress_r,DEV,Q2,10,9,0.9
MAJOR_NEAREST,last1_progress_r,DEV,Q3,10,8,0.8
MAJOR_NEAREST,last1_progress_r,DEV,Q4,10,6,0.6
MAJOR_NEAREST,last1_progress_r,REF,Q1,1,1,1.0
MAJOR_NEAREST,last1_progress_r,REF,Q2,7,6,0.8571428571428571
MAJOR_NEAREST,last1_progress_r,REF,Q3,10,8,0.8
MAJOR_NEAREST,last1_progress_r,REF,Q4,13,12,0.9230769230769231
MAJOR_NEAREST,last3_progress_r,DEV,Q1,8,6,0.75
MAJOR_NEAREST,last3_progress_r,DEV,Q2,8,6,0.75
MAJOR_NEAREST,last3_progress_r,DEV,Q3,8,6,0.75
MAJOR_NEAREST,last3_progress_r,DEV,Q4,8,6,0.75
MAJOR_NEAREST,last3_progress_r,REF,Q1,2,2,1.0
MAJOR_NEAREST,last3_progress_r,REF,Q2,5,4,0.8
MAJOR_NEAREST,last3_progress_r,REF,Q3,2,2,1.0
MAJOR_NEAREST,last3_progress_r,REF,Q4,14,12,0.8571428571428571
MAJOR_NEAREST,last3_green_rate,DEV,Q1,26,19,0.7307692307692307
MAJOR_NEAREST,last3_green_rate,DEV,Q4,6,5,0.8333333333333334
MAJOR_NEAREST,last3_green_rate,REF,Q1,18,16,0.8888888888888888
MAJOR_NEAREST,last3_green_rate,REF,Q4,5,4,0.8
MAJOR_NEAREST,distance_remaining_tp2_r,DEV,Q1,14,12,0.8571428571428571
MAJOR_NEAREST,distance_remaining_tp2_r,DEV,Q2,14,11,0.7857142857142857
MAJOR_NEAREST,distance_remaining_tp2_r,DEV,Q3,13,8,0.6153846153846154
MAJOR_NEAREST,distance_remaining_tp2_r,DEV,Q4,14,9,0.6428571428571429
MAJOR_NEAREST,distance_remaining_tp2_r,REF,Q1,22,17,0.7727272727272727
MAJOR_NEAREST,distance_remaining_tp2_r,REF,Q2,9,7,0.7777777777777778
MAJOR_NEAREST,distance_remaining_tp2_r,REF,Q3,9,8,0.8888888888888888
MAJOR_NEAREST,distance_remaining_tp2_r,REF,Q4,6,5,0.8333333333333334
MAJOR_NEAREST,tp2_close_above_r,DEV,Q1,24,14,0.5833333333333334
MAJOR_NEAREST,tp2_close_above_r,DEV,Q2,24,15,0.625
MAJOR_NEAREST,tp2_close_above_r,DEV,Q3,23,20,0.8695652173913043
MAJOR_NEAREST,tp2_close_above_r,DEV,Q4,24,18,0.75
MAJOR_NEAREST,tp2_close_above_r,REF,Q1,12,8,0.6666666666666666
MAJOR_NEAREST,tp2_close_above_r,REF,Q2,12,9,0.75
MAJOR_NEAREST,tp2_close_above_r,REF,Q3,21,17,0.8095238095238095
MAJOR_NEAREST,tp2_close_above_r,REF,Q4,26,20,0.7692307692307693
MAJOR_NEAREST,tp2_bar_body_r,DEV,Q1,24,16,0.6666666666666666
MAJOR_NEAREST,tp2_bar_body_r,DEV,Q2,24,16,0.6666666666666666
MAJOR_NEAREST,tp2_bar_body_r,DEV,Q3,23,17,0.7391304347826086
MAJOR_NEAREST,tp2_bar_body_r,DEV,Q4,24,18,0.75
MAJOR_NEAREST,tp2_bar_body_r,REF,Q1,17,12,0.7058823529411765
MAJOR_NEAREST,tp2_bar_body_r,REF,Q2,17,12,0.7058823529411765
MAJOR_NEAREST,tp2_bar_body_r,REF,Q3,24,21,0.875
MAJOR_NEAREST,tp2_bar_body_r,REF,Q4,13,9,0.6923076923076923
MAJOR_NEAREST,tp2_bar_range_r,DEV,Q1,24,20,0.8333333333333334
MAJOR_NEAREST,tp2_bar_range_r,DEV,Q2,24,18,0.75
MAJOR_NEAREST,tp2_bar_range_r,DEV,Q3,23,12,0.5217391304347826
MAJOR_NEAREST,tp2_bar_range_r,DEV,Q4,24,17,0.7083333333333334
MAJOR_NEAREST,tp2_bar_range_r,REF,Q1,17,14,0.8235294117647058
MAJOR_NEAREST,tp2_bar_range_r,REF,Q2,13,10,0.7692307692307693
MAJOR_NEAREST,tp2_bar_range_r,REF,Q3,34,26,0.7647058823529411
MAJOR_NEAREST,tp2_bar_range_r,REF,Q4,7,4,0.5714285714285714
MAJOR_NEAREST,tp2_close_location,DEV,Q1,24,14,0.5833333333333334
MAJOR_NEAREST,tp2_close_location,DEV,Q2,24,16,0.6666666666666666
MAJOR_NEAREST,tp2_close_location,DEV,Q3,23,17,0.7391304347826086
MAJOR_NEAREST,tp2_close_location,DEV,Q4,24,20,0.8333333333333334
MAJOR_NEAREST,tp2_close_location,REF,Q1,18,11,0.6111111111111112
MAJOR_NEAREST,tp2_close_location,REF,Q2,10,9,0.9
MAJOR_NEAREST,tp2_close_location,REF,Q3,20,16,0.8
MAJOR_NEAREST,tp2_close_location,REF,Q4,23,18,0.782608695652174
H1_NEAREST,tp1_r,DEV,Q1,34,25,0.7352941176470589
H1_NEAREST,tp1_r,DEV,Q2,33,19,0.5757575757575758
H1_NEAREST,tp1_r,DEV,Q3,33,20,0.6060606060606061
H1_NEAREST,tp1_r,DEV,Q4,34,26,0.7647058823529411
H1_NEAREST,tp1_r,REF,Q1,22,18,0.8181818181818182
H1_NEAREST,tp1_r,REF,Q2,29,15,0.5172413793103449
H1_NEAREST,tp1_r,REF,Q3,24,20,0.8333333333333334
H1_NEAREST,tp1_r,REF,Q4,16,13,0.8125
H1_NEAREST,tp2_r,DEV,Q1,34,22,0.6470588235294118
H1_NEAREST,tp2_r,DEV,Q2,33,21,0.6363636363636364
H1_NEAREST,tp2_r,DEV,Q3,33,18,0.5454545454545454
H1_NEAREST,tp2_r,DEV,Q4,34,29,0.8529411764705882
H1_NEAREST,tp2_r,REF,Q1,31,19,0.6129032258064516
H1_NEAREST,tp2_r,REF,Q2,17,14,0.8235294117647058
H1_NEAREST,tp2_r,REF,Q3,20,16,0.8
H1_NEAREST,tp2_r,REF,Q4,23,17,0.7391304347826086
H1_NEAREST,tp1_to_tp2_gap_r,DEV,Q1,34,25,0.7352941176470589
H1_NEAREST,tp1_to_tp2_gap_r,DEV,Q2,33,20,0.6060606060606061
H1_NEAREST,tp1_to_tp2_gap_r,DEV,Q3,33,20,0.6060606060606061
H1_NEAREST,tp1_to_tp2_gap_r,DEV,Q4,34,25,0.7352941176470589
H1_NEAREST,tp1_to_tp2_gap_r,REF,Q1,16,10,0.625
H1_NEAREST,tp1_to_tp2_gap_r,REF,Q2,20,14,0.7
H1_NEAREST,tp1_to_tp2_gap_r,REF,Q3,32,24,0.75
H1_NEAREST,tp1_to_tp2_gap_r,REF,Q4,23,18,0.782608695652174
H1_NEAREST,known_target_count,DEV,Q1,41,27,0.6585365853658537
H1_NEAREST,known_target_count,DEV,Q2,28,19,0.6785714285714286
H1_NEAREST,known_target_count,DEV,Q3,31,19,0.6129032258064516
H1_NEAREST,known_target_count,DEV,Q4,34,25,0.7352941176470589
H1_NEAREST,known_target_count,REF,Q1,33,22,0.6666666666666666
H1_NEAREST,known_target_count,REF,Q2,17,12,0.7058823529411765
H1_NEAREST,known_target_count,REF,Q3,16,12,0.75
H1_NEAREST,known_target_count,REF,Q4,25,20,0.8
H1_NEAREST,objective_room_from_tp2_r,DEV,Q1,34,30,0.8823529411764706
H1_NEAREST,objective_room_from_tp2_r,DEV,Q2,33,26,0.7878787878787878
H1_NEAREST,objective_room_from_tp2_r,DEV,Q3,33,19,0.5757575757575758
H1_NEAREST,objective_room_from_tp2_r,DEV,Q4,34,15,0.4411764705882353
H1_NEAREST,objective_room_from_tp2_r,REF,Q1,20,18,0.9
H1_NEAREST,objective_room_from_tp2_r,REF,Q2,27,23,0.8518518518518519
H1_NEAREST,objective_room_from_tp2_r,REF,Q3,21,14,0.6666666666666666
H1_NEAREST,objective_room_from_tp2_r,REF,Q4,23,11,0.4782608695652174
H1_NEAREST,minutes_entry_to_tp1,DEV,Q1,38,23,0.6052631578947368
H1_NEAREST,minutes_entry_to_tp1,DEV,Q2,33,22,0.6666666666666666
H1_NEAREST,minutes_entry_to_tp1,DEV,Q3,29,17,0.5862068965517241
H1_NEAREST,minutes_entry_to_tp1,DEV,Q4,34,28,0.8235294117647058
H1_NEAREST,minutes_entry_to_tp1,REF,Q1,25,18,0.72
H1_NEAREST,minutes_entry_to_tp1,REF,Q2,28,17,0.6071428571428571
H1_NEAREST,minutes_entry_to_tp1,REF,Q3,17,12,0.7058823529411765
H1_NEAREST,minutes_entry_to_tp1,REF,Q4,21,19,0.9047619047619048
H1_NEAREST,minutes_tp1_to_tp2,DEV,Q1,59,39,0.6610169491525424
H1_NEAREST,minutes_tp1_to_tp2,DEV,Q2,20,11,0.55
H1_NEAREST,minutes_tp1_to_tp2,DEV,Q3,25,16,0.64
H1_NEAREST,minutes_tp1_to_tp2,DEV,Q4,30,24,0.8
H1_NEAREST,minutes_tp1_to_tp2,REF,Q1,31,21,0.6774193548387096
H1_NEAREST,minutes_tp1_to_tp2,REF,Q2,17,11,0.6470588235294118
H1_NEAREST,minutes_tp1_to_tp2,REF,Q3,14,10,0.7142857142857143
H1_NEAREST,minutes_tp1_to_tp2,REF,Q4,29,24,0.8275862068965517
H1_NEAREST,minutes_entry_to_tp2,DEV,Q1,38,22,0.5789473684210527
H1_NEAREST,minutes_entry_to_tp2,DEV,Q2,29,18,0.6206896551724138
H1_NEAREST,minutes_entry_to_tp2,DEV,Q3,34,22,0.6470588235294118
H1_NEAREST,minutes_entry_to_tp2,DEV,Q4,33,28,0.8484848484848485
H1_NEAREST,minutes_entry_to_tp2,REF,Q1,32,17,0.53125
H1_NEAREST,minutes_entry_to_tp2,REF,Q2,15,13,0.8666666666666667
H1_NEAREST,minutes_entry_to_tp2,REF,Q3,19,15,0.7894736842105263
H1_NEAREST,minutes_entry_to_tp2,REF,Q4,25,21,0.84
H1_NEAREST,cluster_gap_r_per_minute,DEV,Q1,19,15,0.7894736842105263
H1_NEAREST,cluster_gap_r_per_minute,DEV,Q2,19,14,0.7368421052631579
H1_NEAREST,cluster_gap_r_per_minute,DEV,Q3,18,11,0.6111111111111112
H1_NEAREST,cluster_gap_r_per_minute,DEV,Q4,19,11,0.5789473684210527
H1_NEAREST,cluster_gap_r_per_minute,REF,Q1,20,16,0.8
H1_NEAREST,cluster_gap_r_per_minute,REF,Q2,9,7,0.7777777777777778
H1_NEAREST,cluster_gap_r_per_minute,REF,Q3,18,14,0.7777777777777778
H1_NEAREST,cluster_gap_r_per_minute,REF,Q4,13,8,0.6153846153846154
H1_NEAREST,cluster_path_efficiency,DEV,Q1,14,12,0.8571428571428571
H1_NEAREST,cluster_path_efficiency,DEV,Q2,14,11,0.7857142857142857
H1_NEAREST,cluster_path_efficiency,DEV,Q3,13,10,0.7692307692307693
H1_NEAREST,cluster_path_efficiency,DEV,Q4,14,7,0.5
H1_NEAREST,cluster_path_efficiency,REF,Q1,4,4,1.0
H1_NEAREST,cluster_path_efficiency,REF,Q2,6,5,0.8333333333333334
H1_NEAREST,cluster_path_efficiency,REF,Q3,16,12,0.75
H1_NEAREST,cluster_path_efficiency,REF,Q4,17,13,0.7647058823529411
H1_NEAREST,cluster_green_rate,DEV,Q1,14,12,0.8571428571428571
H1_NEAREST,cluster_green_rate,DEV,Q2,14,9,0.6428571428571429
H1_NEAREST,cluster_green_rate,DEV,Q3,14,11,0.7857142857142857
H1_NEAREST,cluster_green_rate,DEV,Q4,13,8,0.6153846153846154
H1_NEAREST,cluster_green_rate,REF,Q1,9,8,0.8888888888888888
H1_NEAREST,cluster_green_rate,REF,Q2,4,4,1.0
H1_NEAREST,cluster_green_rate,REF,Q3,18,14,0.7777777777777778
H1_NEAREST,cluster_green_rate,REF,Q4,12,8,0.6666666666666666
H1_NEAREST,cluster_close_above_tp1_rate,DEV,Q1,14,11,0.7857142857142857
H1_NEAREST,cluster_close_above_tp1_rate,DEV,Q2,14,11,0.7857142857142857
H1_NEAREST,cluster_close_above_tp1_rate,DEV,Q3,13,9,0.6923076923076923
H1_NEAREST,cluster_close_above_tp1_rate,DEV,Q4,14,9,0.6428571428571429
H1_NEAREST,cluster_close_above_tp1_rate,REF,Q1,10,9,0.9
H1_NEAREST,cluster_close_above_tp1_rate,REF,Q2,11,10,0.9090909090909091
H1_NEAREST,cluster_close_above_tp1_rate,REF,Q3,11,8,0.7272727272727273
H1_NEAREST,cluster_close_above_tp1_rate,REF,Q4,11,7,0.6363636363636364
H1_NEAREST,cluster_max_pullback_r,DEV,Q1,19,12,0.631578947368421
H1_NEAREST,cluster_max_pullback_r,DEV,Q2,19,11,0.5789473684210527
H1_NEAREST,cluster_max_pullback_r,DEV,Q3,18,12,0.6666666666666666
H1_NEAREST,cluster_max_pullback_r,DEV,Q4,19,16,0.8421052631578947
H1_NEAREST,cluster_max_pullback_r,REF,Q1,24,18,0.75
H1_NEAREST,cluster_max_pullback_r,REF,Q2,15,13,0.8666666666666667
H1_NEAREST,cluster_max_pullback_r,REF,Q3,8,6,0.75
H1_NEAREST,cluster_max_pullback_r,REF,Q4,13,8,0.6153846153846154
H1_NEAREST,cluster_mae_from_tp1_r,DEV,Q1,14,13,0.9285714285714286
H1_NEAREST,cluster_mae_from_tp1_r,DEV,Q2,14,10,0.7142857142857143
H1_NEAREST,cluster_mae_from_tp1_r,DEV,Q3,13,7,0.5384615384615384
H1_NEAREST,cluster_mae_from_tp1_r,DEV,Q4,14,10,0.7142857142857143
H1_NEAREST,cluster_mae_from_tp1_r,REF,Q1,12,9,0.75
H1_NEAREST,cluster_mae_from_tp1_r,REF,Q2,8,7,0.875
H1_NEAREST,cluster_mae_from_tp1_r,REF,Q3,12,11,0.9166666666666666
H1_NEAREST,cluster_mae_from_tp1_r,REF,Q4,11,7,0.6363636363636364
H1_NEAREST,last1_progress_r,DEV,Q1,14,11,0.7857142857142857
H1_NEAREST,last1_progress_r,DEV,Q2,14,11,0.7857142857142857
H1_NEAREST,last1_progress_r,DEV,Q3,13,9,0.6923076923076923
H1_NEAREST,last1_progress_r,DEV,Q4,14,9,0.6428571428571429
H1_NEAREST,last1_progress_r,REF,Q1,3,3,1.0
H1_NEAREST,last1_progress_r,REF,Q2,11,7,0.6363636363636364
H1_NEAREST,last1_progress_r,REF,Q3,12,10,0.8333333333333334
H1_NEAREST,last1_progress_r,REF,Q4,17,14,0.8235294117647058
H1_NEAREST,last3_progress_r,DEV,Q1,11,8,0.7272727272727273
H1_NEAREST,last3_progress_r,DEV,Q2,11,7,0.6363636363636364
H1_NEAREST,last3_progress_r,DEV,Q3,11,6,0.5454545454545454
H1_NEAREST,last3_progress_r,DEV,Q4,11,10,0.9090909090909091
H1_NEAREST,last3_progress_r,REF,Q1,7,6,0.8571428571428571
H1_NEAREST,last3_progress_r,REF,Q2,5,4,0.8
H1_NEAREST,last3_progress_r,REF,Q3,5,5,1.0
H1_NEAREST,last3_progress_r,REF,Q4,15,12,0.8
H1_NEAREST,last3_green_rate,DEV,Q1,35,24,0.6857142857142857
H1_NEAREST,last3_green_rate,DEV,Q4,9,7,0.7777777777777778
H1_NEAREST,last3_green_rate,REF,Q1,25,21,0.84
H1_NEAREST,last3_green_rate,REF,Q4,7,6,0.8571428571428571
H1_NEAREST,distance_remaining_tp2_r,DEV,Q1,19,13,0.6842105263157895
H1_NEAREST,distance_remaining_tp2_r,DEV,Q2,19,14,0.7368421052631579
H1_NEAREST,distance_remaining_tp2_r,DEV,Q3,18,11,0.6111111111111112
H1_NEAREST,distance_remaining_tp2_r,DEV,Q4,19,13,0.6842105263157895
H1_NEAREST,distance_remaining_tp2_r,REF,Q1,29,21,0.7241379310344828
H1_NEAREST,distance_remaining_tp2_r,REF,Q2,10,8,0.8
H1_NEAREST,distance_remaining_tp2_r,REF,Q3,11,9,0.8181818181818182
H1_NEAREST,distance_remaining_tp2_r,REF,Q4,10,7,0.7
H1_NEAREST,tp2_close_above_r,DEV,Q1,34,21,0.6176470588235294
H1_NEAREST,tp2_close_above_r,DEV,Q2,33,22,0.6666666666666666
H1_NEAREST,tp2_close_above_r,DEV,Q3,33,23,0.696969696969697
H1_NEAREST,tp2_close_above_r,DEV,Q4,34,24,0.7058823529411765
H1_NEAREST,tp2_close_above_r,REF,Q1,16,9,0.5625
H1_NEAREST,tp2_close_above_r,REF,Q2,16,13,0.8125
H1_NEAREST,tp2_close_above_r,REF,Q3,25,19,0.76
H1_NEAREST,tp2_close_above_r,REF,Q4,34,25,0.7352941176470589
H1_NEAREST,tp2_bar_body_r,DEV,Q1,34,20,0.5882352941176471
H1_NEAREST,tp2_bar_body_r,DEV,Q2,33,24,0.7272727272727273
H1_NEAREST,tp2_bar_body_r,DEV,Q3,33,22,0.6666666666666666
H1_NEAREST,tp2_bar_body_r,DEV,Q4,34,24,0.7058823529411765
H1_NEAREST,tp2_bar_body_r,REF,Q1,20,14,0.7
H1_NEAREST,tp2_bar_body_r,REF,Q2,26,17,0.6538461538461539
H1_NEAREST,tp2_bar_body_r,REF,Q3,31,25,0.8064516129032258
H1_NEAREST,tp2_bar_body_r,REF,Q4,14,10,0.7142857142857143
H1_NEAREST,tp2_bar_range_r,DEV,Q1,34,23,0.6764705882352942
H1_NEAREST,tp2_bar_range_r,DEV,Q2,33,24,0.7272727272727273
H1_NEAREST,tp2_bar_range_r,DEV,Q3,33,19,0.5757575757575758
H1_NEAREST,tp2_bar_range_r,DEV,Q4,34,24,0.7058823529411765
H1_NEAREST,tp2_bar_range_r,REF,Q1,24,19,0.7916666666666666
H1_NEAREST,tp2_bar_range_r,REF,Q2,22,20,0.9090909090909091
H1_NEAREST,tp2_bar_range_r,REF,Q3,36,23,0.6388888888888888
H1_NEAREST,tp2_bar_range_r,REF,Q4,9,4,0.4444444444444444
H1_NEAREST,tp2_close_location,DEV,Q1,34,20,0.5882352941176471
H1_NEAREST,tp2_close_location,DEV,Q2,33,23,0.696969696969697
H1_NEAREST,tp2_close_location,DEV,Q3,33,23,0.696969696969697
H1_NEAREST,tp2_close_location,DEV,Q4,34,24,0.7058823529411765
H1_NEAREST,tp2_close_location,REF,Q1,22,13,0.5909090909090909
H1_NEAREST,tp2_close_location,REF,Q2,16,10,0.625
H1_NEAREST,tp2_close_location,REF,Q3,25,20,0.8
H1_NEAREST,tp2_close_location,REF,Q4,28,23,0.8214285714285714
EXPANSION,tp1_r,DEV,Q1,32,15,0.46875
