family,decision,label,feature,period,band,n,success,success_rate
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,DEV,Q2,117,81,0.6923076923076923
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,DEV,Q3,115,84,0.7304347826086957
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,DEV,Q4,116,83,0.7155172413793104
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,REF,Q1,68,49,0.7205882352941176
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,REF,Q2,70,45,0.6428571428571429
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,REF,Q3,78,61,0.782051282051282
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_high_r,REF,Q4,66,49,0.7424242424242424
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,DEV,Q1,117,89,0.7606837606837606
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,DEV,Q2,116,75,0.646551724137931
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,DEV,Q3,116,88,0.7586206896551724
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,DEV,Q4,116,74,0.6379310344827587
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,REF,Q1,57,39,0.6842105263157895
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,REF,Q2,56,44,0.7857142857142857
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,REF,Q3,86,67,0.7790697674418605
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_low_r,REF,Q4,83,54,0.6506024096385542
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,DEV,Q1,117,83,0.7094017094017094
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,DEV,Q2,116,84,0.7241379310344828
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,DEV,Q3,116,73,0.6293103448275862
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,DEV,Q4,116,86,0.7413793103448276
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,REF,Q1,70,45,0.6428571428571429
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,REF,Q2,62,46,0.7419354838709677
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,REF,Q3,79,56,0.7088607594936709
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_body_r,REF,Q4,71,57,0.8028169014084507
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,DEV,Q1,117,74,0.6324786324786325
