year,candidate,plans,resolved,wins,losses,ambiguous,unresolved,wr,median_win_r,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r,baseline_wins,baseline_win_retained_as_win,baseline_win_to_loss,baseline_losses,baseline_loss_to_win
2023,C_TOUCH_LOW__CLOSE15__TP1,144,144,108,36,0,0,0.75,0.17595759233926156,-0.004285906218742934,-0.6171704954989825,0.9858240950032738,3,7.453246050079962,101,101,0,43,7
2023,D_TOUCH_LOW__CLOSE15__CAP1ZW,144,144,115,29,0,0,0.7986111111111112,0.13452914798205576,-0.016833536123368575,-2.424029201765075,0.9314762402204656,3,6.004196075913891,101,101,0,43,14
2023,E_RECLAIM_LOW__TOUCH__TP1,144,144,99,45,0,0,0.6875,0.16513761467887875,-0.06264190068102275,-9.020433698067276,0.7995459178207273,3,9.635300905998365,101,99,2,43,0
2023,F_RECLAIM_LOW__TOUCH__CAP1ZW,144,144,108,36,0,0,0.75,0.1433163539263027,-0.04190358532673867,-6.034116287050368,0.8323856586930453,3,9.038751886839018,101,100,1,43,8
2023,G_RECLAIM_LOW__CLOSE15__TP1,144,144,107,37,0,0,0.7430555555555556,0.19345238095238348,-0.0012730354283799514,-0.183317101686713,0.9960138677290885,3,8.521935531438912,101,100,1,43,7
2023,H_RECLAIM_LOW__CLOSE15__CAP1ZW,144,144,114,30,0,0,0.7916666666666666,0.16287968816845522,-0.01596885582819543,-2.299515239260142,0.9380573388568884,3,6.704147479407961,101,100,1,43,14
2024,A_TOUCH_LOW__TOUCH__TP1,145,145,108,37,0,0,0.7448275862068966,0.22888534335591773,0.011793702698242672,1.7100868912451874,1.0462185646282485,4,8.053493337207367,108,108,0,37,0
2024,B_TOUCH_LOW__TOUCH__CAP1ZW,145,145,112,33,0,0,0.7724137931034483,0.17592454518341188,-0.022505727737977148,-3.2633305220066866,0.9011111963028277,3,6.787990097463514,108,108,0,37,4
2024,C_TOUCH_LOW__CLOSE15__TP1,145,145,112,33,0,0,0.7724137931034483,0.24326598956662168,0.0016782902160539358,0.2433520813278207,1.0059777165880162,4,9.164971237569688,108,108,0,37,4
2024,D_TOUCH_LOW__CLOSE15__CAP1ZW,145,145,116,29,0,0,0.8,0.17890835579516057,-0.026253847203554715,-3.8068078445154336,0.8936248141371985,3,7.218439669384531,108,108,0,37,8
2024,E_RECLAIM_LOW__TOUCH__TP1,145,145,108,37,0,0,0.7448275862068966,0.24554304864592627,0.01948115756947235,2.824767847573491,1.076345076961446,4,7.963946884177262,108,108,0,37,0
2024,F_RECLAIM_LOW__TOUCH__CAP1ZW,145,145,111,34,0,0,0.7655172413793103,0.18820224719100262,-0.0224665499699424,-3.2576497456416478,0.9041867721870103,3,7.617752380150065,108,108,0,37,3
2024,G_RECLAIM_LOW__CLOSE15__TP1,145,145,112,33,0,0,0.7724137931034483,0.24786465177398026,0.008276106798928182,1.2000354858445865,1.0293570599376005,4,9.111960900558296,108,108,0,37,4
2024,H_RECLAIM_LOW__CLOSE15__CAP1ZW,145,145,115,30,0,0,0.7931034482758621,0.18985270049099273,-0.029618481523251944,-4.294679820871532,0.8848288160089525,3,8.525777428030297,108,108,0,37,7
2025,A_TOUCH_LOW__TOUCH__TP1,186,186,137,49,0,0,0.7365591397849462,0.16577540106952965,-0.027650810624505393,-5.143050776158003,0.895039780078408,4,9.090043770098966,137,137,0,49,0
2025,B_TOUCH_LOW__TOUCH__CAP1ZW,186,186,146,40,0,0,0.7849462365591398,0.11079827492341685,-0.022652078973850676,-4.2132866891362255,0.8946678327715943,3,7.3378682698565845,137,137,0,49,9
2025,C_TOUCH_LOW__CLOSE15__TP1,186,186,141,45,0,0,0.7580645161290323,0.17152103559869492,-0.054851803797299044,-10.202435506297622,0.8213326703244065,4,13.269861061425361,137,137,0,49,4
2025,D_TOUCH_LOW__CLOSE15__CAP1ZW,186,186,150,36,0,0,0.8064516129032258,0.11216130092201283,-0.03697358744754019,-6.8770872652424755,0.845676336016963,2,10.791967857444362,137,137,0,49,13
2025,E_RECLAIM_LOW__TOUCH__TP1,186,186,135,51,0,0,0.7258064516129032,0.16502463054185942,-0.02500624741650279,-4.651162019469519,0.9088007447162838,4,9.548856919630936,137,135,2,49,0
2025,F_RECLAIM_LOW__TOUCH__CAP1ZW,186,186,144,42,0,0,0.7741935483870968,0.11014378934734081,-0.022982302603928837,-4.274708284330764,0.8982212313254581,3,9.062046430098311,137,135,2,49,9
2025,G_RECLAIM_LOW__CLOSE15__TP1,186,186,138,48,0,0,0.7419354838709677,0.16923766863184822,-0.05958246092207002,-11.082337731505024,0.8147124151046818,4,15.769588318008823,137,135,2,49,3
2025,H_RECLAIM_LOW__CLOSE15__CAP1ZW,186,186,147,39,0,0,0.7903225806451613,0.11061946902657427,-0.04662849408224005,-8.672899899296649,0.8179260104703395,2,14.250537056545719,137,135,2,49,12
2026,A_TOUCH_LOW__TOUCH__TP1,86,86,64,22,0,0,0.7441860465116279,0.19241826503492332,0.05376389477295685,4.623694950474289,1.2101679522942859,2,4.671923129021771,64,64,0,22,0
2026,B_TOUCH_LOW__TOUCH__CAP1ZW,86,86,68,18,0,0,0.7906976744186046,0.1579710880469981,0.0018089148935064674,0.1555666808415562,1.0086425933800864,2,4.504821736943766,64,64,0,22,4
2026,C_TOUCH_LOW__CLOSE15__TP1,86,86,66,20,0,0,0.7674418604651163,0.1974955277280862,0.06643337953745107,5.713270640220792,1.2390444321513223,2,4.722464509955681,64,64,0,22,2
2026,D_TOUCH_LOW__CLOSE15__CAP1ZW,86,86,70,16,0,0,0.813953488372093,0.17010863194096132,0.0257525979591361,2.2147234244857046,1.1197587953157144,2,3.6948084279679927,64,64,0,22,6
2026,E_RECLAIM_LOW__TOUCH__TP1,86,86,62,24,0,0,0.7209302325581395,0.19241826503492332,0.022637164373450945,1.9467961361167812,1.0811165056715324,3,7.761741297761096,64,62,2,22,0
2026,F_RECLAIM_LOW__TOUCH__CAP1ZW,86,86,67,19,0,0,0.7790697674418605,0.1592356687898878,-0.010514946269163796,-0.9042853791480865,0.9524060326764164,2,6.049991105172597,64,63,1,22,4
2026,G_RECLAIM_LOW__CLOSE15__TP1,86,86,66,20,0,0,0.7674418604651163,0.20573476702510493,0.06797096604419892,5.845503079801107,1.2320261329553184,2,4.939427692485958,64,64,0,22,2
2026,H_RECLAIM_LOW__CLOSE15__CAP1ZW,86,86,70,16,0,0,0.813953488372093,0.17828028324639875,0.031014541291602048,2.667250551077776,1.1385490185577642,2,4.18409800604227,64,64,0,22,6
