scope,feature,band,n,hits,hit_rate
DEV,tp1_to_tp2_gap_r,Q4,22,7,0.3181818181818182
REF,tp1_to_tp2_gap_r,Q1,20,6,0.3
REF,tp1_to_tp2_gap_r,Q2,9,3,0.3333333333333333
REF,tp1_to_tp2_gap_r,Q3,15,9,0.6
REF,tp1_to_tp2_gap_r,Q4,11,3,0.2727272727272727
2025,tp1_to_tp2_gap_r,Q1,17,4,0.23529411764705882
2025,tp1_to_tp2_gap_r,Q2,3,2,0.6666666666666666
2025,tp1_to_tp2_gap_r,Q3,12,7,0.5833333333333334
2025,tp1_to_tp2_gap_r,Q4,7,3,0.42857142857142855
2026,tp1_to_tp2_gap_r,Q1,3,2,0.6666666666666666
2026,tp1_to_tp2_gap_r,Q2,6,1,0.16666666666666666
2026,tp1_to_tp2_gap_r,Q3,3,2,0.6666666666666666
2026,tp1_to_tp2_gap_r,Q4,4,0,0.0
DEV,room_tp1_to_major_r,Q1,22,16,0.7272727272727273
DEV,room_tp1_to_major_r,Q2,22,12,0.5454545454545454
DEV,room_tp1_to_major_r,Q3,21,11,0.5238095238095238
DEV,room_tp1_to_major_r,Q4,22,5,0.22727272727272727
REF,room_tp1_to_major_r,Q1,29,9,0.3103448275862069
REF,room_tp1_to_major_r,Q2,3,2,0.6666666666666666
REF,room_tp1_to_major_r,Q3,9,6,0.6666666666666666
REF,room_tp1_to_major_r,Q4,14,4,0.2857142857142857
2025,room_tp1_to_major_r,Q1,20,6,0.3
2025,room_tp1_to_major_r,Q2,2,1,0.5
2025,room_tp1_to_major_r,Q3,7,5,0.7142857142857143
2025,room_tp1_to_major_r,Q4,10,4,0.4
2026,room_tp1_to_major_r,Q1,9,3,0.3333333333333333
2026,room_tp1_to_major_r,Q2,1,1,1.0
2026,room_tp1_to_major_r,Q3,2,1,0.5
2026,room_tp1_to_major_r,Q4,4,0,0.0
DEV,known_target_count,Q1,29,14,0.4827586206896552
DEV,known_target_count,Q2,15,6,0.4
DEV,known_target_count,Q3,21,12,0.5714285714285714
DEV,known_target_count,Q4,22,12,0.5454545454545454
REF,known_target_count,Q1,13,8,0.6153846153846154
REF,known_target_count,Q2,8,3,0.375
REF,known_target_count,Q3,8,4,0.5
REF,known_target_count,Q4,26,6,0.23076923076923078
2025,known_target_count,Q1,9,5,0.5555555555555556
2025,known_target_count,Q2,6,3,0.5
2025,known_target_count,Q3,6,3,0.5
2025,known_target_count,Q4,18,5,0.2777777777777778
2026,known_target_count,Q1,4,3,0.75
2026,known_target_count,Q2,2,0,0.0
2026,known_target_count,Q3,2,1,0.5
2026,known_target_count,Q4,8,1,0.125
DEV,minutes_entry_to_tp1,Q1,33,12,0.36363636363636365
DEV,minutes_entry_to_tp1,Q2,15,7,0.4666666666666667
DEV,minutes_entry_to_tp1,Q3,19,11,0.5789473684210527
DEV,minutes_entry_to_tp1,Q4,20,14,0.7
REF,minutes_entry_to_tp1,Q1,18,8,0.4444444444444444
REF,minutes_entry_to_tp1,Q2,12,7,0.5833333333333334
REF,minutes_entry_to_tp1,Q3,8,2,0.25
REF,minutes_entry_to_tp1,Q4,17,4,0.23529411764705882
2025,minutes_entry_to_tp1,Q1,9,6,0.6666666666666666
2025,minutes_entry_to_tp1,Q2,9,5,0.5555555555555556
2025,minutes_entry_to_tp1,Q3,4,1,0.25
2025,minutes_entry_to_tp1,Q4,17,4,0.23529411764705882
2026,minutes_entry_to_tp1,Q1,9,2,0.2222222222222222
2026,minutes_entry_to_tp1,Q2,3,2,0.6666666666666666
2026,minutes_entry_to_tp1,Q3,4,1,0.25
DEV,pre_tp1_path_efficiency,Q1,13,6,0.46153846153846156
DEV,pre_tp1_path_efficiency,Q2,12,10,0.8333333333333334
DEV,pre_tp1_path_efficiency,Q3,12,8,0.6666666666666666
DEV,pre_tp1_path_efficiency,Q4,13,7,0.5384615384615384
REF,pre_tp1_path_efficiency,Q1,6,3,0.5
REF,pre_tp1_path_efficiency,Q2,15,3,0.2
REF,pre_tp1_path_efficiency,Q3,4,1,0.25
REF,pre_tp1_path_efficiency,Q4,4,2,0.5
2025,pre_tp1_path_efficiency,Q1,4,3,0.75
2025,pre_tp1_path_efficiency,Q2,14,3,0.21428571428571427
2025,pre_tp1_path_efficiency,Q3,3,0,0.0
2025,pre_tp1_path_efficiency,Q4,4,2,0.5
2026,pre_tp1_path_efficiency,Q1,2,0,0.0
2026,pre_tp1_path_efficiency,Q2,1,0,0.0
2026,pre_tp1_path_efficiency,Q3,1,1,1.0
DEV,pre_tp1_green_rate,Q1,14,9,0.6428571428571429
DEV,pre_tp1_green_rate,Q2,13,9,0.6923076923076923
DEV,pre_tp1_green_rate,Q3,17,8,0.47058823529411764
DEV,pre_tp1_green_rate,Q4,10,6,0.6
REF,pre_tp1_green_rate,Q1,4,2,0.5
REF,pre_tp1_green_rate,Q2,9,5,0.5555555555555556
REF,pre_tp1_green_rate,Q3,14,1,0.07142857142857142
REF,pre_tp1_green_rate,Q4,10,5,0.5
2025,pre_tp1_green_rate,Q1,4,2,0.5
2025,pre_tp1_green_rate,Q2,8,5,0.625
2025,pre_tp1_green_rate,Q3,14,1,0.07142857142857142
2025,pre_tp1_green_rate,Q4,4,2,0.5
2026,pre_tp1_green_rate,Q2,1,0,0.0
2026,pre_tp1_green_rate,Q4,6,3,0.5
DEV,pre_tp1_max_pullback_r,Q1,14,6,0.42857142857142855
DEV,pre_tp1_max_pullback_r,Q2,13,8,0.6153846153846154
DEV,pre_tp1_max_pullback_r,Q3,13,6,0.46153846153846156
DEV,pre_tp1_max_pullback_r,Q4,14,12,0.8571428571428571
REF,pre_tp1_max_pullback_r,Q1,22,5,0.22727272727272727
REF,pre_tp1_max_pullback_r,Q2,4,2,0.5
REF,pre_tp1_max_pullback_r,Q3,5,2,0.4
REF,pre_tp1_max_pullback_r,Q4,6,4,0.6666666666666666
2025,pre_tp1_max_pullback_r,Q1,18,4,0.2222222222222222
2025,pre_tp1_max_pullback_r,Q2,3,1,0.3333333333333333
2025,pre_tp1_max_pullback_r,Q3,3,1,0.3333333333333333
2025,pre_tp1_max_pullback_r,Q4,6,4,0.6666666666666666
2026,pre_tp1_max_pullback_r,Q1,4,1,0.25
2026,pre_tp1_max_pullback_r,Q2,1,1,1.0
2026,pre_tp1_max_pullback_r,Q3,2,1,0.5
DEV,pre_tp1_mae_r,Q1,14,8,0.5714285714285714
DEV,pre_tp1_mae_r,Q2,13,7,0.5384615384615384
DEV,pre_tp1_mae_r,Q3,13,7,0.5384615384615384
DEV,pre_tp1_mae_r,Q4,14,10,0.7142857142857143
REF,pre_tp1_mae_r,Q1,7,4,0.5714285714285714
REF,pre_tp1_mae_r,Q2,14,1,0.07142857142857142
REF,pre_tp1_mae_r,Q3,9,4,0.4444444444444444
REF,pre_tp1_mae_r,Q4,7,4,0.5714285714285714
2025,pre_tp1_mae_r,Q1,7,4,0.5714285714285714
2025,pre_tp1_mae_r,Q2,13,0,0.0
2025,pre_tp1_mae_r,Q3,7,4,0.5714285714285714
2025,pre_tp1_mae_r,Q4,3,2,0.6666666666666666
2026,pre_tp1_mae_r,Q2,1,1,1.0
2026,pre_tp1_mae_r,Q3,2,0,0.0
2026,pre_tp1_mae_r,Q4,4,2,0.5
DEV,last1_progress_r,Q1,13,10,0.7692307692307693
DEV,last1_progress_r,Q2,12,6,0.5
DEV,last1_progress_r,Q3,12,6,0.5
DEV,last1_progress_r,Q4,13,9,0.6923076923076923
REF,last1_progress_r,Q1,15,4,0.26666666666666666
REF,last1_progress_r,Q2,5,1,0.2
REF,last1_progress_r,Q3,2,0,0.0
REF,last1_progress_r,Q4,7,4,0.5714285714285714
2025,last1_progress_r,Q1,14,3,0.21428571428571427
2025,last1_progress_r,Q2,3,1,0.3333333333333333
2025,last1_progress_r,Q3,2,0,0.0
2025,last1_progress_r,Q4,6,4,0.6666666666666666
2026,last1_progress_r,Q1,1,1,1.0
2026,last1_progress_r,Q2,2,0,0.0
2026,last1_progress_r,Q4,1,0,0.0
DEV,last3_progress_r,Q1,10,7,0.7
DEV,last3_progress_r,Q2,10,4,0.4
DEV,last3_progress_r,Q3,9,5,0.5555555555555556
DEV,last3_progress_r,Q4,10,9,0.9
REF,last3_progress_r,Q1,15,1,0.06666666666666667
REF,last3_progress_r,Q2,4,2,0.5
REF,last3_progress_r,Q3,2,1,0.5
REF,last3_progress_r,Q4,4,2,0.5
2025,last3_progress_r,Q1,12,1,0.08333333333333333
2025,last3_progress_r,Q2,3,1,0.3333333333333333
2025,last3_progress_r,Q3,2,1,0.5
2025,last3_progress_r,Q4,4,2,0.5
2026,last3_progress_r,Q1,3,0,0.0
2026,last3_progress_r,Q2,1,1,1.0
DEV,last3_green_rate,Q1,24,17,0.7083333333333334
DEV,last3_green_rate,Q3,15,8,0.5333333333333333
REF,last3_green_rate,Q1,10,4,0.4
REF,last3_green_rate,Q3,15,2,0.13333333333333333
2025,last3_green_rate,Q1,6,3,0.5
2025,last3_green_rate,Q3,15,2,0.13333333333333333
2026,last3_green_rate,Q1,4,1,0.25
DEV,tp1_close_above_r,Q1,22,8,0.36363636363636365
DEV,tp1_close_above_r,Q2,22,9,0.4090909090909091
DEV,tp1_close_above_r,Q3,21,11,0.5238095238095238
DEV,tp1_close_above_r,Q4,22,16,0.7272727272727273
REF,tp1_close_above_r,Q1,14,4,0.2857142857142857
REF,tp1_close_above_r,Q2,26,6,0.23076923076923078
REF,tp1_close_above_r,Q3,6,4,0.6666666666666666
REF,tp1_close_above_r,Q4,9,7,0.7777777777777778
2025,tp1_close_above_r,Q1,8,3,0.375
2025,tp1_close_above_r,Q2,19,4,0.21052631578947367
2025,tp1_close_above_r,Q3,4,3,0.75
2025,tp1_close_above_r,Q4,8,6,0.75
2026,tp1_close_above_r,Q1,6,1,0.16666666666666666
2026,tp1_close_above_r,Q2,7,2,0.2857142857142857
2026,tp1_close_above_r,Q3,2,1,0.5
2026,tp1_close_above_r,Q4,1,1,1.0
DEV,tp1_bar_body_r,Q1,22,6,0.2727272727272727
DEV,tp1_bar_body_r,Q2,22,8,0.36363636363636365
DEV,tp1_bar_body_r,Q3,21,13,0.6190476190476191
DEV,tp1_bar_body_r,Q4,22,17,0.7727272727272727
REF,tp1_bar_body_r,Q1,24,2,0.08333333333333333
REF,tp1_bar_body_r,Q2,10,5,0.5
REF,tp1_bar_body_r,Q3,15,9,0.6
REF,tp1_bar_body_r,Q4,6,5,0.8333333333333334
2025,tp1_bar_body_r,Q1,17,1,0.058823529411764705
2025,tp1_bar_body_r,Q2,5,4,0.8
2025,tp1_bar_body_r,Q3,12,7,0.5833333333333334
2025,tp1_bar_body_r,Q4,5,4,0.8
2026,tp1_bar_body_r,Q1,7,1,0.14285714285714285
2026,tp1_bar_body_r,Q2,5,1,0.2
2026,tp1_bar_body_r,Q3,3,2,0.6666666666666666
2026,tp1_bar_body_r,Q4,1,1,1.0
DEV,tp1_bar_range_r,Q1,22,7,0.3181818181818182
DEV,tp1_bar_range_r,Q2,22,11,0.5
DEV,tp1_bar_range_r,Q3,21,9,0.42857142857142855
DEV,tp1_bar_range_r,Q4,22,17,0.7727272727272727
REF,tp1_bar_range_r,Q1,20,2,0.1
REF,tp1_bar_range_r,Q2,9,2,0.2222222222222222
REF,tp1_bar_range_r,Q3,18,11,0.6111111111111112
REF,tp1_bar_range_r,Q4,8,6,0.75
2025,tp1_bar_range_r,Q1,16,2,0.125
2025,tp1_bar_range_r,Q2,3,1,0.3333333333333333
2025,tp1_bar_range_r,Q3,15,8,0.5333333333333333
2025,tp1_bar_range_r,Q4,5,5,1.0
2026,tp1_bar_range_r,Q1,4,0,0.0
2026,tp1_bar_range_r,Q2,6,1,0.16666666666666666
2026,tp1_bar_range_r,Q3,3,3,1.0
2026,tp1_bar_range_r,Q4,3,1,0.3333333333333333
DEV,tp1_close_location,Q1,22,8,0.36363636363636365
DEV,tp1_close_location,Q2,22,10,0.45454545454545453
DEV,tp1_close_location,Q3,21,12,0.5714285714285714
DEV,tp1_close_location,Q4,22,14,0.6363636363636364
REF,tp1_close_location,Q1,13,3,0.23076923076923078
REF,tp1_close_location,Q2,21,5,0.23809523809523808
REF,tp1_close_location,Q3,14,8,0.5714285714285714
REF,tp1_close_location,Q4,7,5,0.7142857142857143
2025,tp1_close_location,Q1,6,1,0.16666666666666666
2025,tp1_close_location,Q2,17,4,0.23529411764705882
2025,tp1_close_location,Q3,10,7,0.7
2025,tp1_close_location,Q4,6,4,0.6666666666666666
2026,tp1_close_location,Q1,7,2,0.2857142857142857
2026,tp1_close_location,Q2,4,1,0.25
2026,tp1_close_location,Q3,4,1,0.25
2026,tp1_close_location,Q4,1,1,1.0
DEV,baseline_sl_pct,Q1,22,13,0.5909090909090909
DEV,baseline_sl_pct,Q2,22,9,0.4090909090909091
DEV,baseline_sl_pct,Q3,21,10,0.47619047619047616
DEV,baseline_sl_pct,Q4,22,12,0.5454545454545454
REF,baseline_sl_pct,Q1,18,11,0.6111111111111112
REF,baseline_sl_pct,Q2,10,5,0.5
REF,baseline_sl_pct,Q3,6,2,0.3333333333333333
REF,baseline_sl_pct,Q4,21,3,0.14285714285714285
2025,baseline_sl_pct,Q1,15,9,0.6
2025,baseline_sl_pct,Q2,4,2,0.5
2025,baseline_sl_pct,Q3,4,2,0.5
2025,baseline_sl_pct,Q4,16,3,0.1875
2026,baseline_sl_pct,Q1,3,2,0.6666666666666666
2026,baseline_sl_pct,Q2,6,3,0.5
2026,baseline_sl_pct,Q3,2,0,0.0
2026,baseline_sl_pct,Q4,5,0,0.0
