partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_exit_ts,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_formation_anchor_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_exit_ts,control_break_ts,control_invalidation_close_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_formation_anchor_ts,control_pnl,case__running_mae_R,control__running_mae_R,abs_running_mae_R_match_gap,case__largest_mae_extension_share,control__largest_mae_extension_share,case__mae_extension_bar_fraction,control__mae_extension_bar_fraction,case__down_close_step_fraction,control__down_close_step_fraction,case__close_path_efficiency_to_worst,control__close_path_efficiency_to_worst,case__worst_bar_close_location,control__worst_bar_close_location
development,60,2023-03-05 15:30:00+00:00,2023-03-05 15:00:00+00:00,2.0,2023-03-05 18:00:00+00:00,2023-03-05 17:55:00+00:00,2023-03-05 15:35:00+00:00,2023-03-05 16:25:00+00:00,2023-03-05 16:15:00+00:00,-5.648525758214951,2023-01-08 15:45:00+00:00,2023-01-08 15:00:00+00:00,2.0,2023-01-08 23:50:00+00:00,,,2023-01-08 15:50:00+00:00,2023-01-08 16:40:00+00:00,2023-01-08 16:25:00+00:00,6.863309352517999,0.5891089108910933,0.5723270440251562,0.01678186686593708,0.5126050420168072,0.26739926739926917,0.5555555555555556,1.0,0.6666666666666666,1.0,0.5643564356435556,1.0,0.12195121951225642,0.3571428571428623
development,60,2023-03-09 15:05:00+00:00,2023-03-09 15:00:00+00:00,2.0,2023-03-09 16:40:00+00:00,2023-03-09 16:35:00+00:00,2023-03-09 15:10:00+00:00,2023-03-09 16:00:00+00:00,2023-03-09 16:00:00+00:00,-13.837489943684611,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,0.638132295719844,0.6103286384976502,0.0278036572221938,0.48170731707317543,0.3346153846153862,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.5433333333333329,0.6156156156156134,0.02631578947366945,0.9821428571428357
development,60,2023-06-14 17:35:00+00:00,2023-06-14 15:00:00+00:00,2.0,2023-06-14 20:05:00+00:00,2023-06-14 20:00:00+00:00,2023-06-14 17:40:00+00:00,2023-06-14 18:30:00+00:00,2023-06-14 18:05:00+00:00,-10.76077713089557,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,1.3257328990227997,0.6103286384976502,0.7154042605251495,0.5012285012284984,0.3346153846153862,0.5,0.6363636363636364,0.6666666666666666,0.5454545454545454,0.47142857142857447,0.6156156156156134,0.6430769230769233,0.9821428571428357
development,60,2023-06-18 16:20:00+00:00,2023-06-18 15:00:00+00:00,2.0,2023-06-18 20:25:00+00:00,2023-06-18 20:20:00+00:00,2023-06-18 16:25:00+00:00,2023-06-18 17:15:00+00:00,2023-06-18 16:45:00+00:00,-10.388294166086053,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,2023-04-22 15:15:00+00:00,4.157043879907563,0.2938931297709917,0.306666666666663,0.01277353689567129,0.41558441558441617,0.942028985507252,0.8,1.0,0.8,0.3333333333333333,0.777777777777807,0.6557377049180194,0.358974358974345,0.9830508474576067
development,60,2023-07-30 15:30:00+00:00,2023-07-30 15:00:00+00:00,3.0,2023-07-30 19:50:00+00:00,2023-07-30 19:45:00+00:00,2023-07-30 15:35:00+00:00,2023-07-30 16:25:00+00:00,2023-07-30 15:55:00+00:00,-14.970657511277906,2023-09-03 18:20:00+00:00,2023-09-03 15:00:00+00:00,3.0,2023-09-04 00:40:00+00:00,,,2023-09-03 18:25:00+00:00,2023-09-03 19:15:00+00:00,2023-09-03 19:15:00+00:00,2.9145574474612745,0.664723032069965,0.5719298245614042,0.0927932075085608,0.32894736842105243,0.7055214723926273,1.0,0.7272727272727273,1.0,0.6363636363636364,1.0,0.617021276595735,0.7468354430379707,0.8571428571428571
development,60,2023-08-03 15:00:00+00:00,2023-08-03 15:00:00+00:00,3.0,2023-08-03 22:10:00+00:00,2023-08-03 22:05:00+00:00,2023-08-03 15:05:00+00:00,2023-08-03 15:55:00+00:00,2023-08-03 15:20:00+00:00,-11.36560443366813,2023-11-06 15:20:00+00:00,2023-11-06 15:00:00+00:00,3.0,2023-11-06 22:40:00+00:00,,,2023-11-06 15:25:00+00:00,2023-11-06 16:15:00+00:00,2023-11-06 16:15:00+00:00,4.1189032622303,0.7936507936507887,0.9630512514898703,0.16940045783908153,0.6250000000000022,0.26361386138613985,0.5,0.6363636363636364,0.75,0.8181818181818182,0.9534883720930213,0.710059171597635,0.5500000000000045,0.3621399176954741
development,60,2023-09-02 15:25:00+00:00,2023-09-02 15:00:00+00:00,3.0,2023-09-02 17:50:00+00:00,2023-09-02 17:45:00+00:00,2023-09-02 15:30:00+00:00,2023-09-02 16:20:00+00:00,2023-09-02 15:55:00+00:00,-7.91107041107042,2023-09-28 15:05:00+00:00,2023-09-28 15:00:00+00:00,3.0,2023-09-28 20:00:00+00:00,,,2023-09-28 15:10:00+00:00,2023-09-28 16:00:00+00:00,2023-09-28 15:30:00+00:00,4.368733374258249,0.3815789473684218,0.35831381733020806,0.023265130038213733,0.39655172413792683,0.5228758169934806,0.8333333333333334,0.8,1.0,0.6,1.0,0.894736842105273,0.2222222222222222,0.24999999999998693
development,60,2023-09-24 17:55:00+00:00,2023-09-24 15:00:00+00:00,3.0,2023-09-24 19:30:00+00:00,2023-09-24 19:25:00+00:00,2023-09-24 18:00:00+00:00,2023-09-24 18:50:00+00:00,2023-09-24 18:20:00+00:00,-4.531568228105909,2023-11-06 15:20:00+00:00,2023-11-06 15:00:00+00:00,3.0,2023-11-06 22:40:00+00:00,,,2023-11-06 15:25:00+00:00,2023-11-06 16:15:00+00:00,2023-11-06 16:15:00+00:00,4.1189032622303,1.3176470588235174,0.9630512514898703,0.35459580733364715,0.5982142857142867,0.26361386138613985,0.8,0.6363636363636364,0.8,0.8181818181818182,1.0,0.710059171597635,0.6086956521739186,0.3621399176954741
development,60,2023-10-02 15:00:00+00:00,2023-10-02 15:00:00+00:00,3.0,2023-10-02 18:40:00+00:00,2023-10-02 18:35:00+00:00,2023-10-02 15:05:00+00:00,2023-10-02 15:55:00+00:00,2023-10-02 15:50:00+00:00,-24.249041987720933,2023-09-03 18:20:00+00:00,2023-09-03 15:00:00+00:00,3.0,2023-09-04 00:40:00+00:00,,,2023-09-03 18:25:00+00:00,2023-09-03 19:15:00+00:00,2023-09-03 19:15:00+00:00,2.9145574474612745,0.7375178316690466,0.5719298245614042,0.16558800710764243,0.642166344294006,0.7055214723926273,0.4,0.7272727272727273,0.4,0.6363636363636364,0.32913669064748324,0.617021276595735,0.708920187793423,0.8571428571428571
development,60,2023-11-08 19:15:00+00:00,2023-11-08 15:00:00+00:00,3.0,2023-11-09 01:05:00+00:00,2023-11-09 01:00:00+00:00,2023-11-08 19:20:00+00:00,2023-11-08 20:10:00+00:00,2023-11-08 19:55:00+00:00,-11.343584572724996,2023-09-03 18:20:00+00:00,2023-09-03 15:00:00+00:00,3.0,2023-09-04 00:40:00+00:00,,,2023-09-03 18:25:00+00:00,2023-09-03 19:15:00+00:00,2023-09-03 19:15:00+00:00,2.9145574474612745,0.6354625550660764,0.5719298245614042,0.06353273050467223,0.4974003466204505,0.7055214723926273,0.75,0.7272727272727273,0.5,0.6363636363636364,0.7426573426573596,0.617021276595735,0.36220472440945717,0.8571428571428571
development,60,2023-12-16 15:35:00+00:00,2023-12-16 15:00:00+00:00,3.0,2023-12-16 20:50:00+00:00,2023-12-16 20:45:00+00:00,2023-12-16 15:40:00+00:00,2023-12-16 16:30:00+00:00,2023-12-16 15:40:00+00:00,-21.33903765635803,2023-11-10 16:50:00+00:00,2023-11-10 15:00:00+00:00,3.0,2023-11-10 18:05:00+00:00,,,2023-11-10 16:55:00+00:00,2023-11-10 17:45:00+00:00,2023-11-10 17:40:00+00:00,19.5133202629455,0.10453444098304158,0.15307328605200965,0.048538845068968065,1.0,0.4195624195624197,1.0,0.4,1.0,0.5,1.0,0.04411764705882522,0.46976744186045344,0.9903314917127101
development,60,2024-01-30 15:25:00+00:00,2024-01-30 15:00:00+00:00,4.0,2024-01-30 23:25:00+00:00,2024-01-30 23:20:00+00:00,2024-01-30 15:30:00+00:00,2024-01-30 16:20:00+00:00,2024-01-30 16:15:00+00:00,-16.660716969788048,2024-01-20 17:55:00+00:00,2024-01-20 15:00:00+00:00,4.0,2024-01-20 20:35:00+00:00,,,2024-01-20 18:00:00+00:00,2024-01-20 18:50:00+00:00,2024-01-20 18:40:00+00:00,2.9679179114170395,0.9112492933860917,0.4026258205689299,0.5086234728171618,0.24224565756823643,0.9655797101449181,1.0,0.2222222222222222,0.9,0.6666666666666666,0.9480434067740915,0.2595041322314122,0.4434330299089699,0.4989517819706449
development,60,2024-02-19 15:20:00+00:00,2024-02-19 15:00:00+00:00,4.0,2024-02-20 01:20:00+00:00,2024-02-20 01:15:00+00:00,2024-02-19 15:25:00+00:00,2024-02-19 16:15:00+00:00,2024-02-19 15:40:00+00:00,-19.7173913043478,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 18:55:00+00:00,2024-01-10 18:05:00+00:00,12.613528879306003,0.33072360616844704,0.32398000322528664,0.006743602943160398,0.4612625538020073,1.0,1.0,1.0,0.75,1.0,0.9694915254237279,1.0,0.5518763796909456,0.3233532934131776
development,60,2024-03-19 17:10:00+00:00,2024-03-19 15:00:00+00:00,4.0,2024-03-19 22:15:00+00:00,2024-03-19 22:10:00+00:00,2024-03-19 17:15:00+00:00,2024-03-19 18:05:00+00:00,2024-03-19 18:05:00+00:00,-42.44157296123496,2024-01-10 18:00:00+00:00,2024-01-10 15:00:00+00:00,4.0,2024-01-10 21:50:00+00:00,,,2024-01-10 18:05:00+00:00,2024-01-10 18:55:00+00:00,2024-01-10 18:05:00+00:00,12.613528879306003,0.33667907471417136,0.32398000322528664,0.012699071488884717,0.28114511352418703,1.0,0.5454545454545454,1.0,0.6363636363636364,1.0,0.6207073295745799,1.0,0.08794269797054408,0.3233532934131776
development,60,2024-04-07 15:15:00+00:00,2024-04-07 15:00:00+00:00,4.0,2024-04-07 18:35:00+00:00,2024-04-07 18:30:00+00:00,2024-04-07 15:20:00+00:00,2024-04-07 16:10:00+00:00,2024-04-07 15:55:00+00:00,-10.593406352202628,2024-01-20 17:55:00+00:00,2024-01-20 15:00:00+00:00,4.0,2024-01-20 20:35:00+00:00,,,2024-01-20 18:00:00+00:00,2024-01-20 18:50:00+00:00,2024-01-20 18:40:00+00:00,2.9679179114170395,0.7387238723872337,0.4026258205689299,0.33609805181830377,0.505584512285922,0.9655797101449181,0.625,0.2222222222222222,0.75,0.6666666666666666,0.6501046025104652,0.2595041322314122,0.24691358024689886,0.4989517819706449
development,60,2024-05-08 18:25:00+00:00,2024-05-08 15:00:00+00:00,4.0,2024-05-08 20:10:00+00:00,2024-05-08 20:05:00+00:00,2024-05-08 18:30:00+00:00,2024-05-08 19:20:00+00:00,2024-05-08 19:20:00+00:00,-16.917672031598496,2024-01-20 17:55:00+00:00,2024-01-20 15:00:00+00:00,4.0,2024-01-20 20:35:00+00:00,,,2024-01-20 18:00:00+00:00,2024-01-20 18:50:00+00:00,2024-01-20 18:40:00+00:00,2.9679179114170395,0.7697998259355917,0.4026258205689299,0.3671740053666618,0.3634821933295669,0.9655797101449181,0.7272727272727273,0.2222222222222222,0.6363636363636364,0.6666666666666666,0.744627054361569,0.2595041322314122,0.004056795131836428,0.4989517819706449
development,60,2024-05-12 16:20:00+00:00,2024-05-12 15:00:00+00:00,4.0,2024-05-12 21:25:00+00:00,2024-05-12 21:20:00+00:00,2024-05-12 16:25:00+00:00,2024-05-12 17:15:00+00:00,2024-05-12 17:00:00+00:00,-10.262035594193419,2024-01-20 17:55:00+00:00,2024-01-20 15:00:00+00:00,4.0,2024-01-20 20:35:00+00:00,,,2024-01-20 18:00:00+00:00,2024-01-20 18:50:00+00:00,2024-01-20 18:40:00+00:00,2.9679179114170395,0.8666107382550293,0.4026258205689299,0.4639849176860994,0.2904162633107423,0.9655797101449181,0.75,0.2222222222222222,0.875,0.6666666666666666,0.9380022962112498,0.2595041322314122,0.5524296675191587,0.4989517819706449
development,60,2024-06-01 15:05:00+00:00,2024-06-01 15:00:00+00:00,4.0,2024-06-01 23:15:00+00:00,2024-06-01 23:10:00+00:00,2024-06-01 15:10:00+00:00,2024-06-01 16:00:00+00:00,2024-06-01 16:00:00+00:00,-3.641282971191595,2024-01-20 17:55:00+00:00,2024-01-20 15:00:00+00:00,4.0,2024-01-20 20:35:00+00:00,,,2024-01-20 18:00:00+00:00,2024-01-20 18:50:00+00:00,2024-01-20 18:40:00+00:00,2.9679179114170395,0.49555950266428983,0.4026258205689299,0.0929336820953599,0.5268817204301344,0.9655797101449181,0.2727272727272727,0.2222222222222222,0.5454545454545454,0.6666666666666666,0.36256323777402527,0.2595041322314122,0.3440860215053517,0.4989517819706449
development,60,2024-07-09 20:45:00+00:00,2024-07-09 15:00:00+00:00,5.0,2024-07-10 01:05:00+00:00,2024-07-10 01:00:00+00:00,2024-07-09 20:50:00+00:00,2024-07-09 21:40:00+00:00,2024-07-09 21:10:00+00:00,-15.40905757882599,2024-10-26 18:10:00+00:00,2024-10-26 15:00:00+00:00,5.0,2024-10-26 19:10:00+00:00,,,2024-10-26 18:15:00+00:00,2024-10-26 19:05:00+00:00,2024-10-26 18:20:00+00:00,3.735024665257214,0.2709136250283366,0.2641509433962269,0.0067626816321096905,0.5958158995815842,0.7976190476190295,1.0,1.0,0.8,1.0,0.5212355212355131,1.0,0.9471766848816102,0.46153846153846156
development,60,2024-10-02 16:05:00+00:00,2024-10-02 15:00:00+00:00,5.0,2024-10-02 19:00:00+00:00,2024-10-02 18:55:00+00:00,2024-10-02 16:10:00+00:00,2024-10-02 17:00:00+00:00,2024-10-02 17:00:00+00:00,-19.988117180801122,2024-07-15 15:00:00+00:00,2024-07-15 15:00:00+00:00,5.0,2024-07-15 18:25:00+00:00,,,2024-07-15 15:05:00+00:00,2024-07-15 15:55:00+00:00,2024-07-15 15:10:00+00:00,3.7452355244500524,0.5132954337062177,0.5456755817992369,0.032380148093019256,0.3733476241514773,0.7326543602800659,0.7272727272727273,1.0,0.8181818181818182,1.0,0.8778867447010374,1.0,0.033707865168539776,0.20757020757022274
development,60,2024-11-23 15:00:00+00:00,2024-11-23 15:00:00+00:00,5.0,2024-11-23 16:30:00+00:00,2024-11-23 16:25:00+00:00,2024-11-23 15:05:00+00:00,2024-11-23 15:55:00+00:00,2024-11-23 15:55:00+00:00,-14.497153700189724,2024-07-15 15:00:00+00:00,2024-07-15 15:00:00+00:00,5.0,2024-07-15 18:25:00+00:00,,,2024-07-15 15:05:00+00:00,2024-07-15 15:55:00+00:00,2024-07-15 15:10:00+00:00,3.7452355244500524,0.5133333333333364,0.5456755817992369,0.0323422484659005,0.4467532467532512,0.7326543602800659,0.36363636363636365,1.0,0.6363636363636364,1.0,0.45641025641026267,1.0,0.1847133757961855,0.20757020757022274
development,60,2024-12-08 16:00:00+00:00,2024-12-08 15:00:00+00:00,5.0,2024-12-09 01:40:00+00:00,2024-12-09 01:35:00+00:00,2024-12-08 16:05:00+00:00,2024-12-08 16:55:00+00:00,2024-12-08 16:45:00+00:00,-9.649344096871848,2024-09-24 17:40:00+00:00,2024-09-24 15:00:00+00:00,5.0,2024-09-24 22:10:00+00:00,,,2024-09-24 17:45:00+00:00,2024-09-24 18:35:00+00:00,2024-09-24 18:30:00+00:00,5.8500569242067035,0.4745011086474543,0.45854444956241547,0.01595665908503885,0.3037383177570099,0.4083375188347619,0.6666666666666666,0.7,0.6666666666666666,0.6,0.6813559322033762,0.42554599602912146,0.16049382716052285,0.9527027027027078
development,60,2024-12-26 16:55:00+00:00,2024-12-26 15:00:00+00:00,5.0,2024-12-26 21:15:00+00:00,2024-12-26 21:10:00+00:00,2024-12-26 17:00:00+00:00,2024-12-26 17:50:00+00:00,2024-12-26 17:30:00+00:00,-10.246331236897333,2024-09-10 15:25:00+00:00,2024-09-10 15:00:00+00:00,5.0,2024-09-10 18:15:00+00:00,,,2024-09-10 15:30:00+00:00,2024-09-10 16:20:00+00:00,2024-09-10 16:10:00+00:00,4.014705882352865,1.0416666666666625,0.8542124542124551,0.18745421245420746,0.29142857142857437,0.29073756432248177,0.7142857142857143,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.7989417989417894,0.7709342560553699,0.4897959183673416,0.18538324420674454
development,120,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:45:00+00:00,2022-03-06 19:40:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 18:15:00+00:00,2022-03-06 17:30:00+00:00,-17.630385487528322,2022-02-03 15:20:00+00:00,2022-02-03 15:00:00+00:00,0.0,2022-02-03 21:50:00+00:00,,,2022-02-03 15:25:00+00:00,2022-02-03 17:15:00+00:00,2022-02-03 17:05:00+00:00,10.16880622662486,0.5407407407407431,0.5765407554671979,0.035800014726454776,0.2397260273972648,0.3517241379310373,0.6428571428571429,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.8235294117647147,0.24884792626728255,0.2,0.9249999999999969
development,120,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:15:00+00:00,2022-03-09 19:10:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 17:45:00+00:00,2022-03-09 17:20:00+00:00,-16.31165919282507,2022-02-03 15:20:00+00:00,2022-02-03 15:00:00+00:00,0.0,2022-02-03 21:50:00+00:00,,,2022-02-03 15:25:00+00:00,2022-02-03 17:15:00+00:00,2022-02-03 17:05:00+00:00,10.16880622662486,0.5873605947955389,0.5765407554671979,0.010819839328341074,0.39873417721519644,0.3517241379310373,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.35180055401661947,0.24884792626728255,0.5535714285714304,0.9249999999999969
development,120,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:30:00+00:00,2022-06-05 23:25:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 18:00:00+00:00,2022-06-05 16:30:00+00:00,-17.508754377188573,2022-02-03 15:20:00+00:00,2022-02-03 15:00:00+00:00,0.0,2022-02-03 21:50:00+00:00,,,2022-02-03 15:25:00+00:00,2022-02-03 17:15:00+00:00,2022-02-03 17:05:00+00:00,10.16880622662486,0.6349206349206337,0.5765407554671979,0.05837987945343581,0.3625000000000091,0.3517241379310373,1.0,0.2857142857142857,0.8,0.5714285714285714,0.8666666666666566,0.24884792626728255,0.5,0.9249999999999969
development,120,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:50:00+00:00,2022-07-10 00:45:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 20:25:00+00:00,2022-07-09 19:10:00+00:00,-15.717598557072886,2022-08-22 16:00:00+00:00,2022-08-22 15:00:00+00:00,1.0,2022-08-22 23:45:00+00:00,,,2022-08-22 16:05:00+00:00,2022-08-22 17:55:00+00:00,2022-08-22 17:30:00+00:00,5.733944954128378,0.5887850467289742,0.5300000000000011,0.05878504672897311,0.523809523809519,0.41509433962265185,0.875,0.4444444444444444,0.875,0.6666666666666666,0.90322580645161,0.3884297520661249,0.184210526315789,0.28571428571426155
