horizon_min,feature,kind,period,winner_n,loser_n,winner_median,loser_median,failure_auc,rate_delta
30,lack_mfe,CONT,DEV,49,27,-0.11517693087962234,-0.06900416578138319,0.6349206349206349,
30,lack_mfe,CONT,REF,24,18,-0.11649229873845875,-0.12089220063355863,0.5,
30,below_wall_fraction,CONT,DEV,49,27,0.0,0.0,0.5861678004535147,
30,below_wall_fraction,CONT,REF,24,18,0.0,0.0,0.5439814814814815,
30,max_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.5861678004535147,
30,max_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.5416666666666666,
30,final_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.5234315948601663,
30,final_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.5763888888888888,
30,failed_reclaim_count,CONT,DEV,49,27,0.0,0.0,0.5,
30,failed_reclaim_count,CONT,REF,24,18,0.0,0.0,0.5,
30,lower_low_pressure,CONT,DEV,49,27,0.0,0.0,0.5993953136810279,
30,lower_low_pressure,CONT,REF,24,18,0.0,0.020677204581074277,0.5590277777777778,
30,down_slope_3,CONT,DEV,49,27,-0.03188803184630813,0.03584486890082113,0.63718820861678,
30,down_slope_3,CONT,REF,24,18,-0.011384417094204676,0.0371194457235245,0.6921296296296297,
30,final_below_wall,BINARY,DEV,49,27,0.061224489795918366,0.1111111111111111,,0.04988662131519274
30,final_below_wall,BINARY,REF,24,18,0.08333333333333333,0.2222222222222222,,0.1388888888888889
30,detector_extreme_touched,BINARY,DEV,49,27,0.04081632653061224,0.037037037037037035,,-0.0037792894935752067
30,detector_extreme_touched,BINARY,REF,24,18,0.0,0.2222222222222222,,0.2222222222222222
30,detector_extreme_close_breached,BINARY,DEV,49,27,0.02040816326530612,0.037037037037037035,,0.016628873771730914
30,detector_extreme_close_breached,BINARY,REF,24,18,0.0,0.2222222222222222,,0.2222222222222222
45,entry_drawdown,CONT,DEV,49,27,-0.0644424789380981,0.029014704209780445,0.6931216931216931,
45,entry_drawdown,CONT,REF,24,18,-0.0018082955821659835,0.04680775279307975,0.6064814814814815,
45,below_wall_depth,CONT,DEV,49,27,0.0,0.0,0.5147392290249433,
45,below_wall_depth,CONT,REF,24,18,0.0,0.0,0.5902777777777778,
45,mae_so_far,CONT,DEV,49,27,0.07123895390001356,0.18469271769172452,0.6953892668178382,
45,mae_so_far,CONT,REF,24,18,0.11977748021423466,0.15245821252117936,0.6018518518518519,
45,lack_mfe,CONT,DEV,49,27,-0.16792896222220965,-0.07829082007846869,0.6787603930461074,
45,lack_mfe,CONT,REF,24,18,-0.1273660743586777,-0.13454132801767993,0.5416666666666666,
45,below_wall_fraction,CONT,DEV,49,27,0.0,0.0,0.5997732426303855,
45,below_wall_fraction,CONT,REF,24,18,0.0,0.0,0.5601851851851852,
45,max_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.5990173847316704,
45,max_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.5601851851851852,
45,final_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.5158730158730159,
45,final_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.5925925925925926,
45,failed_reclaim_count,CONT,DEV,49,27,0.0,0.0,0.5,
45,failed_reclaim_count,CONT,REF,24,18,0.0,0.0,0.5,
45,lower_low_pressure,CONT,DEV,49,27,0.0,0.020038318951701203,0.6496598639455783,
45,lower_low_pressure,CONT,REF,24,18,0.03576938959975047,0.0011819778867887924,0.4583333333333333,
45,down_slope_3,CONT,DEV,49,27,0.013967895236330507,0.015771353208042765,0.5034013605442177,
45,down_slope_3,CONT,REF,24,18,-0.041939619965090914,-0.03384363033151998,0.49074074074074076,
45,final_below_wall,BINARY,DEV,49,27,0.08163265306122448,0.1111111111111111,,0.02947845804988662
45,final_below_wall,BINARY,REF,24,18,0.16666666666666666,0.3333333333333333,,0.16666666666666666
45,detector_extreme_touched,BINARY,DEV,49,27,0.061224489795918366,0.037037037037037035,,-0.02418745275888133
45,detector_extreme_touched,BINARY,REF,24,18,0.041666666666666664,0.2222222222222222,,0.18055555555555555
45,detector_extreme_close_breached,BINARY,DEV,49,27,0.061224489795918366,0.037037037037037035,,-0.02418745275888133
45,detector_extreme_close_breached,BINARY,REF,24,18,0.041666666666666664,0.2222222222222222,,0.18055555555555555
60,entry_drawdown,CONT,DEV,49,27,-0.09261659379187502,0.07398384784808465,0.7656840513983371,
60,entry_drawdown,CONT,REF,24,18,-0.06469656788440928,0.0732671130131933,0.7175925925925926,
60,below_wall_depth,CONT,DEV,49,27,0.0,0.0,0.5566893424036281,
60,below_wall_depth,CONT,REF,24,18,0.0,0.0,0.6527777777777778,
60,mae_so_far,CONT,DEV,49,27,0.10080586867603263,0.1955463539079658,0.7006802721088435,
60,mae_so_far,CONT,REF,24,18,0.1609336637675245,0.2436865282206185,0.6203703703703703,
60,lack_mfe,CONT,DEV,49,27,-0.188828605080144,-0.11129486555002005,0.690854119425548,
60,lack_mfe,CONT,REF,24,18,-0.18454796945232582,-0.13981653832782248,0.5740740740740741,
60,below_wall_fraction,CONT,DEV,49,27,0.0,0.0,0.6175359032501889,
60,below_wall_fraction,CONT,REF,24,18,0.0,0.0,0.5555555555555556,
60,max_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.6152683295540439,
60,max_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.5567129629629629,
60,final_consecutive_below_wall,CONT,DEV,49,27,0.0,0.0,0.5487528344671202,
60,final_consecutive_below_wall,CONT,REF,24,18,0.0,0.0,0.6481481481481481,
60,failed_reclaim_count,CONT,DEV,49,27,0.0,0.0,0.5,
60,failed_reclaim_count,CONT,REF,24,18,0.0,0.0,0.5,
60,lower_low_pressure,CONT,DEV,49,27,0.0,0.021671964743240513,0.6485260770975056,
60,lower_low_pressure,CONT,REF,24,18,0.0,0.0355918510614905,0.6087962962962963,
60,down_slope_3,CONT,DEV,49,27,-0.009137490149018638,0.0396749185834432,0.6568405139833712,
60,down_slope_3,CONT,REF,24,18,-0.03715908810826532,0.02742150960944944,0.7037037037037037,
60,final_below_wall,BINARY,DEV,49,27,0.12244897959183673,0.2222222222222222,,0.09977324263038548
60,final_below_wall,BINARY,REF,24,18,0.041666666666666664,0.3333333333333333,,0.29166666666666663
60,detector_extreme_touched,BINARY,DEV,49,27,0.061224489795918366,0.07407407407407407,,0.012849584278155704
60,detector_extreme_touched,BINARY,REF,24,18,0.041666666666666664,0.3333333333333333,,0.29166666666666663
60,detector_extreme_close_breached,BINARY,DEV,49,27,0.061224489795918366,0.07407407407407407,,0.012849584278155704
60,detector_extreme_close_breached,BINARY,REF,24,18,0.041666666666666664,0.2777777777777778,,0.23611111111111113
