partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_invalidation_close_ts,case_exit_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_break_ts,control_invalidation_close_ts,control_exit_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,case__close_H_R,control__close_H_R,case__drawdown_from_best_R,control__drawdown_from_best_R
development,60,2023-09-02 15:25:00+00:00,2023-09-02 15:00:00+00:00,3.0,2023-09-02 17:45:00+00:00,2023-09-02 17:50:00+00:00,2023-09-02 15:30:00+00:00,2023-09-02 16:20:00+00:00,-7.91107041107042,2023-09-05 15:20:00+00:00,2023-09-05 15:00:00+00:00,3.0,,,2023-09-06 02:55:00+00:00,2023-09-05 15:25:00+00:00,2023-09-05 16:15:00+00:00,-4.456197052054245,0.3815789473684218,0.30064754856614195,-0.3651315789473607,0.03515263644773383,0.45065789473683415,0.13043478260869737
development,60,2023-09-24 17:55:00+00:00,2023-09-24 15:00:00+00:00,3.0,2023-09-24 19:25:00+00:00,2023-09-24 19:30:00+00:00,2023-09-24 18:00:00+00:00,2023-09-24 18:50:00+00:00,-4.531568228105909,2023-09-20 18:00:00+00:00,2023-09-20 15:00:00+00:00,3.0,,,2023-09-21 02:55:00+00:00,2023-09-20 18:05:00+00:00,2023-09-20 18:55:00+00:00,-8.734052993130458,1.3176470588235174,0.2754716981132036,-0.22941176470588875,-0.21886792452830225,0.27647058823529486,0.5339622641509482
development,60,2023-10-02 15:00:00+00:00,2023-10-02 15:00:00+00:00,3.0,2023-10-02 18:35:00+00:00,2023-10-02 18:40:00+00:00,2023-10-02 15:05:00+00:00,2023-10-02 15:55:00+00:00,-24.249041987720933,2023-10-01 22:15:00+00:00,2023-10-01 15:00:00+00:00,3.0,,,2023-10-02 02:55:00+00:00,2023-10-01 22:20:00+00:00,2023-10-01 23:10:00+00:00,-5.389344262295037,0.7375178316690466,0.2916808149405766,-0.31669044222539044,-0.08862478777589107,0.6077032810271045,0.12461799660441455
development,60,2023-11-08 19:15:00+00:00,2023-11-08 15:00:00+00:00,3.0,2023-11-09 01:00:00+00:00,2023-11-09 01:05:00+00:00,2023-11-08 19:20:00+00:00,2023-11-08 20:10:00+00:00,-11.343584572724996,2023-10-21 20:30:00+00:00,2023-10-21 15:00:00+00:00,3.0,,,2023-10-22 02:55:00+00:00,2023-10-21 20:35:00+00:00,2023-10-21 21:25:00+00:00,-4.733333333333311,0.6354625550660764,0.3036144578313249,-0.3887665198237897,-0.14313253012048227,0.29295154185021793,0.2004819277108436
development,60,2023-12-16 15:35:00+00:00,2023-12-16 15:00:00+00:00,3.0,2023-12-16 20:45:00+00:00,2023-12-16 20:50:00+00:00,2023-12-16 15:40:00+00:00,2023-12-16 16:30:00+00:00,-21.33903765635803,2023-12-24 16:05:00+00:00,2023-12-24 15:00:00+00:00,3.0,,,2023-12-25 02:55:00+00:00,2023-12-24 16:10:00+00:00,2023-12-24 17:00:00+00:00,-17.087680122814973,0.10453444098304158,0.24971198156682145,0.10903426791277196,0.028225806451612597,0.08930425752855518,0.2626728110599075
development,60,2024-01-30 15:25:00+00:00,2024-01-30 15:00:00+00:00,4.0,2024-01-30 23:20:00+00:00,2024-01-30 23:25:00+00:00,2024-01-30 15:30:00+00:00,2024-01-30 16:20:00+00:00,-16.660716969788048,2024-01-18 00:05:00+00:00,2024-01-17 15:00:00+00:00,4.0,,,2024-01-18 02:55:00+00:00,2024-01-18 00:10:00+00:00,2024-01-18 01:00:00+00:00,-9.01189920671952,0.9112492933860917,0.42616710078140846,-0.6961560203504794,-0.346824283710681,0.6110797060486174,0.37026647966339393
development,60,2024-02-19 15:20:00+00:00,2024-02-19 15:00:00+00:00,4.0,2024-02-20 01:15:00+00:00,2024-02-20 01:20:00+00:00,2024-02-19 15:25:00+00:00,2024-02-19 16:15:00+00:00,-19.7173913043478,2024-02-18 16:45:00+00:00,2024-02-18 15:00:00+00:00,4.0,,,2024-02-19 02:55:00+00:00,2024-02-18 16:50:00+00:00,2024-02-18 17:40:00+00:00,-4.255337952488725,0.33072360616844704,0.1604477611940311,-0.22182680901542148,0.1433901918976539,0.2270462633451974,0.1297974413646081
development,60,2024-03-19 17:10:00+00:00,2024-03-19 15:00:00+00:00,4.0,2024-03-19 22:10:00+00:00,2024-03-19 22:15:00+00:00,2024-03-19 17:15:00+00:00,2024-03-19 18:05:00+00:00,-42.44157296123496,2024-03-07 19:00:00+00:00,2024-03-07 15:00:00+00:00,4.0,,,2024-03-08 02:55:00+00:00,2024-03-07 19:05:00+00:00,2024-03-07 19:55:00+00:00,-14.463763655947092,0.33667907471417136,0.19377753799118777,-0.32198883275724666,-0.050804783742468954,0.3289683594788626,0.04801726463447454
development,60,2024-04-07 15:15:00+00:00,2024-04-07 15:00:00+00:00,4.0,2024-04-07 18:30:00+00:00,2024-04-07 18:35:00+00:00,2024-04-07 15:20:00+00:00,2024-04-07 16:10:00+00:00,-10.593406352202628,2024-04-11 17:45:00+00:00,2024-04-11 15:00:00+00:00,4.0,,,2024-04-12 02:55:00+00:00,2024-04-11 17:50:00+00:00,2024-04-11 18:40:00+00:00,-6.484330484330503,0.7387238723872337,0.34171514355413685,-0.4645214521452131,0.13435916682304505,0.4251925192519236,0.049540251454303096
development,60,2024-05-08 18:25:00+00:00,2024-05-08 15:00:00+00:00,4.0,2024-05-08 20:05:00+00:00,2024-05-08 20:10:00+00:00,2024-05-08 18:30:00+00:00,2024-05-08 19:20:00+00:00,-16.917672031598496,2024-05-06 01:20:00+00:00,2024-05-05 15:00:00+00:00,4.0,,,2024-05-06 02:55:00+00:00,2024-05-06 01:25:00+00:00,2024-05-06 02:15:00+00:00,-6.720684435313872,0.7697998259355917,0.499830680663731,-0.7689295039164467,-0.281070098205219,0.7258485639686644,0.17846258042668972
