structure_id,structure,direction,policy_id,policy,n,parent_n,participation,hit_60,wilson_60,median_signed_60,hit_30,hit_120,n_2022,n_2023,n_2024,hit_2022,hit_2023,hit_2024,worst_dev_hit,aux_ge53,dev_gate
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E3,FIRST_PATH_CONTINUATION_30,481,3314,0.1451418225709113,0.5197505197505198,0.47512252935621835,0.00016679639719785477,0.501039501039501,0.501039501039501,139,163,179,0.5179856115107914,0.48466257668711654,0.553072625698324,0.48466257668711654,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E4,FIRST_LIQUIDITY_BREAK_30,297,3314,0.0896197948098974,0.5387205387205387,0.48189351360529065,0.00037651891151835315,0.5185185185185185,0.5387205387205387,70,114,113,0.5714285714285714,0.49122807017543857,0.5663716814159292,0.49122807017543857,1,False
S05,SWEEP_HIGH_REJECT,SHORT,E0,STRUCTURE_CLOSE,5541,5542,0.9998195597257308,0.5226493412741382,0.5094866154008173,0.00019753736748528983,0.5101967153943332,0.5060458401010648,1882,1784,1875,0.5430393198724761,0.5207399103139013,0.504,0.504,0,False
S05,SWEEP_HIGH_REJECT,SHORT,E1,DELAY_15,5540,5542,0.9996391194514616,0.5095667870036101,0.496400844290991,8.608567998830141e-05,0.5074007220216606,0.5025270758122744,1881,1784,1875,0.5114300903774588,0.5184977578475336,0.4992,0.4992,0,False
S05,SWEEP_HIGH_REJECT,SHORT,E2,ONE_BAR_DIRECTION_CONFIRM,2815,5542,0.5079393720678456,0.48632326820603905,0.4678908832097582,-6.993398232069126e-05,0.48383658969804616,0.48845470692717585,977,897,941,0.49027635619242577,0.48717948717948717,0.4814027630180659,0.4814027630180659,0,False
S05,SWEEP_HIGH_REJECT,SHORT,E3,FIRST_PATH_CONTINUATION_30,597,5542,0.10772284373872248,0.5008375209380235,0.4608526491837198,1.6935661422246007e-05,0.46733668341708545,0.4723618090452261,208,206,183,0.5,0.470873786407767,0.5355191256830601,0.470873786407767,0,False
S05,SWEEP_HIGH_REJECT,SHORT,E4,FIRST_LIQUIDITY_BREAK_30,324,5542,0.058462648863226274,0.5092592592592593,0.4550364014788929,3.498980869948154e-05,0.4537037037037037,0.4660493827160494,103,105,116,0.5145631067961165,0.49523809523809526,0.5172413793103449,0.49523809523809526,0,False
S06,LH_CONTINUATION,SHORT,E0,STRUCTURE_CLOSE,428,428,1.0,0.4672897196261682,0.4205227584924451,-0.00033540419595146087,0.49065420560747663,0.4532710280373832,140,140,148,0.4714285714285714,0.45,0.4797297297297297,0.45,0,False
S06,LH_CONTINUATION,SHORT,E1,DELAY_15,428,428,1.0,0.42990654205607476,0.3838335209893984,-0.0006615819818432955,0.4439252336448598,0.4485981308411215,140,140,148,0.4142857142857143,0.42142857142857143,0.4527027027027027,0.4142857142857143,0,False
S06,LH_CONTINUATION,SHORT,E2,ONE_BAR_DIRECTION_CONFIRM,215,428,0.5023364485981309,0.413953488372093,0.3501897381959467,-0.0009895842069069793,0.4232558139534884,0.4418604651162791,67,72,76,0.44776119402985076,0.3333333333333333,0.4605263157894737,0.3333333333333333,0,False
S06,LH_CONTINUATION,SHORT,E3,FIRST_PATH_CONTINUATION_30,325,428,0.7593457943925234,0.42153846153846153,0.3690755103113695,-0.0007909416368327982,0.4338461538461538,0.44,101,108,116,0.42574257425742573,0.3888888888888889,0.4482758620689655,0.3888888888888889,0,False
S06,LH_CONTINUATION,SHORT,E4,FIRST_LIQUIDITY_BREAK_30,72,428,0.16822429906542055,0.3472222222222222,0.24753423008275116,-0.0018270908951415477,0.3611111111111111,0.3472222222222222,16,28,28,0.4375,0.2857142857142857,0.35714285714285715,0.2857142857142857,0,False
S07,BREAK_LOW_HOLD,SHORT,E0,STRUCTURE_CLOSE,745,745,1.0,0.436241610738255,0.401047974788257,-0.0006969498196132129,0.42013422818791946,0.45234899328859063,228,244,273,0.42543859649122806,0.430327868852459,0.45054945054945056,0.42543859649122806,0,False
S07,BREAK_LOW_HOLD,SHORT,E1,DELAY_15,745,745,1.0,0.4604026845637584,0.4249061606114735,-0.0003531786074670862,0.44563758389261743,0.4671140939597315,228,244,273,0.44298245614035087,0.4672131147540984,0.46886446886446886,0.44298245614035087,0,False
S07,BREAK_LOW_HOLD,SHORT,E2,ONE_BAR_DIRECTION_CONFIRM,321,745,0.43087248322147653,0.411214953271028,0.35874579496628545,-0.0010661702487735347,0.40498442367601245,0.4454828660436137,95,100,126,0.45263157894736844,0.42,0.373015873015873,0.373015873015873,0,False
S07,BREAK_LOW_HOLD,SHORT,E3,FIRST_PATH_CONTINUATION_30,533,745,0.7154362416107383,0.4803001876172608,0.4381781705078532,-9.935090740498254e-05,0.4540337711069418,0.4652908067542214,165,167,201,0.48484848484848486,0.48502994011976047,0.472636815920398,0.472636815920398,0,False
S07,BREAK_LOW_HOLD,SHORT,E4,FIRST_LIQUIDITY_BREAK_30,153,745,0.20536912751677852,0.43137254901960786,0.35552517760154473,-0.0008793837278833205,0.39215686274509803,0.42483660130718953,42,44,67,0.40476190476190477,0.45454545454545453,0.43283582089552236,0.40476190476190477,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E0,STRUCTURE_CLOSE,3616,3616,1.0,0.497787610619469,0.48150190922118374,-7.577594568375368e-06,0.48478982300884954,0.4872787610619469,1090,1232,1294,0.4889908256880734,0.5097402597402597,0.4938176197836167,0.4889908256880734,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E1,DELAY_15,3616,3616,1.0,0.5066371681415929,0.49034334970404986,6.493456425438193e-05,0.48672566371681414,0.5027654867256637,1090,1232,1294,0.5155963302752293,0.5113636363636364,0.4945904173106646,0.4945904173106646,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E2,ONE_BAR_DIRECTION_CONFIRM,1804,3616,0.49889380530973454,0.49002217294900224,0.4669997063110001,-6.566073678015982e-05,0.47560975609756095,0.48891352549889133,552,639,613,0.5018115942028986,0.5023474178403756,0.466557911908646,0.466557911908646,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E3,FIRST_PATH_CONTINUATION_30,485,3616,0.13412610619469026,0.44536082474226807,0.4017300449478589,-0.00046097819573143184,0.4556701030927835,0.4329896907216495,145,183,157,0.4413793103448276,0.453551912568306,0.4394904458598726,0.4394904458598726,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E4,FIRST_LIQUIDITY_BREAK_30,297,3616,0.08213495575221239,0.49158249158249157,0.43519777536036963,-3.335000833781798e-05,0.48484848484848486,0.468013468013468,72,122,103,0.4166666666666667,0.5,0.5339805825242718,0.4166666666666667,0,False
